Gesture,Target,Wall,Box,Plane,Position_1_X,Position_1_Y,Position_1_Z,Rotation_1,,,Scale_1,,,Position_2,,,Rotation_2,,,Scale_2,,
1,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,X,,,,-0.254999995,1.48599994,-0.075000003,0,0,0,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0
8,X,,,,-0.717000008,0.916000009,-0.307999998,0,0,0,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0
9,X,,,,0.056000002,0.731999993,-0.246000007,0,0,0,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0
10,X,X,,,-0.206,0.791999996,-0.421000004,0,0,0,0.1,0.1,0.1,0,0.987999976,-0.166999996,0,90,0,0.05,0.5,1
11,X,X,,,-0.103,0.77700001,-0.342000008,0,0,0,0.1,0.1,0.1,-0.027000001,0.75999999,-0.188999996,0,90,0,0.05,1,0.5
12,X,X,,,-0.476000011,0.56400001,-0.237000003,0,0,0,0.1,0.1,0.1,-0.39199999,0.51700002,-0.221000001,0,0,0,0.05,0.5,0.5
13,,,X,X,-0.331999987,0.611999989,-0.574000001,0,0,0,0.1,0.1,0.1,-0.312000006,0.512,-0.778,0,0,0,0.1,0.1,0.1
14,,,X,X,-0.206,0.574,-0.272,0,0,0,0.1,0.1,0.1,0.1,0.5,-0.37,0,0,0,0.1,0.1,0.05
15,,,,,,,,,,,,,,,,,,,,,,
