Gesture,Target,Wall,Box,Plane,Position_1_X,Position_1_Y,Position_1_Z,Rotation_1,,,Scale_1,,,Position_2,,,Rotation_2,,,Scale_2,,
1,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,X,,,,-0.01701879,0.549457,-0.9773896,0,0,0,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0
8,X,,,,-0.638999999,0.566999972,-0.367000014,0,0,0,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0
9,X,,,,0.827000022,0.312999994,-0.044,0,0,0,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0
10,X,X,,,-0.017000001,0.389999986,-0.61500001,0,0,0,0.1,0.1,0.1,0,0.368000001,-0.469000012,0,90,0,0.05,0.5,0.5
11,X,X,,,0.479000002,0.524999976,-0.214000002,0,0,0,0.1,0.1,0.1,0.349000007,0.558000028,-0.119000003,0,90,0,0.05,0.5,0.5
12,X,X,,,-0.507101417,0.287999988,0.034000002,0,0,0,0.1,0.1,0.1,-0.217999995,0.428000003,0,0,0,0,0.05,0.5,0.5
13,,,X,X,-0.032371961,0.300000012,-0.495999992,0,0,0,0.1,0.1,0.1,0,-0.1,0,0,0,0,1,1,1
14,,,X,X,-0.032371961,0.300000012,-0.528,0,0,0,0.1,0.1,0.1,0,-0.1,0,0,0,0,1,1,1
15,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
