Time, Position (X), Position (Y), Position (Z), Orientation (X), Orientation (Y), Orientation (Z)
0,0,0.296076,1,0,1,0
0.02,0,0.288228,1,0,1,0
0.3533334,0,-0.3710039,1,0,1,0
0.418498,0,-0.6064438,1,0,1,0
0.4638616,0,-0.8771998,1,0,1,0
0.4729435,0,-0.8771998,1,0,1,0
0.4986687,0,-0.9752998,1,0,1,0
0.5476536,0,-1.293144,1,0,1,0
0.6157048,0,-1.646304,1,0,1,0
0.6252933,0,-1.771872,1,0,1,0
0.6358584,0,-1.771872,1,0,1,0
0.6488892,0,-1.901364,1,0,1,0
0.6628847,0,-2.03478,1,0,1,0
0.667996,0,-2.03478,1,0,1,0
0.6746559,0,-2.03478,1,0,1,0
0.6780345,0,-2.03478,1,0,1,0
0.6925012,0,-2.17212,1,0,1,0
0.6980363,0,-2.17212,1,0,1,0
0.7105765,0,-2.313384,1,0,1,0
0.7163727,0,-2.313384,1,0,1,0
0.7312078,0,-2.458571,1,0,1,0
0.7391834,0,-2.458571,1,0,1,0
0.7452666,0,-2.607683,1,0,1,0
0.7521135,0,-2.607683,1,0,1,0
0.7572318,0,-2.607683,1,0,1,0
0.7604529,0,-2.760719,1,0,1,0
0.7677162,0,-2.760719,1,0,1,0
0.7735841,0,-2.760719,1,0,1,0
0.7775072,0,-2.760719,1,0,1,0
0.7923073,0,-2.917679,1,0,1,0
0.7979091,0,-2.917679,1,0,1,0
0.8138211,0,-3.078563,1,0,1,0
0.899579,0,-3.761339,1,0,1,0
0.9057062,0,-3.941843,1,0,1,0
0.910727,0,-3.941843,1,0,1,0
0.9585304,0,-4.314623,1,0,1,0
1.071083,0,-5.527139,1,0,1,0
1.094405,0,-5.742959,1,0,1,0
1.119847,0,-5.962703,1,0,1,0
1.137734,0,-6.186371,1,0,1,0
1.157115,0,-6.413963,1,0,1,0
1.177036,0,-6.645479,1,0,1,0
1.192137,0,-6.880919,1,0,1,0
1.213182,0,-7.120284,1,0,1,0
1.224688,0,-7.363572,1,0,1,0
1.23511,0,-7.363572,1,0,1,0
1.240769,0,-7.610784,1,0,1,0
1.251412,0,-7.610784,1,0,1,0
1.257379,0,-7.610784,1,0,1,0
1.264964,0,-7.861919,1,0,1,0
1.275812,0,-7.861919,1,0,1,0
1.290468,0,-8.11698,1,0,1,0
1.305028,0,-8.375964,1,0,1,0
1.312956,0,-8.375964,1,0,1,0
1.328191,0,-8.638872,1,0,1,0
1.338383,0,-8.638872,1,0,1,0
1.347325,0,-8.905704,1,0,1,0
1.356344,0,-8.905704,1,0,1,0
1.369102,0,-9.17646,1,0,1,0
1.377924,0,-9.17646,1,0,1,0
1.390241,0,-9.45114,1,0,1,0
1.396546,0,-9.45114,1,0,1,0
1.403531,0,-9.729745,1,0,1,0
1.411071,0,-9.729745,1,0,1,0
1.416872,0,-9.729745,1,0,1,0
1.422451,0,-10.01227,1,0,1,0
1.429404,0,-10.01227,1,0,1,0
1.435477,0,-10.01227,1,0,1,0
1.441388,0,-10.29873,1,0,1,0
