Time, Position (X), Position (Y), Position (Z), Orientation (X), Orientation (Y), Orientation (Z)
0,0,0.296076,1,0,1,0
0.02,0,0.288228,1,0,1,0
0.3533334,0,-0.3710039,1,0,1,0
0.5259705,0,-1.183272,1,0,1,0
0.6167731,0,-1.646304,1,0,1,0
0.6537428,0,-1.901364,1,0,1,0
0.6934125,0,-2.17212,1,0,1,0
0.7367966,0,-2.458571,1,0,1,0
0.7854328,0,-2.917679,1,0,1,0
0.8204895,0,-3.243371,1,0,1,0
0.8583676,0,-3.412103,1,0,1,0
0.8879659,0,-3.761339,1,0,1,0
0.9119707,0,-3.941843,1,0,1,0
0.933933,0,-4.126271,1,0,1,0
0.9448285,0,-4.314623,1,0,1,0
0.9631516,0,-4.506899,1,0,1,0
0.994607,0,-4.703099,1,0,1,0
1.006038,0,-4.903223,1,0,1,0
1.039809,0,-5.107271,1,0,1,0
1.072228,0,-5.527139,1,0,1,0
1.092134,0,-5.742959,1,0,1,0
1.116382,0,-5.962703,1,0,1,0
1.12752,0,-6.186371,1,0,1,0
1.149441,0,-6.413963,1,0,1,0
1.161343,0,-6.645479,1,0,1,0
1.182019,0,-6.880919,1,0,1,0
1.20043,0,-7.120284,1,0,1,0
1.22575,0,-7.363572,1,0,1,0
1.235482,0,-7.363572,1,0,1,0
1.269008,0,-7.861919,1,0,1,0
1.29715,0,-8.11698,1,0,1,0
1.316678,0,-8.375964,1,0,1,0
1.411373,0,-9.729745,1,0,1,0
1.455748,0,-10.29873,1,0,1,0
1.483146,0,-10.8834,1,0,1,0
1.522969,0,-11.48377,1,0,1,0
1.595147,0,-12.41376,1,0,1,0
1.62621,0,-13.05338,1,0,1,0
1.645579,0,-13.37907,1,0,1,0
1.666467,0,-13.70868,1,0,1,0
1.674459,0,-13.70868,1,0,1,0
1.678297,0,-13.70868,1,0,1,0
1.683899,0,-14.04222,1,0,1,0
1.704616,0,-14.37969,1,0,1,0
1.715098,0,-14.37969,1,0,1,0
1.722393,0,-14.72108,1,0,1,0
1.749837,0,-15.06639,1,0,1,0
1.757937,0,-15.06639,1,0,1,0
1.774874,0,-15.41562,1,0,1,0
1.783854,0,-15.76878,1,0,1,0
1.792943,0,-15.76878,1,0,1,0
1.814003,0,-16.12587,1,0,1,0
1.823889,0,-16.48688,1,0,1,0
1.833803,0,-16.48688,1,0,1,0
1.855072,0,-16.85181,1,0,1,0
1.867415,0,-17.22066,1,0,1,0
1.899476,0,-17.59344,1,0,1,0
1.913912,0,-17.97015,1,0,1,0
1.934538,0,-18.35078,1,0,1,0
1.945536,0,-18.73533,1,0,1,0
1.954862,0,-18.73533,1,0,1,0
1.971201,0,-19.1238,1,0,1,0
1.979223,0,-19.1238,1,0,1,0
1.983333,0,-19.5162,1,0,1,0
1.992575,0,-19.5162,1,0,1,0
2.008394,0,-19.91253,1,0,1,0
2.018468,0,-19.91253,1,0,1,0
2.022442,0,-20.31278,1,0,1,0
2.030723,0,-20.31278,1,0,1,0
2.049348,0,-20.71695,1,0,1,0
