Time, Position (X), Position (Y), Position (Z), Rotation (X), Rotation (Y), Rotation (Z)
827.6088,0.09222377,0.06485808,1.060143,6.318303E-05,0.9851272,-0.1631081
827.6257,0.09222388,0.06485784,1.060143,6.913699E-05,0.9851276,-0.1631049
827.6389,0.0922239,0.06485784,1.060143,7.094377E-05,0.9851274,-0.1631052
827.6524,0.09222429,0.06485736,1.060143,8.698925E-05,0.9851282,-0.1631014
827.6678,0.09222407,0.06485748,1.060143,7.981279E-05,0.9851297,-0.1630945
827.6826,0.09222405,0.06485736,1.060143,7.906742E-05,0.9851291,-0.1630962
827.6974,0.09222391,0.06485784,1.060143,7.16581E-05,0.9851286,-0.1631003
827.7115,0.09222385,0.06485772,1.060143,7.05908E-05,0.9851285,-0.1631
827.7271,0.09222381,0.06485796,1.060143,6.817773E-05,0.9851282,-0.163102
827.7418,0.09222379,0.06485796,1.060143,6.816656E-05,0.985128,-0.1631038
827.758,0.09222343,0.06485832,1.060143,5.821254E-05,0.9851288,-0.1630998
827.7707,0.09222312,0.06485856,1.060143,4.849043E-05,0.9851291,-0.1631001
827.7863,0.09222324,0.06485856,1.060143,4.882571E-05,0.9851289,-0.1630994
827.8015,0.09222327,0.06485832,1.060143,4.972816E-05,0.9851294,-0.1630972
827.8159,0.09222326,0.06485832,1.060143,4.93845E-05,0.9851286,-0.1631034
827.83,0.09222303,0.06485868,1.060143,4.443357E-05,0.9851285,-0.1631025
827.8456,0.09222345,0.06485832,1.060143,5.621671E-05,0.9851293,-0.1630977
827.8615,0.09222347,0.06485844,1.060143,5.169978E-05,0.9851294,-0.1630972
827.8763,0.09222374,0.06485808,1.060143,6.307662E-05,0.9851289,-0.163098
827.8892,0.09222358,0.06485832,1.060143,5.546607E-05,0.9851287,-0.1630992
827.9045,0.0922238,0.06485784,1.060143,6.659168E-05,0.9851283,-0.1631011
827.9192,0.09222383,0.06485784,1.060143,6.780333E-05,0.985128,-0.1631025
827.9333,0.09222382,0.06485796,1.060143,6.719332E-05,0.9851283,-0.1631022
827.9487,0.0922238,0.06485808,1.060143,6.560634E-05,0.9851283,-0.163103
827.9637,0.09222381,0.06485796,1.060143,6.4309E-05,0.9851288,-0.1631003
827.9784,0.09222388,0.06485772,1.060143,6.881942E-05,0.9851287,-0.1631001
827.9926,0.09222389,0.06485772,1.060143,6.908392E-05,0.9851287,-0.1631001
828.0079,0.09222412,0.0648576,1.060143,7.726748E-05,0.9851287,-0.1630987
828.0228,0.09222448,0.06485713,1.060144,9.55764E-05,0.9851273,-0.1631043
828.0374,0.09222475,0.06485665,1.060144,0.0001087593,0.9851278,-0.1631027
828.0518,0.09225893,0.06486213,1.060242,0.0006744198,0.9849348,-0.1639906
828.0674,0.09238634,0.0648675,1.060301,0.0007865971,0.9849316,-0.1639885
828.082,0.09249976,0.06487405,1.060366,0.000847782,0.9849352,-0.1639601
828.0988,0.09255069,0.06489062,1.060432,0.0008718995,0.9849474,-0.1638876
828.1129,0.09253113,0.06490481,1.060481,0.0008473568,0.9849567,-0.1638345
828.1266,0.09249917,0.06491315,1.060537,0.0008087365,0.9849685,-0.163771
828.1411,0.09247671,0.06491446,1.060578,0.0007910918,0.9849759,-0.1637327
828.1558,0.09245636,0.06492078,1.060622,0.0008130869,0.9849899,-0.1636591
828.1697,0.09243493,0.06493545,1.060654,0.0009126196,0.9849982,-0.1636115
828.1852,0.09241625,0.06495023,1.060692,0.001077027,0.9850076,-0.1635607
828.2,0.09241463,0.06496119,1.06072,0.00121807,0.9850107,-0.1635381
828.2154,0.09241758,0.06497443,1.060751,0.001374567,0.9850122,-0.1635208
828.2299,0.0924237,0.06498921,1.060781,0.001545324,0.9850223,-0.1634579
828.2448,0.09243418,0.06500649,1.060816,0.001710682,0.9850286,-0.1634254
828.2592,0.09246328,0.06500673,1.060754,0.00163551,0.9850235,-0.1634532
828.2734,0.09246334,0.06500673,1.060755,0.001643594,0.9850239,-0.1634485
828.2888,0.09246291,0.06500673,1.060755,0.001639157,0.985026,-0.1634383
