Time, Position (X), Position (Y), Position (Z), Rotation (X), Rotation (Y), Rotation (Z)
398.1204,0.2612397,1.119028,1.707864,0.745739,-0.3043449,0.5306663
398.1359,0.2612397,1.119028,1.707863,0.7457411,-0.3043441,0.5306644
398.1513,0.2612396,1.119028,1.707864,0.7457414,-0.3043438,0.5306641
398.1651,0.2612398,1.119028,1.707864,0.7457398,-0.3043453,0.5306659
398.1795,0.2612397,1.119028,1.707864,0.7457405,-0.3043443,0.5306649
398.1935,0.2612397,1.119028,1.707863,0.7457406,-0.3043442,0.5306645
398.2089,0.2612397,1.119028,1.707864,0.7457398,-0.304344,0.5306654
398.2236,0.2612397,1.119028,1.707864,0.7457409,-0.3043459,0.5306641
398.2386,0.2612397,1.119028,1.707864,0.745741,-0.3043438,0.5306644
398.2526,0.2612396,1.119028,1.707863,0.7457407,-0.3043446,0.5306635
398.2682,0.2612396,1.119028,1.707864,0.7457413,-0.3043439,0.5306641
398.2832,0.2612397,1.119028,1.707864,0.7457407,-0.304345,0.5306643
398.298,0.2612397,1.119028,1.707864,0.7457401,-0.3043448,0.5306649
398.3119,0.2612397,1.119028,1.707864,0.7457399,-0.3043451,0.5306655
398.3274,0.2612397,1.119028,1.707864,0.7457404,-0.3043435,0.5306653
398.342,0.2612397,1.119028,1.707864,0.7457411,-0.3043435,0.5306644
398.3571,0.2612397,1.119028,1.707863,0.7457411,-0.3043441,0.5306644
398.3712,0.2612397,1.119028,1.707864,0.7457399,-0.3043433,0.5306652
398.3877,0.2612397,1.119028,1.707864,0.7457392,-0.304346,0.5306651
398.4015,0.2612397,1.119028,1.707864,0.7457404,-0.3043456,0.5306649
398.4163,0.2612397,1.119028,1.707864,0.7457401,-0.3043433,0.5306652
398.4303,0.2612397,1.119028,1.707864,0.745741,-0.3043444,0.5306643
398.4458,0.2612397,1.119028,1.707864,0.7457394,-0.3043458,0.530665
398.4604,0.2612397,1.119028,1.707864,0.7457387,-0.3043436,0.5306669
398.4752,0.2612397,1.119028,1.707864,0.7457406,-0.3043443,0.5306649
398.491,0.2612396,1.119028,1.707864,0.7457412,-0.3043447,0.5306639
398.505,0.2612397,1.119028,1.707864,0.7457401,-0.3043435,0.5306662
398.5198,0.2612397,1.119028,1.707864,0.7457414,-0.3043466,0.5306633
398.5341,0.2612397,1.119028,1.707864,0.7457408,-0.3043438,0.5306643
398.5499,0.2612397,1.119028,1.707864,0.7457407,-0.304343,0.530665
398.5649,0.2612397,1.119028,1.707864,0.745741,-0.3043435,0.5306647
398.58,0.2612397,1.119028,1.707864,0.74574,-0.3043433,0.5306652
398.5936,0.2612397,1.119028,1.707863,0.7457409,-0.3043438,0.5306644
398.6101,0.2612397,1.119028,1.707863,0.745741,-0.3043445,0.5306643
398.6242,0.2612397,1.119028,1.707864,0.7457402,-0.3043435,0.5306656
398.6391,0.2612398,1.119028,1.707863,0.745739,-0.3043448,0.5306661
398.653,0.2612397,1.119028,1.707864,0.7457409,-0.3043461,0.5306641
398.6682,0.2612397,1.119028,1.707864,0.7457411,-0.3043435,0.5306647
398.6832,0.2612396,1.119028,1.707864,0.7457413,-0.3043439,0.5306641
398.698,0.2612397,1.119028,1.707864,0.7457414,-0.3043438,0.5306641
398.7119,0.2612397,1.119028,1.707864,0.7457399,-0.304344,0.5306654
398.7273,0.2612396,1.119028,1.707864,0.7457413,-0.3043439,0.5306641
398.7421,0.2612397,1.119028,1.707864,0.7457403,-0.3043435,0.5306653
398.7569,0.2612397,1.119028,1.707864,0.7457392,-0.3043449,0.5306668
398.771,0.2612397,1.119028,1.707863,0.7457405,-0.304343,0.530665
398.7864,0.2612397,1.119028,1.707864,0.745741,-0.3043438,0.5306644
398.8012,0.2612397,1.119028,1.707864,0.7457405,-0.3043444,0.530665
398.8162,0.2612397,1.119028,1.707864,0.7457405,-0.3043444,0.530665
398.8301,0.2612396,1.119028,1.707864,0.7457411,-0.304344,0.5306638
398.8477,0.2612398,1.119028,1.707864,0.7457397,-0.3043453,0.5306659
398.8611,0.2612397,1.119028,1.707864,0.745741,-0.3043445,0.5306643
398.8783,0.2612397,1.119028,1.707863,0.7457409,-0.3043438,0.5306644
398.889,0.2612396,1.119028,1.707864,0.7457415,-0.3043438,0.5306635
398.9045,0.2612397,1.119028,1.707864,0.7457398,-0.3043453,0.5306658
398.9191,0.2612397,1.119028,1.707864,0.7457405,-0.3043429,0.5306652
398.9332,0.2612397,1.119028,1.707864,0.745741,-0.3043444,0.5306643
398.9486,0.2612397,1.119028,1.707864,0.7457407,-0.304345,0.5306643
398.9646,0.2612397,1.119028,1.707864,0.7457398,-0.3043441,0.530666
398.9782,0.2612396,1.119028,1.707864,0.7457413,-0.3043439,0.5306641
398.9922,0.2612397,1.119028,1.707864,0.7457407,-0.304345,0.5306643
399.0078,0.2612397,1.119028,1.707864,0.745741,-0.3043443,0.530664
399.0228,0.2612398,1.119028,1.707863,0.7457383,-0.3043444,0.5306674
399.0377,0.2612397,1.119028,1.707864,0.7457401,-0.3043461,0.5306647
399.0518,0.2612397,1.119028,1.707864,0.7457404,-0.3043443,0.530665
399.0671,0.2612396,1.119028,1.707863,0.745741,-0.3043434,0.5306643
399.082,0.2612397,1.119028,1.707864,0.7457405,-0.3043442,0.5306646
399.098,0.2612397,1.119028,1.707863,0.7457404,-0.3043429,0.5306658
399.1119,0.2612397,1.119028,1.707864,0.745741,-0.3043444,0.530664
399.1262,0.2612397,1.119028,1.707864,0.745741,-0.3043444,0.5306643
399.1408,0.2612397,1.119028,1.707863,0.7457409,-0.3043438,0.5306644
399.1556,0.2612397,1.119028,1.707864,0.7457398,-0.3043408,0.5306664
399.1696,0.2612397,1.119028,1.707864,0.745741,-0.3043443,0.530664
399.1852,0.2612397,1.119028,1.707864,0.7457407,-0.304345,0.5306643
399.1999,0.2612396,1.119028,1.707863,0.7457415,-0.3043439,0.5306638
399.2141,0.2612397,1.119028,1.707864,0.7457397,-0.3043421,0.5306665
399.2296,0.2612397,1.119028,1.707864,0.745741,-0.3043444,0.5306643
399.2444,0.2612397,1.119028,1.707864,0.7457405,-0.3043466,0.530664
399.259,0.2612397,1.119028,1.707864,0.7457405,-0.3043453,0.5306648
399.2735,0.2612396,1.119028,1.707864,0.7457412,-0.3043447,0.5306638
399.2887,0.2612396,1.119028,1.707864,0.7457413,-0.304343,0.5306646
399.3036,0.2612397,1.119028,1.707864,0.7457404,-0.3043428,0.5306653
399.3182,0.2612397,1.119028,1.707863,0.745741,-0.3043445,0.5306643
399.3345,0.2612397,1.119028,1.707863,0.7457411,-0.3043441,0.5306644
399.3489,0.2612396,1.119028,1.707864,0.7457412,-0.3043439,0.530664
399.3623,0.2612398,1.119028,1.707863,0.745739,-0.3043448,0.5306661
399.3771,0.2612397,1.119028,1.707863,0.7457404,-0.3043428,0.5306652
399.391,0.2612397,1.119028,1.707864,0.7457405,-0.3043443,0.5306649
399.4063,0.2612397,1.119028,1.707864,0.7457408,-0.3043439,0.5306652
399.4222,0.2612397,1.119028,1.707864,0.7457408,-0.3043439,0.530665
399.4359,0.2612397,1.119028,1.707864,0.7457393,-0.3043447,0.530666
399.4499,0.2612396,1.119028,1.707864,0.7457411,-0.3043435,0.5306643
399.4656,0.2612397,1.119028,1.707864,0.7457411,-0.3043441,0.5306644
399.4804,0.2612397,1.119028,1.707864,0.7457408,-0.3043449,0.530665
399.4951,0.2612396,1.119028,1.707864,0.7457406,-0.3043441,0.5306644
399.5092,0.2612397,1.119028,1.707864,0.7457408,-0.3043439,0.530665
399.5246,0.2612397,1.119028,1.707864,0.74574,-0.304344,0.5306653
399.5395,0.2612396,1.119028,1.707863,0.7457409,-0.3043438,0.5306644
399.5535,0.2612396,1.119028,1.707863,0.7457409,-0.3043444,0.530664
399.5691,0.2612396,1.119028,1.707864,0.7457414,-0.3043438,0.5306641
399.5848,0.2612396,1.119028,1.707864,0.7457414,-0.3043438,0.5306641
399.5986,0.2612397,1.119028,1.707864,0.7457404,-0.3043453,0.5306638
399.6128,0.2612396,1.119028,1.707863,0.7457411,-0.3043435,0.5306643
399.6279,0.2612397,1.119028,1.707864,0.7457405,-0.3043443,0.5306649
399.6427,0.2612396,1.119028,1.707864,0.7457411,-0.304344,0.5306638
399.6575,0.2612397,1.119028,1.707864,0.7457407,-0.3043439,0.5306651
399.6714,0.2612397,1.119028,1.707864,0.745741,-0.3043438,0.5306644
399.687,0.2612397,1.119028,1.707864,0.7457398,-0.3043441,0.530666
399.7016,0.2612397,1.119028,1.707864,0.745741,-0.3043458,0.5306641
399.7167,0.2612396,1.119028,1.707864,0.7457415,-0.3043444,0.530664
399.7307,0.2612396,1.119028,1.707864,0.7457414,-0.3043441,0.5306638
399.7463,0.2612397,1.119028,1.707864,0.7457408,-0.3043438,0.5306643
399.761,0.2612397,1.119028,1.707864,0.7457408,-0.3043438,0.5306643
399.776,0.2612397,1.119028,1.707864,0.74574,-0.304345,0.5306651
399.7899,0.2612397,1.119028,1.707864,0.7457409,-0.3043457,0.5306636
399.8054,0.2612397,1.119028,1.707863,0.7457409,-0.3043438,0.5306644
399.8223,0.2612397,1.119028,1.707864,0.7457402,-0.3043435,0.5306656
399.8361,0.2612396,1.119028,1.707864,0.7457412,-0.3043439,0.530664
399.8493,0.2612397,1.119028,1.707864,0.7457405,-0.3043443,0.530665
399.8647,0.2612396,1.119028,1.707863,0.7457412,-0.3043465,0.5306627
399.8792,0.2612397,1.119028,1.707864,0.7457405,-0.3043443,0.5306649
399.8947,0.2612397,1.119028,1.707864,0.7457399,-0.304344,0.5306655
399.9091,0.2612397,1.119028,1.707863,0.7457406,-0.3043442,0.5306645
399.9235,0.2612396,1.119028,1.707864,0.7457407,-0.3043445,0.5306635
399.9384,0.2612397,1.119028,1.707864,0.7457399,-0.3043452,0.5306656
399.9526,0.2612397,1.119028,1.707864,0.7457401,-0.3043448,0.5306649
399.9679,0.2612397,1.119028,1.707864,0.745741,-0.3043434,0.5306655
399.9831,0.2612397,1.119028,1.707864,0.7457406,-0.3043441,0.5306644
399.998,0.2612397,1.119028,1.707864,0.7457414,-0.3043441,0.5306638
400.0119,0.2612397,1.119028,1.707864,0.7457399,-0.304345,0.5306651
400.0276,0.2612397,1.119028,1.707863,0.7457409,-0.3043438,0.5306644
400.0421,0.2612398,1.119028,1.707864,0.7457396,-0.3043441,0.5306662
400.058,0.2612397,1.119028,1.707864,0.7457405,-0.3043428,0.5306653
400.0721,0.2612397,1.119028,1.707864,0.74574,-0.304345,0.530665
400.0867,0.2612397,1.119028,1.707864,0.7457405,-0.3043429,0.5306658
400.1014,0.2612397,1.119028,1.707864,0.745741,-0.3043445,0.5306643
400.116,0.2612397,1.119028,1.707864,0.7457401,-0.3043433,0.5306652
400.1302,0.2612397,1.119028,1.707864,0.745741,-0.3043444,0.5306643
400.1456,0.2612397,1.119028,1.707864,0.745741,-0.3043443,0.530664
400.1602,0.2612397,1.119028,1.707864,0.745741,-0.3043444,0.5306643
400.1751,0.2612397,1.119028,1.707864,0.7457406,-0.3043443,0.5306649
400.1891,0.2612397,1.119028,1.707864,0.7457407,-0.3043443,0.5306649
400.2049,0.2612397,1.119028,1.707864,0.7457407,-0.3043443,0.5306649
400.2195,0.2612396,1.119028,1.707864,0.7457413,-0.3043439,0.5306641
400.2337,0.2612396,1.119028,1.707864,0.7457409,-0.3043438,0.5306643
400.2492,0.2612398,1.119028,1.707864,0.745739,-0.3043463,0.5306659
400.2644,0.2612397,1.119028,1.707864,0.7457404,-0.3043443,0.530665
400.279,0.2612396,1.119028,1.707864,0.7457412,-0.3043439,0.530664
400.2949,0.2612398,1.119028,1.707864,0.7457398,-0.3043453,0.5306659
400.3093,0.2612397,1.119028,1.707864,0.7457397,-0.3043441,0.5306662
400.3231,0.2612397,1.119028,1.707863,0.7457409,-0.3043438,0.5306644
400.3377,0.2612397,1.119028,1.707863,0.7457406,-0.3043451,0.5306643
400.3519,0.2612397,1.119028,1.707864,0.745741,-0.3043444,0.530664
400.3683,0.2612397,1.119028,1.707864,0.7457405,-0.3043443,0.5306649
400.3821,0.2612396,1.119028,1.707864,0.7457408,-0.3043446,0.5306635
400.397,0.2612396,1.119028,1.707864,0.7457412,-0.3043428,0.5306642
400.411,0.2612398,1.119028,1.707863,0.7457393,-0.3043447,0.530666
400.4267,0.2612397,1.119028,1.707864,0.7457407,-0.3043443,0.5306649
400.4413,0.2612396,1.119028,1.707864,0.7457414,-0.3043441,0.5306638
400.4563,0.2612397,1.119028,1.707864,0.7457401,-0.3043461,0.5306647
400.4702,0.2612397,1.119028,1.707864,0.7457411,-0.3043435,0.5306643
400.4859,0.2612397,1.119028,1.707864,0.74574,-0.3043451,0.5306655
400.5006,0.2612397,1.119028,1.707864,0.7457415,-0.3043421,0.5306644
400.5156,0.2612396,1.119028,1.707864,0.7457413,-0.304343,0.5306645
400.5294,0.2612397,1.119028,1.707864,0.7457396,-0.3043441,0.5306663
400.546,0.2612397,1.119028,1.707864,0.7457392,-0.304346,0.5306651
400.5598,0.2612396,1.119028,1.707864,0.7457414,-0.3043438,0.5306641
400.5739,0.2612397,1.119028,1.707864,0.7457401,-0.3043435,0.5306665
400.5891,0.2612397,1.119028,1.707864,0.7457398,-0.304345,0.5306645
400.6037,0.2612397,1.119028,1.707863,0.7457409,-0.3043438,0.5306644
400.6185,0.2612397,1.119028,1.707864,0.7457399,-0.3043462,0.5306642
400.6326,0.2612397,1.119028,1.707864,0.7457401,-0.3043449,0.5306649
400.6483,0.2612397,1.119028,1.707864,0.74574,-0.3043449,0.5306646
400.6629,0.2612396,1.119028,1.707864,0.7457411,-0.3043435,0.5306643
400.6779,0.2612397,1.119028,1.707864,0.7457408,-0.3043449,0.530665
400.6918,0.2612397,1.119028,1.707864,0.7457409,-0.3043458,0.5306641
400.7075,0.2612397,1.119028,1.707864,0.7457389,-0.3043436,0.5306667
400.7222,0.2612397,1.119028,1.707864,0.7457393,-0.3043446,0.5306654
400.7369,0.2612396,1.119028,1.707863,0.7457407,-0.3043437,0.5306643
400.7513,0.2612396,1.119028,1.707864,0.7457412,-0.3043448,0.5306635
400.7667,0.2612398,1.119028,1.707864,0.7457398,-0.3043453,0.5306659
400.7824,0.2612397,1.119028,1.707864,0.74574,-0.304345,0.530665
400.7964,0.2612396,1.119028,1.707863,0.7457409,-0.3043438,0.5306644
400.8118,0.2612396,1.119028,1.707864,0.7457412,-0.3043439,0.530664
400.8254,0.2612397,1.119028,1.707864,0.7457404,-0.304347,0.5306639
400.8412,0.2612396,1.119028,1.707863,0.7457409,-0.3043438,0.5306644
400.8549,0.2612396,1.119028,1.707864,0.7457411,-0.3043435,0.5306643
400.869,0.2612397,1.119028,1.707864,0.7457407,-0.304345,0.5306643
400.8844,0.2612396,1.119028,1.707864,0.7457407,-0.3043442,0.5306645
400.8994,0.2612397,1.119028,1.707864,0.7457407,-0.3043442,0.5306645
400.9136,0.2612397,1.119028,1.707864,0.7457399,-0.3043441,0.5306659
400.9291,0.2612397,1.119028,1.707864,0.7457392,-0.3043429,0.5306678
400.9443,0.2612397,1.119028,1.707864,0.745741,-0.3043457,0.5306641
400.9586,0.2612397,1.119028,1.707864,0.7457407,-0.3043443,0.5306649
400.9731,0.2612397,1.119028,1.707864,0.7457411,-0.3043435,0.5306644
400.9884,0.2612396,1.119028,1.707864,0.7457413,-0.304343,0.5306645
401.0033,0.2612397,1.119028,1.707864,0.7457404,-0.3043443,0.530665
401.0195,0.2612397,1.119028,1.707863,0.7457405,-0.3043429,0.5306658
401.0331,0.2612397,1.119028,1.707864,0.74574,-0.3043433,0.5306652
401.0477,0.2612397,1.119028,1.707864,0.7457401,-0.304345,0.530665
401.0623,0.2612397,1.119028,1.707864,0.7457407,-0.3043439,0.5306651
401.0769,0.2612396,1.119028,1.707864,0.7457413,-0.3043439,0.5306641
401.0909,0.2612397,1.119028,1.707864,0.7457408,-0.3043438,0.5306642
401.1066,0.2612396,1.119028,1.707864,0.7457413,-0.3043431,0.5306645
401.1213,0.2612397,1.119028,1.707864,0.745741,-0.3043438,0.5306644
401.1361,0.2612397,1.119028,1.707864,0.7457407,-0.3043443,0.5306649
401.1503,0.2612398,1.119028,1.707864,0.7457395,-0.3043459,0.5306656
401.1661,0.2612397,1.119028,1.707864,0.7457411,-0.3043435,0.5306643
401.1808,0.2612396,1.119028,1.707864,0.7457413,-0.3043439,0.5306641
401.1956,0.2612397,1.119028,1.707863,0.745741,-0.3043444,0.5306643
401.2097,0.2612397,1.119028,1.707864,0.7457402,-0.3043435,0.5306656
401.2252,0.2612397,1.119028,1.707864,0.7457405,-0.3043443,0.5306646
401.2399,0.2612397,1.119028,1.707864,0.7457392,-0.304346,0.5306651
401.2561,0.2612397,1.119028,1.707864,0.7457398,-0.3043465,0.5306647
401.2695,0.2612396,1.119028,1.707863,0.7457409,-0.3043438,0.5306644
401.2844,0.2612397,1.119028,1.707864,0.7457398,-0.304344,0.5306655
401.299,0.2612397,1.119028,1.707864,0.7457406,-0.3043442,0.5306646
401.3132,0.2612397,1.119028,1.707864,0.7457405,-0.3043443,0.5306649
401.3287,0.2612396,1.119028,1.707863,0.7457409,-0.3043438,0.5306644
401.3437,0.2612398,1.119028,1.707864,0.7457398,-0.3043441,0.5306661
401.3585,0.2612397,1.119028,1.707864,0.7457399,-0.304344,0.5306654
401.3726,0.2612397,1.119028,1.707863,0.7457409,-0.3043454,0.5306636
401.3883,0.2612397,1.119028,1.707864,0.745741,-0.3043438,0.5306644
401.4033,0.2612397,1.119028,1.707864,0.7457407,-0.3043443,0.5306649
401.418,0.2612397,1.119028,1.707864,0.7457399,-0.3043441,0.5306658
401.4325,0.2612396,1.119028,1.707864,0.7457412,-0.3043439,0.530664
401.4479,0.2612397,1.119028,1.707864,0.7457405,-0.3043428,0.5306653
401.4627,0.2612397,1.119028,1.707864,0.7457405,-0.3043442,0.5306646
401.4785,0.2612397,1.119028,1.707864,0.7457408,-0.3043439,0.5306652
401.4925,0.2612397,1.119028,1.707864,0.745741,-0.3043445,0.5306643
401.507,0.2612397,1.119028,1.707864,0.7457421,-0.3043443,0.530663
401.5217,0.2612396,1.119028,1.707864,0.7457411,-0.304344,0.5306638
401.5364,0.2612397,1.119028,1.707864,0.745741,-0.3043444,0.530664
401.5506,0.2612397,1.119028,1.707864,0.7457405,-0.3043443,0.5306649
401.5661,0.2612397,1.119028,1.707864,0.7457406,-0.3043443,0.5306649
401.581,0.2612396,1.119028,1.707863,0.7457407,-0.3043446,0.5306635
401.5958,0.2612397,1.119028,1.707863,0.7457403,-0.3043446,0.5306658
