Time, Position (X), Position (Y), Position (Z), Rotation (X), Rotation (Y), Rotation (Z)
409.2653,0.1406725,1.53528,2.21551,0.01373498,0.9980454,-0.05923383
409.2799,0.1406883,1.535289,2.215566,0.01376433,0.9980459,-0.05921083
409.2931,0.1407184,1.535303,2.215611,0.0137789,0.9980528,-0.05910515
409.3087,0.1407508,1.535323,2.215666,0.01390274,0.9980561,-0.05902688
409.3236,0.1407923,1.535367,2.215723,0.01399805,0.9980527,-0.05907325
409.3384,0.1408342,1.535385,2.215779,0.01412735,0.9980568,-0.05897844
409.3526,0.1408792,1.53541,2.215832,0.01424449,0.998063,-0.0588486
409.368,0.1409217,1.535436,2.215889,0.01444345,0.9980671,-0.05873141
409.383,0.1409724,1.535466,2.215948,0.01460018,0.9980792,-0.05846271
409.3981,0.1410761,1.535508,2.216053,0.01481208,0.9980897,-0.05822195
409.4117,0.1411188,1.535529,2.216133,0.01491313,0.9980881,-0.05819142
409.4271,0.1411706,1.535546,2.216217,0.01502704,0.9980917,-0.05810213
409.4427,0.1412064,1.535557,2.216304,0.01508416,0.9981019,-0.05790971
409.4566,0.1412487,1.53559,2.216409,0.01519365,0.9981028,-0.05782423
409.4705,0.1412753,1.535635,2.216516,0.01539962,0.9981064,-0.05769723
409.486,0.1413042,1.5357,2.216632,0.01549859,0.9981103,-0.05757936
409.5023,0.1413552,1.535772,2.21674,0.01547378,0.9981347,-0.05717876
409.5156,0.1413694,1.535863,2.216868,0.01530583,0.998158,-0.05681924
409.5295,0.1413779,1.53593,2.217,0.01534319,0.9981712,-0.05664176
409.5451,0.1413667,1.535975,2.21718,0.01553707,0.9981821,-0.05650287
409.5597,0.1413547,1.535996,2.217364,0.01566166,0.9981982,-0.05631685
409.574,0.1413283,1.536013,2.217553,0.01582102,0.9982154,-0.05612355
409.5893,0.1413117,1.536017,2.21774,0.01625276,0.9982265,-0.05594474
409.6041,0.1413022,1.53602,2.217967,0.01669975,0.9982185,-0.05605751
409.6187,0.1413259,1.536008,2.218209,0.01691182,0.9982216,-0.05603835
409.6329,0.1413971,1.536,2.21868,0.01724824,0.9982263,-0.0559928
409.6487,0.1414718,1.535988,2.218987,0.01735799,0.9982308,-0.05591318
409.6633,0.1415549,1.536001,2.219318,0.01756001,0.9982404,-0.05569234
409.68,0.1416445,1.536043,2.219625,0.01802875,0.9982526,-0.05532441
409.6935,0.1417604,1.536107,2.219975,0.01884682,0.998265,-0.05480269
409.7077,0.1419208,1.536147,2.220257,0.01907504,0.9982873,-0.05430228
409.7222,0.1420565,1.536241,2.22051,0.01902402,0.998316,-0.05375251
409.7372,0.1421833,1.536394,2.220835,0.01936046,0.998331,-0.05330586
409.751,0.142199,1.536384,2.221181,0.01979155,0.9983476,-0.05274866
409.7667,0.1423451,1.536343,2.221468,0.01990706,0.9983541,-0.05256853
409.7814,0.1425037,1.536473,2.221825,0.02026228,0.9983351,-0.05278967
409.7964,0.1425678,1.536612,2.22212,0.02081908,0.9983326,-0.05260466
409.8104,0.1426405,1.536759,2.222418,0.02140969,0.9983556,-0.05192194
409.8258,0.1427095,1.536811,2.222667,0.02196669,0.9983899,-0.05102278
409.8407,0.1428444,1.536961,2.222979,0.0224473,0.9984115,-0.0503973
409.8553,0.1429335,1.537067,2.223304,0.02279149,0.9984309,-0.04981137
409.8696,0.1430309,1.537232,2.223603,0.02313647,0.9984471,-0.04926745
409.8852,0.1432796,1.537501,2.224194,0.02369863,0.9984831,-0.04815653
409.8997,0.1433677,1.537564,2.224435,0.02417881,0.9985023,-0.04740645
409.9139,0.1434952,1.537658,2.224652,0.02440632,0.9985268,-0.04662828
409.9301,0.1436583,1.537859,2.224896,0.02467402,0.9985414,-0.0460056
