Time, Position (X), Position (Y), Position (Z), Rotation (X), Rotation (Y), Rotation (Z)
435.8318,0.4276142,0.425719,2.163473,0.2086057,0.8217859,-0.4475029
435.8471,0.4274124,0.425542,2.163454,0.2082202,0.8217515,-0.4479348
435.8615,0.4271677,0.4253273,2.163449,0.20779,0.8217808,-0.4484014
435.8766,0.4269411,0.4251337,2.163443,0.2074228,0.82171,-0.448966
435.8907,0.4267593,0.4249768,2.16345,0.207189,0.821679,-0.4493546
435.9062,0.4266015,0.4248477,2.16344,0.2071045,0.821577,-0.4497382
435.9208,0.4264105,0.4247036,2.163427,0.207037,0.821392,-0.4502735
435.9357,0.4263036,0.4246451,2.163398,0.2070099,0.8213156,-0.4505334
435.9496,0.426223,0.4245868,2.16337,0.2069796,0.8213491,-0.4505499
435.9661,0.4261389,0.4245348,2.16332,0.2068727,0.821448,-0.4504998
435.9797,0.426015,0.4244653,2.163189,0.2067097,0.8218459,-0.4501353
435.9939,0.4259084,0.4243927,2.163039,0.2065029,0.8224376,-0.4495356
436.0097,0.4258713,0.4243577,2.162963,0.2061789,0.8225633,-0.4494214
436.0239,0.4258362,0.4243207,2.162909,0.2061764,0.8224764,-0.4495149
436.0388,0.4256901,0.4241551,2.162739,0.207368,0.8221256,-0.4498711
436.0529,0.4256537,0.4240818,2.162565,0.2084583,0.8218548,-0.4503465
436.0688,0.4256432,0.4241489,2.162594,0.2078219,0.8219811,-0.4500635
436.083,0.4255198,0.4241809,2.16243,0.207384,0.8221472,-0.4497865
436.0981,0.4253109,0.4241309,2.162237,0.2081167,0.8221025,-0.450005
436.1122,0.4251508,0.4241104,2.161997,0.2089731,0.8220422,-0.4504533
436.1275,0.4251255,0.4241837,2.162035,0.2086475,0.8220013,-0.4503047
436.1422,0.4249905,0.4242125,2.161927,0.2082935,0.8220099,-0.4503069
436.1571,0.4247723,0.4242235,2.161761,0.207958,0.822051,-0.4504553
436.1711,0.4245231,0.4242082,2.161577,0.2080701,0.8220894,-0.4507273
436.1881,0.424336,0.4241802,2.161443,0.2084717,0.8220811,-0.4509929
436.2034,0.4242502,0.4241681,2.161376,0.2087402,0.8220344,-0.4511292
436.2172,0.4242064,0.4241791,2.161356,0.2085704,0.8220445,-0.45107
436.2301,0.4241138,0.4241865,2.161276,0.2083384,0.8220943,-0.4510505
436.2453,0.4240489,0.424203,2.161189,0.2082421,0.8221169,-0.4510736
436.2601,0.4239778,0.424229,2.161082,0.2083195,0.8221292,-0.4510995
436.2751,0.4239169,0.4242424,2.160969,0.2086034,0.822123,-0.4511114
436.2891,0.4238802,0.4242504,2.160865,0.2089226,0.8220824,-0.4511109
436.3046,0.4238673,0.4242506,2.16079,0.2090003,0.8220875,-0.4510657
436.3195,0.4238641,0.4242518,2.160717,0.2090018,0.8220739,-0.4510476
436.3336,0.4238746,0.424251,2.160602,0.2089383,0.8219929,-0.4510626
436.349,0.4238823,0.4242448,2.160511,0.208997,0.8219147,-0.4510688
436.3638,0.4238812,0.4242339,2.160397,0.2091419,0.8218592,-0.4511117
436.3786,0.4238686,0.4242378,2.16028,0.2092535,0.8218395,-0.4511261
436.3928,0.4238534,0.4242433,2.16018,0.209264,0.8218479,-0.451138
436.4085,0.4238147,0.4242641,2.160064,0.2091995,0.8218792,-0.4511088
436.4231,0.4237696,0.4242789,2.159976,0.2091129,0.8218933,-0.4511227
436.4379,0.4237152,0.424281,2.159897,0.2091273,0.8218893,-0.4511799
436.4539,0.4236384,0.4242543,2.159792,0.209338,0.8218232,-0.4513874
436.4672,0.4236021,0.424233,2.159734,0.2094618,0.8217511,-0.451523
436.4823,0.4235817,0.4242173,2.159689,0.2093678,0.8216827,-0.4516284
436.4967,0.4235941,0.4242073,2.159629,0.2091534,0.8216119,-0.4517144
436.5107,0.4236436,0.4242219,2.159559,0.2089229,0.8216276,-0.4516563
436.5262,0.4237192,0.4242592,2.159466,0.2087584,0.8217154,-0.4514742
436.5408,0.4238387,0.4243393,2.159324,0.2085442,0.8219778,-0.451008
436.5556,0.4239973,0.4244685,2.159152,0.2080692,0.8223694,-0.4503793
436.57,0.4241257,0.4245707,2.159031,0.2077315,0.8225687,-0.4499927
436.5855,0.4242262,0.4246527,2.158944,0.207639,0.8226165,-0.4497867
436.6001,0.4243138,0.4247476,2.158858,0.2076275,0.8226501,-0.44956
436.6147,0.4243837,0.4248291,2.158776,0.207781,0.8226815,-0.449363
436.629,0.4244373,0.4249163,2.158687,0.2079151,0.8227805,-0.4491677
436.6445,0.4244704,0.4250209,2.158582,0.207997,0.8229037,-0.4489852
436.6591,0.4244888,0.4250888,2.158506,0.2080381,0.8229918,-0.4488855
436.6733,0.4245012,0.4251263,2.158459,0.2080905,0.822995,-0.4488753
436.6899,0.4245237,0.4251499,2.158409,0.2082344,0.8229115,-0.4489416
436.7047,0.4245587,0.4251329,2.15836,0.2085405,0.8227409,-0.4490547
436.7182,0.4246067,0.4250629,2.158299,0.2089316,0.8225718,-0.4492084
