Time, Position (X), Position (Y), Position (Z), Rotation (X), Rotation (Y), Rotation (Z)
1150.673,0.3063895,0.9102755,2.306245,0.0003756983,0.9972304,-0.06891538
1150.688,0.3063875,0.9103103,2.306338,0.0003993047,0.9972503,-0.06868798
1150.703,0.3063859,0.9103527,2.306434,0.0002964602,0.9972624,-0.06855267
1150.718,0.3064078,0.9103911,2.306513,0.0002609022,0.9972785,-0.0683258
1150.732,0.3064384,0.9104167,2.306581,-0.0001069806,0.9972841,-0.06820817
1150.747,0.3064911,0.9104283,2.306729,-0.0005418615,0.9972833,-0.06811368
1150.762,0.3065683,0.9103705,2.306798,-0.0009920304,0.9972477,-0.06847894
1150.777,0.3066925,0.9103217,2.306905,-0.001495595,0.9971969,-0.06910957
1150.793,0.3068247,0.9102414,2.307012,-0.001598323,0.9971367,-0.0698254
1150.807,0.3069047,0.9101392,2.307084,-0.001798164,0.9970881,-0.0703948
1150.821,0.3069854,0.910074,2.307142,-0.001883434,0.9970335,-0.0710036
1150.836,0.3070849,0.9100605,2.307187,-0.001784713,0.9970217,-0.07104332
1150.85,0.3071731,0.9100199,2.307219,-0.001187742,0.9970014,-0.07112373
1150.865,0.3072709,0.9099518,2.307257,-0.0007579025,0.9969847,-0.07112389
1150.88,0.3073841,0.9099159,2.307308,-0.0003122261,0.9969284,-0.07161231
1150.894,0.3075147,0.9099036,2.307353,0.000225056,0.9968938,-0.07184393
1150.909,0.3076531,0.9098428,2.307435,0.0006635432,0.9968733,-0.07184941
1150.924,0.3078047,0.9097879,2.307518,0.00110479,0.9968252,-0.07226651
1150.939,0.3079407,0.909743,2.30757,0.002015668,0.9967749,-0.07269834
1150.953,0.3080544,0.9097247,2.307609,0.00289587,0.9967244,-0.07312395
1150.968,0.3081495,0.9096923,2.307637,0.003654058,0.9966964,-0.07333805
1150.983,0.3082368,0.9096662,2.307657,0.004244872,0.996675,-0.07361618
1150.998,0.3083839,0.9096444,2.307666,0.005498019,0.9966688,-0.07356297
1151.012,0.3084122,0.9096844,2.307588,0.005981746,0.9967135,-0.0730779
1151.027,0.3084224,0.9097267,2.307518,0.006385554,0.9967218,-0.07309388
1151.044,0.3084489,0.9097534,2.307461,0.006701913,0.9967318,-0.07305593
1151.058,0.3084998,0.9097531,2.307396,0.006661341,0.9967191,-0.073335
1151.072,0.3085425,0.9097046,2.307348,0.006657396,0.9966937,-0.07367525
1151.086,0.3085726,0.9096391,2.307323,0.006444868,0.9966506,-0.07421544
1151.101,0.308609,0.9095348,2.3073,0.0062527,0.9966064,-0.07475389
1151.115,0.3086162,0.9093945,2.307268,0.006464243,0.9965677,-0.07519155
