Time, Position (X), Position (Y), Position (Z), Rotation (X), Rotation (Y), Rotation (Z)
1104.937,-0.03288696,0.2994583,2.003097,0.4654367,0.7525248,-0.3841428
1104.951,-0.03292828,0.2995301,2.002959,0.4640086,0.7531745,-0.3846121
1104.966,-0.03296615,0.2996002,2.002737,0.4636153,0.7533666,-0.3845388
1104.981,-0.03297403,0.2996013,2.002543,0.4636846,0.7532881,-0.3844655
1104.996,-0.03292368,0.2995365,2.002324,0.4640293,0.7530462,-0.3844145
1105.01,-0.03264562,0.2991559,2.001996,0.4648952,0.7524843,-0.3849327
1105.025,-0.03210848,0.2984586,2.001593,0.4664037,0.7517521,-0.3859976
1105.04,-0.03136326,0.2976258,2.001339,0.4682185,0.7511793,-0.386875
1105.055,-0.03037469,0.2962801,2.000978,0.4719579,0.7502621,-0.3868368
1105.069,-0.02983293,0.295357,2.000797,0.4748577,0.7489753,-0.386647
1105.084,-0.02917989,0.2942453,2.000771,0.4779831,0.7468057,-0.3865457
1105.1,-0.02843788,0.2930869,2.000771,0.4795428,0.7452055,-0.3879217
1105.114,-0.02757131,0.2919531,2.000727,0.4802772,0.7441106,-0.3902678
1105.128,-0.0266446,0.291021,2.000808,0.4798977,0.7440113,-0.3927532
1105.143,-0.02581107,0.2903618,2.00077,0.4796321,0.7439245,-0.3941782
1105.158,-0.02501763,0.2899911,2.000715,0.4794719,0.7437789,-0.3944256
1105.172,-0.02416202,0.2897678,2.000696,0.4785109,0.7442974,-0.3934925
1105.187,-0.02326725,0.2894429,2.000741,0.4773338,0.7450042,-0.3933309
1105.202,-0.02233376,0.2890519,2.000848,0.4766059,0.7458112,-0.3934347
1105.217,-0.02141772,0.2885757,2.000972,0.4769763,0.7459149,-0.3942114
1105.231,-0.02054531,0.2881822,2.001058,0.4782611,0.7456583,-0.3943337
1105.247,-0.0197745,0.2879072,2.001206,0.479817,0.7456588,-0.3933763
1105.264,-0.01918174,0.2876626,2.001429,0.4815697,0.7458158,-0.3913786
1105.276,-0.01877278,0.2872474,2.001781,0.4833277,0.7452981,-0.3903874
1105.29,-0.01797721,0.2863359,2.00224,0.4858215,0.7440912,-0.3904009
1105.306,-0.01777377,0.2857768,2.002569,0.4863697,0.7434738,-0.3914059
1105.32,-0.01772468,0.2852236,2.002884,0.485481,0.7437807,-0.3921559
1105.337,-0.01785976,0.2847828,2.003163,0.4836704,0.7443845,-0.3932243
1105.35,-0.01790762,0.2841265,2.003563,0.4821626,0.7445482,-0.3949938
1105.365,-0.01804815,0.2835841,2.004065,0.482443,0.7434217,-0.3970768
1105.38,-0.0181436,0.2833357,2.004329,0.4838601,0.7418385,-0.3982931
1105.393,-0.01821731,0.2834149,2.004476,0.4848538,0.741559,-0.3976645
1105.409,-0.01833758,0.2837058,2.004481,0.4849426,0.7421709,-0.3962809
1105.423,-0.01849453,0.2837386,2.00452,0.4848441,0.74223,-0.3961454
1105.438,-0.01869555,0.2836925,2.004653,0.4847481,0.7420766,-0.3962287
1105.453,-0.01903443,0.2836649,2.004909,0.4847248,0.7417733,-0.3963875
1105.468,-0.01948002,0.2837015,2.005204,0.4845129,0.7414263,-0.396609
