Time, Position (X), Position (Y), Position (Z), Rotation (X), Rotation (Y), Rotation (Z)
387.1452,0.1493363,0.7264231,0.1806959,-0.7626641,-0.09977736,-0.3316973
387.1597,0.1493363,0.7264231,0.1806959,-0.7626641,-0.09977736,-0.3316973
387.1738,0.1493132,0.7264146,0.1806844,-0.7626097,-0.09976462,-0.3317962
387.1892,0.1492904,0.7264061,0.1806728,-0.762556,-0.09975247,-0.3318936
387.2043,0.1492678,0.7263978,0.1806615,-0.7625032,-0.09974082,-0.3319893
387.2192,0.1492678,0.7263978,0.1806615,-0.7625032,-0.09974082,-0.3319893
387.2332,0.1492454,0.7263894,0.1806503,-0.7624511,-0.0997298,-0.3320833
387.2487,0.1492233,0.7263812,0.1806392,-0.7624,-0.09971909,-0.3321758
387.2632,0.1492016,0.7263731,0.1806281,-0.7623495,-0.09970906,-0.3322667
387.2779,0.1492016,0.7263731,0.1806281,-0.7623495,-0.09970906,-0.3322667
387.2941,0.1491799,0.726365,0.1806174,-0.7623,-0.0996994,-0.3323561
387.3075,0.1491587,0.7263571,0.1806066,-0.762251,-0.09969026,-0.3324439
387.3221,0.1491375,0.7263492,0.1805961,-0.7622032,-0.09968152,-0.3325303
387.3368,0.1491375,0.7263492,0.1805961,-0.7622032,-0.09968152,-0.3325303
387.3508,0.1491167,0.7263414,0.1805856,-0.7621558,-0.09967329,-0.3326152
387.3662,0.1490961,0.7263337,0.1805751,-0.7621089,-0.09966542,-0.3326988
387.3808,0.1490757,0.7263261,0.180565,-0.762063,-0.09965798,-0.3327808
387.3954,0.1490757,0.7263261,0.180565,-0.762063,-0.09965798,-0.3327808
387.4097,0.1490555,0.7263185,0.1805548,-0.7620176,-0.09965102,-0.3328617
387.425,0.1490357,0.7263111,0.1805449,-0.7619731,-0.0996443,-0.3329409
387.44,0.1490357,0.7263111,0.1805449,-0.7619731,-0.0996443,-0.3329409
387.4539,0.149016,0.7263036,0.180535,-0.7619293,-0.09963804,-0.3330189
387.4694,0.1489965,0.7262964,0.1805253,-0.761886,-0.09963226,-0.3330957
387.4841,0.1489773,0.7262892,0.1805156,-0.7618434,-0.09962663,-0.3331711
387.4989,0.1489773,0.7262892,0.1805156,-0.7618434,-0.09962663,-0.3331711
387.5127,0.1489583,0.7262819,0.1805061,-0.7618016,-0.09962148,-0.3332452
387.5281,0.1489395,0.726275,0.1804968,-0.7617602,-0.09961654,-0.333318
387.544,0.1489209,0.7262679,0.1804875,-0.7617195,-0.09961205,-0.3333897
387.5588,0.1489209,0.7262679,0.1804875,-0.7617195,-0.09961205,-0.3333897
387.5727,0.1489027,0.7262608,0.1804782,-0.7616794,-0.099608,-0.3334601
387.5869,0.1488846,0.7262539,0.1804692,-0.7616398,-0.09960395,-0.3335293
387.6014,0.1488846,0.7262539,0.1804692,-0.7616398,-0.09960395,-0.3335293
387.6159,0.1488846,0.7262539,0.1804692,-0.7616398,-0.09960395,-0.3335293
387.6301,0.1488491,0.7262404,0.1804512,-0.7615629,-0.09959714,-0.3336642
387.6458,0.1488316,0.7262338,0.1804426,-0.7615251,-0.09959406,-0.33373
387.6601,0.1488143,0.7262272,0.1804339,-0.7614881,-0.09959127,-0.3337946
387.6748,0.1488143,0.7262272,0.1804339,-0.7614881,-0.09959127,-0.3337946
