Time, Position (X), Position (Y), Position (Z), Rotation (X), Rotation (Y), Rotation (Z)
368.4575,-0.1480335,0.1352303,0.9953495,0.4520018,0.8859171,-0.1035605
368.4716,-0.1480257,0.1352013,0.9953609,0.4522799,0.8857823,-0.1035086
368.4879,-0.1480305,0.1351987,0.9953604,0.4522192,0.8858126,-0.1035182
368.5023,-0.14803,0.1352043,0.9953565,0.4521109,0.8858771,-0.1034432
368.5172,-0.1480347,0.1352538,0.9953501,0.4519024,0.8860015,-0.1032821
368.5316,-0.148049,0.1353319,0.9953365,0.4515818,0.8861774,-0.1031645
368.5474,-0.148057,0.1353924,0.9953286,0.4515087,0.8862197,-0.1031094
368.5626,-0.1480586,0.135451,0.9953197,0.4515637,0.8862017,-0.1030143
368.5775,-0.1480515,0.1355251,0.9953155,0.4516902,0.886158,-0.102837
368.5921,-0.1480131,0.13565,0.9953338,0.4518256,0.8861119,-0.1026468
368.6078,-0.1479724,0.1357867,0.9953588,0.4518425,0.8861119,-0.1025782
368.6228,-0.1479386,0.1359653,0.9953867,0.451766,0.8861623,-0.1024862
368.6388,-0.147934,0.1361358,0.9954026,0.4516857,0.886223,-0.1023068
368.6522,-0.1479444,0.1362928,0.995413,0.4516063,0.8862855,-0.1021021
368.6676,-0.1479705,0.1364254,0.9954168,0.4515809,0.8863177,-0.1019208
368.6828,-0.1480031,0.1365414,0.9954202,0.4514754,0.8863852,-0.1017883
368.6978,-0.1480435,0.1366513,0.9954268,0.4513215,0.8864711,-0.1017105
368.7122,-0.1480821,0.1367314,0.9954344,0.4512008,0.8865348,-0.1016808
368.7278,-0.1481319,0.1367992,0.9954458,0.4511071,0.8865823,-0.1016745
368.743,-0.1481805,0.1368508,0.9954537,0.4510447,0.8866172,-0.1016402
368.7581,-0.1482401,0.1369081,0.9954607,0.4509002,0.886695,-0.1015898
368.7726,-0.1482971,0.1369615,0.9954661,0.450661,0.8868134,-0.1015998
368.7883,-0.1483521,0.137015,0.9954858,0.4503835,0.886952,-0.1016062
368.8046,-0.1483831,0.1370447,0.9955109,0.45025,0.8870175,-0.1016134
368.8182,-0.1483988,0.1370702,0.9955394,0.4501671,0.8870598,-0.101607
