Time, Position (X), Position (Y), Position (Z), Rotation (X), Rotation (Y), Rotation (Z)
388.8185,-0.1508811,0.9344118,1.921846,0.03921945,0.9085994,-0.3722886
388.8401,-0.1508403,0.9345102,1.921824,0.03922931,0.9086484,-0.372197
388.8483,-0.1508449,0.9345501,1.921798,0.03912796,0.9086635,-0.3721688
388.8639,-0.1509932,0.9343736,1.921757,0.03890391,0.9086092,-0.3722973
388.878,-0.1511516,0.9341583,1.921734,0.03859054,0.9084835,-0.3725865
388.8934,-0.1512613,0.9340348,1.9217,0.03852847,0.9084117,-0.3727356
388.9065,-0.1513427,0.9339178,1.921669,0.0385193,0.9083858,-0.3727806
388.9212,-0.151278,0.9339531,1.921692,0.03869342,0.9083531,-0.3728599
388.9358,-0.1512296,0.933955,1.9217,0.03899982,0.908342,-0.3729435
388.95,-0.1512871,0.9338465,1.921642,0.03937772,0.9083463,-0.3730623
388.9655,-0.1514264,0.9337002,1.921567,0.03966523,0.9083264,-0.3732342
388.9803,-0.1515159,0.9335958,1.921496,0.0398655,0.9082893,-0.3733975
388.9949,-0.1515726,0.9334953,1.921423,0.04016943,0.9082619,-0.3734935
389.0088,-0.1516466,0.9333566,1.921337,0.04047388,0.9082201,-0.3736731
389.0244,-0.1517574,0.9331616,1.921244,0.04096695,0.9081843,-0.373841
389.0391,-0.151897,0.9328755,1.921081,0.04198825,0.9081473,-0.3739796
389.0531,-0.1520124,0.9326132,1.920922,0.04285588,0.9080542,-0.3743275
389.0685,-0.1521698,0.9323059,1.920727,0.04404583,0.9079142,-0.3747708
389.0831,-0.1524111,0.9319524,1.920509,0.04534053,0.907756,-0.375166
389.1013,-0.1525893,0.9317566,1.92039,0.04583991,0.9075403,-0.3755397
389.1146,-0.1526898,0.9316214,1.920236,0.0463492,0.9074312,-0.3757573
389.1288,-0.1527413,0.9314985,1.920028,0.04680433,0.9073898,-0.3759063
389.1439,-0.1528096,0.9313707,1.91978,0.04763057,0.9072352,-0.3762521
389.1567,-0.1529936,0.931151,1.919515,0.04849173,0.9071198,-0.3765509
389.1709,-0.1532373,0.9309679,1.919188,0.04930595,0.907021,-0.3768021
389.1861,-0.153544,0.9307527,1.918667,0.05096291,0.9069007,-0.377032
389.201,-0.1539571,0.930603,1.917897,0.05380345,0.9067667,-0.3772158
389.2159,-0.1543442,0.9306411,1.91721,0.05646167,0.9066817,-0.3773116
389.2299,-0.1547606,0.9308549,1.916561,0.05904539,0.9065145,-0.3775789
389.2455,-0.1552799,0.9313424,1.915806,0.06201083,0.9062044,-0.3779178
389.2601,-0.1558228,0.9319351,1.91499,0.06450082,0.9061082,-0.3777915
389.2751,-0.1563453,0.9327233,1.914057,0.06648874,0.9062055,-0.3775853
389.289,-0.1570138,0.9335011,1.913064,0.06781757,0.9062869,-0.3778318
389.3045,-0.157772,0.9344772,1.91203,0.06951788,0.9066066,-0.3774905
389.3189,-0.1591782,0.9362964,1.910177,0.07414126,0.9069673,-0.3765365
389.3334,-0.160089,0.9375978,1.909022,0.07802822,0.9070261,-0.3758504
389.3488,-0.1610882,0.939005,1.907854,0.08321654,0.9066527,-0.3758889
389.3656,-0.1620374,0.9404436,1.906703,0.08916282,0.9063165,-0.3757527
389.3794,-0.1629509,0.9418916,1.905555,0.09515086,0.9058816,-0.3758638
389.3933,-0.1641217,0.9435108,1.904268,0.1005521,0.9055514,-0.3760965
389.4078,-0.1654372,0.9452574,1.903024,0.1037019,0.9053705,-0.3761665
389.4223,-0.1668189,0.9471837,1.901748,0.1051522,0.9054652,-0.3757761
389.4372,-0.1683107,0.949395,1.90048,0.1046844,0.9059701,-0.3749018
389.451,-0.1693369,0.9520911,1.899419,0.1054334,0.9064518,-0.3737512
389.4666,-0.1702732,0.9548694,1.898421,0.1079138,0.906796,-0.3725795
389.4814,-0.1714321,0.9577489,1.897261,0.1120517,0.9071059,-0.370805
389.4963,-0.1728395,0.9602556,1.896165,0.1154115,0.9073918,-0.3691151
389.5101,-0.1742144,0.9627689,1.895094,0.1173836,0.9073896,-0.3685036
