Time, Position (X), Position (Y), Position (Z), Rotation (X), Rotation (Y), Rotation (Z)
37.0814,-0.04541522,0.1084899,1.351099,-0.109958,0.599556,0.202902
37.09614,-0.0457276,0.1084436,1.350835,-0.1100103,0.5995611,0.2030452
37.10709,-0.04610065,0.108399,1.350558,-0.1101807,0.5994768,0.2032101
37.12387,-0.04649211,0.1083563,1.350276,-0.1103837,0.599263,0.2033544
37.1352,-0.04688669,0.108301,1.350019,-0.1105891,0.5991184,0.2034802
37.1484,-0.04725311,0.108235,1.349763,-0.1107489,0.5990527,0.2036527
37.16305,-0.04766763,0.1081577,1.349497,-0.1110882,0.5991498,0.2039172
37.17711,-0.0480334,0.1080661,1.349239,-0.1117059,0.5990692,0.2039837
37.19057,-0.04836528,0.1079304,1.349012,-0.1124941,0.598944,0.2038044
37.2051,-0.04865672,0.1077395,1.348825,-0.1131034,0.5988095,0.203711
37.21895,-0.04893784,0.1074947,1.348651,-0.1136501,0.5986199,0.203694
37.23243,-0.04918967,0.1072004,1.348508,-0.1140899,0.5984736,0.2036417
37.24683,-0.04937876,0.1069108,1.348409,-0.1144862,0.598331,0.2035283
37.26099,-0.04960781,0.1065501,1.348329,-0.1153814,0.5981947,0.2035787
37.2749,-0.04983858,0.1061588,1.348302,-0.116907,0.5980473,0.203654
37.28792,-0.05002163,0.105729,1.34837,-0.1191679,0.5973978,0.2036211
37.30266,-0.05015005,0.1053276,1.34868,-0.1215724,0.5965181,0.2036718
37.3165,-0.05019552,0.1049774,1.349111,-0.1230951,0.5956888,0.2041145
37.32998,-0.05017792,0.1046239,1.349798,-0.123587,0.5950313,0.205208
37.34436,-0.05017304,0.1042675,1.350521,-0.1236631,0.5942795,0.2062268
37.3583,-0.0501633,0.1039669,1.351392,-0.1231425,0.5933342,0.2076759
37.37169,-0.05018396,0.103871,1.352291,-0.1228193,0.5926332,0.2099799
37.38607,-0.05025883,0.1039412,1.353155,-0.123527,0.5921476,0.2124596
37.40019,-0.05032155,0.1041394,1.35401,-0.12501,0.5912374,0.2141695
37.41407,-0.05044983,0.1044766,1.354983,-0.1267594,0.5898971,0.2159086
37.42739,-0.05066082,0.1049622,1.356114,-0.1282776,0.5884804,0.2185667
37.44196,-0.0508615,0.1056422,1.357343,-0.1294339,0.5871143,0.2215098
37.45594,-0.05127413,0.1066591,1.358833,-0.1305629,0.5854174,0.2253645
37.46931,-0.05170756,0.1080493,1.360375,-0.131934,0.5829216,0.2297717
37.48373,-0.05223021,0.1099629,1.361946,-0.1336696,0.5809115,0.2357339
37.49771,-0.05271128,0.1125122,1.363433,-0.1362242,0.5797948,0.242483
37.51108,-0.05322655,0.115549,1.364881,-0.1395741,0.5791206,0.2485859
37.5255,-0.05341909,0.1191458,1.366219,-0.142508,0.5782415,0.2534184
37.53969,-0.05373343,0.1233426,1.367704,-0.1444295,0.579665,0.2601188
37.55273,-0.05414842,0.1279346,1.369332,-0.1451932,0.5816244,0.2667363
37.56742,-0.05456854,0.1328932,1.371095,-0.1449578,0.5826907,0.273195
37.58148,-0.05512345,0.1383237,1.372943,-0.1443546,0.5830814,0.2802753
37.59528,-0.05563513,0.144393,1.374704,-0.1439314,0.5838453,0.2882746
37.60884,-0.05603871,0.1510381,1.376169,-0.1436699,0.586427,0.2965685
37.62315,-0.05646679,0.1582183,1.377455,-0.1434533,0.5913061,0.3051728
37.63708,-0.05690409,0.1656991,1.378572,-0.1437313,0.5972116,0.312741
