Time, Position (X), Position (Y), Position (Z), Rotation (X), Rotation (Y), Rotation (Z)
1320.218,0.1977416,0.07698959,2.191096,0.02927079,0.7084624,-0.6841721
1320.231,0.1977487,0.07698607,2.19111,0.02956207,0.7083972,-0.6841822
1320.246,0.1977552,0.07698137,2.191121,0.0298207,0.7083049,-0.6842346
1320.259,0.1977617,0.07697505,2.19113,0.03010045,0.7082235,-0.684288
1320.272,0.1977621,0.07696831,2.191123,0.03004857,0.7082549,-0.684321
1320.287,0.197768,0.07696337,2.191132,0.03031566,0.7082436,-0.6843053
1320.301,0.1977747,0.07695764,2.191142,0.03064414,0.7082843,-0.6842461
1320.315,0.1977795,0.07695395,2.19115,0.03082309,0.7083476,-0.6841746
1320.328,0.1977778,0.07695132,2.191142,0.0307436,0.7085055,-0.6840867
1320.343,0.1977793,0.07695103,2.191146,0.03081923,0.7086048,-0.6839911
1320.357,0.197777,0.07695526,2.191145,0.03069884,0.7086756,-0.6839205
1320.37,0.1977739,0.07695895,2.191141,0.03058997,0.7087267,-0.68388
1320.385,0.1977724,0.07696247,2.191142,0.03055281,0.7088001,-0.6838027
1320.398,0.1977706,0.07696658,2.191142,0.03046638,0.7088325,-0.6837571
1320.412,0.1977683,0.0769732,2.191144,0.03040429,0.7088746,-0.6836831
1320.426,0.1977642,0.07697904,2.19114,0.03029672,0.7090317,-0.6835307
1320.44,0.1977664,0.07698435,2.191153,0.03047882,0.7090936,-0.683387
1320.453,0.1977724,0.076989,2.191173,0.03096236,0.7091586,-0.6831831
1320.468,0.1977861,0.07698959,2.191209,0.03203251,0.7092351,-0.6828794
1320.482,0.1977986,0.07698959,2.191241,0.03282456,0.7092263,-0.6826697
1320.496,0.197815,0.07699186,2.191286,0.03395811,0.7091888,-0.6823806
1320.509,0.1978366,0.0769946,2.191346,0.03518477,0.7092158,-0.6820223
1320.524,0.1978544,0.07699668,2.191395,0.03641408,0.7091756,-0.6817255
1320.538,0.1978807,0.07699752,2.191466,0.03827027,0.7090959,-0.6813443
1320.551,0.1979083,0.07699561,2.191537,0.04012103,0.7090495,-0.6809403
1320.565,0.1979391,0.07699168,2.191616,0.04243239,0.7089295,-0.6804877
1320.58,0.1979715,0.07698792,2.1917,0.0445196,0.7088516,-0.6799778
1320.593,0.1980049,0.07698667,2.191791,0.04640166,0.7087886,-0.6794587
1320.607,0.1980379,0.07698816,2.191887,0.04831778,0.7087171,-0.6788864
1320.621,0.1980714,0.07699072,2.191987,0.05026203,0.7086478,-0.6783557
1320.635,0.1981046,0.07699418,2.192088,0.05222642,0.7085609,-0.6777907
1320.649,0.1981406,0.07699692,2.192199,0.05459149,0.7084858,-0.6771408
1320.663,0.1981792,0.07699871,2.192319,0.05713079,0.7083045,-0.6765075
1320.677,0.1982208,0.07699788,2.192447,0.0599847,0.7080854,-0.675888
1320.69,0.1982652,0.07699251,2.192579,0.06305595,0.7076867,-0.6754318
1320.705,0.1983133,0.07698381,2.192724,0.0661487,0.7074265,-0.6747116
1320.719,0.1983622,0.07697546,2.192874,0.06914945,0.7070955,-0.6740234
1320.732,0.1984096,0.07696801,2.193025,0.07197072,0.7067893,-0.6733517
1320.747,0.1984572,0.07696074,2.193182,0.07486042,0.7065302,-0.6726068
1320.761,0.1985041,0.07695317,2.193341,0.07792587,0.7062426,-0.6718461
1320.775,0.1985444,0.07694566,2.19348,0.08104056,0.7058059,-0.6711802
1320.788,0.1986033,0.07693326,2.193688,0.08402803,0.7052341,-0.6705985
1320.803,0.1986478,0.07692403,2.193851,0.08684205,0.7045285,-0.6701897
1320.816,0.1986896,0.07691604,2.194012,0.08950853,0.7040154,-0.6696114
1320.837,0.1987245,0.07690763,2.194148,0.0922929,0.703402,-0.6691373
1320.844,0.1987589,0.07689732,2.194281,0.09531939,0.7028685,-0.6685541
1320.856,0.1988051,0.07688004,2.19446,0.09831256,0.7022982,-0.6680724
1320.87,0.1988457,0.07686132,2.194617,0.1014294,0.7017586,-0.6674869
1320.886,0.1988851,0.07684183,2.194773,0.1043706,0.7012382,-0.6668593
1320.899,0.1989241,0.07682174,2.194932,0.1073973,0.7006341,-0.6662818
1320.912,0.1989617,0.07680005,2.195088,0.11007,0.6999861,-0.6659019
1320.927,0.1989969,0.07677817,2.195235,0.1124872,0.6994805,-0.6654266
1320.941,0.1990272,0.07676041,2.195371,0.1143322,0.6989074,-0.6651087
1320.955,0.1990536,0.07674688,2.1955,0.1159625,0.6983804,-0.664799
1320.968,0.199076,0.07673663,2.195616,0.1174142,0.6977537,-0.6646513
1320.983,0.1990957,0.07672828,2.195725,0.1188427,0.6971342,-0.6645275
1320.997,0.1991133,0.07671994,2.195824,0.1204214,0.6965746,-0.6643817
1321.01,0.1991283,0.07671136,2.195906,0.1219625,0.6960147,-0.6642683
1321.025,0.1991477,0.07669795,2.196008,0.1230222,0.6958119,-0.6640707
1321.039,0.1991656,0.07668346,2.196098,0.1236466,0.6955789,-0.6640619
1321.052,0.1991793,0.07667243,2.196171,0.1244877,0.6952296,-0.66399
1321.067,0.199191,0.07666379,2.196237,0.1251555,0.6949582,-0.6638763
1321.081,0.1991994,0.07666039,2.196295,0.1256089,0.6947147,-0.6637926
1321.095,0.1992048,0.07666057,2.196342,0.1258505,0.6944151,-0.6638618
1321.108,0.1992072,0.07666481,2.19638,0.1258677,0.6942424,-0.6638979
1321.122,0.1992064,0.07667285,2.196402,0.1257989,0.6940101,-0.6640128
1321.136,0.199204,0.07668108,2.196411,0.1256464,0.6938053,-0.6641455
1321.15,0.1991986,0.0766933,2.196409,0.1253147,0.6935466,-0.6643665
1321.164,0.1991937,0.07670319,2.196403,0.1250156,0.6933483,-0.6645685
1321.178,0.1991897,0.0767107,2.196395,0.1247385,0.6932117,-0.6647193
1321.192,0.1991834,0.07672232,2.196383,0.1243332,0.6931272,-0.6648353
1321.206,0.1991777,0.07673287,2.196373,0.1239506,0.6931506,-0.6648656
1321.221,0.1991684,0.07675129,2.196359,0.1232085,0.6932702,-0.6648236
1321.234,0.1991555,0.07677633,2.196341,0.1214382,0.693751,-0.6645434
1321.247,0.1991269,0.07683337,2.196304,0.1160607,0.6948255,-0.6638833
1321.262,0.1990801,0.07692379,2.196241,0.110849,0.6955005,-0.6638662
1321.276,0.1990249,0.07702279,2.196147,0.1083767,0.6958622,-0.6643581
1321.289,0.1989909,0.07707453,2.19606,0.1077814,0.6972068,-0.6640776
1321.304,0.1989672,0.07710791,2.195993,0.1082096,0.7002093,-0.6613966
1321.318,0.1989541,0.07713407,2.195982,0.1115563,0.7037467,-0.6571737
1321.331,0.1989662,0.07712632,2.196047,0.1183396,0.7071387,-0.6527755
1321.345,0.1990046,0.07707655,2.196175,0.1252613,0.7099501,-0.648789
1321.359,0.1990543,0.07700831,2.196336,0.1304688,0.7129502,-0.6447846
1321.373,0.1991014,0.07694262,2.196499,0.1332722,0.7160168,-0.6411083
1321.387,0.1991331,0.07690251,2.196635,0.1329495,0.7185513,-0.6384545
1321.401,0.1991417,0.07690334,2.196726,0.1302558,0.7208976,-0.636323
1321.415,0.1991261,0.0769484,2.196768,0.1264703,0.7232568,-0.6344072
1321.429,0.1990957,0.07701933,2.196774,0.1234185,0.7255129,-0.6326179
1321.443,0.1990613,0.07709515,2.196766,0.1218215,0.7274631,-0.6308828
1321.457,0.1990318,0.07716012,2.19676,0.1216821,0.7289624,-0.6293319
1321.47,0.1990104,0.07720912,2.196767,0.1223878,0.7301246,-0.6278777
1321.485,0.1989977,0.07724178,2.19679,0.1234901,0.7310366,-0.626627
1321.499,0.1989911,0.07726234,2.196819,0.124115,0.7323055,-0.6252387
1321.512,0.198984,0.07728362,2.196847,0.1236386,0.7348348,-0.622825
1321.527,0.1989712,0.07731289,2.196854,0.1216797,0.737375,-0.6206919
1321.541,0.1989487,0.0773586,2.196836,0.1190032,0.7405902,-0.6181505
1321.555,0.1989193,0.07741469,2.1968,0.1164984,0.7445979,-0.6147873
1321.568,0.1988893,0.0774709,2.196759,0.1138777,0.7492091,-0.6107287
1321.583,0.1988435,0.07755601,2.196699,0.1113947,0.7549233,-0.6054177
1321.596,0.1529057,0.1195813,2.192842,-0.08438926,0.7801627,-0.6182797
1321.61,0.1523332,0.1203253,2.191901,-0.08329877,0.7858217,-0.6114855
1321.624,0.1535708,0.1187994,2.19415,-0.08092052,0.7923883,-0.6035038
1321.639,0.1532851,0.119572,2.193301,-0.07820494,0.7995116,-0.5945876
1321.652,0.1475189,0.1253476,2.179863,-0.02911242,0.8139645,-0.5801186
1321.666,0.147761,0.1262394,2.17923,-0.02464314,0.8225769,-0.5679911
1321.68,0.1482576,0.1280583,2.177878,-0.02004147,0.832674,-0.5531575
1321.693,0.1509727,0.1631429,2.143507,-0.01636901,0.841529,-0.5395391
1321.708,0.1530421,0.1726903,2.135639,-0.01332797,0.8520968,-0.5226625
1321.722,0.1554837,0.1841993,2.126967,-0.01326143,0.8628371,-0.5046623
1321.736,0.1577194,0.1978839,2.117924,-0.01767734,0.8737128,-0.4854583
1321.749,0.1602424,0.2133208,2.108514,-0.02342805,0.885012,-0.4642625
1321.763,0.1632092,0.2312493,2.098582,-0.02722595,0.8968459,-0.4406149
1321.777,0.166563,0.2503453,2.088752,-0.02806963,0.9087076,-0.4153825
1321.791,0.1704278,0.270997,2.07933,-0.02576065,0.9206339,-0.3882638
1321.805,0.1746807,0.2931161,2.070373,-0.02356182,0.9319417,-0.3603919
1321.819,0.1788325,0.3165962,2.062097,-0.02306089,0.9427884,-0.3309525
1321.833,0.1827992,0.3414361,2.05543,-0.02440617,0.9530817,-0.2997079
1321.847,0.1869133,0.3669922,2.049385,-0.02871751,0.9621108,-0.2686407
1321.861,0.1914446,0.3932922,2.04424,-0.0335201,0.9699644,-0.237718
1321.875,0.1966366,0.4199961,2.039747,-0.03909763,0.9764275,-0.2083097
1321.889,0.2022291,0.4469224,2.036074,-0.04676083,0.9816632,-0.1804753
1321.903,0.2083342,0.4739519,2.03274,-0.05685401,0.9856855,-0.1543924
1321.917,0.2146076,0.5012108,2.030203,-0.0683407,0.9888812,-0.1281996
1321.93,0.2210401,0.5280288,2.02874,-0.07915137,0.9913405,-0.1018202
1321.945,0.2271439,0.5546366,2.02809,-0.08863842,0.9929991,-0.07594226
1321.959,0.233183,0.5810722,2.02838,-0.09487589,0.9941092,-0.05068995
1321.972,0.2389974,0.606884,2.029129,-0.09955028,0.9946626,-0.02516948
1321.986,0.2446278,0.6321405,2.031362,-0.1050457,0.9944423,-0.0001350597
1322,0.2500544,0.6570605,2.033483,-0.1128921,0.9932764,0.02550463
1322.014,0.2554232,0.6809365,2.037063,-0.1248244,0.9906259,0.05538953
1322.028,0.2610798,0.7033393,2.039928,-0.1356439,0.9872481,0.08275796
1322.042,0.2671487,0.7241454,2.042875,-0.1467297,0.983363,0.1056382
1322.057,0.2737356,0.7436111,2.04591,-0.1584392,0.9789556,0.1254546
1322.069,0.280386,0.7623069,2.048788,-0.1700463,0.9739195,0.144625
1322.084,0.287581,0.7798067,2.0518,-0.1795958,0.9689996,0.160491
1322.098,0.2949055,0.7970264,2.054562,-0.1854062,0.9647992,0.172847
1322.111,0.3024871,0.8134779,2.057346,-0.1873121,0.9615729,0.1823634
1322.126,0.3101703,0.8293864,2.060183,-0.188047,0.9582114,0.1928065
1322.14,0.3178954,0.8446356,2.063148,-0.1914376,0.9535607,0.2049131
1322.153,0.3258284,0.8592092,2.066092,-0.1972121,0.9480006,0.216077
1322.167,0.3346143,0.8726913,2.0688,-0.2048096,0.9413417,0.2266559
1322.181,0.3436704,0.8853137,2.071616,-0.212695,0.9336402,0.2373651
1322.195,0.3532393,0.8970416,2.074489,-0.2181905,0.9262895,0.2463707
1322.209,0.3634393,0.9078548,2.077137,-0.2176156,0.9212927,0.251514
1322.223,0.3739393,0.9178412,2.079707,-0.2139916,0.9177008,0.2541283
1322.237,0.384813,0.9268574,2.082145,-0.2084232,0.9149123,0.2551278
1322.25,0.3958303,0.9349059,2.084752,-0.2031568,0.9119198,0.2549413
1322.265,0.4066727,0.9424406,2.08749,-0.2001411,0.908028,0.2548585
1322.279,0.4174088,0.9497288,2.090805,-0.1996891,0.9026845,0.2557614
1322.292,0.4282172,0.9565489,2.094555,-0.201305,0.8951492,0.2605841
1322.307,0.4390598,0.962648,2.098287,-0.2025481,0.887037,0.2658269
1322.321,0.4499359,0.9680831,2.101799,-0.2018057,0.8808115,0.2675764
1322.335,0.4608942,0.9730349,2.105111,-0.2002733,0.876629,0.2655613
1322.348,0.4719033,0.977713,2.10877,-0.199228,0.8727795,0.2609823
1322.363,0.4824303,0.9826242,2.113409,-0.1991679,0.8665085,0.2586152
1322.376,0.4926131,0.9873635,2.11931,-0.1978822,0.8573231,0.2633016
1322.39,0.5025974,0.9916835,2.124914,-0.193774,0.8488777,0.2686689
1322.404,0.5126129,0.9955537,2.130713,-0.1863013,0.8430591,0.2717306
1322.418,0.5224223,0.9991792,2.136257,-0.1796856,0.8381569,0.2716587
1322.432,0.5322803,1.002337,2.141905,-0.1717527,0.8346698,0.2684912
1322.446,0.5414981,1.005367,2.148425,-0.1664608,0.8294595,0.2659062
1322.46,0.5497376,1.008292,2.155904,-0.1648686,0.8198759,0.2703767
1322.475,0.5579395,1.010684,2.163258,-0.162942,0.8096533,0.2786086
1322.487,0.5659707,1.01263,2.170041,-0.1595608,0.8015603,0.283486
1322.502,0.574224,1.014179,2.176291,-0.1556,0.7973305,0.2829548
1322.516,0.5822499,1.015388,2.182536,-0.1515428,0.7942696,0.2801737
1322.529,0.5897613,1.016173,2.189148,-0.1498916,0.7904588,0.2756802
1322.544,0.5966674,1.016872,2.196465,-0.1527912,0.7824144,0.2709813
1322.558,0.6030937,1.017471,2.204188,-0.1594052,0.7694389,0.2701553
1322.571,0.6095067,1.01769,2.211741,-0.1614129,0.7570326,0.270808
1322.585,0.6159293,1.017559,2.21902,-0.1552419,0.7507328,0.271259
1322.599,0.6215625,1.017044,2.226053,-0.1460993,0.7494279,0.272296
1322.613,0.627024,1.016115,2.232779,-0.1379775,0.7502362,0.272393
1322.627,0.6322482,1.015025,2.239691,-0.1334034,0.748517,0.2703605
1322.641,0.6370097,1.01385,2.246788,-0.1328366,0.7426742,0.2682807
1322.655,0.6415408,1.012433,2.253731,-0.1343666,0.7345374,0.2665683
1322.668,0.6458986,1.010678,2.260446,-0.1338211,0.7284409,0.2640031
1322.683,0.6501098,1.008614,2.266892,-0.1293508,0.7265418,0.2603584
1322.698,0.6541537,1.006528,2.273541,-0.1206163,0.7278587,0.2580327
1322.71,0.6576617,1.004157,2.279981,-0.1095635,0.7313873,0.258091
1322.725,0.6606292,1.001904,2.286792,-0.1011927,0.7337947,0.2598628
1322.739,0.6632217,0.9996417,2.293892,-0.09887118,0.7312936,0.2627243
1322.752,0.6656691,0.9970495,2.301096,-0.1013832,0.7224251,0.2643986
1322.766,0.66855,0.9941393,2.307719,-0.1009169,0.7150531,0.2617752
1322.78,0.6711553,0.9912533,2.313983,-0.09960185,0.7099676,0.2570475
1322.794,0.6738693,0.9881227,2.320153,-0.09535547,0.7093453,0.2530663
1322.808,0.6763276,0.9848299,2.326502,-0.08908477,0.7096346,0.2511176
1322.822,0.678453,0.9814743,2.333001,-0.08299458,0.7086449,0.2503679
1322.836,0.6802959,0.9780258,2.339111,-0.07941371,0.7054361,0.2484155
1322.849,0.6821551,0.9742901,2.34464,-0.07753841,0.701871,0.2436492
1322.864,0.6840584,0.9705524,2.349768,-0.07668886,0.6995984,0.2350792
1322.878,0.6855336,0.9667761,2.354707,-0.07800379,0.6970144,0.2256163
1322.891,0.686923,0.9629474,2.359462,-0.07947056,0.6946785,0.2162303
1322.907,0.6881572,0.9591792,2.364522,-0.07714617,0.6935923,0.2101798
1322.92,0.6894321,0.9552889,2.369621,-0.07208606,0.692987,0.2078584
1322.933,0.6905999,0.9517239,2.374675,-0.0667992,0.6916466,0.2060068
1322.948,0.6917489,0.9479839,2.379655,-0.06223697,0.6896086,0.2044761
1322.962,0.6930491,0.9441042,2.384338,-0.05774027,0.6875589,0.2011678
1322.976,0.6943818,0.9400386,2.388788,-0.05497896,0.6854233,0.1954948
1322.989,0.6957787,0.9358941,2.393147,-0.05379595,0.6820143,0.1883124
1323.003,0.697049,0.9315358,2.397341,-0.05152385,0.6789633,0.1813508
1323.017,0.6983924,0.9269916,2.401338,-0.04831515,0.6768817,0.1742121
1323.031,0.6998768,0.9222668,2.405219,-0.04517899,0.6754214,0.1662409
1323.045,0.7013112,0.9173962,2.409004,-0.04325782,0.6731933,0.1566013
1323.059,0.7027715,0.9125266,2.41298,-0.04153667,0.6695004,0.1466915
1323.072,0.704125,0.9074104,2.417039,-0.03787649,0.6652674,0.1383757
1323.087,0.7054562,0.9022188,2.421014,-0.03208509,0.6613183,0.1314167
1323.101,0.706469,0.8970885,2.424643,-0.02675621,0.6581753,0.1257136
1323.115,0.7072169,0.8918959,2.427756,-0.02366673,0.6563076,0.120656
1323.128,0.7080076,0.8866107,2.430559,-0.02232611,0.6556407,0.1140447
1323.143,0.7088382,0.8813521,2.433345,-0.02166422,0.6546,0.1067804
1323.157,0.7097543,0.8758948,2.436179,-0.01915235,0.6528084,0.09999109
1323.17,0.7106577,0.8704875,2.438991,-0.01557251,0.6499248,0.09284744
1323.185,0.7114043,0.8651999,2.441641,-0.01096893,0.6463565,0.08552521
1323.199,0.7118948,0.8602817,2.44398,-0.008455637,0.6434685,0.07890195
