Time, Position (X), Position (Y), Position (Z), Rotation (X), Rotation (Y), Rotation (Z)
1299.537,-1.223459,0.9177786,0.1475343,0.1010418,0.655733,-0.07952332
1299.55,-1.223564,0.9177457,0.1472785,0.1011173,0.6555386,-0.08009333
1299.564,-1.223648,0.9177387,0.1470833,0.1006693,0.6555284,-0.08077434
1299.578,-1.223749,0.9176583,0.1468582,0.1003642,0.655544,-0.08111285
1299.592,-1.223869,0.9176259,0.1466705,0.1003448,0.6555005,-0.08119844
1299.61,-1.223994,0.9176133,0.1464554,0.1004927,0.6554132,-0.08119788
1299.622,-1.224131,0.9176096,0.1462173,0.1005949,0.6552583,-0.08125566
1299.633,-1.22428,0.9175912,0.1460053,0.1005679,0.6552129,-0.08130635
1299.646,-1.224488,0.9175587,0.1458586,0.1003254,0.6552783,-0.08162422
1299.661,-1.224687,0.9175452,0.1457366,0.09981437,0.6554449,-0.08195714
1299.675,-1.224815,0.9175899,0.1455971,0.09937618,0.6556447,-0.08209121
1299.688,-1.224925,0.9176363,0.1454446,0.09894234,0.6558998,-0.08201687
1299.703,-1.225046,0.9176425,0.1453378,0.0987525,0.6561671,-0.08195575
1299.717,-1.225194,0.9175861,0.145283,0.09879305,0.6564506,-0.08182944
1299.73,-1.225349,0.9175113,0.1452415,0.09883707,0.6566988,-0.0817888
1299.745,-1.225497,0.9174979,0.1451563,0.09893026,0.6569557,-0.08197322
1299.759,-1.225654,0.9174786,0.145101,0.0989069,0.6571375,-0.08224308
1299.772,-1.225875,0.9174116,0.1451122,0.09883921,0.6573992,-0.08254298
1299.787,-1.226149,0.9173052,0.1451629,0.09861717,0.6576084,-0.0829813
1299.801,-1.226388,0.9172443,0.1451973,0.09849925,0.6579124,-0.08350561
1299.815,-1.226577,0.9172152,0.1451825,0.09823926,0.6582691,-0.08398693
1299.828,-1.226781,0.9171817,0.1451403,0.09801169,0.6587273,-0.0845403
1299.842,-1.22701,0.917127,0.1451352,0.09771575,0.6592773,-0.08518279
1299.856,-1.227224,0.9170855,0.1451404,0.09716022,0.6598465,-0.08562302
1299.87,-1.227416,0.9170868,0.1451358,0.0964468,0.6605181,-0.08600706
1299.884,-1.227592,0.9171199,0.1451188,0.09565542,0.6611814,-0.08631615
1299.898,-1.227777,0.9171282,0.1451194,0.09519637,0.6617578,-0.08651403
1299.912,-1.228016,0.9170725,0.1451877,0.0950469,0.6621749,-0.08671576
1299.926,-1.228259,0.9169829,0.1452693,0.09502882,0.6625877,-0.08685626
1299.94,-1.228471,0.9169046,0.1453121,0.09502719,0.6629879,-0.08702524
1299.953,-1.228652,0.9168507,0.1453518,0.09503783,0.6633015,-0.08712579
1299.968,-1.228819,0.9167504,0.1454245,0.09501026,0.6634976,-0.08694467
1299.982,-1.228993,0.9166412,0.1455473,0.09508412,0.6636808,-0.0871238
1299.996,-1.229167,0.9165226,0.1456863,0.09529872,0.6636871,-0.08730593
1300.009,-1.229315,0.916472,0.1457577,0.09551222,0.6636107,-0.08726455
1300.023,-1.229434,0.9164416,0.1458249,0.09571534,0.6634461,-0.08719306
1300.037,-1.229551,0.9164145,0.1459254,0.0958263,0.663276,-0.08712237
1300.051,-1.22966,0.9164094,0.1460456,0.0956254,0.6631263,-0.08697749
1300.065,-1.22973,0.9164233,0.1461533,0.09539448,0.6629913,-0.08700899
1300.079,-1.229747,0.9164623,0.1461941,0.09527048,0.6629025,-0.08708881
1300.092,-1.229759,0.9165043,0.1462179,0.09534954,0.6627527,-0.08738106
1300.107,-1.229761,0.9165163,0.1462661,0.09541293,0.6626523,-0.0875268
1300.121,-1.229738,0.9165095,0.1463,0.0953618,0.6626738,-0.08760006
1300.135,-1.2297,0.9165286,0.1463021,0.09526704,0.6628426,-0.08769713
1300.148,-1.229656,0.9165791,0.1462668,0.09489106,0.6633131,-0.08795472
1300.163,-1.229589,0.9166238,0.1462263,0.09453219,0.6637905,-0.08816152
1300.177,-1.229568,0.9166603,0.1462063,0.09420577,0.6644173,-0.08818366
1300.19,-1.229541,0.9166974,0.1461824,0.094,0.665053,-0.08820854
1300.204,-1.229475,0.9167138,0.1461511,0.09399599,0.6656873,-0.08821792
1300.219,-1.229383,0.9167138,0.1461186,0.09409812,0.6662496,-0.08823947
1300.232,-1.229292,0.916684,0.1461287,0.09429122,0.6666743,-0.08843313
1300.246,-1.229202,0.9166021,0.1462359,0.09436121,0.6670663,-0.0886955
1300.26,-1.229107,0.91652,0.1463617,0.094217,0.6672692,-0.08903696
1300.274,-1.229006,0.9164888,0.1464756,0.09410961,0.667505,-0.08943579
1300.287,-1.228901,0.9164554,0.1465749,0.09421381,0.6675335,-0.08978973
1300.302,-1.228823,0.9164311,0.1467295,0.09453756,0.6675796,-0.09015796
1300.316,-1.228772,0.9164006,0.1469389,0.09466989,0.6675352,-0.09047636
1300.33,-1.228707,0.9163796,0.1471704,0.09450789,0.6675269,-0.09077895
1300.344,-1.2286,0.9163921,0.1473162,0.09451661,0.6675615,-0.09108071
1300.358,-1.228485,0.9163842,0.1474452,0.09456216,0.6675755,-0.09099526
1300.371,-1.228387,0.9163556,0.1475927,0.09478649,0.6676034,-0.0909918
1300.385,-1.228295,0.916288,0.1477664,0.09492914,0.6676325,-0.09102118
1300.4,-1.228205,0.9162222,0.1479132,0.09492573,0.6676363,-0.09104417
1300.413,-1.228101,0.9161974,0.1480173,0.09486625,0.6676372,-0.09115928
1300.427,-1.227984,0.916182,0.148123,0.09470133,0.6676887,-0.09136459
1300.441,-1.227908,0.9161272,0.148271,0.09437193,0.6678609,-0.09149849
1300.455,-1.22785,0.9160641,0.1484232,0.09415242,0.6680393,-0.09179552
1300.469,-1.227764,0.9160113,0.1485459,0.09402087,0.6682191,-0.09202929
1300.483,-1.227651,0.9159763,0.1486394,0.09420501,0.6683725,-0.09235808
1300.497,-1.227545,0.9159317,0.1487361,0.09440702,0.6685736,-0.09252229
1300.51,-1.227451,0.9158506,0.1488653,0.09462146,0.6687274,-0.09262805
1300.525,-1.227345,0.9157802,0.1490154,0.09486989,0.6688608,-0.09269321
1300.54,-1.227217,0.9157572,0.1491481,0.09513237,0.6688299,-0.09263915
1300.552,-1.227066,0.9157529,0.14929,0.09529796,0.6688066,-0.0925786
1300.567,-1.226931,0.9157578,0.1494551,0.09541928,0.6687539,-0.09263629
1300.581,-1.226822,0.9157385,0.1496755,0.09545207,0.668717,-0.09269324
1300.594,-1.226707,0.915731,0.1498917,0.09539906,0.6686852,-0.09289102
1300.608,-1.226534,0.9157387,0.1500427,0.09531089,0.6686997,-0.09302541
