Time, Position (X), Position (Y), Position (Z), Rotation (X), Rotation (Y), Rotation (Z)
1061.294,-0.1287326,0.675254,2.112833,0.09335991,0.6059628,0.5132446
1061.308,-0.1286804,0.6752604,2.112677,0.09341031,0.6058795,0.5132304
1061.321,-0.1285998,0.6752521,2.11249,0.09367564,0.6057471,0.5130894
1061.335,-0.1285248,0.6752343,2.112318,0.09389749,0.6056274,0.5129976
1061.349,-0.1284465,0.6752203,2.112134,0.09415635,0.6055083,0.5130352
1061.363,-0.1283773,0.6752139,2.111944,0.09430613,0.6054125,0.5131495
1061.377,-0.1283191,0.675221,2.111752,0.09437511,0.6053323,0.5132352
1061.391,-0.1282738,0.6752331,2.111569,0.09444631,0.6052594,0.5132278
1061.405,-0.128231,0.6752496,2.111341,0.09450294,0.6051435,0.5132784
1061.419,-0.1281986,0.6752753,2.111148,0.09454969,0.6050173,0.5133654
1061.432,-0.1281647,0.6753179,2.110953,0.09457844,0.6049169,0.5134659
1061.447,-0.1281154,0.6753813,2.110703,0.09463361,0.6048787,0.5134522
1061.461,-0.1280754,0.6754074,2.110487,0.09468592,0.6049063,0.5134563
1061.475,-0.1280247,0.6754347,2.110202,0.09477124,0.6049845,0.5135232
1061.488,-0.1279823,0.6754537,2.10999,0.09480483,0.6050407,0.5135853
1061.502,-0.1279421,0.6754689,2.109786,0.09485268,0.6050512,0.5135939
1061.516,-0.1279121,0.6754657,2.109574,0.0948463,0.605011,0.5136368
1061.53,-0.1278856,0.6754397,2.109339,0.09481329,0.6049029,0.5137551
1061.544,-0.1278397,0.6754107,2.109111,0.09480398,0.6047786,0.5137849
1061.558,-0.1277655,0.6753777,2.108884,0.09484915,0.6046801,0.5138353
1061.573,-0.1276735,0.6753496,2.108653,0.09485719,0.604593,0.5138776
1061.586,-0.1275689,0.6753256,2.108425,0.09484845,0.6045338,0.5139061
1061.6,-0.1274482,0.6753,2.108183,0.09485833,0.6044534,0.5139108
1061.614,-0.1273012,0.6752812,2.107929,0.09487942,0.6043009,0.5139231
1061.627,-0.1271107,0.6753037,2.107675,0.09485472,0.6039711,0.5141163
1061.641,-0.1268766,0.6753845,2.107408,0.09462862,0.6034734,0.514368
1061.656,-0.1264529,0.6756555,2.107068,0.09418704,0.602713,0.5146212
1061.669,-0.1257464,0.6761491,2.106649,0.09356571,0.6021422,0.5148494
1061.683,-0.1247659,0.6768526,2.106151,0.09303647,0.601743,0.5150728
1061.697,-0.1234157,0.6778957,2.105603,0.09311349,0.6018804,0.5154685
1061.711,-0.1220485,0.6789608,2.105061,0.09325045,0.6024009,0.5156892
1061.725,-0.1205169,0.6800308,2.104501,0.09386777,0.6026143,0.5157812
1061.739,-0.1188686,0.6810945,2.103914,0.09496285,0.6022887,0.5160106
1061.752,-0.1170026,0.6822882,2.103287,0.09646081,0.6013386,0.5164317
1061.767,-0.1149198,0.6836593,2.102595,0.09799896,0.6003841,0.5172842
1061.781,-0.1126161,0.6852741,2.101788,0.09945155,0.5998893,0.5180066
1061.795,-0.109957,0.6872277,2.100834,0.1007568,0.6000775,0.5182571
1061.808,-0.1072752,0.6891781,2.099906,0.1018955,0.6000813,0.5181092
1061.823,-0.1044785,0.6912825,2.098956,0.1025162,0.5994917,0.5186964
1061.837,-0.1016012,0.6934632,2.097933,0.1022343,0.5982778,0.520077
1061.85,-0.09874067,0.6955612,2.096835,0.1021034,0.5971337,0.5208788
1061.864,-0.09571436,0.6977216,2.095618,0.1024527,0.5958001,0.5208919
1061.878,-0.09276108,0.6998904,2.094364,0.1023503,0.5943994,0.5213279
1061.892,-0.08983613,0.7020692,2.093024,0.1014194,0.5927441,0.5224105
1061.906,-0.08681701,0.7042836,2.091642,0.1001028,0.5912029,0.5235235
1061.92,-0.08374088,0.7064183,2.090217,0.09871719,0.5899503,0.5242802
1061.934,-0.08058161,0.7084126,2.088787,0.09796603,0.588896,0.5244069
1061.948,-0.0774174,0.7102606,2.08734,0.09779043,0.5873979,0.5241363
1061.962,-0.07425334,0.7119477,2.085867,0.09783278,0.5855576,0.524029
1061.976,-0.07101084,0.713536,2.084359,0.0982205,0.5835576,0.5241786
1061.989,-0.06772495,0.7151009,2.082916,0.09923139,0.5816942,0.5246633
1062.004,-0.06436601,0.7167519,2.081506,0.0998957,0.5799165,0.5253389
1062.017,-0.06094743,0.7184011,2.080116,0.1003562,0.578876,0.5255605
1062.031,-0.05753893,0.7199893,2.078832,0.1010054,0.577896,0.5255072
1062.045,-0.0542076,0.7215267,2.077669,0.101872,0.5766876,0.5257183
1062.059,-0.05097687,0.7230064,2.07656,0.1028507,0.5750247,0.5264304
1062.073,-0.04779863,0.7245302,2.075488,0.1037608,0.5730363,0.5274701
1062.087,-0.04464259,0.7261121,2.074458,0.1044783,0.571239,0.5284419
1062.101,-0.0415193,0.7277399,2.073425,0.1049842,0.569739,0.5289922
1062.115,-0.03837762,0.7294295,2.072374,0.1051101,0.5683509,0.5294213
1062.128,-0.03528341,0.7312118,2.071316,0.1048955,0.5673072,0.5299811
1062.143,-0.03221641,0.7330308,2.070286,0.1042718,0.5662835,0.5308429
1062.157,-0.02914658,0.7350121,2.069186,0.1028012,0.5662321,0.531314
1062.17,-0.02611557,0.7369292,2.068056,0.1016006,0.5662605,0.5314667
1062.185,-0.02313511,0.7389528,2.06688,0.100483,0.5665925,0.5310686
1062.199,-0.02019693,0.7410316,2.065702,0.09909684,0.5666555,0.5311515
1062.212,-0.01727043,0.7430645,2.064522,0.09803538,0.5667874,0.5313321
1062.226,-0.01421134,0.7451159,2.063338,0.09781498,0.5672615,0.5306997
1062.24,-0.01117132,0.7471502,2.062183,0.0980387,0.5679357,0.5300032
1062.254,-0.008199587,0.7491068,2.061074,0.09847217,0.5682567,0.5302928
1062.268,-0.005194165,0.751037,2.059924,0.09933925,0.5685859,0.5309986
1062.282,-0.002164062,0.7530851,2.058885,0.1012344,0.5690312,0.5316467
1062.296,0.0006270483,0.7557815,2.058515,0.1036759,0.5696827,0.5323336
1062.309,0.003431205,0.7584823,2.058164,0.1064249,0.5704435,0.5332673
1062.324,0.006365843,0.7608194,2.05749,0.1088687,0.5710319,0.5344464
1062.338,0.009383135,0.7630635,2.05662,0.1107321,0.5715705,0.5355324
1062.351,0.0124529,0.7653356,2.055722,0.1121912,0.5722955,0.535919
1062.365,0.01556978,0.7675221,2.054752,0.1137018,0.5734823,0.5354925
1062.38,0.01870363,0.7697064,2.053817,0.1156049,0.5745989,0.5346749
1062.393,0.02181106,0.7718626,2.052881,0.1175319,0.5756617,0.5346448
1062.407,0.0248382,0.7740074,2.051979,0.1191345,0.5766369,0.5353177
1062.421,0.02791933,0.7761693,2.051061,0.1211642,0.5775887,0.5357174
1062.435,0.03102456,0.7783816,2.050107,0.1235145,0.5787969,0.5353942
1062.449,0.03400998,0.7804987,2.049141,0.1261904,0.5796534,0.5355856
1062.463,0.03688713,0.7826407,2.048171,0.1288905,0.5801385,0.5370849
1062.477,0.03973662,0.7848921,2.047232,0.1313321,0.5806651,0.5392837
1062.49,0.04258143,0.7871965,2.046268,0.1334748,0.5817154,0.541219
1062.506,0.04532294,0.7897156,2.045237,0.1347604,0.583239,0.542161
1062.519,0.04797258,0.7922091,2.044206,0.134993,0.5848612,0.5427523
1062.532,0.05062973,0.7947379,2.043142,0.1349324,0.5866066,0.5425636
1062.547,0.05325708,0.7972811,2.042095,0.1350253,0.5880822,0.5417611
1062.561,0.0558795,0.7996922,2.040935,0.1354623,0.5899209,0.5411466
1062.574,0.05848184,0.8020151,2.0398,0.1362604,0.5917011,0.5411693
1062.588,0.06111934,0.8042542,2.03855,0.1378145,0.5937756,0.5416707
1062.602,0.063733,0.8064229,2.037275,0.1399762,0.595625,0.5426056
1062.616,0.06633475,0.8085493,2.035875,0.1422485,0.5976158,0.5434247
1062.63,0.06894252,0.8106364,2.034422,0.1444632,0.5994633,0.5438879
1062.644,0.07147127,0.8127378,2.032989,0.1465379,0.6014497,0.5443072
1062.658,0.07394642,0.8147969,2.031536,0.1481647,0.6033469,0.5447164
1062.671,0.07646395,0.8168478,2.030049,0.1497341,0.6056246,0.5445878
1062.686,0.0789429,0.8188134,2.028535,0.151715,0.6080307,0.5440498
1062.7,0.08127239,0.8207353,2.027024,0.1534422,0.6101551,0.5437517
1062.713,0.0836122,0.8226336,2.025521,0.1547395,0.6118664,0.5435895
1062.728,0.08591063,0.8245126,2.024095,0.1563162,0.6137735,0.5434608
1062.741,0.08825509,0.8264472,2.022715,0.1582047,0.6157511,0.5434463
1062.755,0.09059244,0.8283529,2.021255,0.1596386,0.6180053,0.5436817
1062.769,0.09295955,0.830205,2.019709,0.1613238,0.6204058,0.5436554
1062.783,0.09532908,0.8320096,2.018149,0.1637844,0.6228576,0.543045
1062.797,0.09762087,0.8337969,2.016626,0.1665239,0.6249941,0.5424816
1062.811,0.09977601,0.8355552,2.015088,0.1685104,0.6268774,0.5425017
1062.825,0.101921,0.8373113,2.013543,0.1703764,0.6286476,0.5426869
1062.839,0.1040782,0.8391457,2.011942,0.1723138,0.630558,0.5427101
1062.853,0.1061908,0.8410666,2.010395,0.1739659,0.6327814,0.5428081
1062.867,0.1082068,0.8430415,2.008855,0.1748512,0.6351839,0.5430181
1062.881,0.1102606,0.845197,2.007094,0.1744851,0.6380926,0.5426208
1062.895,0.1123688,0.8472869,2.005355,0.1747615,0.641283,0.5418059
1062.908,0.1145168,0.8493673,2.003484,0.1755068,0.6449452,0.5401035
1062.922,0.116724,0.8513517,2.001383,0.1773343,0.6489735,0.5382231
1062.936,0.1187664,0.8532629,1.999367,0.1795169,0.6523014,0.5377126
1062.95,0.1207273,0.8550607,1.99722,0.1816816,0.6552956,0.5384662
1062.964,0.1227153,0.8568685,1.995109,0.1841346,0.6581934,0.5388862
1062.978,0.1246386,0.8586737,1.992868,0.1866947,0.6609955,0.5390235
1062.992,0.1265126,0.8604958,1.990467,0.189411,0.6638955,0.5388631
1063.006,0.1282635,0.8623844,1.988085,0.1916722,0.6670464,0.5386963
1063.02,0.1299676,0.8643597,1.985641,0.1931892,0.6706099,0.5382533
1063.034,0.1316396,0.866364,1.983139,0.1942569,0.6747906,0.5370697
1063.047,0.1332794,0.8683316,1.980614,0.1956171,0.6792275,0.5352992
1063.062,0.1348289,0.8701762,1.978062,0.1975108,0.6833807,0.5334616
1063.076,0.1362526,0.871794,1.975459,0.2000508,0.6869439,0.5324425
1063.089,0.1375599,0.8734044,1.972908,0.2035533,0.6897536,0.5321244
1063.104,0.1387134,0.8751199,1.97053,0.2065491,0.6921268,0.532266
1063.118,0.1397225,0.8768964,1.968163,0.20814,0.6949733,0.5318504
1063.131,0.1407167,0.8786851,1.965808,0.2088671,0.6982729,0.5302497
1063.145,0.1416652,0.8804318,1.96339,0.209508,0.7017692,0.5280612
1063.159,0.1425822,0.8821498,1.961073,0.2108761,0.7047607,0.5266759
1063.173,0.1434427,0.8839263,1.958777,0.2127351,0.707246,0.5263562
1063.187,0.1442363,0.8856491,1.956387,0.2148166,0.7097855,0.5262018
1063.201,0.1450683,0.8874573,1.953998,0.2181235,0.7123427,0.5254831
1063.215,0.1457783,0.889215,1.951591,0.2213553,0.7147514,0.524702
1063.228,0.1463966,0.8909984,1.949294,0.2250867,0.7163046,0.5244409
1063.243,0.1469821,0.8929808,1.946906,0.2287174,0.7181067,0.5243369
1063.257,0.1475164,0.8949684,1.944617,0.2313302,0.7206186,0.5240154
1063.27,0.1479143,0.8971674,1.942384,0.2334777,0.7232811,0.523656
1063.284,0.1482875,0.8993862,1.940168,0.2352064,0.7259232,0.5230842
1063.299,0.1485346,0.9016266,1.937984,0.2367685,0.7286066,0.5220386
1063.312,0.1487069,0.903861,1.93573,0.2385916,0.731103,0.5203018
1063.326,0.1488815,0.9061141,1.93346,0.2413971,0.7332168,0.5183694
1063.34,0.1489267,0.9084182,1.931162,0.2439171,0.7355159,0.5169799
1063.354,0.148875,0.9107746,1.928831,0.2457667,0.7378728,0.5162608
1063.368,0.148849,0.9131509,1.926338,0.2474543,0.7402538,0.5157849
1063.382,0.1488705,0.9155219,1.923695,0.2499741,0.7426196,0.5151606
1063.396,0.1488521,0.9178597,1.921014,0.253167,0.7449881,0.5143987
1063.409,0.1485903,0.9202276,1.918388,0.2564664,0.7469838,0.5143729
1063.425,0.1481219,0.9226733,1.915725,0.2589661,0.7488044,0.5144766
1063.438,0.1475679,0.9251912,1.913049,0.2613404,0.7512291,0.5129252
1063.451,0.1469147,0.9278041,1.910309,0.2632951,0.7543463,0.5096854
1063.466,0.1461,0.9303488,1.907608,0.2649355,0.7573566,0.5069055
1063.479,0.1452004,0.932817,1.904897,0.2667337,0.7598826,0.5053582
1063.493,0.1442552,0.9352996,1.902112,0.2692125,0.7619234,0.504249
1063.507,0.1433092,0.9378823,1.899315,0.2718016,0.7643934,0.5029409
1063.522,0.1422145,0.9404589,1.896512,0.2734513,0.7674733,0.5013295
1063.535,0.1410268,0.9429294,1.893713,0.2743535,0.770565,0.4997802
1063.548,0.139815,0.9453639,1.890839,0.2759797,0.7733636,0.4976572
1063.563,0.1385691,0.9476782,1.88795,0.2786089,0.7760836,0.4951078
1063.577,0.1372661,0.9499782,1.885052,0.2818608,0.7787154,0.4923635
1063.59,0.1359398,0.9522723,1.8823,0.2850314,0.7814068,0.4895588
1063.605,0.1343684,0.9545264,1.879559,0.2865936,0.7843384,0.4869741
1063.619,0.1328042,0.9566791,1.876887,0.2877388,0.7873663,0.4844663
