Time, Position (X), Position (Y), Position (Z), Rotation (X), Rotation (Y), Rotation (Z)
1129.9,0.01004123,0.5454583,0.3867955,-0.6075872,0.3617443,0.6073378
1129.914,0.01004123,0.5454583,0.3867955,-0.6075872,0.3617443,0.6073378
1129.927,0.01004126,0.5454583,0.3867957,-0.6075873,0.3617444,0.6073379
1129.941,0.01004126,0.5454583,0.3867957,-0.6075873,0.3617444,0.6073379
1129.955,0.01004126,0.5454583,0.3867957,-0.6075873,0.3617444,0.6073379
1129.969,0.01004109,0.5454584,0.3867955,-0.6075871,0.3617444,0.6073377
1129.983,0.01004128,0.5454584,0.3867956,-0.6075873,0.3617443,0.6073378
1129.997,0.01004128,0.5454584,0.3867956,-0.6075873,0.3617443,0.6073378
1130.01,0.01004132,0.5454583,0.3867957,-0.6075873,0.3617444,0.607338
1130.025,0.01004104,0.5454583,0.3867954,-0.6075871,0.3617443,0.6073377
1130.039,0.01004104,0.5454583,0.3867954,-0.6075871,0.3617443,0.6073377
1130.052,0.009544257,0.5474484,0.3898346,-0.607311,0.3621849,0.6075233
1130.067,0.009145604,0.5495365,0.3923568,-0.6065418,0.3631202,0.6075624
1130.081,0.008908514,0.5515273,0.3944453,-0.6055608,0.3641742,0.6075602
1130.094,0.008908514,0.5515273,0.3944453,-0.6055608,0.3641742,0.6075602
1130.107,0.008789531,0.5533292,0.3961745,-0.6045326,0.3651931,0.6075575
1130.122,0.008275521,0.5571907,0.4007227,-0.6030599,0.3667713,0.6076146
1130.136,0.008275521,0.5571907,0.4007227,-0.6030599,0.3667713,0.6076146
1130.149,0.00794023,0.5610333,0.40446,-0.6010996,0.368814,0.6074757
1130.164,0.007799377,0.5645934,0.4075285,-0.5990163,0.3708714,0.6072913
1130.178,0.007799377,0.5645934,0.4075285,-0.5990163,0.3708714,0.6072913
1130.191,0.007306668,0.5700729,0.4131537,-0.5964516,0.3734164,0.6071686
1130.206,0.007058596,0.5753578,0.4177312,-0.5934805,0.3762888,0.6068673
1130.22,0.007025044,0.5801638,0.4214604,-0.5905073,0.3790365,0.6065447
1130.234,0.007025044,0.5801638,0.4214604,-0.5905073,0.3790365,0.6065447
1130.247,0.007122118,0.5843893,0.4245075,-0.5877371,0.3814913,0.6062599
1130.262,0.006812085,0.5904104,0.4300664,-0.5846018,0.384248,0.6060619
1130.276,0.006812085,0.5904104,0.4300664,-0.5846018,0.384248,0.6060619
1130.289,0.006736963,0.5961211,0.4345388,-0.581209,0.3872112,0.6056955
1130.304,0.00683978,0.6012501,0.4381565,-0.5779371,0.3899785,0.6053166
1130.317,0.00683978,0.6012501,0.4381565,-0.5779371,0.3899785,0.6053166
1130.333,0.006573908,0.6081591,0.4441147,-0.5742264,0.3930311,0.6049967
1130.345,0.006578211,0.614663,0.4488602,-0.5703068,0.3962395,0.6045109
1130.359,0.006578211,0.614663,0.4488602,-0.5703068,0.3962395,0.6045109
1130.373,0.006761663,0.6204672,0.4526719,-0.5665851,0.399195,0.6040257
1130.387,0.007032773,0.6254981,0.4557574,-0.5632378,0.4017691,0.6035975
1130.401,0.006890997,0.6323169,0.4612099,-0.5594876,0.4045353,0.6032196
1130.415,0.006890997,0.6323169,0.4612099,-0.5594876,0.4045353,0.6032196
1130.428,0.006993752,0.6387031,0.4655011,-0.5556024,0.4074375,0.6026799
1130.443,0.007239854,0.6443679,0.4689257,-0.551968,0.410095,0.6021485
1130.457,0.007239854,0.6443679,0.4689257,-0.551968,0.410095,0.6021485
1130.47,0.007122461,0.6518482,0.4745585,-0.5478385,0.4129454,0.6016296
1130.485,0.007275333,0.6588207,0.4789423,-0.5436033,0.4159126,0.6009564
1130.499,0.007275333,0.6588207,0.4789423,-0.5436033,0.4159126,0.6009564
