Time, Position (X), Position (Y), Position (Z), Rotation (X), Rotation (Y), Rotation (Z)
1397.895,0.009568058,0.6216109,0.2458943,0.5122686,9.706291E-05,0.0002791774
1397.908,0.009568058,0.6216109,0.2458943,0.5122686,9.706282E-05,0.0002791773
1397.922,0.009568058,0.6216109,0.2458943,0.5122686,9.706262E-05,0.0002791772
1397.937,0.009568058,0.6216109,0.2458943,0.5122686,9.706262E-05,0.0002791772
1397.95,0.009568058,0.6216109,0.2458943,0.5122686,9.706253E-05,0.0002791771
1397.964,0.009568115,0.6216109,0.2458943,0.5122687,9.696917E-05,0.0002791771
1397.978,0.009568115,0.6216109,0.2458943,0.5122687,9.696917E-05,0.0002791771
1397.992,0.009568058,0.6216109,0.2458943,0.5122686,9.706291E-05,0.0002791774
1398.006,0.009568058,0.6216109,0.2458943,0.5122686,9.706291E-05,0.0002791774
1398.02,0.009568058,0.6216109,0.2458943,0.5122686,9.706282E-05,0.0002791773
1398.034,0.009568058,0.6216109,0.2458943,0.5122686,9.706282E-05,0.0002791773
1398.047,0.009568058,0.6216109,0.2458943,0.5122686,9.706274E-05,0.0002791772
1398.062,0.009568058,0.6216109,0.2458943,0.5122686,9.706262E-05,0.0002791772
1398.076,0.009568058,0.6216109,0.2458943,0.5122686,9.706262E-05,0.0002791772
1398.089,0.009568058,0.6216109,0.2458943,0.5122686,9.706253E-05,0.0002791771
1398.104,0.009568059,0.6216109,0.2458943,0.5122686,9.706242E-05,0.000279177
1398.118,0.009568059,0.6216109,0.2458943,0.5122686,9.706242E-05,0.000279177
1398.131,0.009568115,0.6216109,0.2458943,0.5122687,9.696917E-05,0.0002791771
1398.145,0.009568058,0.6216109,0.2458943,0.5122686,9.706288E-05,0.0002791773
1398.159,0.009568058,0.6216109,0.2458943,0.5122686,9.706288E-05,0.0002791773
1398.173,0.009568058,0.6216109,0.2458943,0.5122686,9.706288E-05,0.0002791773
1398.187,0.009568058,0.6216109,0.2458943,0.5122686,9.706274E-05,0.0002791772
1398.201,0.009568058,0.6216109,0.2458943,0.5122686,9.706262E-05,0.0002791772
1398.215,0.009568058,0.6216109,0.2458943,0.5122686,9.706262E-05,0.0002791772
1398.228,0.009568058,0.6216109,0.2458943,0.5122686,9.706256E-05,0.0002791771
1398.243,0.009568058,0.6216109,0.2458943,0.5122686,9.706253E-05,0.0002791771
1398.257,0.009568058,0.6216109,0.2458943,0.5122686,9.706253E-05,0.0002791771
1398.271,0.009568058,0.6216109,0.2458943,0.5122686,9.706248E-05,0.0002791771
1398.285,0.009568115,0.6216109,0.2458943,0.5122687,9.696917E-05,0.0002791771
1398.299,0.009568115,0.6216109,0.2458943,0.5122687,9.696917E-05,0.0002791771
1398.312,0.009568058,0.6216109,0.2458943,0.5122686,9.706291E-05,0.0002791774
1398.327,0.009568058,0.6216109,0.2458943,0.5122686,9.706288E-05,0.0002791773
1398.34,0.009568058,0.6216109,0.2458943,0.5122686,9.706274E-05,0.0002791772
1398.354,0.009568058,0.6216109,0.2458943,0.5122686,9.706274E-05,0.0002791772
1398.368,0.009568058,0.6216109,0.2458943,0.5122686,9.706256E-05,0.0002791771
1398.382,0.009568058,0.6216109,0.2458943,0.5122686,9.706248E-05,0.0002791771
1398.396,0.009568058,0.6216109,0.2458943,0.5122686,9.706248E-05,0.0002791771
1398.409,0.009568115,0.6216109,0.2458943,0.5122687,9.696917E-05,0.0002791771
1398.424,0.009568058,0.6216109,0.2458943,0.5122686,9.706291E-05,0.0002791774
1398.438,0.009568058,0.6216109,0.2458943,0.5122686,9.706291E-05,0.0002791774
1398.451,0.009568058,0.6216109,0.2458943,0.5122686,9.706291E-05,0.0002791774
1398.466,0.009568058,0.6216109,0.2458943,0.5122686,9.706277E-05,0.0002791773
1398.48,0.009568058,0.6216109,0.2458943,0.5122686,9.706277E-05,0.0002791773
1398.493,0.009568058,0.6216109,0.2458943,0.5122686,9.706262E-05,0.0002791772
1398.508,0.009568058,0.6216109,0.2458943,0.5122686,9.706248E-05,0.0002791771
1398.522,0.009568115,0.6216109,0.2458943,0.5122687,9.696914E-05,0.0002791771
1398.535,0.009568115,0.6216109,0.2458943,0.5122687,9.696914E-05,0.0002791771
1398.549,0.009568058,0.6216109,0.2458943,0.5122686,9.706288E-05,0.0002791773
1398.564,0.009568058,0.6216109,0.2458943,0.5122686,9.706288E-05,0.0002791773
1398.577,0.009568058,0.6216109,0.2458943,0.5122686,9.706288E-05,0.0002791773
1398.59,0.009568058,0.6216109,0.2458943,0.5122686,9.706282E-05,0.0002791773
1398.605,0.009568058,0.6216109,0.2458943,0.5122686,9.706268E-05,0.0002791772
1398.619,0.009568058,0.6216109,0.2458943,0.5122686,9.706268E-05,0.0002791772
1398.632,0.009568058,0.6216109,0.2458943,0.5122686,9.706256E-05,0.0002791771
1398.647,0.009568058,0.6216109,0.2458943,0.5122686,9.706248E-05,0.0002791771
1398.661,0.009568115,0.6216109,0.2458943,0.5122687,9.696917E-05,0.0002791771
1398.675,0.009568115,0.6216109,0.2458943,0.5122687,9.696917E-05,0.0002791771
1398.688,0.009568058,0.6216109,0.2458943,0.5122686,9.706288E-05,0.0002791773
1398.703,0.009568058,0.6216109,0.2458943,0.5122686,9.706288E-05,0.0002791773
1398.717,0.009568058,0.6216109,0.2458943,0.5122686,9.706288E-05,0.0002791773
1398.73,0.009568058,0.6216109,0.2458943,0.5122686,9.706274E-05,0.0002791772
1398.744,0.009568058,0.6216109,0.2458943,0.5122686,9.706256E-05,0.0002791771
1398.758,0.009568058,0.6216109,0.2458943,0.5122686,9.706256E-05,0.0002791771
1398.772,0.009568059,0.6216109,0.2458943,0.5122686,9.706242E-05,0.000279177
1398.786,0.009568115,0.6216109,0.2458943,0.5122687,9.696914E-05,0.0002791771
1398.8,0.009568058,0.6216109,0.2458943,0.5122686,9.706282E-05,0.0002791773
1398.814,0.009568058,0.6216109,0.2458943,0.5122686,9.706282E-05,0.0002791773
1398.827,0.009568058,0.6216109,0.2458943,0.5122686,9.706282E-05,0.0002791773
1398.842,0.009568058,0.6216109,0.2458943,0.5122686,9.706277E-05,0.0002791773
1398.856,0.009568058,0.6216109,0.2458943,0.5122686,9.706277E-05,0.0002791773
1398.869,0.009568058,0.6216109,0.2458943,0.5122686,9.706268E-05,0.0002791772
1398.884,0.009568058,0.6216109,0.2458943,0.5122686,9.706253E-05,0.0002791771
1398.899,0.009568058,0.6216109,0.2458943,0.5122686,9.706253E-05,0.0002791771
1398.911,0.009568115,0.6216109,0.2458943,0.5122687,9.696917E-05,0.0002791771
1398.925,0.009568058,0.6216109,0.2458943,0.5122686,9.706288E-05,0.0002791773
1398.939,0.009568058,0.6216109,0.2458943,0.5122686,9.706288E-05,0.0002791773
1398.953,0.009568058,0.6216109,0.2458943,0.5122686,9.706288E-05,0.0002791773
1398.967,0.009568058,0.6216109,0.2458943,0.5122686,9.706277E-05,0.0002791773
1398.982,0.009568058,0.6216109,0.2458943,0.5122686,9.706262E-05,0.0002791772
1398.995,0.009568058,0.6216109,0.2458943,0.5122686,9.706262E-05,0.0002791772
1399.008,0.009568058,0.6216109,0.2458943,0.5122686,9.706248E-05,0.0002791771
1399.023,0.009568115,0.6216109,0.2458943,0.5122687,9.696917E-05,0.0002791771
1399.037,0.009568115,0.6216109,0.2458943,0.5122687,9.696917E-05,0.0002791771
1399.05,0.0097243,0.6232679,0.2483542,0.5125569,0.0001704531,0.0009805271
1399.065,0.009762621,0.6248306,0.2502533,0.5135891,0.0001819742,0.001702893
1399.079,0.009762621,0.6248306,0.2502533,0.5135891,0.0001819742,0.001702893
1399.092,0.009789227,0.6262416,0.2517439,0.5149004,0.000137579,0.002329302
1399.107,0.009922335,0.6292915,0.2553729,0.5169403,0.0001233349,0.003722808
1399.121,0.00995081,0.632126,0.2581483,0.5197976,1.740132E-05,0.005030021
1399.134,0.00995081,0.632126,0.2581483,0.5197976,1.740132E-05,0.005030021
1399.148,0.009980002,0.6346638,0.2603084,0.5228248,-0.0001522119,0.006146472
1399.162,0.01001927,0.6368823,0.2620168,0.5257026,-0.0003516437,0.007082826
