Time, Position (X), Position (Y), Position (Z), Rotation (X), Rotation (Y), Rotation (Z)
151.8815,0.009158341,0.1453883,0.3868487,-0.6076683,0.3621717,0.6074126
151.8957,0.009158341,0.1453883,0.3868487,-0.6076683,0.3621717,0.6074126
151.9083,0.009158341,0.1453883,0.3868487,-0.6076683,0.3621717,0.6074126
151.9227,0.009158341,0.1453883,0.3868487,-0.6076683,0.3621717,0.6074126
151.9369,0.009158341,0.1453883,0.3868487,-0.6076683,0.3621717,0.6074126
151.9498,0.009158341,0.1453883,0.3868487,-0.6076683,0.3621717,0.6074126
151.9644,0.009158341,0.1453883,0.3868487,-0.6076683,0.3621717,0.6074126
151.9783,0.009158341,0.1453883,0.3868487,-0.6076683,0.3621717,0.6074126
151.9917,0.009158341,0.1453883,0.3868487,-0.6076683,0.3621717,0.6074126
152.0061,0.009158341,0.1453883,0.3868487,-0.6076683,0.3621717,0.6074126
152.0201,0.009158341,0.1453883,0.3868487,-0.6076683,0.3621717,0.6074126
152.0342,0.009158341,0.1453883,0.3868487,-0.6076683,0.3621717,0.6074126
152.0475,0.008795995,0.1475335,0.3892057,-0.6067529,0.3643341,0.607018
152.0618,0.008444929,0.1502145,0.3911256,-0.6049471,0.3673762,0.6063832
152.0759,0.008444929,0.1502145,0.3911256,-0.6049471,0.3673762,0.6063832
152.0895,0.008304195,0.1529712,0.392683,-0.602774,0.3705198,0.6057348
152.1038,0.007828713,0.1580377,0.3963328,-0.5994285,0.3760134,0.6046149
152.1175,0.007828713,0.1580377,0.3963328,-0.5994285,0.3760134,0.6046149
152.1309,0.007503396,0.1634918,0.3992324,-0.5951906,0.3821422,0.6032642
152.1455,0.007481971,0.1687579,0.4015217,-0.5907471,0.3880098,0.6019385
152.1594,0.007481971,0.1687579,0.4015217,-0.5907471,0.3880098,0.6019385
152.1729,0.007142325,0.1761126,0.4056168,-0.5852827,0.3959484,0.6001739
152.1872,0.007002049,0.1835778,0.4087578,-0.579147,0.4041221,0.5981978
152.2012,0.007178574,0.1905754,0.4111518,-0.5730674,0.4116821,0.5962629
152.2153,0.007178574,0.1905754,0.4111518,-0.5730674,0.4116821,0.5962629
152.2284,0.007540814,0.1968528,0.4129764,-0.5674226,0.4183676,0.5944741
