Time, Position (X), Position (Y), Position (Z), Rotation (X), Rotation (Y), Rotation (Z)
1189.868,-0.1510506,0.5110236,-0.7142113,-0.3513429,0.1174028,-0.6249687
1189.883,0.1802101,0.07494543,-0.3381926,-0.07469425,0.5832368,0.01020163
1189.897,0.1802101,0.07494543,-0.3381926,-0.07469425,0.5832368,0.01020163
1189.91,0.3326277,0.5242974,-0.1461401,0.3647462,0.7505149,-0.4951209
1189.925,0.1112711,0.6612331,-0.07866605,0.2943157,0.9436048,-0.1384804
1189.938,0.1112711,0.6612331,-0.07866605,0.2943157,0.9436048,-0.1384804
1189.951,-0.2539574,-0.03104861,-0.1334986,-0.05629659,-0.2253823,-0.1607292
1189.966,0.2591936,0.03926641,-0.02290932,-0.1094918,0.2099796,-0.7035238
1189.981,-0.7206368,0.3636119,0.05225579,0.2415225,-0.5664753,-0.7851975
1189.994,-0.7206368,0.3636119,0.05225579,0.2415225,-0.5664753,-0.7851975
1190.007,-0.1010946,0.7725925,0.05384087,0.3288523,0.8766446,0.3125527
1190.022,0.2246974,-0.1166443,-0.424238,0.2016757,0.0108226,-0.9315853
1190.036,0.2246974,-0.1166443,-0.424238,0.2016757,0.0108226,-0.9315853
1190.049,-0.3849567,0.2745324,-0.5572176,-0.6125112,-0.13255,0.7082127
1190.064,0.3424101,0.325606,0.1735871,0.3163919,0.3982154,0.01252672
1190.078,0.3424101,0.325606,0.1735871,0.3163919,0.3982154,0.01252672
1190.091,-0.0005058636,-0.0246914,0.2438904,-0.01760766,0.8622472,0.4168892
1190.106,-0.1571492,0.7642941,-0.001780758,0.4310066,-0.07674708,0.7957644
1190.12,-0.1571492,0.7642941,-0.001780758,0.4310066,-0.07674708,0.7957644
1190.133,0.3163345,0.5077155,-0.239744,0.4277634,-0.7126706,-0.5097478
1190.148,-0.1345093,0.4968464,0.6756825,0.549988,0.06580555,-0.4522983
1190.162,-0.07925444,1.022072,0.2202989,-0.4984544,-0.3038239,-0.3862054
1190.175,-0.07925444,1.022072,0.2202989,-0.4984544,-0.3038239,-0.3862054
1190.188,0.2384621,0.2448446,-0.2437881,-0.5440968,-0.7063041,0.1708151
1190.203,0.2266947,-0.05957271,-0.05791199,-0.6544311,-0.4050937,-0.02274684
1190.218,0.2266947,-0.05957271,-0.05791199,-0.6544311,-0.4050937,-0.02274684
1190.23,0.08378299,0.6713259,0.2545583,-0.5893297,0.5937455,0.06169629
1190.245,0.1982894,-0.1372918,0.2125726,0.1231073,-0.4734684,-0.4472667
1190.259,0.1982894,-0.1372918,0.2125726,0.1231073,-0.4734684,-0.4472667
