Time, Position (X), Position (Y), Position (Z), Rotation (X), Rotation (Y), Rotation (Z)
80.35658,-0.142247,0.3345543,1.335169,0.00405161,0.9967206,0.02908554
80.37916,-0.1422429,0.3345537,1.335248,0.003912633,0.996709,0.02898678
80.39036,-0.1422409,0.3345477,1.335307,0.004146789,0.9967054,0.02894379
80.40659,-0.1422674,0.3346095,1.335376,0.00427259,0.9967024,0.02897285
80.42358,-0.1422991,0.3346659,1.335427,0.004341477,0.9966913,0.02905102
80.44246,-0.1423342,0.3347039,1.335562,0.004343163,0.9966876,0.02912959
80.45771,-0.142385,0.3346955,1.335639,0.004229577,0.9966898,0.0292441
80.47265,-0.1424387,0.3346824,1.335713,0.003982189,0.9966987,0.02925444
80.4904,-0.1424946,0.3346768,1.335779,0.003652911,0.9967057,0.02933015
80.50702,-0.1425416,0.3346941,1.335858,0.00327325,0.9967158,0.0294856
80.52412,-0.1426204,0.334761,1.336001,0.002784716,0.9967375,0.02965664
80.54085,-0.1426666,0.3348297,1.336068,0.002533236,0.9967423,0.03006676
80.55885,-0.1427359,0.3348891,1.336127,0.002579791,0.9967502,0.03039823
80.57301,-0.1427726,0.3349511,1.336175,0.002486691,0.9967433,0.03069679
80.59283,-0.1428204,0.3350574,1.336266,0.002455284,0.9967629,0.03110265
80.60999,-0.1428215,0.3350958,1.336323,0.002596296,0.9967688,0.031362
80.6263,-0.1427974,0.3351159,1.336369,0.002581262,0.9967563,0.03147504
80.64286,-0.1427754,0.3351202,1.336386,0.002660591,0.9967521,0.03150938
80.65984,-0.142736,0.3351127,1.336406,0.002619578,0.9967466,0.03155547
80.67587,-0.1426591,0.3350494,1.336482,0.002529713,0.9967321,0.03162016
80.69369,-0.1425958,0.3349579,1.336512,0.002559494,0.9967152,0.03160552
80.70987,-0.1425287,0.3349566,1.336517,0.00248412,0.9967086,0.03135672
80.72682,-0.1424606,0.3349324,1.336503,0.00251552,0.9967059,0.03113513
