Time, Position (X), Position (Y), Position (Z), Rotation (X), Rotation (Y), Rotation (Z)
51.48864,0.1340197,0.4333542,1.78966,0.1771711,0.9720475,-0.1532538
51.5035,0.1340449,0.4333594,1.789635,0.1772788,0.9720324,-0.1532273
51.51743,0.1340659,0.4333496,1.789614,0.1773722,0.9720145,-0.1532327
51.52978,0.1340862,0.433318,1.789597,0.1774791,0.9719867,-0.1532818
51.5452,0.1341095,0.4332476,1.789582,0.177615,0.9719341,-0.1534471
51.55905,0.1341378,0.4331423,1.789564,0.1777777,0.9718617,-0.1537059
51.57163,0.1341709,0.4330055,1.789546,0.1779299,0.9717951,-0.1539444
51.58646,0.1342024,0.4328499,1.789529,0.1779884,0.9717311,-0.1542763
51.60041,0.1342385,0.4326876,1.789523,0.1779531,0.971693,-0.154548
51.61438,0.1342977,0.4325201,1.789522,0.177864,0.9716689,-0.1547859
51.6272,0.134382,0.4323511,1.789531,0.1778152,0.9716381,-0.1550123
51.64199,0.1344919,0.4321878,1.789542,0.1778677,0.9715878,-0.1552488
51.65627,0.1346392,0.4320262,1.789558,0.1780274,0.9715194,-0.1554726
51.66898,0.1348334,0.4318661,1.789575,0.1782336,0.9714476,-0.1556525
51.68377,0.135045,0.4317221,1.789585,0.178379,0.9713902,-0.1558032
51.69785,0.1352987,0.4315659,1.78959,0.1785335,0.9713295,-0.1559454
51.71052,0.135554,0.4314235,1.789591,0.1788185,0.9712404,-0.1561155
51.72551,0.1357852,0.431304,1.789585,0.1791549,0.971159,-0.1561991
51.73961,0.1360053,0.4311909,1.78958,0.179537,0.9710827,-0.1562042
51.75217,0.1362202,0.4310887,1.789574,0.1798701,0.9710093,-0.1562427
51.76706,0.1364017,0.4310046,1.789572,0.1800206,0.9709787,-0.1562261
51.78087,0.136574,0.4309291,1.789566,0.1800405,0.9709729,-0.1562011
51.79626,0.1367336,0.4308738,1.789569,0.1801419,0.9709594,-0.1561353
51.80748,0.1368889,0.4308155,1.789575,0.1804165,0.9709072,-0.1561206
51.82239,0.1370097,0.4307533,1.789575,0.1806895,0.9708503,-0.1561466
51.8363,0.1370899,0.4306981,1.789571,0.1808082,0.9708189,-0.1561981
51.8481,0.1371804,0.4306238,1.789573,0.1808026,0.9708076,-0.1562558
51.863,0.1372296,0.430568,1.789571,0.1807333,0.9708182,-0.1562583
51.8812,0.1372784,0.4304994,1.789572,0.1806626,0.9708321,-0.1562461
51.89122,0.1373172,0.4304414,1.78957,0.1806447,0.9708302,-0.1562751
51.90306,0.1373798,0.4303648,1.789568,0.1806814,0.9708108,-0.1563435
51.9179,0.1374565,0.4302952,1.789574,0.1807475,0.970788,-0.1563901
51.93173,0.1375532,0.4302467,1.789602,0.1808424,0.9707706,-0.1563673
51.94679,0.1376706,0.4302112,1.789641,0.1810098,0.9707506,-0.1562818
51.96104,0.1378684,0.4301617,1.789697,0.1813953,0.9707283,-0.15595
51.98678,0.1382094,0.4300475,1.789751,0.1821291,0.970637,-0.1555893
52.01134,0.1385671,0.4299287,1.78985,0.1829048,0.9706079,-0.154767
52.03453,0.1385911,0.4299223,1.789857,0.1830128,0.9706056,-0.1546585
52.04304,0.1385911,0.4299223,1.789857,0.1830128,0.9706056,-0.1546585
52.05078,0.1385911,0.4299223,1.789857,0.1830128,0.9706056,-0.1546585
52.06482,0.1385911,0.4299223,1.789857,0.1830128,0.9706056,-0.1546585
52.07924,0.1385911,0.4299223,1.789857,0.1830128,0.9706056,-0.1546585
52.09272,0.1385911,0.4299223,1.789857,0.1830128,0.9706056,-0.1546585
52.10768,0.1385911,0.4299223,1.789857,0.1830128,0.9706056,-0.1546585
52.12209,0.1385911,0.4299223,1.789857,0.1830128,0.9706056,-0.1546585
52.13669,0.1385911,0.4299223,1.789857,0.1830128,0.9706056,-0.1546585
52.14655,0.1385911,0.4299223,1.789857,0.1830128,0.9706056,-0.1546585
52.15857,0.1385911,0.4299223,1.789857,0.1830128,0.9706056,-0.1546585
52.17512,0.1385911,0.4299223,1.789857,0.1830128,0.9706056,-0.1546585
52.18872,0.1385911,0.4299223,1.789857,0.1830128,0.9706056,-0.1546585
52.20361,0.1385911,0.4299223,1.789857,0.1830128,0.9706056,-0.1546585
52.21922,0.1385911,0.4299223,1.789857,0.1830128,0.9706056,-0.1546585
52.23116,0.1385911,0.4299223,1.789857,0.1830128,0.9706056,-0.1546585
52.2442,0.1385911,0.4299223,1.789857,0.1830128,0.9706056,-0.1546585
52.25898,0.1385911,0.4299223,1.789857,0.1830128,0.9706056,-0.1546585
52.2701,0.1385911,0.4299223,1.789857,0.1830128,0.9706056,-0.1546585
52.28392,0.1385911,0.4299223,1.789857,0.1830128,0.9706056,-0.1546585
52.29779,0.1385911,0.4299223,1.789857,0.1830128,0.9706056,-0.1546585
52.31091,0.1385911,0.4299223,1.789857,0.1830128,0.9706056,-0.1546585
52.32769,0.1385911,0.4299223,1.789857,0.1830128,0.9706056,-0.1546585
52.33887,0.1385911,0.4299223,1.789857,0.1830128,0.9706056,-0.1546585
52.35238,0.1385911,0.4299223,1.789857,0.1830128,0.9706056,-0.1546585
52.36734,0.1385911,0.4299223,1.789857,0.1830128,0.9706056,-0.1546585
52.3814,0.1385911,0.4299223,1.789857,0.1830128,0.9706056,-0.1546585
52.39515,0.1385911,0.4299223,1.789857,0.1830128,0.9706056,-0.1546585
52.40867,0.1385911,0.4299223,1.789857,0.1830128,0.9706056,-0.1546585
52.42358,0.1385911,0.4299223,1.789857,0.1830128,0.9706056,-0.1546585
52.43742,0.1385911,0.4299223,1.789857,0.1830128,0.9706056,-0.1546585
52.45066,0.1385911,0.4299223,1.789857,0.1830128,0.9706056,-0.1546585
52.46544,0.1385911,0.4299223,1.789857,0.1830128,0.9706056,-0.1546585
52.47987,0.1385911,0.4299223,1.789857,0.1830128,0.9706056,-0.1546585
52.4929,0.1385911,0.4299223,1.789857,0.1830128,0.9706056,-0.1546585
52.50737,0.1385911,0.4299223,1.789857,0.1830128,0.9706056,-0.1546585
52.52167,0.1385911,0.4299223,1.789857,0.1830128,0.9706056,-0.1546585
52.53584,0.1385911,0.4299223,1.789857,0.1830128,0.9706056,-0.1546585
52.5491,0.1385911,0.4299223,1.789857,0.1830128,0.9706056,-0.1546585
52.56362,0.1385911,0.4299223,1.789857,0.1830128,0.9706056,-0.1546585
52.578,0.1385911,0.4299223,1.789857,0.1830128,0.9706056,-0.1546585
52.59098,0.1385911,0.4299223,1.789857,0.1830128,0.9706056,-0.1546585
52.60541,0.1385911,0.4299223,1.789857,0.1830128,0.9706056,-0.1546585
52.61979,0.1385911,0.4299223,1.789857,0.1830128,0.9706056,-0.1546585
52.63261,0.1385911,0.4299223,1.789857,0.1830128,0.9706056,-0.1546585
52.64734,0.1385911,0.4299223,1.789857,0.1830128,0.9706056,-0.1546585
52.66134,0.1385911,0.4299223,1.789857,0.1830128,0.9706056,-0.1546585
52.6752,0.1385911,0.4299223,1.789857,0.1830128,0.9706056,-0.1546585
52.68821,0.1385911,0.4299223,1.789857,0.1830128,0.9706056,-0.1546585
52.70269,0.1385911,0.4299223,1.789857,0.1830128,0.9706056,-0.1546585
52.71694,0.1385911,0.4299223,1.789857,0.1830128,0.9706056,-0.1546585
