Time, Position (X), Position (Y), Position (Z), Rotation (X), Rotation (Y), Rotation (Z)
51.48864,0.01640713,0.8584285,2.031355,0.02500474,0.9993159,0.02694773
51.5035,0.01660335,0.858417,2.031284,0.02506363,0.9993148,0.02691075
51.51743,0.01679641,0.8584037,2.031219,0.02513991,0.9993155,0.02679355
51.52978,0.01695776,0.8583847,2.031173,0.02520855,0.9993167,0.02666192
51.5452,0.01711881,0.8583614,2.031123,0.02543125,0.999315,0.02649819
51.55905,0.01726669,0.8583344,2.031086,0.02568241,0.9993088,0.02646735
51.57163,0.01741964,0.8583216,2.031049,0.02593315,0.9993036,0.02639975
51.58646,0.01757824,0.858313,2.030998,0.02617632,0.9992959,0.02642486
51.60041,0.01774931,0.8583118,2.030937,0.02637419,0.9992886,0.02648157
51.61438,0.0179252,0.8583162,2.030872,0.0265711,0.9992819,0.02650234
51.6272,0.01810515,0.858346,2.030798,0.0268121,0.9992703,0.02664125
51.64199,0.01828218,0.8583685,2.03072,0.02696866,0.9992623,0.02672559
51.65627,0.01846337,0.8583806,2.030645,0.02710998,0.9992561,0.02676748
51.66898,0.0186401,0.8583803,2.030571,0.02723196,0.9992522,0.02673141
51.68377,0.01880497,0.8583718,2.030495,0.02737126,0.9992478,0.02670641
51.69785,0.01893902,0.8583319,2.030417,0.02753767,0.9992444,0.02662085
51.71052,0.01907068,0.8582894,2.030333,0.02772644,0.9992401,0.02655797
51.72551,0.0192064,0.8582615,2.030256,0.02781454,0.9992415,0.02640278
51.73961,0.01934749,0.8582364,2.030172,0.02794597,0.999239,0.02636289
51.75217,0.01947439,0.8582022,2.030087,0.028115,0.9992356,0.02629491
51.76706,0.01958942,0.8581479,2.029996,0.0284238,0.9992306,0.02614442
51.78087,0.01970488,0.8580879,2.029898,0.02848926,0.9992285,0.0261309
51.79626,0.01982814,0.858051,2.029797,0.02853514,0.9992276,0.02607689
51.80748,0.01994628,0.8580258,2.029692,0.02863959,0.9992257,0.02601441
51.82239,0.02005118,0.8580005,2.029565,0.02871216,0.9992256,0.02592663
51.8363,0.02014583,0.8579592,2.029438,0.02863199,0.9992322,0.02572156
51.8481,0.02023625,0.8579109,2.029326,0.0286128,0.9992433,0.02530733
51.863,0.02033728,0.8578643,2.029231,0.02874513,0.9992458,0.02504318
51.8812,0.0204286,0.8578326,2.029134,0.02892214,0.999245,0.02486912
51.89122,0.02051687,0.8578272,2.029037,0.02898253,0.9992448,0.02479941
51.90306,0.02060324,0.8578435,2.028944,0.0289818,0.9992474,0.02470894
51.9179,0.02068782,0.8578457,2.028856,0.02899634,0.9992511,0.02456317
51.93173,0.02076781,0.8578187,2.028762,0.02903105,0.999253,0.02444545
51.94679,0.02084625,0.8577909,2.028676,0.02915689,0.9992536,0.02425635
51.96104,0.02088583,0.8577493,2.028567,0.02919895,0.9992545,0.02415563
51.98678,0.02097344,0.8576777,2.028346,0.02932551,0.999254,0.02399054
52.01134,0.02111721,0.8576509,2.028174,0.02942264,0.999254,0.02380572
52.03453,0.02118391,0.8576382,2.028123,0.02944633,0.9992568,0.02362956
52.04304,0.0212487,0.8576231,2.028086,0.02965171,0.9992517,0.02354388
52.05078,0.02131653,0.8576056,2.028037,0.02971382,0.999252,0.02342795
52.06482,0.0213818,0.857582,2.027966,0.02986706,0.9992506,0.02326715
52.07924,0.02142805,0.8575552,2.027898,0.03005655,0.9992464,0.02315273
52.09272,0.02143294,0.8575355,2.027819,0.03020032,0.9992439,0.02301814
52.10768,0.02142251,0.8575215,2.027739,0.03045817,0.999236,0.02298452
52.12209,0.02144873,0.8575156,2.027658,0.03060464,0.9992304,0.02300901
52.13669,0.02149677,0.8575046,2.027576,0.03057118,0.9992278,0.02310633
52.14655,0.02153444,0.8574896,2.0275,0.03049224,0.9992319,0.02298003
52.15857,0.0215866,0.8574582,2.02743,0.03061526,0.9992309,0.02279626
52.17512,0.02161819,0.8574228,2.027364,0.0308069,0.9992254,0.0227225
52.18872,0.02163291,0.8573897,2.027302,0.03092156,0.9992245,0.02258344
52.20361,0.02163577,0.8573753,2.02725,0.03095002,0.999228,0.02238708
52.21922,0.02161843,0.8573543,2.027196,0.0309221,0.9992315,0.02228449
52.23116,0.02159649,0.8573359,2.027131,0.03089399,0.9992338,0.02223025
52.2442,0.02156234,0.857318,2.027071,0.030844,0.9992373,0.02216498
52.25898,0.0215283,0.8573141,2.02701,0.03070993,0.999243,0.02213763
52.2701,0.02149135,0.8573141,2.02695,0.03056882,0.9992485,0.02213675
52.28392,0.02145135,0.8573172,2.026894,0.03044328,0.9992537,0.02211229
52.29779,0.0214228,0.8573132,2.026838,0.03028313,0.9992586,0.02216604
52.31091,0.02140278,0.857307,2.026789,0.03016027,0.9992697,0.02194553
52.32769,0.02136356,0.8572959,2.026737,0.03005251,0.9992766,0.0218263
52.33887,0.02132016,0.8572824,2.026688,0.02997633,0.9992784,0.02186729
52.35238,0.02128768,0.8572701,2.026627,0.03000627,0.9992843,0.02161355
52.36734,0.02127165,0.8572662,2.026553,0.02999846,0.9992862,0.02158863
52.3814,0.0212521,0.8572735,2.026483,0.03002877,0.9992844,0.02164757
52.39515,0.02123284,0.8572599,2.026423,0.02998993,0.9992876,0.02155617
52.40867,0.02121669,0.8572472,2.02637,0.02999668,0.9992883,0.02149453
52.42358,0.0212062,0.8572255,2.026299,0.02993331,0.9992915,0.02141559
52.43742,0.02118391,0.8571998,2.026228,0.02995993,0.9992912,0.02132997
52.45066,0.02116877,0.8571826,2.026158,0.02999449,0.9992901,0.02127805
52.46544,0.02116108,0.857179,2.026093,0.03002538,0.9992907,0.02116429
52.47987,0.02113861,0.8571709,2.026037,0.03003836,0.999293,0.0209654
52.4929,0.02110571,0.8571501,2.02599,0.03006526,0.9992929,0.02088719
52.50737,0.02105319,0.8571128,2.025961,0.03000603,0.9992996,0.02067048
52.52167,0.02100664,0.8570827,2.025923,0.02995158,0.9993049,0.02049702
52.53584,0.02095878,0.8570544,2.025882,0.0299504,0.9993125,0.02019987
52.5491,0.02091461,0.8570255,2.025845,0.02992703,0.9993187,0.01998685
52.56362,0.02089334,0.8569789,2.025812,0.02984406,0.9993255,0.01980474
52.578,0.02087456,0.856915,2.025773,0.02983434,0.9993298,0.01964622
52.59098,0.02084398,0.8568845,2.02575,0.02977176,0.9993361,0.01945397
52.60541,0.02081406,0.8568693,2.025732,0.02970904,0.999341,0.01931458
52.61979,0.02078515,0.856854,2.025717,0.02961137,0.9993441,0.01924805
52.63261,0.02075815,0.856832,2.025709,0.02954746,0.9993466,0.01921767
52.64734,0.02072442,0.8568096,2.025709,0.0294794,0.9993475,0.01920778
52.66134,0.0207178,0.8568125,2.025698,0.02940475,0.999349,0.0191999
52.6752,0.02070427,0.8568139,2.025702,0.02932867,0.9993498,0.01920474
52.68821,0.02071083,0.856824,2.025717,0.02925196,0.9993533,0.01909968
52.70269,0.02072692,0.8568228,2.025731,0.02920066,0.9993536,0.01909898
52.71694,0.02074659,0.8568196,2.025743,0.02920524,0.9993514,0.01915128
52.73034,0.02075446,0.8568257,2.025752,0.02919889,0.9993489,0.0191631
52.74518,0.02076995,0.8568342,2.025766,0.0290881,0.9993498,0.01913807
52.75905,0.02074057,0.8568345,2.025735,0.02914257,0.9993469,0.01912809
52.77193,0.02069455,0.8568356,2.025702,0.02921949,0.9993411,0.01915307
52.78656,0.02066743,0.8568291,2.025676,0.0292803,0.9993329,0.01934104
52.80073,0.02068031,0.856841,2.025668,0.02922323,0.9993314,0.0194353
52.81465,0.02067345,0.8568583,2.025658,0.02922652,0.9993262,0.01957935
52.82769,0.02071249,0.8568702,2.025634,0.02915129,0.9993226,0.01981621
