Time, Position (X), Position (Y), Position (Z), Rotation (X), Rotation (Y), Rotation (Z)
51.48864,-0.1629231,0.5280641,1.809272,0.04706162,0.998041,-0.01216798
51.5035,-0.1631939,0.5280986,1.80891,0.04619706,0.9980054,-0.01267136
51.51743,-0.1632298,0.5282589,1.808686,0.04605269,0.9980047,-0.01260518
51.52978,-0.1632348,0.5282873,1.80851,0.04687106,0.9979883,-0.01285227
51.5452,-0.1632727,0.5284016,1.808304,0.04722653,0.9979575,-0.0130215
51.55905,-0.1633769,0.5285313,1.808058,0.04703782,0.9979496,-0.01314047
51.57163,-0.1634866,0.5288349,1.807871,0.04626438,0.9979481,-0.01231226
51.58646,-0.1635739,0.5291364,1.807869,0.04475776,0.9979784,-0.01073991
51.60041,-0.163457,0.5292292,1.807863,0.04360057,0.9980349,-0.009433036
51.61438,-0.1633722,0.5293131,1.807798,0.04355711,0.9980596,-0.009438299
51.6272,-0.1632433,0.5294501,1.807847,0.04365092,0.9980744,-0.009187361
51.64199,-0.1630016,0.5296181,1.807957,0.04385411,0.9980949,-0.008469293
51.65627,-0.1626483,0.5298116,1.808151,0.04443222,0.9981067,-0.007123124
51.66898,-0.1622931,0.5299811,1.808367,0.04511382,0.9981136,-0.005783252
51.68377,-0.1619664,0.5301496,1.808572,0.04557718,0.9981241,-0.004603192
51.69785,-0.161638,0.530349,1.808793,0.04582343,0.9981449,-0.003175625
51.71052,-0.1612692,0.530523,1.809087,0.04605265,0.9981734,-0.001303026
51.72551,-0.1609236,0.5307141,1.809378,0.04623169,0.9982037,0.0006371277
51.73961,-0.1606005,0.5308432,1.809634,0.0463429,0.9982354,0.002452884
51.75217,-0.1602641,0.5309747,1.809838,0.04648758,0.9982633,0.003911606
51.76706,-0.159964,0.5311041,1.810028,0.0465989,0.9982885,0.005115313
51.78087,-0.1596386,0.5311977,1.810217,0.04689057,0.9982892,0.006414175
51.79626,-0.1593291,0.5313033,1.81039,0.04712459,0.9982921,0.007417632
51.80748,-0.1590908,0.5314223,1.810511,0.04747706,0.9982882,0.008127062
