Time, Position (X), Position (Y), Position (Z), Rotation (X), Rotation (Y), Rotation (Z)
37.0814,0.150348,-0.1339728,1.442154,0.1234571,0.9891972,-0.07001375
37.09614,0.1500312,-0.1340981,1.441805,0.1235054,0.9891611,-0.07037656
37.10709,0.1497461,-0.1341859,1.441504,0.1235913,0.9891266,-0.07065261
37.12387,0.1494645,-0.134248,1.441228,0.1237426,0.9890992,-0.07081996
37.1352,0.1491495,-0.1343051,1.440916,0.1238441,0.989081,-0.07099801
37.1484,0.1488582,-0.1343504,1.440648,0.1238184,0.9890768,-0.07112955
37.16305,0.1485574,-0.1343781,1.440386,0.1237053,0.9890873,-0.07121526
37.17711,0.1482575,-0.1343838,1.440117,0.1235696,0.9891074,-0.07122836
37.19057,0.1479443,-0.1343909,1.439831,0.1235977,0.9891096,-0.07126906
37.2051,0.1476229,-0.134405,1.439546,0.1236828,0.9891061,-0.07130547
37.21895,0.1473111,-0.1344046,1.439279,0.1236497,0.9891137,-0.07134609
37.23243,0.1469886,-0.1343928,1.439019,0.1235411,0.9891288,-0.07139035
37.24683,0.1466463,-0.1343603,1.438755,0.1233616,0.9891616,-0.07136875
37.26099,0.1463169,-0.134324,1.438513,0.1232527,0.9891936,-0.07126845
37.2749,0.1460488,-0.1342998,1.438316,0.1232053,0.9892101,-0.07120741
37.28792,0.1457327,-0.1342755,1.438079,0.1232339,0.9892347,-0.07097321
37.30266,0.1454546,-0.1342662,1.437871,0.1232741,0.9892451,-0.07088807
37.3165,0.145204,-0.134254,1.437689,0.1232318,0.9892628,-0.07080737
37.32998,0.1449165,-0.134261,1.437478,0.1232296,0.989278,-0.07069416
37.34436,0.1446629,-0.1342538,1.437275,0.123134,0.9893023,-0.07061113
37.3583,0.1444039,-0.1342627,1.437053,0.1231252,0.9893134,-0.07057843
37.37169,0.1441582,-0.1342699,1.436825,0.1232124,0.9893063,-0.07061064
37.38607,0.1439461,-0.1342696,1.43662,0.1232841,0.989308,-0.07054505
37.40019,0.1437333,-0.1342709,1.436402,0.1233648,0.9893077,-0.07048102
37.41407,0.1435651,-0.1342739,1.436214,0.1233651,0.9893207,-0.07037593
37.42739,0.1434029,-0.1342778,1.43602,0.12337,0.9893296,-0.07029082
37.44196,0.1432437,-0.1342622,1.435814,0.1233969,0.9893393,-0.07015541
37.45594,0.1430854,-0.1342374,1.435601,0.1234911,0.9893403,-0.07004249
37.46931,0.1429272,-0.1342145,1.435365,0.1235446,0.9893464,-0.06996821
37.48373,0.1427836,-0.1341979,1.435124,0.1235177,0.9893577,-0.06994465
37.49771,0.1426395,-0.1341846,1.434878,0.1235049,0.9893647,-0.06993221
37.51108,0.1424856,-0.1341593,1.43462,0.1234637,0.989374,-0.06995204
37.5255,0.1423077,-0.134129,1.434342,0.1234421,0.9893837,-0.06995983
37.53969,0.142084,-0.1341046,1.434029,0.1233995,0.9893916,-0.07006424
37.55273,0.1418227,-0.1340899,1.433689,0.1232964,0.9894084,-0.07018942
37.56742,0.1415456,-0.1340914,1.433349,0.1232213,0.9894202,-0.07031774
37.58148,0.1411852,-0.1341135,1.43296,0.1231026,0.9894331,-0.07057361
37.59528,0.1407422,-0.1341508,1.432511,0.1229678,0.9894524,-0.07084382
37.60884,0.1402147,-0.1342205,1.432037,0.1225314,0.9895092,-0.07114208
37.62315,0.1396364,-0.1342891,1.431533,0.1218572,0.9895839,-0.07160204
37.63708,0.1390942,-0.1343249,1.431107,0.121316,0.9896504,-0.07186358
37.65037,0.1385259,-0.1343298,1.430679,0.1210814,0.9896805,-0.07217344
37.66496,0.1378998,-0.1342913,1.430282,0.1209571,0.9897212,-0.07222462
37.67908,0.1372931,-0.1342337,1.429919,0.1206514,0.9898174,-0.07188678
37.6923,0.1367361,-0.134171,1.429546,0.1201794,0.9899363,-0.07138278
37.70678,0.1362014,-0.1341243,1.429157,0.1197002,0.9900496,-0.07084855
37.72064,0.1356943,-0.1340931,1.428771,0.1193558,0.990132,-0.07047562
37.73458,0.1352177,-0.134081,1.428363,0.1190824,0.9901931,-0.07025642
37.74826,0.1348824,-0.1340384,1.428045,0.1190832,0.9902033,-0.07018834
37.76269,0.1346121,-0.134039,1.42779,0.1193386,0.9901928,-0.06995732
37.77646,0.134356,-0.1340126,1.427487,0.1198408,0.990144,-0.0698978
37.78983,0.1341383,-0.1339653,1.427224,0.1203145,0.9901097,-0.06960724
37.80446,0.1339341,-0.1339468,1.42694,0.1208612,0.9900622,-0.06933761
37.81836,0.1337683,-0.1339455,1.426658,0.1212259,0.9900339,-0.06910894
37.83166,0.1336576,-0.1339508,1.426397,0.1215431,0.9899939,-0.06907895
37.84624,0.1335871,-0.1339706,1.42612,0.121947,0.989941,-0.06903572
37.86013,0.1335681,-0.1340221,1.425789,0.1224938,0.9898643,-0.06903528
37.87406,0.1335995,-0.134113,1.425459,0.1231866,0.9897591,-0.069159
37.88757,0.133674,-0.1342296,1.425126,0.124006,0.9896216,-0.06952538
37.9019,0.1337728,-0.1343052,1.424851,0.1245166,0.9895275,-0.0698116
37.91594,0.1338904,-0.1343706,1.424629,0.1249491,0.989462,-0.06983361
37.92928,0.134026,-0.1344702,1.424378,0.125295,0.9894126,-0.06976654
37.94381,0.1341672,-0.1345847,1.42409,0.12539,0.9893886,-0.0697629
37.95795,0.1343448,-0.1347543,1.42373,0.1255447,0.9893337,-0.07003217
37.97109,0.1345149,-0.1349415,1.423335,0.1257086,0.9892719,-0.07037246
37.98692,0.1346762,-0.1351332,1.422927,0.1261146,0.9891734,-0.07082244
37.99941,0.1347994,-0.1352965,1.422538,0.1265249,0.9890804,-0.07121732
38.0127,0.1348398,-0.1354129,1.422199,0.1267725,0.98902,-0.07144618
38.02732,0.1348441,-0.1354985,1.421882,0.1268042,0.988989,-0.07168844
38.0412,0.1348268,-0.1355533,1.421601,0.1267916,0.9889812,-0.07174589
38.05525,0.1347814,-0.1355958,1.421303,0.1268787,0.9889629,-0.07178538
38.06842,0.1346911,-0.1356308,1.420979,0.1271418,0.9889227,-0.07184134
38.08306,0.1345324,-0.1356516,1.420644,0.1274121,0.9888854,-0.07184676
38.09721,0.1343012,-0.1356834,1.420276,0.1277263,0.9888454,-0.07187663
38.11027,0.1339958,-0.1357262,1.419886,0.1278858,0.9888155,-0.07205661
38.12486,0.1336381,-0.1357639,1.419521,0.1279665,0.9887951,-0.07226683
38.13873,0.1331924,-0.1357989,1.419155,0.1280709,0.9887738,-0.07248859
38.15192,0.1326844,-0.1358418,1.418793,0.1282277,0.9887521,-0.07266795
38.16674,0.1321536,-0.1358848,1.418465,0.1282624,0.9887496,-0.07281306
38.18073,0.1316006,-0.1359457,1.41816,0.1283432,0.9887404,-0.07296733
38.19446,0.130932,-0.1360556,1.417794,0.128331,0.9887392,-0.07326568
38.20782,0.130325,-0.1362045,1.417485,0.1283031,0.98873,-0.0736607
38.22238,0.1297128,-0.1364125,1.417169,0.1283038,0.988712,-0.07410067
38.23645,0.1291212,-0.1366483,1.416858,0.1282177,0.9886918,-0.074678
38.2496,0.1285567,-0.1368514,1.416575,0.1278597,0.9887115,-0.07515496
38.26416,0.1279865,-0.1370933,1.416286,0.1273172,0.9887677,-0.07548156
38.27815,0.1274019,-0.1373904,1.415986,0.126786,0.988819,-0.07588513
38.29144,0.1269324,-0.1377153,1.415675,0.1266219,0.9887949,-0.07660913
38.30638,0.1265112,-0.1380782,1.415349,0.1267467,0.9887168,-0.07748826
38.31998,0.1261585,-0.1383947,1.415054,0.126799,0.9886542,-0.07821175
38.33313,0.1258056,-0.1386646,1.414784,0.126685,0.9886239,-0.07878501
38.34778,0.125437,-0.1389364,1.414504,0.1265562,0.988597,-0.07935103
38.3616,0.1250806,-0.1391938,1.414221,0.1264361,0.988563,-0.08003554
38.3757,0.1248336,-0.1393878,1.414021,0.1263529,0.9885517,-0.08031826
38.38897,0.1245491,-0.1395898,1.413778,0.1263983,0.9885086,-0.08079752
38.40357,0.1242771,-0.1397891,1.413558,0.1264152,0.9884698,-0.08124465
38.41742,0.1240199,-0.1399754,1.413375,0.1265847,0.9884211,-0.08160345
38.43073,0.12375,-0.1401609,1.413163,0.1267333,0.9883752,-0.08196835
38.44536,0.1234791,-0.1404052,1.412945,0.1269248,0.9883172,-0.08239562
38.45923,0.1232047,-0.1406431,1.412722,0.1270467,0.9882631,-0.08287103
38.47264,0.122907,-0.1408864,1.412501,0.1270007,0.9882296,-0.0833402
38.48725,0.1225908,-0.1411204,1.412289,0.1267875,0.988212,-0.08387891
38.5011,0.1222952,-0.1413126,1.412089,0.1264851,0.9882157,-0.08429499
38.51514,0.1220578,-0.1414892,1.411904,0.1264086,0.9882037,-0.08456811
