Time, Position (X), Position (Y), Position (Z), Rotation (X), Rotation (Y), Rotation (Z)
27.14353,0.001388052,-0.3642027,0.7859026,-0.213744,0.9084698,-0.3517148
27.15649,0.001382557,-0.3642147,0.7859213,-0.2137402,0.9084641,-0.3517281
27.1699,0.001379997,-0.3642196,0.7859428,-0.2137265,0.9084643,-0.3517386
27.18434,0.001386586,-0.3642097,0.7859665,-0.2137014,0.9084612,-0.3517697
27.19824,0.001398702,-0.3642018,0.7859864,-0.2136429,0.9084528,-0.3518363
27.21169,0.001400486,-0.3642074,0.7859889,-0.2135623,0.908442,-0.3519217
27.22592,0.001397597,-0.3642089,0.7859878,-0.2134566,0.9084423,-0.3519885
27.23993,0.001390688,-0.3641878,0.7859814,-0.2133483,0.9084502,-0.352033
27.25348,0.00138356,-0.3641626,0.7859713,-0.2132527,0.9084518,-0.3520817
27.26778,0.001372814,-0.3641452,0.7859609,-0.21315,0.908438,-0.3521734
27.28184,0.001359119,-0.3641461,0.7859489,-0.2130726,0.9084194,-0.352261
27.29546,0.00134646,-0.3641495,0.7859421,-0.2130702,0.9084065,-0.3522943
27.30914,0.00133838,-0.3641547,0.7859306,-0.2131379,0.9083865,-0.3523045
27.32343,0.001335741,-0.364161,0.7859228,-0.2131741,0.9083644,-0.3523418
27.33762,0.001339384,-0.3641663,0.7859243,-0.2131281,0.908347,-0.3524264
27.3511,0.001345296,-0.3641675,0.7859357,-0.2130465,0.9083384,-0.3525038
27.36532,0.001345234,-0.3641533,0.7859532,-0.2129573,0.908339,-0.3525465
27.37915,0.001335626,-0.3641222,0.7859678,-0.2129623,0.9083545,-0.3524858
27.39277,0.001320718,-0.364069,0.7859825,-0.2129768,0.9083972,-0.3523368
27.40705,0.001312103,-0.3640363,0.7859863,-0.212912,0.9084362,-0.352256
27.42106,0.001313423,-0.3640112,0.7859808,-0.2127581,0.9084764,-0.3522361
27.43502,0.001333836,-0.363996,0.785961,-0.2125501,0.9085068,-0.3523018
27.44872,0.001348679,-0.3639993,0.7859291,-0.2124505,0.9085079,-0.3523751
