Time, Position (X), Position (Y), Position (Z), Rotation (X), Rotation (Y), Rotation (Z)
280.86,0.2598898,0.4281277,1.85984,0.3344942,0.9346783,-0.1028445
280.8776,0.2598065,0.4281156,1.859798,0.3344586,0.9346969,-0.1028745
280.8935,0.2597376,0.4280937,1.859746,0.334425,0.9347134,-0.1029013
280.9112,0.2596899,0.428073,1.85969,0.334425,0.9347149,-0.102933
280.9287,0.2596402,0.4280735,1.859626,0.3344025,0.9347268,-0.102957
280.9458,0.259603,0.4280968,1.859559,0.3344022,0.9347186,-0.1030378
280.9631,0.2595827,0.4281564,1.859499,0.3344093,0.9347145,-0.1030458
280.9801,0.2595646,0.4282932,1.859444,0.3344174,0.9347347,-0.1029103
280.9973,0.2595468,0.4284979,1.859413,0.334349,0.9348079,-0.1026641
281.0139,0.2595471,0.4286523,1.859394,0.3342048,0.9349,-0.1024104
281.0313,0.2595657,0.4287738,1.859368,0.3340185,0.9349859,-0.102272
281.0484,0.2595949,0.428867,1.859343,0.3339055,0.9350338,-0.1021957
281.0655,0.2596236,0.4289696,1.859323,0.3338548,0.93506,-0.1021222
281.0827,0.2596548,0.4290654,1.859311,0.3338704,0.9350612,-0.1020617
281.0995,0.2596914,0.4291602,1.859307,0.3338733,0.9350657,-0.1019844
281.1159,0.2597168,0.4292345,1.859311,0.3338311,0.9350812,-0.1019333
281.1335,0.2597221,0.4292962,1.859336,0.3337826,0.9351035,-0.1018642
281.1506,0.2597131,0.4293308,1.859358,0.3338014,0.935102,-0.1018315
281.1674,0.2596847,0.4293356,1.859376,0.3338329,0.9350901,-0.1018709
281.1846,0.2596318,0.4293101,1.859389,0.3337718,0.9351013,-0.1019762
281.2014,0.2595475,0.4292643,1.859396,0.3336526,0.9351301,-0.1021063
281.219,0.2594589,0.4292003,1.859401,0.3335849,0.935136,-0.1022907
281.2351,0.2593953,0.4291345,1.859405,0.3336833,0.9350821,-0.102464
281.2528,0.259347,0.4290917,1.859416,0.3337579,0.9350385,-0.1025955
281.2691,0.259303,0.4290577,1.859427,0.3337616,0.9350287,-0.1026644
281.2857,0.2592603,0.42904,1.859449,0.3337512,0.9350337,-0.1026731
281.3018,0.2592466,0.4290331,1.859481,0.333761,0.9350375,-0.1026441
281.3195,0.2592541,0.4290351,1.859508,0.3337938,0.9350321,-0.1025978
281.3333,0.2592977,0.4290204,1.859522,0.3338198,0.9350218,-0.1025713
281.3504,0.2593631,0.4290061,1.85953,0.3338203,0.9350149,-0.1025648
281.3662,0.2594211,0.4290019,1.859534,0.3338214,0.9350114,-0.1025493
281.382,0.2594981,0.4290015,1.859534,0.3338424,0.9350031,-0.1025105
281.3981,0.2595655,0.4289995,1.859518,0.3338435,0.9349984,-0.102508
281.4132,0.2596184,0.4290042,1.8595,0.3338064,0.9350044,-0.1025296
281.4298,0.2596634,0.4290365,1.859469,0.3336897,0.935052,-0.1024711
281.4457,0.2596803,0.4290605,1.859444,0.3336283,0.9350792,-0.102449
281.4618,0.2596903,0.4290818,1.859423,0.3336181,0.9350833,-0.1024563
281.4774,0.2596919,0.4290949,1.859405,0.3336546,0.9350713,-0.102447
281.493,0.2596817,0.4290978,1.859373,0.3337185,0.9350474,-0.1024765
281.509,0.2596572,0.42909,1.859329,0.3337285,0.9350423,-0.1025368
281.5254,0.2596305,0.4290582,1.859272,0.3336507,0.9350616,-0.1026538
281.5408,0.2596178,0.4290151,1.859217,0.3335348,0.935087,-0.1027811
281.5569,0.2596181,0.4289831,1.859173,0.3335237,0.9350808,-0.1028553
