Time, Position (X), Position (Y), Position (Z), Rotation (X), Rotation (Y), Rotation (Z)
409.2653,0.2612397,1.119028,1.707864,0.745741,-0.3043444,0.5306643
409.2799,0.2612396,1.119028,1.707864,0.7457413,-0.3043439,0.5306641
409.2931,0.2612397,1.119028,1.707864,0.7457406,-0.3043443,0.5306649
409.3087,0.2612397,1.119028,1.707864,0.745741,-0.3043438,0.5306644
409.3236,0.2612396,1.119028,1.707864,0.7457413,-0.3043439,0.5306641
409.3384,0.2612396,1.119028,1.707864,0.7457415,-0.3043439,0.5306637
409.3526,0.2612396,1.119028,1.707864,0.745741,-0.3043454,0.5306637
409.368,0.2612397,1.119028,1.707864,0.7457404,-0.3043435,0.5306654
409.383,0.2612397,1.119028,1.707864,0.7457404,-0.3043436,0.5306653
409.3981,0.2612397,1.119028,1.707863,0.7457411,-0.3043435,0.5306647
409.4117,0.2612397,1.119028,1.707864,0.7457409,-0.3043457,0.5306636
409.4271,0.2612396,1.119028,1.707863,0.7457409,-0.3043444,0.530664
409.4427,0.2612398,1.119028,1.707864,0.7457396,-0.3043441,0.5306662
409.4566,0.2612396,1.119028,1.707864,0.7457413,-0.3043431,0.5306645
409.4705,0.2612397,1.119028,1.707864,0.7457405,-0.3043443,0.5306649
409.486,0.2612397,1.119028,1.707864,0.7457401,-0.304345,0.530665
409.5023,0.2612396,1.119028,1.707864,0.7457414,-0.3043438,0.5306641
409.5156,0.2612397,1.119028,1.707864,0.745741,-0.3043444,0.5306643
409.5295,0.2612397,1.119028,1.707864,0.7457403,-0.3043435,0.5306655
409.5451,0.2612397,1.119028,1.707864,0.7457406,-0.3043443,0.5306649
409.5597,0.2612397,1.119028,1.707864,0.7457408,-0.3043438,0.5306642
409.574,0.2612397,1.119028,1.707864,0.745741,-0.3043444,0.5306643
409.5893,0.2612397,1.119028,1.707864,0.7457414,-0.3043435,0.530664
409.6041,0.2612397,1.119028,1.707864,0.7457399,-0.304344,0.5306653
409.6187,0.2612397,1.119028,1.707863,0.7457404,-0.3043435,0.5306653
409.6329,0.2612397,1.119028,1.707864,0.7457402,-0.3043435,0.5306656
409.6487,0.2612396,1.119028,1.707864,0.7457412,-0.3043448,0.5306638
409.6633,0.2612398,1.119028,1.707864,0.7457395,-0.3043473,0.5306658
409.68,0.2612397,1.119028,1.707863,0.7457407,-0.3043419,0.5306664
409.6935,0.2612397,1.119028,1.707863,0.7457404,-0.3043428,0.5306652
409.7077,0.2612397,1.119028,1.707864,0.7457412,-0.3043441,0.5306645
409.7222,0.2612396,1.119028,1.707864,0.7457412,-0.3043448,0.5306638
409.7372,0.2612397,1.119028,1.707864,0.7457403,-0.3043435,0.5306655
409.751,0.2612396,1.119028,1.707863,0.745741,-0.3043407,0.5306649
409.7667,0.2612397,1.119028,1.707864,0.7457402,-0.3043435,0.5306654
409.7814,0.2612396,1.119028,1.707864,0.7457414,-0.3043438,0.530664
409.7964,0.2612398,1.119028,1.707864,0.7457398,-0.3043469,0.5306656
409.8104,0.2612397,1.119028,1.707864,0.7457407,-0.304345,0.5306643
409.8258,0.2612397,1.119028,1.707864,0.745741,-0.3043438,0.5306644
409.8407,0.2612398,1.119028,1.707864,0.7457394,-0.3043429,0.5306668
409.8553,0.2612397,1.119028,1.707864,0.7457401,-0.3043448,0.5306649
409.8696,0.2612397,1.119028,1.707864,0.7457401,-0.304345,0.5306655
409.8852,0.2612398,1.119028,1.707864,0.7457397,-0.3043453,0.5306659
409.8997,0.2612397,1.119028,1.707864,0.745739,-0.3043449,0.5306663
409.9139,0.2612397,1.119028,1.707864,0.7457406,-0.3043451,0.5306643
409.9301,0.2612397,1.119028,1.707864,0.7457402,-0.3043435,0.5306656
409.944,0.2612396,1.119028,1.707864,0.7457414,-0.3043438,0.530664
409.9583,0.2612397,1.119028,1.707864,0.745741,-0.3043444,0.5306643
409.974,0.2612397,1.119028,1.707864,0.7457407,-0.3043439,0.5306651
