Time, Position (X), Position (Y), Position (Z), Rotation (X), Rotation (Y), Rotation (Z)
619.8152,0.02752745,0.8460158,2.006319,-0.0102953,0.9955226,0.02527231
619.8339,0.02752727,0.8460336,2.006196,-0.01056699,0.9955482,0.0252036
619.847,0.02752787,0.8460439,2.006067,-0.01074307,0.9955679,0.02498119
619.8627,0.02754503,0.8460518,2.00595,-0.01090176,0.9956015,0.02481157
619.8785,0.02754533,0.8460559,2.005863,-0.01112467,0.9956294,0.02455747
619.8937,0.02756023,0.8460393,2.005678,-0.01130058,0.9956545,0.024454
619.91,0.02759933,0.8460032,2.005609,-0.01105752,0.995685,0.02408975
619.926,0.0276475,0.8459346,2.005536,-0.01095376,0.9957013,0.02392208
619.9416,0.02772123,0.8458755,2.005487,-0.01113515,0.9957213,0.02371223
619.9574,0.02780372,0.8458219,2.005451,-0.01128386,0.995738,0.02342815
619.9725,0.02788502,0.8457799,2.005394,-0.0110696,0.9957461,0.02325275
619.989,0.0279482,0.8457392,2.005351,-0.01074755,0.9957624,0.02315076
620.0046,0.02807969,0.8456187,2.005311,-0.01041295,0.9957867,0.02281863
620.0206,0.02816904,0.8455018,2.005343,-0.0102629,0.995784,0.02274771
620.0364,0.0282625,0.8453626,2.005423,-0.00986469,0.9957793,0.02242617
620.0513,0.02835834,0.845193,2.005517,-0.009677044,0.9957681,0.02240143
620.0681,0.02844483,0.8450471,2.005602,-0.009655463,0.9957578,0.02237762
620.0835,0.02851588,0.8449416,2.005689,-0.009618287,0.9957398,0.02230037
620.0995,0.02858806,0.8448231,2.00576,-0.009555004,0.9957215,0.02252193
620.1145,0.02865255,0.8446987,2.005838,-0.009611859,0.9957027,0.02272288
620.1307,0.02876514,0.8444737,2.006006,-0.009605842,0.9956832,0.022693
620.1468,0.0287838,0.8443647,2.006113,-0.009716173,0.9956704,0.02276902
620.1624,0.0287891,0.8442991,2.006229,-0.009902683,0.9956583,0.02291587
