Time, Position (X), Position (Y), Position (Z), Rotation (X), Rotation (Y), Rotation (Z)
398.1204,0.139118,1.537071,2.218959,0.01161691,0.9984937,-0.05030118
398.1359,0.1391424,1.537117,2.219008,0.01155468,0.9985019,-0.05017092
398.1513,0.1391714,1.537122,2.219032,0.01173243,0.9985039,-0.0501225
398.1651,0.1392075,1.537113,2.219048,0.01187135,0.9985105,-0.0500104
398.1795,0.1392456,1.537145,2.219094,0.01197316,0.9985116,-0.0500279
398.1935,0.1392769,1.537166,2.219145,0.01214825,0.9985161,-0.04992837
398.2089,0.1393196,1.53719,2.219177,0.01240392,0.9985204,-0.04975462
398.2236,0.1393728,1.537178,2.219195,0.01267018,0.9985265,-0.04958101
398.2386,0.1394303,1.537204,2.219242,0.01265306,0.998518,-0.04970814
398.2526,0.1394715,1.537232,2.219305,0.01278084,0.9985158,-0.04969968
398.2682,0.1395138,1.537256,2.219362,0.01288962,0.9985105,-0.04970324
398.2832,0.1395827,1.53724,2.219378,0.01300967,0.9985163,-0.0494786
398.298,0.1396304,1.537243,2.219403,0.01317219,0.9985163,-0.04936611
398.3119,0.1396811,1.537297,2.219444,0.01316154,0.9985206,-0.04927535
398.3274,0.1397148,1.537348,2.219504,0.01325129,0.9985137,-0.04936001
398.342,0.1397737,1.537387,2.219596,0.01333686,0.9985185,-0.04922177
398.3571,0.1397974,1.537395,2.219624,0.01343052,0.9985262,-0.04913048
398.3712,0.1397812,1.537401,2.219665,0.01374621,0.9985337,-0.04898866
398.3877,0.1397491,1.53744,2.219728,0.01375024,0.9985375,-0.04905334
398.4015,0.1397076,1.537434,2.21979,0.01391475,0.9985394,-0.04909511
398.4163,0.1396849,1.537396,2.219854,0.01382712,0.9985332,-0.0493805
398.4303,0.1396603,1.537353,2.219918,0.01386198,0.9985292,-0.04955498
398.4458,0.1396307,1.537328,2.219988,0.0139325,0.9985309,-0.04961238
398.4604,0.1395944,1.5373,2.220061,0.01399227,0.9985335,-0.0496079
398.4752,0.1395642,1.537288,2.220141,0.01401069,0.9985303,-0.04977803
398.491,0.1395611,1.537258,2.220226,0.01397361,0.998538,-0.0497755
398.505,0.1395517,1.53725,2.220311,0.01414408,0.9985375,-0.04981651
398.5198,0.1395388,1.537274,2.220417,0.01445072,0.9985322,-0.04987887
398.5341,0.1395547,1.537265,2.22052,0.01462343,0.9985375,-0.0498096
398.5499,0.1396105,1.537242,2.220601,0.01449794,0.9985372,-0.04984483
398.5649,0.1396868,1.537236,2.220778,0.01474983,0.9985323,-0.04993435
398.58,0.1397652,1.53725,2.220889,0.01474451,0.9985356,-0.0498574
398.5936,0.1398434,1.537257,2.221039,0.01468841,0.9985255,-0.05010976
398.6101,0.1399171,1.53722,2.221202,0.01480275,0.9984949,-0.0507298
398.6242,0.1399628,1.537174,2.221371,0.01526629,0.9984752,-0.0510322
398.6391,0.1400179,1.537167,2.221534,0.01569741,0.9984677,-0.05107532
398.653,0.140054,1.537196,2.221723,0.01593001,0.9984693,-0.05103134
398.6682,0.1401074,1.537242,2.221913,0.01599345,0.9984844,-0.05076279
398.6832,0.1401922,1.537227,2.22208,0.01613459,0.9984865,-0.0507509
398.698,0.1402863,1.537204,2.22227,0.01612652,0.9984834,-0.05086509
398.7119,0.1403611,1.537198,2.222522,0.01635505,0.9984716,-0.05107064
398.7273,0.1404458,1.537211,2.222778,0.01656738,0.9984596,-0.05128736
398.7421,0.1405315,1.537217,2.223015,0.01672723,0.9984585,-0.05129134
398.7569,0.1406346,1.537253,2.223212,0.01695702,0.9984695,-0.05105724
398.771,0.140745,1.537315,2.223402,0.01726117,0.9984915,-0.05057242
398.7864,0.1408502,1.537436,2.223614,0.01744743,0.9985101,-0.05014885
398.8012,0.1410686,1.537579,2.22404,0.01793608,0.9985228,-0.04977081
398.8162,0.1412016,1.537622,2.224251,0.0184895,0.9985198,-0.04961228
398.8301,0.1413584,1.537662,2.224478,0.01900791,0.9985097,-0.04963296
398.8477,0.1414845,1.537722,2.224735,0.01926028,0.9985166,-0.04936718
398.8611,0.1416385,1.537807,2.224972,0.0192392,0.9985397,-0.04886079
398.8783,0.1417938,1.537901,2.225181,0.01931302,0.9985663,-0.04827482
398.889,0.1419346,1.537981,2.225393,0.01958053,0.9985847,-0.04777869
398.9045,0.1420905,1.538067,2.225603,0.01983625,0.998596,-0.04736409
398.9191,0.1423012,1.538237,2.225841,0.01995354,0.9986092,-0.04690905
398.9332,0.1423892,1.538375,2.226089,0.0201469,0.998623,-0.04643568
398.9486,0.1425725,1.538325,2.226323,0.02061037,0.998626,-0.04612419
398.9646,0.1427336,1.538358,2.226502,0.02070756,0.998637,-0.04580632
398.9782,0.1429247,1.538474,2.226743,0.02087552,0.9986451,-0.04549615
398.9922,0.1430037,1.538622,2.227004,0.02122468,0.9986507,-0.04514542
399.0078,0.1431687,1.538734,2.227185,0.02145742,0.9986702,-0.04456006
399.0228,0.1433457,1.538755,2.227392,0.02179389,0.9986937,-0.04383884
399.0377,0.1434958,1.538891,2.227593,0.02199624,0.9987134,-0.04325185
399.0518,0.1437185,1.539148,2.228052,0.02258341,0.9987447,-0.042147
399.0671,0.1438094,1.539201,2.228286,0.02270948,0.9987726,-0.04135485
399.082,0.1439548,1.539379,2.228504,0.02260375,0.9987901,-0.04097551
399.098,0.1441144,1.539439,2.228688,0.02265766,0.9988095,-0.04045068
399.1119,0.1442079,1.539564,2.228904,0.02258514,0.9988309,-0.03999206
399.1262,0.1442871,1.539689,2.229117,0.02248328,0.9988618,-0.03927497
399.1408,0.1443666,1.539817,2.22931,0.02239981,0.9988899,-0.03866946
399.1556,0.1444197,1.539948,2.229512,0.02230482,0.9989179,-0.03804563
399.1696,0.1444767,1.540076,2.229723,0.0222389,0.9989441,-0.03742491
399.1852,0.1445061,1.54022,2.229945,0.02221852,0.9989664,-0.03688681
399.1999,0.1445304,1.540376,2.230158,0.02210404,0.9989956,-0.03621869
399.2141,0.1445481,1.540524,2.230334,0.02223309,0.9990283,-0.0352869
399.2296,0.1445518,1.540687,2.23051,0.02213713,0.9990565,-0.03464384
399.2444,0.1445339,1.540881,2.230675,0.02196484,0.9990903,-0.0338405
399.259,0.1445154,1.541079,2.230831,0.02173057,0.9991255,-0.0330136
399.2735,0.1445043,1.541267,2.230992,0.02158094,0.9991621,-0.03206051
399.2887,0.1444741,1.541614,2.231339,0.02124302,0.9992227,-0.03048086
399.3036,0.144433,1.54182,2.231486,0.0211451,0.9992562,-0.02949063
399.3182,0.1443779,1.542028,2.231609,0.02105636,0.9992834,-0.02861388
399.3345,0.1443126,1.54222,2.231725,0.02082962,0.9993079,-0.02792742
399.3489,0.144256,1.542389,2.231824,0.02053556,0.9993394,-0.02702479
399.3623,0.144212,1.542577,2.231904,0.02006719,0.9993652,-0.02637855
399.3771,0.1441391,1.542745,2.23197,0.01999862,0.9993884,-0.02553304
399.391,0.1440496,1.542895,2.232012,0.020065,0.999407,-0.02467351
399.4063,0.143977,1.543019,2.232017,0.01969187,0.9994289,-0.02403868
399.4222,0.1439236,1.54314,2.232025,0.01933702,0.9994486,-0.02344783
399.4359,0.143847,1.543291,2.232008,0.01887189,0.9994736,-0.02272008
399.4499,0.1437727,1.543433,2.231964,0.01836129,0.9995003,-0.02202332
