Time, Position (X), Position (Y), Position (Z), Rotation (X), Rotation (Y), Rotation (Z)
233.1991,0.1835751,0.5742047,2.042232,0.06694186,0.9955394,0.06236223
233.2124,0.1835607,0.5741261,2.042306,0.06687979,0.9955531,0.06220635
233.228,0.1835469,0.574042,2.042374,0.06689894,0.9955639,0.06203302
233.2428,0.1835309,0.5739483,2.042444,0.06687216,0.9955761,0.0618709
233.2575,0.1835087,0.5738583,2.042498,0.06679556,0.9955933,0.0616665
233.2715,0.1834918,0.5737741,2.042545,0.06667975,0.9956147,0.06142283
233.2869,0.1834842,0.5737197,2.042579,0.06664655,0.9956236,0.06129654
233.3017,0.1834796,0.5736669,2.042614,0.0666988,0.9956266,0.06119023
233.3163,0.1834745,0.573611,2.042648,0.06681593,0.9956288,0.0610607
233.3304,0.1834665,0.5735753,2.04267,0.06675456,0.9956365,0.06102681
233.3458,0.1834422,0.5735139,2.042701,0.06651013,0.9956548,0.06100738
233.3625,0.1834357,0.5734408,2.042702,0.06616926,0.995683,0.06089395
233.3765,0.1834567,0.5733824,2.042685,0.06596262,0.9957005,0.0607728
233.3892,0.1835058,0.5733348,2.042663,0.06580941,0.9957088,0.0607187
233.4048,0.1835862,0.5733002,2.042634,0.06581428,0.9957061,0.06067686
233.4193,0.1837185,0.5732772,2.042586,0.06596363,0.9956934,0.06061153
233.4334,0.1838769,0.5732583,2.042522,0.06630288,0.9956638,0.06059901
233.4488,0.1840105,0.5732454,2.042455,0.0665714,0.9956409,0.06055002
233.465,0.1840932,0.5732298,2.042393,0.06671067,0.9956255,0.06057687
233.4784,0.1841617,0.5732162,2.042327,0.06678513,0.9956151,0.06059078
233.4926,0.1842193,0.5731944,2.042245,0.06677514,0.9956136,0.06054521
233.5082,0.1842574,0.5731691,2.042171,0.06674899,0.9956124,0.06053323
233.5227,0.1842897,0.573139,2.042106,0.06670242,0.9956121,0.06054709
233.5374,0.1843126,0.5731056,2.042034,0.06662763,0.9956167,0.06051183
233.5514,0.1843342,0.5730702,2.04197,0.06653745,0.9956212,0.06049633
233.5671,0.1843637,0.5730299,2.041888,0.06650599,0.9956229,0.06045453
233.5818,0.1844014,0.5729831,2.041825,0.06662668,0.9956211,0.0603425
233.5962,0.1844467,0.57294,2.041764,0.06669838,0.9956234,0.06021551
233.6126,0.1845005,0.5728968,2.041705,0.06663727,0.99563,0.06015144
233.6272,0.1845687,0.572854,2.041629,0.06647975,0.9956425,0.06007706
