Time, Position (X), Position (Y), Position (Z), Rotation (X), Rotation (Y), Rotation (Z)
880.1021,-0.07060981,0.9288124,2.174764,0.01406051,-0.9527104,0.2247184
880.1168,-0.068147,0.9311525,2.173759,0.0155207,-0.9569937,0.216464
880.1339,-0.06624818,0.9325786,2.17329,0.01735986,-0.960417,0.2101159
880.1487,-0.06406921,0.9340616,2.172835,0.01948673,-0.9638661,0.2041736
880.1649,-0.06173116,0.9355059,2.172425,0.02169792,-0.9675827,0.1976103
880.1791,-0.05921888,0.9370337,2.172043,0.02456653,-0.9711307,0.1910205
880.1939,-0.05659384,0.9386417,2.171702,0.02793126,-0.9746302,0.1839624
880.2099,-0.05394816,0.9403837,2.171385,0.03073626,-0.9777986,0.1767784
880.2252,-0.05137438,0.9422437,2.171205,0.0332474,-0.9808586,0.1687877
880.2403,-0.04872108,0.9440223,2.171105,0.03547812,-0.9835582,0.1605892
880.2559,-0.04609787,0.9458191,2.171186,0.03760754,-0.9857915,0.1529205
880.2703,-0.04358506,0.9475602,2.171353,0.03945851,-0.9876127,0.1457317
880.2865,-0.03861111,0.9508158,2.171855,0.04276357,-0.9903204,0.1314468
880.3014,-0.03639895,0.9524167,2.172316,0.04361686,-0.9911368,0.1254798
880.3165,-0.0343169,0.9540397,2.172751,0.04413411,-0.9917974,0.1192534
880.3317,-0.03238934,0.9554265,2.173136,0.04364819,-0.9923362,0.113109
880.3464,-0.03063017,0.9569321,2.173657,0.04332034,-0.9926938,0.107305
880.3614,-0.02909988,0.9583076,2.174136,0.04273293,-0.992992,0.101649
880.3765,-0.02776146,0.9596531,2.174726,0.04197817,-0.9931925,0.09648822
880.3907,-0.02654731,0.9607147,2.175325,0.04076669,-0.9933258,0.09191475
880.4064,-0.0254153,0.9616624,2.175947,0.03921058,-0.9934043,0.08794983
880.4215,-0.02431488,0.9627192,2.176272,0.03760096,-0.9934381,0.08413561
880.4366,-0.02334911,0.9637145,2.176524,0.03586076,-0.9935158,0.08023825
880.4508,-0.02257186,0.9645625,2.176966,0.03416472,-0.9936017,0.07631101
880.4664,-0.02186936,0.9653329,2.177475,0.03239077,-0.9936649,0.07260544
880.4813,-0.02061838,0.9668708,2.178539,0.02888351,-0.9936358,0.06552494
880.496,-0.02019835,0.9675219,2.178981,0.0270683,-0.9936692,0.0628932
880.5104,-0.01980758,0.9682215,2.179387,0.02560867,-0.9937201,0.06047984
880.5272,-0.01947635,0.96883,2.179728,0.02415603,-0.9937813,0.05762916
880.5406,-0.0192312,0.9693886,2.180123,0.0224234,-0.9938611,0.05508425
880.5555,-0.01902556,0.9698489,2.180421,0.0208267,-0.9939146,0.05265158
880.5696,-0.01886183,0.9703165,2.180722,0.01937602,-0.9939761,0.05037593
880.5853,-0.01873046,0.9708776,2.180977,0.01812361,-0.9940182,0.04809054
880.5998,-0.01855516,0.9713776,2.181169,0.01701752,-0.9940909,0.04566767
880.614,-0.01845104,0.9718934,2.181345,0.01616179,-0.9941294,0.04353385
880.6297,-0.01832312,0.9723374,2.181421,0.01544168,-0.9941516,0.04155148
880.6445,-0.0182355,0.9726826,2.181472,0.01481599,-0.9941784,0.03961254
880.6595,-0.01819879,0.973055,2.1816,0.01429675,-0.9941771,0.03806295
880.6736,-0.01814717,0.9733356,2.181667,0.01389593,-0.9941888,0.03662799
880.6891,-0.01806802,0.9736423,2.181764,0.01343084,-0.9941874,0.0354766
880.7039,-0.01806962,0.9741381,2.181983,0.01246285,-0.9941697,0.03293941
880.7189,-0.01805294,0.9744745,2.182107,0.0120616,-0.994159,0.03224288
880.7329,-0.01801872,0.9747455,2.182088,0.01189905,-0.9941567,0.03147111
880.7495,-0.01799554,0.9750243,2.182243,0.01165354,-0.9941342,0.03056331
880.7631,-0.01800424,0.9751773,2.182212,0.01146689,-0.994105,0.02996258
880.778,-0.01801944,0.9753114,2.182161,0.01124582,-0.9940687,0.02949289
880.7921,-0.01804191,0.9754399,2.182093,0.01115936,-0.9940486,0.0291483
880.8076,-0.01807642,0.97554,2.182012,0.01096945,-0.9940295,0.02861558
880.822,-0.01809752,0.9755694,2.181911,0.0108449,-0.9940268,0.02819321
880.8369,-0.01812142,0.9755784,2.181821,0.01086329,-0.9940115,0.02850137
880.851,-0.01815957,0.9756072,2.181719,0.01095037,-0.993996,0.02868831
880.8662,-0.01819557,0.9756207,2.181576,0.01069397,-0.9939901,0.02856871
880.8812,-0.0182358,0.9756318,2.181435,0.01048276,-0.9939995,0.02822887
880.8958,-0.01825881,0.9756395,2.181264,0.01076486,-0.9939951,0.02791153
880.9099,-0.01826787,0.9757059,2.181074,0.01104282,-0.9939899,0.02776076
880.9254,-0.01826864,0.9757906,2.18085,0.01143824,-0.993997,0.02733284
880.9403,-0.01828313,0.9759321,2.18046,0.01201636,-0.9939832,0.02714861
880.9553,-0.01830405,0.9759721,2.180232,0.01214926,-0.9939861,0.02715734
880.9692,-0.01832664,0.9760075,2.180009,0.01231675,-0.9939882,0.02707247
880.9857,-0.01828712,0.9760264,2.179785,0.01267105,-0.9940027,0.02699047
881.0006,-0.0182662,0.9760591,2.179578,0.01287072,-0.9940214,0.02675922
881.014,-0.01822209,0.9760764,2.179343,0.01312669,-0.99404,0.02666814
881.0282,-0.01816529,0.9760876,2.179101,0.01334032,-0.9940615,0.02655295
881.0435,-0.01812053,0.9760774,2.178877,0.01339971,-0.9940718,0.02646915
881.0581,-0.01807743,0.9760799,2.178667,0.01320673,-0.9940767,0.02643517
881.0721,-0.0180254,0.9761147,2.178453,0.01309671,-0.9940946,0.02634501
881.0875,-0.01794082,0.9761962,2.178237,0.01291977,-0.994108,0.0262238
