Time, Position (X), Position (Y), Position (Z), Rotation (X), Rotation (Y), Rotation (Z)
748.6684,-0.1897368,0.6710504,1.670478,0.6479626,0.7611285,-0.01769755
748.6804,-0.1898398,0.6708179,1.670348,0.6477839,0.7612702,-0.01785123
748.6962,-0.1899037,0.6705137,1.670243,0.6475462,0.761465,-0.01813686
748.7104,-0.1899462,0.6700815,1.670171,0.6474941,0.7615108,-0.0185678
748.7247,-0.1900244,0.6695527,1.67006,0.6477147,0.7613302,-0.01912858
748.7397,-0.1901286,0.6690168,1.669963,0.6483598,0.760784,-0.01959291
748.7535,-0.1902164,0.6686093,1.66987,0.6490726,0.7601743,-0.01966104
748.7689,-0.1903557,0.6682543,1.669773,0.6493362,0.7599376,-0.01994272
748.7836,-0.1904573,0.6679755,1.669667,0.6491192,0.7601113,-0.02046265
748.7983,-0.1905187,0.6677226,1.669646,0.6491012,0.7601328,-0.02039714
748.8126,-0.1906695,0.6673418,1.669582,0.6491332,0.7600967,-0.0208777
748.8278,-0.1908011,0.6670091,1.669526,0.6490468,0.7601569,-0.02150415
748.8427,-0.1908752,0.6667777,1.669538,0.6492767,0.7599598,-0.02164066
748.8575,-0.1909895,0.6664846,1.669531,0.6494002,0.759845,-0.02199914
748.8716,-0.1910913,0.6662554,1.669505,0.6493851,0.7598546,-0.02238006
748.8874,-0.1912756,0.6659379,1.669472,0.6494516,0.7597951,-0.02275536
748.9023,-0.1914089,0.6657749,1.669442,0.6495156,0.7597313,-0.02313041
748.9167,-0.1914689,0.665758,1.669419,0.6497013,0.7595749,-0.02299174
748.9328,-0.191547,0.6656972,1.66942,0.6498204,0.7594691,-0.02292419
748.9473,-0.1916623,0.6656511,1.669386,0.6495764,0.7596619,-0.02333167
748.961,-0.1917135,0.6656144,1.669386,0.649433,0.7597833,-0.02342798
748.9756,-0.1917618,0.6655815,1.669389,0.6493797,0.7598324,-0.02341807
748.9896,-0.1918209,0.6655463,1.669401,0.6494249,0.7597972,-0.02341231
749.005,-0.1918942,0.6655152,1.669416,0.6495266,0.7597114,-0.02345498
749.0198,-0.1919552,0.6655146,1.669443,0.6495639,0.7596771,-0.02355755
