Time, Position (X), Position (Y), Position (Z), Rotation (X), Rotation (Y), Rotation (Z)
132.1325,0.3525473,0.8499513,0.1798799,-0.4297251,-0.6877826,0.1531331
132.1468,0.3525475,0.8499496,0.1798816,-0.4297307,-0.6877801,0.153135
132.1636,0.3525288,0.8500806,0.1798662,-0.4295459,-0.68792,0.1532187
132.1761,0.3525288,0.8500806,0.1798662,-0.4295459,-0.68792,0.1532187
132.19,0.3525189,0.8502802,0.1798421,-0.4291975,-0.6881781,0.153398
132.2053,0.3525226,0.8505211,0.1798173,-0.4287417,-0.6885095,0.1536558
132.22,0.3525378,0.8507875,0.1797957,-0.4282206,-0.6888838,0.153971
132.2348,0.3525378,0.8507875,0.1797957,-0.4282206,-0.6888838,0.153971
132.2487,0.3525815,0.850937,0.1797945,-0.4278525,-0.6891387,0.1542432
132.2639,0.3526222,0.8510267,0.179805,-0.4276277,-0.6892878,0.1544448
132.2788,0.3526222,0.8510267,0.179805,-0.4276277,-0.6892878,0.1544448
132.2927,0.3526537,0.851079,0.1798185,-0.4275,-0.6893681,0.1545819
132.3082,0.3526958,0.8509749,0.1798481,-0.4276242,-0.6892655,0.1545882
132.3225,0.3527221,0.8507861,0.179884,-0.4279502,-0.6890206,0.1544639
132.3373,0.3527221,0.8507861,0.179884,-0.4279502,-0.6890206,0.1544639
132.3512,0.3527294,0.8505455,0.1799182,-0.4284063,-0.688687,0.1542366
132.3666,0.3527208,0.8502725,0.1799479,-0.4289414,-0.6883018,0.1539359
132.3812,0.3527198,0.8498473,0.1799899,-0.4297134,-0.6877447,0.1535036
132.3977,0.3527198,0.8498473,0.1799899,-0.4297134,-0.6877447,0.1535036
132.4117,0.3527001,0.8493422,0.1800365,-0.4306741,-0.6870525,0.152944
132.4252,0.3526596,0.8487896,0.1800805,-0.4317537,-0.6862774,0.1522855
132.4398,0.3526596,0.8487896,0.1800805,-0.4317537,-0.6862774,0.1522855
132.4536,0.3526195,0.8480761,0.1801366,-0.4330931,-0.6853107,0.1514756
132.4689,0.3525544,0.8472785,0.1801956,-0.4346309,-0.6841977,0.1505239
132.4835,0.3524629,0.846432,0.180251,-0.4362911,-0.6829959,0.1494653
132.4981,0.3524629,0.846432,0.180251,-0.4362911,-0.6829959,0.1494653
132.5122,0.3523495,0.8455583,0.1802999,-0.4380188,-0.681744,0.148333
132.5279,0.3522336,0.8445377,0.1803597,-0.4399683,-0.680319,0.1470703
132.5423,0.3520911,0.8434435,0.1804227,-0.442089,-0.6787589,0.1456831
132.5568,0.3520911,0.8434435,0.1804227,-0.442089,-0.6787589,0.1456831
132.5707,0.3519201,0.8423089,0.1804821,-0.4443117,-0.6771166,0.1442013
132.5862,0.3517249,0.8411543,0.1805355,-0.446586,-0.6754291,0.1426556
132.6008,0.351521,0.8398577,0.1805999,-0.4490674,-0.6735681,0.1409855
132.617,0.351521,0.8398577,0.1805999,-0.4490674,-0.6735681,0.1409855
132.6295,0.3512852,0.8384929,0.1806675,-0.4517065,-0.6715719,0.1391958
132.6446,0.3510166,0.8370931,0.1807312,-0.4544354,-0.6694938,0.1373158
132.6593,0.3510166,0.8370931,0.1807312,-0.4544354,-0.6694938,0.1373158
132.6732,0.3507271,0.835543,0.1808057,-0.4573909,-0.6672166,0.1352896
132.6894,0.3503957,0.8339214,0.1808822,-0.4605118,-0.664789,0.133129
132.704,0.350023,0.8322642,0.1809537,-0.4637233,-0.6622699,0.1308685
132.7179,0.350023,0.8322642,0.1809537,-0.4637233,-0.6622699,0.1308685
132.7318,0.3496147,0.8305926,0.181018,-0.4669723,-0.6597006,0.1285421
132.7474,0.3491789,0.8287858,0.1810924,-0.4704093,-0.6569467,0.12609
132.7617,0.3486971,0.8269192,0.1811687,-0.4739822,-0.6540502,0.1235183
132.7766,0.3486971,0.8269192,0.1811687,-0.4739822,-0.6540502,0.1235183
132.7906,0.3481698,0.8250264,0.1812407,-0.4776237,-0.6510672,0.1208586
132.8062,0.3476037,0.8231276,0.1813058,-0.4812859,-0.6480368,0.118142
132.8208,0.3469999,0.8211004,0.1813813,-0.4851189,-0.6448184,0.1153043
132.8353,0.3469999,0.8211004,0.1813813,-0.4851189,-0.6448184,0.1153043
132.8494,0.346343,0.8190205,0.181459,-0.4890725,-0.6414548,0.1123514
132.8647,0.3456352,0.8169211,0.1815321,-0.4930811,-0.6380031,0.1093139
132.8794,0.3456352,0.8169211,0.1815321,-0.4930811,-0.6380031,0.1093139
132.8936,0.3448732,0.814687,0.1816155,-0.497276,-0.6343343,0.1061327
132.9093,0.3440455,0.8123993,0.1816999,-0.5015962,-0.6305022,0.1028204
132.9233,0.3431568,0.8100939,0.1817794,-0.5059705,-0.6265712,0.09941391
132.9379,0.3431568,0.8100939,0.1817794,-0.5059705,-0.6265712,0.09941391
132.9539,0.3422158,0.8077924,0.1818512,-0.5103487,-0.6225854,0.09594747
132.9682,0.3412125,0.8053739,0.1819325,-0.5148727,-0.6183962,0.09235691
132.9818,0.3401389,0.8029158,0.1820156,-0.5194916,-0.614051,0.08865068
132.9968,0.3401389,0.8029158,0.1820156,-0.5194916,-0.614051,0.08865068
133.0108,0.3390011,0.8004522,0.1820939,-0.524142,-0.6096124,0.08486176
133.026,0.3378082,0.7980032,0.1821655,-0.5287787,-0.6051224,0.08102231
133.0407,0.336542,0.7954477,0.1822467,-0.5335419,-0.6004243,0.07706327
133.0552,0.336542,0.7954477,0.1822467,-0.5335419,-0.6004243,0.07706327
133.0693,0.3351982,0.7928623,0.1823304,-0.5383826,-0.5955681,0.07299265
133.0861,0.3337849,0.7902815,0.1824095,-0.5432402,-0.590617,0.06884356
133.0994,0.3337849,0.7902815,0.1824095,-0.5432402,-0.590617,0.06884356
133.1135,0.3322792,0.7875924,0.1824984,-0.548235,-0.5854263,0.06455136
133.1289,0.3306822,0.7848765,0.1825887,-0.5533091,-0.5800578,0.06013159
133.1436,0.329006,0.7821703,0.1826738,-0.5583966,-0.5745832,0.05562428
133.1583,0.329006,0.7821703,0.1826738,-0.5583966,-0.5745832,0.05562428
133.1721,0.3272626,0.7794942,0.182752,-0.5634521,-0.5690511,0.05106518
133.1874,0.3254638,0.776861,0.1828232,-0.5684478,-0.5634905,0.04648229
133.2021,0.3236181,0.774278,0.1828891,-0.5733673,-0.5579205,0.04189555
133.2166,0.3236181,0.774278,0.1828891,-0.5733673,-0.5579205,0.04189555
133.2327,0.3217329,0.7717497,0.1829503,-0.5782006,-0.5523522,0.03731898
133.2471,0.3198131,0.7692786,0.1830081,-0.5829431,-0.5467932,0.03276117
133.261,0.3179153,0.7669924,0.1830467,-0.5874426,-0.5414522,0.02833019
133.2756,0.3179153,0.7669924,0.1830467,-0.5874426,-0.5414522,0.02833019
133.2894,0.3160408,0.7648224,0.183075,-0.5917279,-0.5362908,0.0240361
133.3046,0.314184,0.7627398,0.1831008,-0.5958449,-0.5312521,0.01985845
133.3195,0.314184,0.7627398,0.1831008,-0.5958449,-0.5312521,0.01985845
133.3335,0.312396,0.7608531,0.1831111,-0.599682,-0.5265062,0.01587758
133.3488,0.3106649,0.7590837,0.1831149,-0.6032907,-0.5219858,0.01207967
133.3634,0.3089759,0.757399,0.1831196,-0.6067284,-0.5176172,0.008427378
133.3782,0.3089759,0.757399,0.1831196,-0.6067284,-0.5176172,0.008427378
133.3922,0.3073166,0.7557797,0.183127,-0.610036,-0.5133508,0.004886381
133.4076,0.3057419,0.7543352,0.1831207,-0.6131005,-0.50937,0.001534538
133.422,0.3042336,0.7529911,0.1831091,-0.6159663,-0.5056116,-0.001641884
133.4368,0.3042336,0.7529911,0.1831091,-0.6159663,-0.5056116,-0.001641884
133.4506,0.3027758,0.7517164,0.1830984,-0.6186863,-0.5020019,-0.004680271
133.4658,0.301354,0.7504938,0.1830908,-0.6212973,-0.4984936,-0.00761397
133.4806,0.3000281,0.7494308,0.1830695,-0.6236887,-0.4952726,-0.01036296
133.4948,0.3000281,0.7494308,0.1830695,-0.6236887,-0.4952726,-0.01036296
133.511,0.2987757,0.748455,0.1830429,-0.6259021,-0.4922744,-0.01294132
133.5253,0.2975792,0.7475368,0.1830174,-0.6279866,-0.4894246,-0.01538638
133.539,0.2975792,0.7475368,0.1830174,-0.6279866,-0.4894246,-0.01538638
133.554,0.2964961,0.746775,0.1829784,-0.6298455,-0.4868915,-0.01762532
133.5682,0.2954988,0.7460955,0.1829349,-0.6315266,-0.4845977,-0.01968022
133.5826,0.294565,0.7454671,0.1828934,-0.633083,-0.4824602,-0.02159422
133.5973,0.294565,0.7454671,0.1828934,-0.633083,-0.4824602,-0.02159422
133.6114,0.2936773,0.744873,0.182856,-0.6345521,-0.480425,-0.02340506
133.627,0.2928976,0.7444178,0.182806,-0.6358289,-0.4786786,-0.0250345
133.6416,0.2921991,0.7440313,0.1827509,-0.6369523,-0.4771526,-0.0264992
133.6562,0.2921991,0.7440313,0.1827509,-0.6369523,-0.4771526,-0.0264992
133.6701,0.2915597,0.7436848,0.1826979,-0.6379693,-0.4757691,-0.02783778
133.6853,0.2909633,0.7433642,0.1826486,-0.6389138,-0.4744775,-0.02908498
133.7002,0.2904743,0.7431731,0.1825866,-0.6396798,-0.4734668,-0.03016011
133.7148,0.2904743,0.7431731,0.1825866,-0.6396798,-0.4734668,-0.03016011
133.7288,0.2900638,0.7430435,0.1825201,-0.6403037,-0.4726692,-0.03107785
133.7443,0.2897108,0.7429478,0.1824558,-0.6408312,-0.4720079,-0.03187596
133.7591,0.2897108,0.7429478,0.1824558,-0.6408312,-0.4720079,-0.03187596
133.7729,0.2894757,0.7429841,0.1823791,-0.6411669,-0.4716516,-0.03248198
133.79,0.2893254,0.7430816,0.1822988,-0.6413538,-0.4715203,-0.03291828
133.8034,0.2892354,0.7432114,0.1822216,-0.6414416,-0.4715286,-0.03322811
133.8169,0.2892354,0.7432114,0.1822216,-0.6414416,-0.4715286,-0.03322811
133.8312,0.289187,0.7433586,0.1821493,-0.6414654,-0.4716212,-0.03344962
133.8466,0.2892432,0.743627,0.1820655,-0.6413201,-0.4719836,-0.03350586
133.8612,0.2893731,0.7439491,0.1819776,-0.6410418,-0.4725468,-0.03341274
133.8757,0.2893731,0.7439491,0.1819776,-0.6410418,-0.4725468,-0.03341274
133.8896,0.2895546,0.7442981,0.1818924,-0.6406752,-0.473232,-0.03320853
133.9051,0.2897703,0.7446605,0.1818119,-0.6402528,-0.4739875,-0.0329281
133.9197,0.2897703,0.7446605,0.1818119,-0.6402528,-0.4739875,-0.0329281
133.9337,0.2900836,0.745141,0.1817194,-0.6396669,-0.4749994,-0.03249291
133.9492,0.2904641,0.7456731,0.1816231,-0.638952,-0.4762008,-0.03191691
133.9639,0.2908903,0.7462298,0.1815295,-0.6381518,-0.4775145,-0.0312367
