Time, Position (X), Position (Y), Position (Z), Rotation (X), Rotation (Y), Rotation (Z)
725.1085,-0.2862859,0.4907323,1.622818,0.3064544,0.9326215,0.0644697
725.1249,-0.2859118,0.4908249,1.622989,0.3091836,0.9318277,0.06935627
725.14,-0.2854686,0.4910711,1.623178,0.312816,0.9305,0.07377535
725.1559,-0.2844829,0.491471,1.623814,0.3200507,0.9273591,0.08553465
725.1711,-0.2838675,0.4918169,1.62419,0.3230069,0.9261841,0.09218974
725.1877,-0.28328,0.4919221,1.624566,0.3270845,0.9244618,0.09972388
725.2035,-0.2829542,0.4917763,1.624528,0.3324452,0.9222526,0.104951
725.2191,-0.2829513,0.4915407,1.624254,0.3387606,0.9193953,0.1074445
725.2344,-0.2831863,0.4911378,1.623839,0.3438885,0.9169545,0.1080281
725.2509,-0.2836397,0.4907075,1.623279,0.3471763,0.9153423,0.1066123
725.2667,-0.2842951,0.4899165,1.622439,0.3533601,0.9124084,0.1058298
725.2825,-0.2849144,0.4891896,1.621732,0.3546584,0.9120991,0.1021576
725.2984,-0.2855337,0.4884889,1.621123,0.3559834,0.911583,0.09983469
725.3135,-0.2860784,0.4877973,1.620653,0.3576873,0.9108518,0.09832414
725.3298,-0.2864473,0.4872417,1.620391,0.3585952,0.9104099,0.09874253
725.3454,-0.2868336,0.4866202,1.620132,0.3592944,0.9101598,0.099574
725.3619,-0.2872392,0.4859632,1.619819,0.3602617,0.9097646,0.1001383
725.377,-0.2876247,0.4852485,1.619546,0.3612497,0.9093076,0.1005217
725.3925,-0.2882209,0.4839761,1.619174,0.3647038,0.9075961,0.1022596
725.4088,-0.2883539,0.48323,1.619162,0.3677007,0.9061073,0.1046522
725.4249,-0.2883767,0.4825208,1.619281,0.3713085,0.9041532,0.1080247
725.4407,-0.2882831,0.4817168,1.619538,0.3753954,0.9018732,0.1132852
725.4567,-0.2883876,0.4807329,1.619548,0.37881,0.9001943,0.1165718
725.4714,-0.2886476,0.479692,1.619393,0.3812515,0.8991983,0.1170815
725.488,-0.288872,0.4786796,1.619306,0.3829985,0.8984057,0.1167096
725.5043,-0.2892801,0.4769125,1.619281,0.3863886,0.8967455,0.1181632
725.5212,-0.2894235,0.4759,1.619346,0.3870074,0.8964132,0.1190351
725.536,-0.2895949,0.474939,1.619347,0.3871996,0.8964715,0.1188162
725.5508,-0.2897781,0.4740555,1.619376,0.3866206,0.8969223,0.1179399
725.5674,-0.2899628,0.4732022,1.619401,0.3859172,0.897461,0.117206
725.5832,-0.2900733,0.4723402,1.619353,0.3856299,0.8977597,0.1165339
725.5993,-0.2901597,0.4715443,1.619297,0.3852444,0.8981535,0.1156668
725.6143,-0.2902983,0.4701785,1.619253,0.3844419,0.8987168,0.1149986
725.6308,-0.2902875,0.4695849,1.619173,0.3837738,0.8991344,0.1143844
725.6467,-0.2901105,0.4692225,1.619185,0.3841417,0.8990792,0.1139928
725.6624,-0.2898991,0.4689978,1.619205,0.3849573,0.8987233,0.1139805
725.6782,-0.2897373,0.4687754,1.619199,0.3855742,0.8984475,0.1140934
725.6931,-0.2895322,0.4686657,1.619212,0.3858553,0.8982788,0.1148224
725.7095,-0.2893228,0.4685757,1.619219,0.3856008,0.8983711,0.1154993
725.7252,-0.2890551,0.4684928,1.619208,0.3849845,0.8986251,0.1159145
725.7413,-0.2883799,0.4683539,1.61923,0.383613,0.8992897,0.1167197
725.7571,-0.287688,0.4683937,1.619215,0.3824201,0.8998857,0.1175137
725.7722,-0.2870448,0.4684818,1.619097,0.3822854,0.9000566,0.1180285
725.7886,-0.286461,0.4685664,1.618914,0.3826731,0.899916,0.1185079
725.8045,-0.2858488,0.4686543,1.618752,0.3828738,0.8998324,0.1190651
725.82,-0.285106,0.468838,1.618535,0.3825678,0.8999577,0.120026
725.8361,-0.2843263,0.4689772,1.618283,0.3816277,0.90038,0.1207177
725.8512,-0.2829514,0.4692704,1.617839,0.3804201,0.9010956,0.1216517
725.8679,-0.2820992,0.469386,1.617581,0.3807878,0.9010011,0.1221657
725.8835,-0.281348,0.4694889,1.617256,0.3810259,0.9009627,0.1224376
725.8995,-0.2804528,0.4696473,1.616974,0.3810914,0.9009545,0.1228203
725.9146,-0.2795392,0.4697741,1.616741,0.380699,0.9012586,0.1235081
725.9307,-0.2786202,0.4699339,1.616464,0.380077,0.9016662,0.1239829
725.9471,-0.2776268,0.4701774,1.616207,0.3798559,0.9018428,0.1246073
725.9625,-0.275867,0.4706302,1.615702,0.3798599,0.9019343,0.1261235
725.9783,-0.2748454,0.4710277,1.615402,0.3796171,0.9019925,0.1269288
725.9935,-0.2738403,0.4715084,1.61509,0.3785961,0.9024363,0.1277201
726.0102,-0.2728333,0.4719946,1.614742,0.3772471,0.903073,0.128502
726.0272,-0.2718719,0.4724635,1.614362,0.3763016,0.9035748,0.1291838
726.0414,-0.2708867,0.4729881,1.613944,0.3758764,0.9037772,0.1298211
726.0572,-0.26988,0.4735444,1.613557,0.3760357,0.9036161,0.1309852
726.0723,-0.2688533,0.4741701,1.61315,0.3759427,0.9035922,0.1318243
726.0887,-0.2669474,0.4753904,1.612525,0.3742972,0.9042872,0.1337519
726.1047,-0.2658812,0.4762048,1.612176,0.3729922,0.9047879,0.135212
726.1203,-0.2647858,0.4770458,1.611812,0.3720092,0.905218,0.1361524
726.1364,-0.2636711,0.4779182,1.611455,0.3712875,0.9055507,0.1370379
726.1511,-0.2625933,0.4787861,1.61106,0.3705786,0.9058595,0.1380502
726.1676,-0.261506,0.4797225,1.610606,0.3700981,0.9060717,0.1388731
726.1833,-0.2604788,0.4806554,1.610162,0.3695737,0.9062405,0.1398484
726.1993,-0.2585208,0.4824478,1.60932,0.3683741,0.9066226,0.141925
726.2145,-0.257507,0.4835093,1.608808,0.3675142,0.9068578,0.143271
726.2313,-0.2565023,0.4847442,1.608263,0.3661904,0.9073436,0.1442872
726.2468,-0.2554343,0.4860572,1.607781,0.3643849,0.9079593,0.1455319
726.2626,-0.2543766,0.4873541,1.607361,0.3621107,0.9087763,0.1468045
726.2783,-0.2531348,0.4887907,1.607064,0.3600372,0.9094493,0.148356
726.2936,-0.2518917,0.490128,1.606745,0.3582314,0.909973,0.149868
726.3101,-0.2505865,0.4914715,1.606374,0.3563654,0.9105734,0.1513467
726.326,-0.2483232,0.4938387,1.605655,0.3532365,0.9115216,0.1543572
726.3418,-0.246902,0.4952109,1.60531,0.352376,0.9115695,0.1563877
726.358,-0.2455921,0.4965133,1.604969,0.3515549,0.9115685,0.1582905
726.373,-0.2442299,0.4980042,1.60459,0.3505274,0.9116412,0.1601473
726.3893,-0.2429916,0.4994448,1.604219,0.3485286,0.9121345,0.1619511
726.4052,-0.2417306,0.5009455,1.603853,0.3458651,0.9128724,0.1636142
726.4217,-0.240508,0.5024868,1.603503,0.342978,0.9136245,0.1655404
726.437,-0.2382422,0.5053475,1.602766,0.3375476,0.915023,0.168815
726.452,-0.2370081,0.5070626,1.602341,0.3335924,0.9160877,0.1703226
726.4687,-0.2356904,0.5088438,1.601962,0.3289183,0.9174887,0.1717407
726.4843,-0.234411,0.5105681,1.601609,0.3235273,0.9192085,0.1730814
726.5004,-0.2329359,0.5124043,1.601264,0.3185153,0.9206988,0.1746119
726.5156,-0.2314496,0.5141058,1.600925,0.3142641,0.9218845,0.176461
726.532,-0.2297475,0.5158569,1.600508,0.3113816,0.9225992,0.1782916
726.5477,-0.2268944,0.5189583,1.599726,0.3052177,0.9241846,0.1815346
726.5633,-0.2251193,0.5207574,1.599227,0.3028801,0.9247235,0.1832775
726.5793,-0.2232817,0.5225903,1.598743,0.3005222,0.9253134,0.1849004
726.5945,-0.2213387,0.5245079,1.598334,0.2982847,0.9257592,0.1870491
726.6109,-0.2193454,0.5264862,1.597973,0.2963117,0.9261177,0.1895374
726.6265,-0.2174281,0.5285308,1.5976,0.2941288,0.9265123,0.1920924
726.6423,-0.2154617,0.5306376,1.597255,0.2919582,0.9269218,0.1944783
726.6583,-0.2134559,0.5327883,1.5969,0.2901789,0.927188,0.1968198
726.6732,-0.2097771,0.5366409,1.596278,0.2863295,0.9277843,0.2014189
726.6896,-0.2076093,0.538944,1.595981,0.2856038,0.9277256,0.204081
726.7056,-0.2055794,0.5412063,1.595713,0.2851973,0.9274839,0.206712
726.7211,-0.2035731,0.5435444,1.595505,0.2849627,0.9269972,0.2097327
726.7371,-0.2015377,0.5460404,1.595352,0.2849866,0.9263035,0.2131737
726.7517,-0.1995907,0.5486332,1.595225,0.2840494,0.9260715,0.2161413
726.7684,-0.1977527,0.5512817,1.5951,0.2820209,0.9262378,0.2189263
726.7841,-0.1943135,0.5561064,1.594852,0.2781283,0.9264914,0.2243599
726.8,-0.1925308,0.5589358,1.594792,0.2758151,0.9266109,0.2274588
726.8157,-0.1907532,0.561684,1.594745,0.2742279,0.9263958,0.2308624
726.8311,-0.1889645,0.564647,1.594661,0.2730392,0.9260769,0.2340487
726.8473,-0.1872734,0.5675161,1.594616,0.2721162,0.9256725,0.237167
726.8633,-0.1855311,0.5704848,1.594601,0.2718502,0.9249394,0.2407074
726.879,-0.1838598,0.5735683,1.594594,0.2717474,0.9242047,0.2439722
726.8942,-0.1807853,0.5793093,1.59467,0.2698046,0.9231936,0.2507166
726.9108,-0.1793684,0.5826765,1.594763,0.2671604,0.9233733,0.2536496
726.9268,-0.1780271,0.5860984,1.594857,0.2638961,0.9236624,0.256626
726.9425,-0.1767325,0.5894981,1.594964,0.2606668,0.9239611,0.259305
726.9581,-0.1754163,0.5930527,1.595169,0.2579645,0.9238238,0.2626947
726.9732,-0.1740323,0.5964476,1.595415,0.2563334,0.9231996,0.2664801
726.9894,-0.1726587,0.599986,1.595642,0.2552114,0.9225569,0.2699428
727.0054,-0.1714455,0.6035963,1.59595,0.2531264,0.9222311,0.2732702
727.021,-0.1693413,0.6104278,1.596566,0.2475665,0.9219823,0.2797298
727.0383,-0.1685183,0.6143876,1.596956,0.2426747,0.9223642,0.2830258
727.0519,-0.1677469,0.6184621,1.597342,0.2378535,0.9227064,0.2859851
727.0688,-0.1670304,0.622622,1.597788,0.2329936,0.9229893,0.2887909
727.0842,-0.1663506,0.6267836,1.598365,0.227727,0.9232992,0.2918187
727.1001,-0.1657635,0.6310482,1.599053,0.2212996,0.923991,0.2946011
727.1157,-0.1653106,0.6353644,1.599788,0.2136741,0.9248793,0.2977315
727.131,-0.1643292,0.643059,1.601066,0.1999136,0.9260118,0.3039845
727.1477,-0.1639935,0.6473742,1.601908,0.1914298,0.9269078,0.3068056
727.1633,-0.1637097,0.6516775,1.602814,0.1830918,0.9277738,0.3094064
727.1794,-0.163549,0.6558539,1.603704,0.1750698,0.9283962,0.312291
727.1942,-0.1634096,0.6600555,1.60475,0.1673196,0.928727,0.3153201
727.2104,-0.1633627,0.6642791,1.605886,0.1593077,0.9290346,0.3185168
727.2263,-0.1634572,0.6684206,1.607016,0.1503026,0.9294324,0.3217888
727.242,-0.1635125,0.6725736,1.608087,0.1411974,0.9300011,0.3242327
727.2578,-0.1635659,0.6801333,1.610015,0.123413,0.9309356,0.3289977
727.2733,-0.1637059,0.6843006,1.611215,0.1141447,0.9314694,0.3309973
727.2894,-0.1638552,0.688318,1.612403,0.1050906,0.9316878,0.3336029
727.3054,-0.1639718,0.692353,1.613673,0.09577649,0.9318383,0.3363772
