Time, Position (X), Position (Y), Position (Z), Rotation (X), Rotation (Y), Rotation (Z)
409.2653,-0.121773,0.9439309,1.907716,0.1315752,0.9374428,-0.2972736
409.2799,-0.1217811,0.9439596,1.907706,0.1316102,0.9374653,-0.2971464
409.2931,-0.1218,0.9439757,1.907692,0.1316492,0.9374806,-0.2970392
409.3087,-0.121821,0.9439877,1.907681,0.1316632,0.9374932,-0.2969393
409.3236,-0.1218447,0.943996,1.907666,0.131662,0.9375023,-0.296869
409.3384,-0.1218744,0.9440039,1.907648,0.1316606,0.9375049,-0.296811
409.3526,-0.1219147,0.9440353,1.907625,0.1316331,0.9375132,-0.2967269
409.368,-0.1219694,0.9440774,1.907596,0.1316025,0.93753,-0.296605
409.383,-0.1220137,0.9441172,1.907571,0.1315878,0.9375305,-0.2965343
409.3981,-0.1220563,0.9441697,1.907545,0.1315841,0.9375491,-0.296416
409.4117,-0.1221037,0.944258,1.907537,0.1314969,0.9375946,-0.2962188
409.4271,-0.1221661,0.9443901,1.907549,0.1313819,0.9377068,-0.2958207
409.4427,-0.1222467,0.9445907,1.907575,0.1313668,0.9378241,-0.2953216
409.4566,-0.1225231,0.9450961,1.907613,0.1313122,0.9381413,-0.2939805
409.4705,-0.1229803,0.945929,1.907664,0.1312131,0.9387558,-0.2912125
409.486,-0.1235168,0.9468219,1.907798,0.1299585,0.9394907,-0.2883099
409.5023,-0.1238532,0.9472825,1.907903,0.1290338,0.939757,-0.2872539
409.5156,-0.1241137,0.947665,1.907969,0.1287795,0.9397858,-0.2868609
409.5295,-0.1242812,0.9481267,1.908056,0.1295412,0.9398059,-0.2863302
409.5451,-0.124388,0.9485667,1.908245,0.1303147,0.9399529,-0.2854443
409.5597,-0.1244385,0.9489179,1.908315,0.1312966,0.9400004,-0.2851503
409.574,-0.1245347,0.9494365,1.908463,0.1322923,0.9400225,-0.2846325
409.5893,-0.1246361,0.9499311,1.908612,0.1327087,0.9401711,-0.2840203
409.6041,-0.1247785,0.950524,1.908785,0.1335862,0.9403232,-0.2830459
409.6187,-0.1248799,0.9509689,1.908857,0.1337961,0.9404449,-0.2826799
409.6329,-0.1251303,0.9520288,1.909003,0.1349639,0.9407478,-0.2811508
409.6487,-0.1252705,0.95309,1.909126,0.1356122,0.9413312,-0.2790624
409.6633,-0.1255104,0.9538788,1.909126,0.1345084,0.941843,-0.2779255
409.68,-0.1257076,0.9546902,1.909145,0.1331998,0.9421548,-0.2773957
409.6935,-0.1258359,0.9555646,1.909149,0.1318301,0.942502,-0.2770288
409.7077,-0.1258924,0.9566048,1.909147,0.1302491,0.9429567,-0.2764078
409.7222,-0.1259109,0.9578081,1.909068,0.1287805,0.9437199,-0.2751459
409.7372,-0.1259821,0.9591205,1.908891,0.1284117,0.9443836,-0.2732624
409.751,-0.1261296,0.9606576,1.908621,0.1276723,0.944928,-0.2714838
409.7667,-0.1262802,0.962232,1.908387,0.1259468,0.945614,-0.2696447
409.7814,-0.1264958,0.9640158,1.908064,0.1247241,0.9462723,-0.2673843
409.7964,-0.1266277,0.9658641,1.907752,0.1252194,0.9467434,-0.265085
409.8104,-0.1267137,0.9680036,1.907392,0.1265773,0.9471303,-0.2627891
409.8258,-0.1267828,0.9706403,1.907062,0.1269634,0.9480413,-0.2591918
409.8407,-0.1269746,0.9731906,1.906775,0.1254024,0.9492046,-0.255721
409.8553,-0.1272294,0.9759949,1.906439,0.1236912,0.9503026,-0.252324
409.8696,-0.1273939,0.9789132,1.9062,0.1227479,0.9513052,-0.2484645
409.8852,-0.1277279,0.9842301,1.905786,0.1219239,0.9532692,-0.2405891
409.8997,-0.1278918,0.9877196,1.90568,0.1218644,0.9543685,-0.2359209
409.9139,-0.1280299,0.9913013,1.905563,0.1225025,0.9552532,-0.2316586
409.9301,-0.1281007,0.9951729,1.905554,0.1216911,0.9564658,-0.226817
409.944,-0.1282007,0.999207,1.90561,0.1200749,0.9579977,-0.2212002
409.9583,-0.1283243,1.003414,1.905697,0.1180027,0.9594789,-0.2160927
409.974,-0.1283838,1.007778,1.905861,0.1170455,0.960898,-0.2100893
409.9882,-0.1284017,1.012318,1.905957,0.1177311,0.9619854,-0.2045166
410.0025,-0.1283033,1.01685,1.906096,0.1196124,0.9628839,-0.1988832
410.0174,-0.1282068,1.02168,1.906279,0.1229603,0.9636973,-0.1925037
410.0314,-0.1281177,1.026816,1.906517,0.1261986,0.9645824,-0.1858268
410.0468,-0.1280992,1.032075,1.906648,0.127848,0.9654567,-0.1796483
410.0616,-0.1281189,1.037644,1.906935,0.1282485,0.9664046,-0.1734761
410.0765,-0.1281628,1.043681,1.907243,0.1271539,0.9676983,-0.1664686
410.0905,-0.1282586,1.049609,1.907441,0.126376,0.9690144,-0.1587963
410.1059,-0.128285,1.055748,1.907603,0.1266314,0.9700323,-0.1513944
410.1208,-0.128383,1.061828,1.907618,0.1278108,0.9708841,-0.1438445
410.1356,-0.1285107,1.072948,1.907707,0.1305433,0.9723712,-0.1285531
410.1497,-0.1286177,1.079504,1.907538,0.1340496,0.9727262,-0.1202027
410.1652,-0.1287201,1.085961,1.907156,0.1370362,0.9729779,-0.1127108
410.1808,-0.1291358,1.092265,1.906674,0.137269,0.9735259,-0.1061719
410.1945,-0.1299284,1.099116,1.905779,0.1352577,0.9739981,-0.1008053
410.2087,-0.1306952,1.105894,1.904879,0.1328113,0.9745364,-0.09492734
410.2242,-0.1313516,1.113118,1.90379,0.131052,0.9750817,-0.08801877
410.239,-0.1319162,1.120278,1.902712,0.129839,0.9757688,-0.07997559
410.253,-0.1325156,1.127733,1.901196,0.1284298,0.9765254,-0.07227423
410.2684,-0.1332073,1.135032,1.899507,0.1270746,0.9771996,-0.06518755
410.2832,-0.1339428,1.142452,1.89762,0.1263656,0.9775954,-0.05811537
410.2985,-0.1347114,1.150177,1.89543,0.1268518,0.977656,-0.05120792
410.3125,-0.1354263,1.15786,1.893201,0.1284087,0.9774048,-0.04510946
410.3278,-0.1359701,1.166043,1.890905,0.1314985,0.976897,-0.03857093
410.3425,-0.1364563,1.174288,1.888705,0.134321,0.9764789,-0.03122183
410.3575,-0.1368838,1.18278,1.886545,0.1361005,0.9762801,-0.02333127
410.3715,-0.1377747,1.198734,1.88261,0.1360646,0.9765379,-0.006943357
410.3872,-0.138203,1.207825,1.880425,0.1332927,0.9771374,0.001589218
410.4019,-0.1386102,1.217127,1.878326,0.1304124,0.9774476,0.009716596
410.4177,-0.1389778,1.226647,1.876202,0.1279323,0.9776381,0.01751697
410.4347,-0.1392396,1.235544,1.874207,0.1278752,0.9773621,0.02538856
410.4473,-0.1394238,1.244903,1.872181,0.1303581,0.9764903,0.03209121
410.4609,-0.1394391,1.254195,1.870477,0.1327167,0.9756239,0.03917299
410.4754,-0.1392185,1.263373,1.868999,0.1338661,0.9751253,0.04744689
410.4895,-0.1389286,1.272649,1.86755,0.1353259,0.9747403,0.05452977
410.5051,-0.1385429,1.281585,1.866263,0.1368503,0.9743056,0.06098415
410.5198,-0.1379955,1.2905,1.865122,0.1392665,0.9737418,0.06608851
410.5341,-0.1374576,1.299068,1.864071,0.1423776,0.9729605,0.0702844
410.5497,-0.1368695,1.307462,1.863129,0.1470196,0.971762,0.07364278
410.5645,-0.1359876,1.316039,1.86251,0.1538304,0.9698205,0.07807658
410.579,-0.1352698,1.324641,1.861975,0.1592116,0.9679869,0.08354092
410.593,-0.1343479,1.333272,1.861807,0.1629194,0.9665899,0.08967793
410.6084,-0.1327697,1.348875,1.861283,0.1688269,0.9642199,0.1019227
410.6234,-0.1320781,1.357111,1.861164,0.1689626,0.9640507,0.1068255
410.6382,-0.1313489,1.365283,1.861181,0.1680054,0.9640234,0.1107915
410.6544,-0.130518,1.37325,1.861321,0.1682721,0.9634739,0.1153794
410.6677,-0.1294659,1.38115,1.861799,0.1694206,0.9625084,0.1217454
410.6826,-0.1285691,1.389035,1.862225,0.1699745,0.9617383,0.1283084
410.6973,-0.127447,1.396799,1.862869,0.1716872,0.9606859,0.1350059
410.7111,-0.1261757,1.404609,1.863644,0.1738479,0.9595801,0.1413973
410.7266,-0.1246312,1.412284,1.864618,0.1757669,0.958557,0.1471972
410.7412,-0.1228583,1.419892,1.865823,0.1775831,0.9576105,0.1531533
410.7563,-0.1213546,1.427346,1.866985,0.1780791,0.9571421,0.1580641
410.7701,-0.120217,1.434651,1.868148,0.1759723,0.9573675,0.1615196
410.7858,-0.1188836,1.442013,1.869629,0.175009,0.9565802,0.167175
410.8005,-0.117759,1.449045,1.870894,0.1754838,0.9554037,0.1729027
410.8154,-0.1164304,1.455909,1.872322,0.1780049,0.9537582,0.1785403
410.8294,-0.1147962,1.462558,1.874074,0.18295,0.9515246,0.1847643
410.8449,-0.113525,1.469122,1.875657,0.1858767,0.9501241,0.1891073
410.8595,-0.1114058,1.481351,1.878585,0.1912179,0.9467208,0.1998376
410.8737,-0.1101657,1.487595,1.880561,0.1931961,0.9449667,0.2053799
410.8889,-0.1090231,1.493671,1.882601,0.1950836,0.9432036,0.2113958
410.9048,-0.1078412,1.499678,1.88476,0.1964487,0.941612,0.217144
410.9199,-0.1068213,1.505324,1.886671,0.1976716,0.9401687,0.2223009
410.9326,-0.1057203,1.510867,1.88864,0.1985845,0.9389692,0.2264782
410.948,-0.1043557,1.516165,1.890872,0.2012235,0.9372448,0.2314049
410.9628,-0.1034231,1.521396,1.892696,0.2024181,0.9363177,0.234706
410.9775,-0.102292,1.526382,1.89478,0.204481,0.9346466,0.239035
410.9915,-0.101331,1.531221,1.896757,0.2058363,0.9333199,0.2430116
411.007,-0.1003675,1.535829,1.898671,0.2075792,0.9318625,0.2469785
411.0219,-0.09966102,1.540278,1.900484,0.2094326,0.9300153,0.2516137
411.0368,-0.09903363,1.544408,1.902132,0.2112,0.9281865,0.2558845
411.0509,-0.09844311,1.548291,1.903641,0.2123188,0.9269512,0.2588636
411.0665,-0.09796027,1.551926,1.905029,0.2121214,0.9262386,0.2613873
411.081,-0.09751217,1.555433,1.906301,0.2116996,0.9257248,0.2636169
411.096,-0.09639611,1.56173,1.908824,0.2116062,0.9241692,0.2692394
411.1096,-0.09593349,1.564329,1.909757,0.2116312,0.9237596,0.2710854
411.1252,-0.0954738,1.566744,1.910608,0.212845,0.9230915,0.2724403
411.1421,-0.09505109,1.568826,1.91117,0.2145189,0.9225512,0.2728734
411.1558,-0.09464929,1.570875,1.911784,0.215929,0.9216902,0.2738263
411.169,-0.09430407,1.572684,1.912344,0.2166486,0.9209889,0.2751049
