Time, Position (X), Position (Y), Position (Z), Rotation (X), Rotation (Y), Rotation (Z)
388.8185,0.2840918,0.4133624,0.1484468,-0.2559448,-0.03276774,0.04691196
388.8401,0.2845066,0.4135385,0.148278,-0.2563777,-0.03337131,0.04721658
388.8483,0.2845066,0.4135385,0.148278,-0.2563777,-0.03337131,0.04721658
388.8639,0.28471,0.4135579,0.1479594,-0.256377,-0.03368066,0.04736008
388.878,0.28471,0.4135579,0.1479594,-0.256377,-0.03368066,0.04736008
388.8934,0.2849109,0.4135455,0.1475461,-0.2562688,-0.03399279,0.04749893
388.9065,0.2851097,0.4135109,0.1470698,-0.2560826,-0.03430651,0.04763437
388.9212,0.2853073,0.4135102,0.1467998,-0.25596,-0.03461253,0.04777215
388.9358,0.2853073,0.4135102,0.1467998,-0.25596,-0.03461253,0.04777215
388.95,0.2855036,0.4135489,0.1466943,-0.2559517,-0.03491082,0.04791371
388.9655,0.2856984,0.4136212,0.1467091,-0.2560512,-0.03520273,0.04805885
388.9803,0.285891,0.4137188,0.146807,-0.2562355,-0.03548996,0.04820631
388.9949,0.285891,0.4137188,0.146807,-0.2562355,-0.03548996,0.04820631
389.0088,0.2860827,0.4138828,0.1472066,-0.2565979,-0.03576503,0.04836065
389.0244,0.2862723,0.4141087,0.1478311,-0.2571521,-0.03602996,0.04852149
389.0391,0.2862723,0.4141087,0.1478311,-0.2571521,-0.03602996,0.04852149
389.0531,0.286459,0.4143833,0.1486128,-0.2578652,-0.03628649,0.04868699
389.0685,0.286644,0.4147438,0.149745,-0.2588126,-0.03652865,0.04886092
389.0831,0.2868257,0.4151815,0.1511321,-0.2599909,-0.03675844,0.04904239
389.1013,0.2870039,0.4156797,0.1526927,-0.2613533,-0.03697871,0.04922908
389.1146,0.2870039,0.4156797,0.1526927,-0.2613533,-0.03697871,0.04922908
389.1288,0.2871784,0.4162226,0.1543653,-0.2628474,-0.03719215,0.04941853
389.1439,0.2873505,0.4168508,0.1563512,-0.2645475,-0.03739166,0.04961499
389.1567,0.2873505,0.4168508,0.1563512,-0.2645475,-0.03739166,0.04961499
389.1709,0.2875198,0.4175574,0.1585623,-0.2664532,-0.03757891,0.04981875
389.1861,0.2876852,0.4183272,0.1609235,-0.2685228,-0.03775684,0.05002674
389.201,0.287847,0.4191448,0.1633771,-0.2707078,-0.03792733,0.05023714
389.2159,0.287847,0.4191448,0.1633771,-0.2707078,-0.03792733,0.05023714
389.2299,0.2880068,0.4200569,0.1661267,-0.2730853,-0.03808351,0.05045483
389.2455,0.2881638,0.4210564,0.1690862,-0.2756577,-0.03822726,0.05067939
389.2601,0.2883173,0.4221276,0.1721814,-0.2783836,-0.03836092,0.05090851
389.2751,0.2883173,0.4221276,0.1721814,-0.2783836,-0.03836092,0.05090851
389.289,0.2884686,0.4233189,0.1755996,-0.2813344,-0.03847836,0.05114635
389.3045,0.2886173,0.4246195,0.1792422,-0.2845027,-0.03858174,0.05139223
389.3189,0.2886173,0.4246195,0.1792422,-0.2845027,-0.03858174,0.05139223
389.3334,0.2887618,0.4260096,0.1830265,-0.2878391,-0.03867407,0.05164267
389.3488,0.2889019,0.4274708,0.1868902,-0.291291,-0.03875806,0.05189464
389.3656,0.2890404,0.4290599,0.1910299,-0.29493,-0.0388266,0.05215403
389.3794,0.2890404,0.4290599,0.1910299,-0.29493,-0.0388266,0.05215403
389.3933,0.2891759,0.4307664,0.1953571,-0.2987556,-0.03888192,0.05242027
389.4078,0.2893075,0.4325705,0.1997966,-0.3027252,-0.0389265,0.05268986
389.4223,0.289435,0.4344538,0.2042912,-0.3067906,-0.03896247,0.05296058
389.4372,0.289435,0.4344538,0.2042912,-0.3067906,-0.03896247,0.05296058
389.451,0.2895609,0.4364823,0.2090389,-0.3110276,-0.03898313,0.0532378
389.4666,0.2896841,0.4386439,0.2139532,-0.3154381,-0.03899035,0.05352151
389.4814,0.2898035,0.4409165,0.2189609,-0.3199812,-0.03898662,0.05380821
389.4963,0.2898035,0.4409165,0.2189609,-0.3199812,-0.03898662,0.05380821
