Time, Position (X), Position (Y), Position (Z), Rotation (X), Rotation (Y), Rotation (Z)
111.4885,-0.03724085,0.1423947,1.30601,0.03410381,0.4210083,0.2824532
111.5053,-0.03724465,0.1424207,1.306126,0.03407938,0.4209139,0.2826619
111.5166,-0.03724702,0.1424588,1.306198,0.0339865,0.4209378,0.2828728
111.5293,-0.03725161,0.1425083,1.306257,0.03381963,0.4209244,0.2829647
111.544,-0.03726913,0.1425702,1.30632,0.03360753,0.420808,0.282912
111.5582,-0.0373062,0.1426196,1.306385,0.03345504,0.4206886,0.2830039
111.5715,-0.0373563,0.1426629,1.306465,0.03338581,0.4205782,0.2832713
111.5862,-0.03740872,0.1427002,1.306539,0.03334744,0.4204956,0.2834957
111.6,-0.0374645,0.1427354,1.306614,0.03335468,0.4203918,0.283635
111.6139,-0.03754033,0.1427678,1.30668,0.03339531,0.4203,0.2838156
111.6274,-0.0376143,0.1428033,1.306729,0.03341549,0.4202618,0.2840554
111.6419,-0.03767235,0.1428594,1.306747,0.033338,0.4203432,0.2842675
111.6559,-0.03771736,0.1429282,1.306749,0.03318701,0.4204164,0.284379
111.669,-0.03776873,0.1430044,1.306745,0.03299061,0.4204331,0.2844267
111.6838,-0.0378295,0.1430783,1.306749,0.03281815,0.4204768,0.2845837
111.6977,-0.03790259,0.143153,1.306764,0.03266973,0.4205904,0.2848673
111.711,-0.03797643,0.1432145,1.306782,0.03255132,0.4206253,0.2851497
111.7256,-0.03804902,0.1432694,1.306809,0.03241764,0.4205222,0.2853181
111.7396,-0.03810569,0.1433205,1.306846,0.03236859,0.4203162,0.2853253
111.7527,-0.03813221,0.1433604,1.306878,0.03250631,0.4202387,0.285309
111.7674,-0.03813265,0.1433969,1.306897,0.03281655,0.4204007,0.2854206
111.7812,-0.03815252,0.1434619,1.306894,0.03311443,0.4207565,0.2858157
111.7952,-0.03818109,0.1435148,1.306884,0.03302761,0.4207568,0.2858407
111.8086,-0.03827225,0.1436314,1.306885,0.03280269,0.4205627,0.2857501
111.8231,-0.03839769,0.1437407,1.306912,0.0325761,0.4203885,0.2860641
111.8372,-0.03855148,0.1438703,1.306942,0.03237018,0.4203241,0.2867762
111.8503,-0.03864725,0.1439792,1.306938,0.0322489,0.4203546,0.2871238
111.865,-0.03875635,0.1441557,1.306901,0.03194138,0.4203696,0.2874715
111.8789,-0.03884435,0.144343,1.306843,0.03169332,0.4203974,0.287744
111.892,-0.03890092,0.1446107,1.306762,0.03152397,0.4203659,0.2881645
111.9065,-0.03898086,0.1453942,1.306598,0.03129049,0.4202372,0.289485
111.9205,-0.03885253,0.1469479,1.306373,0.03141614,0.4196103,0.2910049
111.9346,-0.03852457,0.1487747,1.306173,0.03183525,0.4200245,0.2920398
111.9478,-0.03795468,0.1513194,1.305952,0.03289766,0.4222969,0.2928112
111.9624,-0.03765502,0.1543384,1.305882,0.03403473,0.4260305,0.2939771
111.9763,-0.03761468,0.1577523,1.305938,0.03475686,0.4288254,0.2961373
111.9895,-0.03769911,0.161684,1.306079,0.03498773,0.4300544,0.2992406
112.0042,-0.03790561,0.1658688,1.306196,0.0346706,0.4308506,0.3026196
