Time, Position (X), Position (Y), Position (Z), Rotation (X), Rotation (Y), Rotation (Z)
71.05534,-0.1733396,0.3348055,0.8474298,0.6327537,0.2965425,0.5953693
71.07634,-0.1731734,0.3351471,0.8475445,0.6311906,0.2972382,0.5954831
71.09277,-0.1730685,0.3353763,0.8476177,0.6306001,0.2975106,0.5953776
71.11028,-0.1729805,0.3355569,0.8476771,0.6302837,0.2975293,0.5953237
71.12854,-0.1728159,0.3358943,0.8479053,0.6291532,0.2981583,0.5955749
71.14706,-0.1726483,0.3361511,0.8481153,0.6280502,0.2987496,0.5961152
71.16591,-0.1725059,0.3366011,0.8483954,0.6261346,0.2995021,0.5969528
71.18354,-0.1722576,0.3371941,0.8487294,0.6229403,0.3004142,0.5979009
71.20197,-0.172164,0.3373812,0.8487049,0.6225636,0.2998882,0.5979569
71.22047,-0.1720693,0.3376945,0.8488787,0.6213572,0.3004323,0.5983837
71.23883,-0.1719868,0.3378873,0.8488764,0.6201497,0.2991548,0.5990609
71.25668,-0.17176,0.33863,0.8488696,0.617807,0.2960041,0.5990542
71.27556,-0.171986,0.3392491,0.8490713,0.6155453,0.29174,0.5996433
71.2935,-0.1715236,0.3404233,0.8488847,0.6147447,0.2818839,0.5977294
71.31176,-0.1721718,0.3425708,0.8486379,0.611068,0.2527742,0.5961602
71.33021,-0.1732672,0.3460975,0.8483074,0.6096883,0.2183306,0.5878875
71.34824,-0.1739158,0.3493785,0.8473066,0.6056044,0.1720628,0.5740662
71.36665,-0.1749815,0.3539051,0.8459206,0.606115,0.1056323,0.5516875
71.38486,-0.176771,0.3583711,0.8456325,0.6124613,0.08018624,0.5367481
71.40322,-0.1790686,0.3644675,0.8442187,0.6152668,0.06967049,0.5159625
71.42144,-0.1836336,0.3740943,0.8412836,0.623755,0.05356456,0.4752531
71.43994,-0.1883198,0.3808482,0.8384353,0.6385322,0.07315332,0.4447717
71.45792,-0.1938713,0.3874295,0.8353654,0.6532879,0.09308104,0.4103134
71.47642,-0.2041781,0.3985111,0.8298497,0.676002,0.1086532,0.3377831
71.49487,-0.2125371,0.4033028,0.8259429,0.6942435,0.1169744,0.2897633
71.51323,-0.2221085,0.4070059,0.8224639,0.709262,0.1408292,0.2410569
71.53143,-0.2386341,0.4123047,0.816242,0.7332039,0.1798634,0.1478526
71.54961,-0.2504494,0.4108063,0.8122725,0.7508984,0.2025844,0.0880129
71.56799,-0.2619353,0.4069092,0.8091896,0.7687216,0.2183515,0.02972396
71.58624,-0.2725641,0.4010524,0.806873,0.7816025,0.2424501,-0.02536859
71.60468,-0.2899183,0.3913758,0.8028817,0.7962759,0.2891187,-0.1263603
71.62306,-0.297807,0.3813025,0.8022648,0.8095298,0.3010916,-0.1706742
71.64126,-0.3042404,0.370381,0.800709,0.8322017,0.2889305,-0.209529
71.65958,-0.3131528,0.3522485,0.7972847,0.8565136,0.2929991,-0.2709734
71.67787,-0.3115783,0.3419102,0.7944974,0.8680116,0.3180329,-0.2724521
71.69612,-0.3077934,0.3315147,0.7919108,0.8813785,0.3392062,-0.257916
71.71446,-0.3023685,0.312547,0.7869371,0.8857094,0.3874837,-0.2421123
71.73286,-0.2930435,0.3033383,0.7849508,0.8662528,0.4482762,-0.2194775
71.75098,-0.2830363,0.2936862,0.7859014,0.8468667,0.4934385,-0.1933978
71.76927,-0.2690223,0.2780325,0.7885408,0.8047271,0.5465736,-0.1575718
71.78752,-0.2595225,0.2739288,0.7937599,0.7680859,0.5824207,-0.1403314
71.80619,-0.2512782,0.2723398,0.7994899,0.7330851,0.6123061,-0.1183862
71.82413,-0.2372975,0.2686152,0.8067912,0.6608005,0.6522356,-0.07489362
71.84252,-0.2287705,0.2708878,0.8133783,0.6219436,0.6713431,-0.04545571
71.86065,-0.2196985,0.2753469,0.8217275,0.5749504,0.6900867,-0.009391258
71.87873,-0.2101782,0.2837369,0.8286063,0.5224549,0.7089597,0.04135134
71.89697,-0.1954214,0.2984715,0.8383273,0.3996173,0.7410132,0.1251491
71.91541,-0.1902508,0.3112988,0.8397593,0.3299021,0.7737686,0.171342
71.93367,-0.1884103,0.322901,0.8369461,0.2811194,0.8029035,0.2083843
71.95187,-0.1843046,0.3392996,0.8308283,0.2005155,0.8363906,0.2738715
71.97013,-0.1834412,0.3492892,0.8220693,0.2012524,0.8587352,0.3281105
71.98865,-0.1844545,0.3606376,0.8171425,0.1953556,0.8733098,0.3914207
72.00726,-0.1901677,0.3779836,0.8125629,0.1227675,0.8789918,0.4567626
72.02564,-0.1986182,0.3827422,0.8109354,0.07732932,0.8877537,0.4536272
72.04371,-0.2025556,0.3831734,0.807264,0.06504664,0.8971687,0.4363335
72.06214,-0.2058288,0.3889149,0.8010051,0.0920353,0.8808693,0.4459209
72.08077,-0.2057242,0.3881804,0.8014289,0.1649631,0.8466044,0.4626887
72.09917,-0.2052405,0.3884632,0.8015123,0.2166799,0.8050737,0.4913704
72.11729,-0.2047147,0.3898007,0.7995906,0.2836354,0.7240049,0.5292222
72.13577,-0.2011815,0.3885404,0.7990282,0.3528565,0.6541892,0.5516475
72.15424,-0.1959516,0.385891,0.797218,0.4357808,0.5534899,0.5679141
72.17272,-0.1905529,0.3817477,0.7935619,0.5526792,0.3475283,0.5727639
72.19106,-0.1898813,0.3780566,0.7880241,0.6139499,0.2057934,0.5574015
72.20979,-0.1931755,0.3779377,0.7832028,0.6460513,0.09826738,0.530447
72.22783,-0.2005494,0.3806704,0.7763324,0.6706946,-0.05934798,0.4616143
72.24626,-0.209748,0.3869092,0.772755,0.6778312,-0.04997215,0.4099333
72.26452,-0.2188953,0.3923677,0.7714314,0.6867309,0.03664726,0.3697401
72.28261,-0.2281557,0.3953832,0.7705541,0.6953062,0.1408083,0.3265215
72.30115,-0.2440328,0.3964317,0.7656507,0.7192484,0.1654366,0.2326629
72.31951,-0.2542429,0.3941167,0.763653,0.7428361,0.1305427,0.1703239
72.33704,-0.2621886,0.3912188,0.7639645,0.7584459,0.1270758,0.1198912
72.35598,-0.2754429,0.3860991,0.7634984,0.7729465,0.1640361,0.03766765
72.37431,-0.2813139,0.3797776,0.7627372,0.7834981,0.1975666,0.004386576
72.39246,-0.2869787,0.3720703,0.7614069,0.799477,0.2160825,-0.03180447
72.41078,-0.2952057,0.3589541,0.7606713,0.8206306,0.2474212,-0.0927039
72.42919,-0.2968019,0.3498641,0.7597886,0.8251407,0.2917628,-0.1144245
72.44737,-0.2968486,0.3397691,0.7595325,0.8339933,0.3259633,-0.1296974
72.46571,-0.2981643,0.3212067,0.7586471,0.8500201,0.3730175,-0.1680306
72.48405,-0.2932896,0.3092846,0.759006,0.8600824,0.4043751,-0.1648379
72.50233,-0.2861946,0.2984918,0.7600988,0.8663139,0.4356643,-0.1507799
72.52048,-0.2755957,0.2786399,0.7630698,0.8725277,0.4689454,-0.125089
72.53891,-0.264846,0.2673182,0.7680453,0.8706781,0.4828252,-0.08863163
72.55698,-0.2529588,0.2620577,0.7739307,0.8319887,0.542593,-0.06863794
72.5757,-0.2352647,0.2526309,0.7825106,0.7600925,0.6142964,-0.0365069
72.59402,-0.2250624,0.2523601,0.7889801,0.7299898,0.6325462,0.0009672939
72.61223,-0.2169036,0.2532167,0.7946403,0.7001615,0.6480255,0.03925861
72.63064,-0.211844,0.2567041,0.7991149,0.6651978,0.6731037,0.06687099
72.64891,-0.2022074,0.2595908,0.8065138,0.6021876,0.7033523,0.1085775
72.66739,-0.1976663,0.2646559,0.8097564,0.5888913,0.7127548,0.1365439
72.68562,-0.1923431,0.2714263,0.8119628,0.5647376,0.729094,0.1633033
72.70395,-0.1805575,0.2829509,0.8166918,0.5004795,0.7626964,0.220748
72.72239,-0.1737472,0.2952624,0.8185502,0.4522249,0.7893872,0.2637809
72.74094,-0.1699103,0.3100366,0.8199427,0.3832036,0.8205627,0.3059691
72.75928,-0.1658066,0.3312482,0.8196934,0.2670631,0.8567322,0.3686427
72.77737,-0.1687396,0.3439807,0.8152711,0.2247388,0.8736638,0.3945847
72.79606,-0.1737178,0.3524815,0.8116947,0.1929484,0.8863605,0.4104662
72.81449,-0.1793287,0.3671456,0.8084635,0.1387563,0.8896241,0.4341781
72.8329,-0.1852016,0.3722482,0.8096367,0.1338165,0.8826543,0.4406597
72.85103,-0.1922912,0.376164,0.8114713,0.1004839,0.8862189,0.4331566
72.86949,-0.2031245,0.3847645,0.8138942,0.0001643455,0.896417,0.4083607
72.88906,-0.2063743,0.3841793,0.817032,-0.07268595,0.9149534,0.3743153
72.90667,-0.2028439,0.3827821,0.8202926,-0.1284022,0.9281489,0.3461834
72.92534,-0.1974444,0.385266,0.8249657,-0.17918,0.9268054,0.3244331
72.94369,-0.1868301,0.3842314,0.829523,-0.1074167,0.9270995,0.3385557
72.96193,-0.17671,0.3811889,0.8355864,-0.03196366,0.923627,0.3549052
72.98027,-0.1611765,0.3743659,0.8451294,0.05843881,0.9003289,0.3658822
72.99884,-0.1502092,0.3632749,0.8507468,0.1418325,0.8710982,0.3633081
73.01697,-0.1458562,0.3523609,0.8561655,0.2258143,0.8466006,0.3546138
73.03571,-0.1404699,0.3376588,0.8627151,0.3398948,0.7884198,0.4009398
73.05436,-0.138789,0.3261802,0.8587212,0.3822441,0.786783,0.3853189
73.07257,-0.1379966,0.3145482,0.8541787,0.4203761,0.7922462,0.2912863
73.09083,-0.1414889,0.2913865,0.8533635,0.493406,0.7590032,0.1624641
73.10933,-0.1475082,0.2789147,0.8562837,0.562591,0.7109399,0.1717228
73.12785,-0.1532936,0.2706529,0.8530697,0.6328513,0.6620013,0.2137362
73.14613,-0.1636988,0.257412,0.8413271,0.7028813,0.6356138,0.1334309
73.16512,-0.1742585,0.2524199,0.8321599,0.7192183,0.6434164,0.05433249
73.18277,-0.1867833,0.2465863,0.827299,0.7627543,0.6085879,0.04330612
73.2011,-0.1995028,0.243841,0.8198955,0.7989089,0.5753893,0.01629828
73.21967,-0.2195261,0.2431175,0.804696,0.8363437,0.5374942,-0.06377611
73.23767,-0.2300563,0.2513048,0.7946076,0.8375518,0.5392895,-0.08512449
73.25638,-0.2389518,0.2618518,0.7846631,0.8348035,0.5412064,-0.0878479
73.27522,-0.2563968,0.2786407,0.7690104,0.8220081,0.5316834,-0.1013771
73.29359,-0.2659958,0.2892712,0.7634785,0.8119754,0.5219842,-0.09598462
73.31171,-0.274774,0.2993415,0.7603283,0.8073084,0.4996803,-0.08845166
73.3302,-0.2887229,0.3164689,0.7540404,0.7896454,0.4520947,-0.08201732
73.34857,-0.2910225,0.3266925,0.7539046,0.780191,0.4344943,-0.06255268
73.36703,-0.2891461,0.3366591,0.7542289,0.7623355,0.4378639,-0.03146335
73.38529,-0.2875948,0.3537709,0.7527943,0.719249,0.4460916,0.02018071
73.40382,-0.2791637,0.3635041,0.7534959,0.6926653,0.4714687,0.08087527
73.4222,-0.2701392,0.3738822,0.7562828,0.6596243,0.4915643,0.1537677
73.44055,-0.2578392,0.3918361,0.7623887,0.590813,0.4946235,0.2757301
73.45921,-0.2494686,0.3967553,0.7706945,0.5620068,0.4772269,0.3446795
73.47813,-0.2413438,0.40092,0.7795019,0.5251431,0.4749238,0.3969801
73.49567,-0.2255777,0.4035452,0.7930264,0.4510711,0.4752311,0.5063922
73.51366,-0.2195413,0.4001248,0.8015031,0.4021073,0.5437381,0.5439439
73.53201,-0.2151208,0.3984401,0.807051,0.349121,0.6303967,0.5531527
73.55024,-0.2041764,0.3954275,0.8149995,0.2760273,0.7257711,0.5653722
73.56857,-0.2012131,0.3948923,0.8184066,0.2286255,0.7957954,0.528325
73.58673,-0.1985509,0.3945729,0.8204978,0.1644495,0.8599465,0.472619
73.60516,-0.1923703,0.3923867,0.8238709,0.1235341,0.8917499,0.4351247
73.62368,-0.1803766,0.3873316,0.8328719,0.05464078,0.9065506,0.3877184
73.64184,-0.1728644,0.3813187,0.8385818,0.07736703,0.8896425,0.3855444
73.66003,-0.1654582,0.3745688,0.8446803,0.1316475,0.8675781,0.4015125
73.67841,-0.1533819,0.3614131,0.853146,0.1998683,0.8330507,0.3951302
73.69666,-0.1490858,0.353056,0.8536946,0.2621256,0.8178347,0.3840179
73.715,-0.1457687,0.3452115,0.8528177,0.3102063,0.8135525,0.3639708
73.73347,-0.1395782,0.3304863,0.8547143,0.3726998,0.7871572,0.3439965
73.75165,-0.1379137,0.3223116,0.8534042,0.4086922,0.7754899,0.3243988
73.76994,-0.1376306,0.3116203,0.8521133,0.4474541,0.7633798,0.2979563
73.78819,-0.1376205,0.2935604,0.8502526,0.5186297,0.7285916,0.2417595
73.80706,-0.1402951,0.2834133,0.8482219,0.5603328,0.7061667,0.2197673
73.82518,-0.1439791,0.2742445,0.8429537,0.6086339,0.6838934,0.2061664
