Time, Position (X), Position (Y), Position (Z), Rotation (X), Rotation (Y), Rotation (Z)
1374.729,0.05194244,0.2271706,1.75131,0.1210007,0.9225603,-0.3117644
1374.742,0.05193254,0.2271947,1.751345,0.1208932,0.9226046,-0.3116769
1374.755,0.05192864,0.2272118,1.751371,0.1207586,0.9226493,-0.3116119
1374.769,0.05192525,0.2272131,1.751387,0.1206106,0.9226946,-0.3115503
1374.783,0.05192181,0.2272049,1.751402,0.1204547,0.9227364,-0.3115107
1374.797,0.05191192,0.22718,1.751415,0.1202921,0.9227738,-0.3114992
1374.812,0.05190157,0.227159,1.751429,0.1201617,0.9228047,-0.3114662
1374.825,0.05189846,0.2271619,1.75146,0.1200782,0.9228288,-0.3114099
1374.839,0.05189552,0.2271689,1.751488,0.1200309,0.9228384,-0.3113716
1374.853,0.05188648,0.2271725,1.751517,0.1199614,0.9228584,-0.3113137
1374.867,0.05187284,0.2271641,1.751535,0.1198984,0.9228858,-0.311256
1374.881,0.05186038,0.2271568,1.75155,0.1198524,0.9229082,-0.3112071
1374.895,0.05185411,0.2271422,1.751552,0.1198387,0.922927,-0.3111491
1374.908,0.05185082,0.2271341,1.751552,0.1198462,0.9229379,-0.3111208
1374.923,0.05185042,0.227147,1.751562,0.1198369,0.9229491,-0.3111027
1374.937,0.0518447,0.2271673,1.751584,0.1197443,0.9229674,-0.3110982
1374.95,0.05183722,0.2271785,1.751607,0.1196095,0.922984,-0.3111063
1374.965,0.05182862,0.2271806,1.751642,0.1194591,0.9229802,-0.3111676
1374.979,0.05181593,0.2271817,1.751684,0.1192947,0.9229813,-0.31121
1374.992,0.05179007,0.2271848,1.751727,0.1191556,0.9230067,-0.311176
1375.006,0.05175617,0.2271886,1.751775,0.1189358,0.9230446,-0.311127
1375.02,0.0517218,0.2271857,1.751807,0.1186903,0.9230843,-0.3110619
1375.034,0.05169346,0.2271709,1.751816,0.1185044,0.9231042,-0.3110112
1375.047,0.05167432,0.2271598,1.751824,0.1183955,0.9231083,-0.3109799
1375.062,0.05167874,0.2271658,1.751851,0.1183138,0.9231176,-0.3109545
1375.076,0.05168717,0.2271671,1.751876,0.1182376,0.9231232,-0.3109628
