Time, Position (X), Position (Y), Position (Z), Rotation (X), Rotation (Y), Rotation (Z)
1083.002,0.02630931,0.831511,1.999407,0.001985582,0.9990942,-0.0341287
1083.015,0.02629828,0.8315679,1.999393,0.001856798,0.9990938,-0.03406226
1083.029,0.02627337,0.8316041,1.999376,0.00182217,0.9990947,-0.03398295
1083.042,0.02624285,0.8316289,1.999359,0.001886129,0.9991009,-0.03381147
1083.056,0.02619016,0.8316246,1.999333,0.001917311,0.9991007,-0.03375703
1083.07,0.0261361,0.8316122,1.999313,0.001845186,0.9991038,-0.03363412
1083.084,0.02608413,0.8316178,1.9993,0.001716735,0.9991056,-0.03358961
1083.099,0.02602708,0.8316181,1.999289,0.001551525,0.999108,-0.0335455
1083.113,0.02593476,0.8316334,1.999272,0.001391953,0.9991095,-0.03348184
1083.126,0.02583814,0.8316546,1.999251,0.001324015,0.9991122,-0.03344324
1083.141,0.025729,0.8316723,1.999229,0.001263463,0.9991152,-0.03337333
1083.155,0.02563196,0.8316896,1.999215,0.001181262,0.9991201,-0.03330019
1083.168,0.02552241,0.831713,1.999203,0.00110399,0.9991252,-0.03322506
1083.182,0.02533585,0.8317265,1.99924,0.0009844229,0.9991294,-0.0331669
1083.196,0.02515745,0.8317321,1.99928,0.0008605658,0.9991301,-0.03324064
1083.209,0.0249939,0.8317318,1.999307,0.0007452219,0.99913,-0.03327909
1083.224,0.02486056,0.8317351,1.999318,0.0006227219,0.9991276,-0.0334025
1083.238,0.02472532,0.8317394,1.999331,0.0005526396,0.9991304,-0.03338945
1083.251,0.02459967,0.8317335,1.99936,0.0005062521,0.999131,-0.03342282
1083.266,0.02446789,0.8317159,1.999401,0.000450231,0.9991308,-0.03345662
1083.28,0.02431077,0.8316989,1.99945,0.0004667806,0.9991275,-0.03357226
1083.293,0.02415526,0.8316902,1.999495,0.0004655755,0.9991275,-0.03361614
1083.307,0.02399218,0.8316823,1.999551,0.0003874484,0.9991288,-0.03358679
1083.321,0.02384228,0.8316616,1.999604,0.000162604,0.9991328,-0.03349638
1083.335,0.02368748,0.8316619,1.999662,-5.283227E-05,0.9991373,-0.03334048
1083.349,0.02351892,0.8317026,1.999715,-0.0001312667,0.9991444,-0.03319981
1083.363,0.02333307,0.8317486,1.999777,-0.000163978,0.9991533,-0.03293684
1083.377,0.02315825,0.8318028,1.99986,-0.0002969198,0.9991616,-0.03274008
1083.391,0.02299297,0.831856,1.999971,-0.0004955903,0.9991677,-0.03259285
1083.405,0.02281839,0.8319004,2.000076,-0.0007268516,0.9991812,-0.03230537
1083.419,0.02262473,0.8319349,2.000163,-0.0009673926,0.9991888,-0.03210696
1083.432,0.02242607,0.8319713,2.00025,-0.001132747,0.9992021,-0.03182636
1083.447,0.02221727,0.8319908,2.000357,-0.001408157,0.9992213,-0.03142944
1083.461,0.02200097,0.8320143,2.000461,-0.001566984,0.9992415,-0.03104794
1083.475,0.02177209,0.8320662,2.000565,-0.001766321,0.9992615,-0.03072385
1083.488,0.02152795,0.8321365,2.000665,-0.001966887,0.9992878,-0.03025723
1083.502,0.02128172,0.8322146,2.000766,-0.002207994,0.9993132,-0.02990787
1083.516,0.021043,0.8322581,2.000856,-0.002365003,0.9993405,-0.0294911
1083.53,0.0208028,0.8323097,2.000945,-0.002613086,0.9993705,-0.02901887
1083.544,0.02053571,0.8324217,2.00105,-0.002849223,0.9994017,-0.02850702
1083.558,0.02025598,0.8325177,2.001169,-0.003145845,0.9994329,-0.0278983
1083.572,0.02000707,0.8325823,2.001292,-0.003360055,0.9994633,-0.02740224
1083.586,0.01970941,0.8326198,2.001453,-0.003610533,0.9994905,-0.02694931
1083.6,0.01943713,0.8326832,2.00162,-0.003919724,0.9995183,-0.02644141
1083.614,0.0191524,0.832788,2.001768,-0.004139797,0.9995476,-0.02583082
1083.627,0.01888686,0.8329057,2.001887,-0.004368249,0.9995801,-0.02505344
1083.642,0.01863396,0.8330498,2.002023,-0.004487548,0.9996099,-0.02432786
