Time, Position (X), Position (Y), Position (Z), Rotation (X), Rotation (Y), Rotation (Z)
918.4995,0.05385059,0.1076134,1.861259,-0.1767745,0.6992682,-0.6802624
918.5125,0.05385067,0.1076133,1.861259,-0.177387,0.6992971,-0.6801232
918.527,0.05385058,0.1076133,1.861259,-0.1779614,0.699315,-0.6800093
918.541,0.05385068,0.1076134,1.861259,-0.1783989,0.6993198,-0.6799305
918.5546,0.05385067,0.1076134,1.861259,-0.1787832,0.6993057,-0.6798738
918.5679,0.05385062,0.1076134,1.861259,-0.1790856,0.6992825,-0.6798549
918.584,0.05385067,0.1076134,1.861259,-0.1793976,0.699279,-0.6798148
918.5966,0.05385063,0.1076134,1.861259,-0.1796778,0.6992936,-0.6797652
918.6096,0.05385067,0.1076133,1.861259,-0.1799796,0.6993307,-0.6797001
918.6241,0.0538507,0.1076134,1.861259,-0.1803125,0.6993877,-0.6796131
918.6379,0.05385056,0.1076134,1.861259,-0.1806626,0.6994458,-0.6795047
918.6512,0.05385067,0.1076134,1.861259,-0.1809629,0.6995143,-0.6793854
918.6661,0.05385056,0.1076133,1.861259,-0.181251,0.6995509,-0.6793076
918.6799,0.05385061,0.1076134,1.861259,-0.1814183,0.6995879,-0.6792583
918.6932,0.0538507,0.1076134,1.861259,-0.1814851,0.6996142,-0.679242
918.7078,0.05385062,0.1076133,1.861259,-0.1814256,0.6996552,-0.6792506
918.7217,0.0538507,0.1076134,1.861259,-0.1812618,0.6996815,-0.6792919
918.7356,0.05385054,0.1076133,1.861259,-0.1810664,0.6997167,-0.6793233
918.749,0.05385064,0.1076134,1.861259,-0.1809254,0.6997334,-0.6793531
918.7634,0.05385059,0.1076134,1.861259,-0.1808626,0.6997761,-0.6793336
918.7775,0.05385066,0.1076134,1.861259,-0.1808867,0.699843,-0.6792666
918.7911,0.05385068,0.1076134,1.861259,-0.1809897,0.6999094,-0.6791799
918.8056,0.05385064,0.1076134,1.861259,-0.1811304,0.6999755,-0.679076
918.8193,0.05385061,0.1076134,1.861259,-0.1812308,0.7000489,-0.6789715
918.8326,0.0538506,0.1076134,1.861259,-0.181252,0.7001063,-0.6788999
918.8472,0.05385065,0.1076134,1.861259,-0.181125,0.7001576,-0.6788666
918.8612,0.05385071,0.1076134,1.861259,-0.1808125,0.7001969,-0.6788837
918.8751,0.05385061,0.1076134,1.861259,-0.1803894,0.7001952,-0.6789719
918.8883,0.05385064,0.1076134,1.861259,-0.1799541,0.7001815,-0.6790698
918.9028,0.05385059,0.1076134,1.861259,-0.1795287,0.7001725,-0.6791632
918.9169,0.05385064,0.1076134,1.861259,-0.1792018,0.700187,-0.6792147
918.9302,0.05385061,0.1076134,1.861259,-0.1788626,0.7002381,-0.6792373
918.9446,0.05385061,0.1076134,1.861259,-0.1785673,0.70033,-0.6792021
918.9587,0.05385064,0.1076134,1.861259,-0.1782141,0.7004344,-0.6791648
918.972,0.05385064,0.1076133,1.861259,-0.1777047,0.7005373,-0.6791543
918.9866,0.05385065,0.1076134,1.861259,-0.1771837,0.7006106,-0.6791735
919.0004,0.0538506,0.1076134,1.861259,-0.1766645,0.7006734,-0.6791998
919.0145,0.0538507,0.1076134,1.861259,-0.1761301,0.7007183,-0.6792461
919.0277,0.05385066,0.1076134,1.861259,-0.1756814,0.700781,-0.6792493
919.0422,0.05385056,0.1076134,1.861259,-0.1751956,0.7008327,-0.6792697
919.0562,0.05385065,0.1076134,1.861259,-0.174808,0.7008792,-0.6792774
919.0695,0.05385066,0.1076134,1.861259,-0.1742735,0.7009552,-0.6792728
919.0838,0.05385067,0.1076134,1.861259,-0.1738162,0.7010062,-0.6792938
919.0978,0.05385061,0.1076134,1.861259,-0.1733961,0.7010694,-0.6792995
919.1113,0.05385062,0.1076134,1.861259,-0.1729419,0.7011319,-0.6793159
919.1261,0.05385067,0.1076134,1.861259,-0.1724426,0.7012159,-0.679328
919.1398,0.0538507,0.1076134,1.861259,-0.1720904,0.7012751,-0.6793424
919.1529,0.05385061,0.1076134,1.861259,-0.1717305,0.7013618,-0.6793308
919.1676,0.05385064,0.1076134,1.861259,-0.1713796,0.7014716,-0.6793044
919.1815,0.05385073,0.1076134,1.861259,-0.1711187,0.7015434,-0.6792936
919.1954,0.05385062,0.1076134,1.861259,-0.1708668,0.7015646,-0.6793258
919.2087,0.05385065,0.1076134,1.861259,-0.1706422,0.7015293,-0.6794086
919.2232,0.05385067,0.1076134,1.861259,-0.1705821,0.701511,-0.6794388
919.2372,0.05385068,0.1076134,1.861259,-0.1705923,0.7015154,-0.6794405
919.2505,0.05385059,0.1076134,1.861259,-0.1706373,0.7015569,-0.6794113
919.2651,0.05385067,0.1076134,1.861259,-0.1706401,0.7016182,-0.67937
919.279,0.05385064,0.1076133,1.861259,-0.1705406,0.701714,-0.6793126
919.2924,0.05385066,0.1076133,1.861259,-0.1702914,0.7018356,-0.6792527
919.3069,0.05385071,0.1076134,1.861259,-0.1699073,0.7019268,-0.6792507
919.3207,0.05385065,0.1076134,1.861259,-0.1695088,0.7019935,-0.6792746
919.3347,0.05385071,0.1076134,1.861259,-0.1691675,0.7020492,-0.6792948
919.348,0.05385055,0.1076134,1.861259,-0.1688746,0.7021112,-0.6792998
919.3624,0.05385064,0.1076134,1.861259,-0.1686351,0.7021955,-0.6792656
919.3779,0.0538507,0.1076133,1.861259,-0.1684477,0.7022619,-0.679232
919.39,0.05385064,0.1076134,1.861259,-0.1681931,0.7023287,-0.6792076
919.4044,0.05385065,0.1076134,1.861259,-0.1679259,0.702372,-0.6792074
919.4183,0.05385061,0.1076134,1.861259,-0.1676987,0.7024297,-0.6791893
919.4316,0.05385067,0.1076134,1.861259,-0.1674746,0.7024928,-0.6791672
919.446,0.05385066,0.1076134,1.861259,-0.1672582,0.7025755,-0.6791164
919.4601,0.0538506,0.1076133,1.861259,-0.1669833,0.7026434,-0.6790946
919.474,0.05385068,0.1076134,1.861259,-0.1667235,0.7026556,-0.6791357
919.4871,0.0538506,0.1076134,1.861259,-0.1665082,0.7026716,-0.6791615
919.5024,0.05385063,0.1076134,1.861259,-0.166346,0.7027264,-0.6791358
919.5159,0.05385065,0.1076134,1.861259,-0.1662148,0.7027654,-0.6791189
919.5288,0.05385066,0.1076134,1.861259,-0.1661173,0.7027771,-0.6791226
919.5436,0.05385065,0.1076134,1.861259,-0.1660761,0.7027905,-0.679112
919.5575,0.05385066,0.1076134,1.861259,-0.1661032,0.7027974,-0.6791003
919.5706,0.05385064,0.1076134,1.861259,-0.1661844,0.7028112,-0.6790795
919.5853,0.05385069,0.1076134,1.861259,-0.1662554,0.7028235,-0.6790667
919.5992,0.05385061,0.1076134,1.861259,-0.1663049,0.7028263,-0.6790739
919.6125,0.05385072,0.1076133,1.861259,-0.1663335,0.7028282,-0.6790892
919.6269,0.05385061,0.1076134,1.861259,-0.1663391,0.7028356,-0.6791069
919.6411,0.05385061,0.1076134,1.861259,-0.1663568,0.7028437,-0.6791224
919.6548,0.05385065,0.1076134,1.861259,-0.1664063,0.7028758,-0.6790988
919.6682,0.05385062,0.1076134,1.861259,-0.1664378,0.7028707,-0.6791142
919.6826,0.05385062,0.1076134,1.861259,-0.1664338,0.7028537,-0.6791461
919.6966,0.05385062,0.1076134,1.861259,-0.1663726,0.7028265,-0.679196
919.7101,0.0538506,0.1076134,1.861259,-0.1662792,0.7027803,-0.6792666
919.7246,0.05385064,0.1076133,1.861259,-0.1661837,0.7027401,-0.6793264
919.7385,0.05385065,0.1076134,1.861259,-0.166106,0.7026976,-0.6793779
919.7517,0.0538506,0.1076134,1.861259,-0.1660639,0.7026596,-0.6794161
919.7663,0.05385065,0.1076134,1.861259,-0.1660242,0.7026225,-0.6794561
919.7803,0.05385056,0.1076134,1.861259,-0.1659894,0.7025886,-0.6794914
919.7944,0.05385065,0.1076133,1.861259,-0.1659707,0.7025756,-0.6795003
919.8076,0.05385062,0.1076133,1.861259,-0.1659684,0.7025598,-0.6795067
919.8221,0.05385066,0.1076134,1.861259,-0.1659371,0.7025249,-0.6795403
919.8358,0.05385064,0.1076134,1.861259,-0.1658939,0.7024577,-0.6796085
919.8494,0.05385065,0.1076134,1.861259,-0.1658529,0.7023745,-0.6796811
919.864,0.05385065,0.1076134,1.861259,-0.1658332,0.702257,-0.6797791
919.8777,0.05385065,0.1076134,1.861259,-0.1658691,0.7021737,-0.6798368
919.8911,0.05385065,0.1076134,1.861259,-0.1659632,0.702084,-0.6798851
919.9055,0.05385061,0.1076134,1.861259,-0.1660745,0.7020053,-0.6799293
919.9196,0.05385066,0.1076133,1.861259,-0.166132,0.7019708,-0.6799502
