Time, Position (X), Position (Y), Position (Z), Rotation (X), Rotation (Y), Rotation (Z)
1220.938,-0.03907526,0.9710455,2.198906,-0.01042137,-0.9965526,0.0626418
1220.952,-0.03905213,0.9709766,2.198962,-0.01052814,-0.9965287,0.06272617
1220.965,-0.03900874,0.9709086,2.199021,-0.01067324,-0.9965118,0.0627632
1220.979,-0.03898317,0.9708593,2.199083,-0.01079845,-0.9964918,0.06285119
1220.993,-0.03900605,0.9708385,2.199146,-0.01081556,-0.9964738,0.06294796
1221.007,-0.03902704,0.970849,2.199203,-0.01093034,-0.9964569,0.06289703
1221.021,-0.0390141,0.9708692,2.199259,-0.01108737,-0.9964417,0.06277493
1221.035,-0.03900725,0.9708946,2.199302,-0.01137053,-0.9964401,0.06230349
1221.049,-0.03898448,0.970925,2.199336,-0.01152855,-0.9964265,0.0620918
1221.063,-0.03896439,0.9709678,2.199368,-0.01144164,-0.9964211,0.06166334
1221.077,-0.03893745,0.9710071,2.199397,-0.01126053,-0.9964164,0.06119334
1221.09,-0.03888404,0.9710338,2.199427,-0.01087767,-0.9963974,0.06102614
1221.105,-0.03883344,0.9710635,2.199469,-0.01051792,-0.9963723,0.06099461
1221.119,-0.0388211,0.9710929,2.199494,-0.0104362,-0.9963675,0.06063928
1221.132,-0.03881109,0.9711225,2.199516,-0.0102659,-0.9963648,0.06037233
1221.147,-0.03878844,0.9711311,2.199538,-0.01007726,-0.9963629,0.06013821
1221.161,-0.03872645,0.9711202,2.199563,-0.009785739,-0.9963602,0.06013182
1221.175,-0.03865874,0.9710926,2.199601,-0.009499921,-0.9963574,0.06022115
1221.188,-0.03863847,0.9710766,2.199662,-0.009255979,-0.9963583,0.06020553
1221.202,-0.03860271,0.9710753,2.199714,-0.009143599,-0.9963811,0.06005982
1221.216,-0.03853965,0.9710659,2.199749,-0.009019875,-0.9964023,0.0599025
1221.23,-0.0384348,0.9710679,2.199778,-0.008912892,-0.9964234,0.05981274
1221.244,-0.03831339,0.9710689,2.199812,-0.008652961,-0.9964503,0.05969337
1221.258,-0.03819031,0.9710581,2.199874,-0.008431762,-0.9964833,0.05945152
1221.271,-0.03804719,0.9710578,2.199941,-0.008311376,-0.996497,0.05948672
1221.286,-0.03786379,0.9710245,2.19998,-0.008306437,-0.9965201,0.05931148
1221.3,-0.03765279,0.9709947,2.200026,-0.008234162,-0.996542,0.05920743
1221.313,-0.03740919,0.9709584,2.200071,-0.007976963,-0.9965514,0.05920874
1221.328,-0.03716171,0.9709098,2.20012,-0.007875547,-0.9965616,0.05918458
1221.342,-0.03690112,0.9708596,2.200166,-0.00784988,-0.9965695,0.0592098
1221.356,-0.03659636,0.9707996,2.200179,-0.007770807,-0.9965752,0.05920591
1221.369,-0.03622216,0.9707122,2.200157,-0.007758652,-0.9965798,0.05929947
1221.383,-0.03591561,0.9705968,2.200164,-0.007672716,-0.9965795,0.05947058
1221.397,-0.03563291,0.970466,2.200179,-0.007653913,-0.9965672,0.05988847
1221.411,-0.03533632,0.9703778,2.200203,-0.007556326,-0.9965417,0.0605653
1221.425,-0.03500044,0.9702345,2.200198,-0.007561287,-0.9965313,0.06107952
1221.439,-0.03468698,0.9701047,2.200182,-0.007408503,-0.9965181,0.061724
1221.453,-0.03442258,0.9699699,2.20019,-0.007295311,-0.9965064,0.06240641
1221.467,-0.0341419,0.9698013,2.200185,-0.007046956,-0.9965011,0.06314075
1221.481,-0.03387076,0.9696938,2.200175,-0.006882886,-0.9964939,0.0639139
1221.495,-0.03357768,0.9696083,2.200133,-0.006729182,-0.9965075,0.06442391
1221.508,-0.03331977,0.969532,2.200086,-0.006557093,-0.99653,0.0648331
1221.523,-0.03306723,0.9693834,2.200056,-0.006351091,-0.9965641,0.06515561
1221.537,-0.03283435,0.9693302,2.200043,-0.005901708,-0.9965929,0.06553143
1221.55,-0.03256917,0.9692115,2.199996,-0.005462307,-0.9966453,0.06565154
1221.564,-0.03234768,0.9691638,2.199956,-0.005155602,-0.9966835,0.06585754
1221.579,-0.03213245,0.9691247,2.199923,-0.004755411,-0.9967351,0.06597294
1221.592,-0.03192848,0.9691211,2.199916,-0.00431908,-0.9967788,0.06612984
1221.606,-0.03171581,0.9691384,2.199911,-0.003841994,-0.9968317,0.06615364
1221.62,-0.03149825,0.9691745,2.199895,-0.003778015,-0.9968867,0.06598216
1221.634,-0.03127044,0.9692112,2.199869,-0.003568079,-0.9969353,0.06590981
1221.648,-0.03104079,0.9692816,2.199848,-0.003250436,-0.9969872,0.06571273
1221.662,-0.03081626,0.9693462,2.199835,-0.002867297,-0.9970461,0.06533285
1221.676,-0.03058523,0.9694003,2.199831,-0.002343897,-0.9970995,0.06496271
1221.691,-0.03031647,0.9694599,2.199846,-0.001784272,-0.9971297,0.06487762
1221.704,-0.03004324,0.9695113,2.199874,-0.001387422,-0.9971615,0.0647983
1221.718,-0.02981585,0.9695402,2.199914,-0.001290027,-0.9971945,0.06463929
1221.731,-0.02959591,0.9695572,2.199963,-0.001065469,-0.9972319,0.06439031
1221.745,-0.02937615,0.9695731,2.200028,-0.0009306016,-0.9972609,0.06428922
1221.76,-0.0291391,0.9695939,2.200103,-0.0006145217,-0.9972793,0.06428182
1221.773,-0.02889878,0.9696071,2.200186,-0.0003310126,-0.9972937,0.06428429
1221.787,-0.02868253,0.9696134,2.20029,-7.245822E-05,-0.9973108,0.06420689
1221.801,-0.02847433,0.9696237,2.200402,0.0001251148,-0.9973204,0.06418119
1221.815,-0.02825958,0.9696548,2.200496,0.0003278081,-0.9973373,0.06404614
