Time, Position (X), Position (Y), Position (Z), Rotation (X), Rotation (Y), Rotation (Z)
1277.044,-0.0642978,0.6924716,2.069481,0.1941012,0.5161291,0.4711916
1277.059,-0.06438094,0.6925042,2.069488,0.1941594,0.516024,0.4712879
1277.071,-0.06448273,0.692537,2.069512,0.1943413,0.5158601,0.4714527
1277.086,-0.06455211,0.6925775,2.069536,0.1945801,0.5157422,0.4715064
1277.099,-0.06462757,0.6926316,2.069568,0.1947991,0.5156548,0.471537
1277.113,-0.06472149,0.6927158,2.069623,0.1950886,0.5154979,0.4716393
1277.128,-0.06480981,0.6928008,2.06969,0.1953041,0.5153189,0.4719127
1277.141,-0.06490618,0.692912,2.069794,0.1954862,0.515044,0.4722904
1277.155,-0.06500969,0.6930388,2.069944,0.1956286,0.514763,0.4727642
1277.169,-0.06510848,0.6931694,2.070152,0.195878,0.5144024,0.4732048
1277.183,-0.06524091,0.6933252,2.070436,0.1961406,0.5139617,0.4738871
1277.197,-0.0653815,0.6934824,2.070772,0.1965202,0.5134436,0.4746543
1277.21,-0.0655655,0.6936914,2.071207,0.1970021,0.5127906,0.475841
1277.226,-0.06590157,0.6939461,2.071773,0.1974443,0.5120649,0.4778332
1277.239,-0.06626849,0.6942321,2.072363,0.1976783,0.5112265,0.4798717
1277.252,-0.06663142,0.6945324,2.072892,0.197626,0.5104823,0.4812994
1277.267,-0.06700195,0.6948526,2.073442,0.197431,0.5096437,0.4830011
1277.281,-0.06744756,0.6951765,2.074091,0.1972336,0.5088987,0.485405
1277.295,-0.06794322,0.6955322,2.074748,0.1967678,0.5080932,0.4878002
1277.308,-0.06858972,0.6959711,2.075486,0.1963172,0.5070503,0.4907204
1277.322,-0.06934983,0.6964945,2.076253,0.1950939,0.5058536,0.4936985
1277.336,-0.07017725,0.6970626,2.077013,0.1932911,0.504593,0.4964342
1277.35,-0.07108514,0.6976255,2.077776,0.1912021,0.5033683,0.4993123
1277.364,-0.07204885,0.6982048,2.078568,0.1891504,0.5020498,0.502519
1277.378,-0.07304369,0.6988261,2.079353,0.1869455,0.5009503,0.5058573
1277.392,-0.07408629,0.6994444,2.080083,0.1844601,0.5000593,0.509563
1277.406,-0.07515091,0.6999695,2.080736,0.1822325,0.49927,0.5131956
1277.42,-0.07627135,0.7006069,2.081439,0.1802358,0.4983559,0.5168893
1277.433,-0.07754089,0.7012215,2.082086,0.1777234,0.4976988,0.5210007
1277.448,-0.07877938,0.701925,2.082742,0.1757679,0.4969873,0.5249814
1277.462,-0.08007674,0.702811,2.08331,0.173404,0.4970482,0.5290604
1277.476,-0.0814191,0.7037697,2.083836,0.1711354,0.4973896,0.5334889
1277.489,-0.08285971,0.704787,2.084399,0.1683813,0.4980527,0.5378979
1277.504,-0.08455451,0.7058674,2.08498,0.1652595,0.4986488,0.5423178
1277.517,-0.08634279,0.7069306,2.085561,0.1615046,0.4987758,0.5469757
1277.531,-0.08843059,0.7080504,2.086207,0.1569297,0.4984079,0.5523032
1277.545,-0.09065255,0.7091775,2.086882,0.1516947,0.4976474,0.558042
1277.559,-0.09306294,0.7103883,2.087608,0.1455805,0.4967177,0.5639749
1277.573,-0.09554825,0.7115624,2.088311,0.1392035,0.4960063,0.5700921
1277.587,-0.09801104,0.7127651,2.088951,0.1335544,0.4955759,0.5759284
1277.601,-0.1004583,0.7140039,2.089467,0.1280583,0.495785,0.5813423
1277.615,-0.1029042,0.7152151,2.089876,0.1230524,0.4963188,0.5863817
1277.628,-0.1054017,0.7164226,2.090198,0.1183268,0.4969293,0.5914678
1277.643,-0.1080367,0.7176039,2.090443,0.1126105,0.4976389,0.5972621
1277.657,-0.1107626,0.7187862,2.090646,0.106429,0.498199,0.6029524
1277.67,-0.1135078,0.7199787,2.090717,0.09971531,0.4988624,0.6081235
1277.685,-0.1162873,0.7212007,2.090705,0.09247693,0.4994606,0.613245
1277.699,-0.1191051,0.7224621,2.090653,0.08498668,0.5004777,0.6183187
1277.712,-0.1219136,0.723731,2.090453,0.07688525,0.5018839,0.623251
1277.727,-0.1246768,0.724982,2.090185,0.06921992,0.5037105,0.6274664
1277.741,-0.1274345,0.7262175,2.089817,0.0614252,0.5060283,0.6315323
1277.755,-0.1302082,0.7275448,2.089379,0.0535772,0.5087717,0.6355206
1277.768,-0.1330186,0.7289801,2.088828,0.04518645,0.5122695,0.6393074
1277.782,-0.1358864,0.7304057,2.088219,0.03666088,0.5160646,0.6431673
1277.796,-0.138773,0.7319494,2.087631,0.02760348,0.5198032,0.6470503
1277.81,-0.1417107,0.7335293,2.086898,0.01777247,0.5236717,0.6503584
