Time, Position (X), Position (Y), Position (Z), Rotation (X), Rotation (Y), Rotation (Z)
932.8829,0.009620942,0.621619,0.2462769,0.5113929,0.000136281,0.0001987662
932.8948,0.009620942,0.621619,0.2462769,0.5113929,0.000136281,0.0001987662
932.908,0.009620942,0.621619,0.2462769,0.5113929,0.000136281,0.0001987663
932.9225,0.009620942,0.621619,0.2462769,0.5113929,0.000136281,0.0001987663
932.9365,0.009620942,0.621619,0.2462769,0.5113929,0.000136281,0.0001987663
932.95,0.009620942,0.621619,0.2462769,0.5113929,0.000136281,0.0001987663
932.9645,0.009620942,0.621619,0.2462769,0.5113929,0.000136281,0.0001987663
932.9784,0.009620942,0.621619,0.2462769,0.5113929,0.000136281,0.0001987663
932.9917,0.009620942,0.621619,0.2462769,0.5113929,0.000136281,0.0001987663
933.0064,0.009620942,0.621619,0.2462769,0.5113929,0.000136281,0.0001987663
933.02,0.009620942,0.621619,0.2462769,0.5113929,0.000136281,0.0001987663
933.034,0.009620942,0.621619,0.2462769,0.5113929,0.000136281,0.0001987663
933.0474,0.009620942,0.621619,0.2462769,0.5113929,0.000136281,0.0001987663
933.0619,0.009620942,0.621619,0.2462769,0.5113929,0.000136281,0.0001987663
933.0759,0.009620942,0.621619,0.2462769,0.5113929,0.000136281,0.0001987663
933.0891,0.009620942,0.621619,0.2462769,0.5113929,0.000136281,0.0001987663
933.1037,0.009620942,0.621619,0.2462769,0.5113929,0.000136281,0.0001987663
933.1176,0.009620942,0.621619,0.2462769,0.5113929,0.000136281,0.0001987663
933.1311,0.009620942,0.621619,0.2462769,0.5113929,0.000136281,0.0001987663
933.1456,0.009620942,0.621619,0.2462769,0.5113929,0.000136281,0.0001987663
933.1596,0.009620942,0.621619,0.2462769,0.5113929,0.000136281,0.0001987663
933.1729,0.009620942,0.621619,0.2462769,0.5113929,0.000136281,0.0001987663
933.1875,0.009620942,0.621619,0.2462769,0.5113929,0.000136281,0.0001987663
933.2013,0.009620942,0.621619,0.2462769,0.5113929,0.000136281,0.0001987663
933.2153,0.009620942,0.621619,0.2462769,0.5113929,0.000136281,0.0001987663
933.2286,0.009620942,0.621619,0.2462769,0.5113929,0.000136281,0.0001987663
933.2433,0.009620942,0.621619,0.2462769,0.5113929,0.000136281,0.0001987663
933.2572,0.009620942,0.621619,0.2462769,0.5113929,0.000136281,0.0001987663
933.2706,0.009620942,0.621619,0.2462769,0.5113929,0.000136281,0.0001987663
933.2851,0.009620942,0.621619,0.2462769,0.5113929,0.000136281,0.0001987663
933.299,0.009620942,0.621619,0.2462769,0.5113929,0.000136281,0.0001987663
933.3124,0.009620942,0.621619,0.2462769,0.5113929,0.000136281,0.0001987663
