Time, Position (X), Position (Y), Position (Z), Rotation (X), Rotation (Y), Rotation (Z)
1409.646,0.03107305,0.5018849,1.754037,-0.2264998,0.9737258,0.02119883
1409.659,0.03318283,0.5011325,1.753763,-0.222611,0.9746178,0.02089167
1409.673,0.03491638,0.5002667,1.753298,-0.2212362,0.9749221,0.02054368
1409.687,0.03654793,0.4994055,1.752736,-0.2201202,0.9751798,0.01946408
1409.701,0.03790891,0.4986003,1.751999,-0.2189569,0.9754559,0.01749488
1409.715,0.03895702,0.4979012,1.751204,-0.217281,0.9758505,0.01529939
1409.728,0.03971254,0.4971662,1.750367,-0.2158913,0.976179,0.01330904
1409.743,0.04016896,0.4965732,1.749593,-0.2145898,0.9764991,0.01184181
1409.757,0.04048003,0.4960968,1.748929,-0.2136273,0.9767405,0.01120683
1409.77,0.04065697,0.4957209,1.748289,-0.212539,0.9769938,0.01140474
1409.785,0.04081343,0.4954115,1.747674,-0.2109352,0.9773493,0.01221594
1409.799,0.04089997,0.4952537,1.747109,-0.2091079,0.9777503,0.01270512
1409.812,0.04087282,0.4950455,1.746558,-0.2083155,0.9779191,0.01334703
1409.826,0.04079011,0.4948551,1.746,-0.2080908,0.9779671,0.01381046
1409.84,0.04069844,0.49466,1.745417,-0.2079693,0.9779986,0.01385251
1409.854,0.04055591,0.4944721,1.744908,-0.2080572,0.9779886,0.01365192
1409.868,0.04041885,0.4942614,1.744375,-0.2081548,0.9779783,0.01338571
1409.882,0.04034572,0.4940223,1.743932,-0.2084764,0.9779127,0.0132637
1409.896,0.04028249,0.4938077,1.74342,-0.208347,0.9779457,0.01301723
1409.91,0.04020969,0.4934788,1.742858,-0.2084024,0.9779418,0.01263101
1409.924,0.04012343,0.4930943,1.742228,-0.2087981,0.977868,0.01185105
1409.938,0.04007954,0.4926313,1.741532,-0.2092486,0.9777836,0.01083532
1409.951,0.04006306,0.4921598,1.740838,-0.2094389,0.9777515,0.009849236
1409.966,0.03999232,0.4917385,1.740255,-0.2094626,0.9777569,0.008928124
1409.98,0.03993874,0.4913021,1.739679,-0.2099315,0.9776666,0.007913665
1409.993,0.03985207,0.4909098,1.739142,-0.2109052,0.9774656,0.006797743
1410.008,0.03973253,0.4905386,1.738612,-0.2121378,0.9772043,0.006013551
1410.022,0.03964271,0.4902547,1.738114,-0.2131254,0.9769931,0.005625792
1410.035,0.03956069,0.4900124,1.737582,-0.2139045,0.9768276,0.005121825
1410.049,0.03946238,0.4898115,1.737078,-0.2148844,0.9766151,0.004810661
