Time, Position (X), Position (Y), Position (Z), Rotation (X), Rotation (Y), Rotation (Z)
54.58376,0.009176134,0.1453196,0.3868933,-0.6077769,0.3620113,0.6074755
54.59929,0.009176134,0.1453196,0.3868933,-0.6077769,0.3620113,0.6074755
54.61108,0.009176134,0.1453196,0.3868933,-0.6077769,0.3620113,0.6074755
54.62507,0.009176134,0.1453196,0.3868933,-0.6077769,0.3620113,0.6074755
54.63902,0.009176134,0.1453196,0.3868933,-0.6077769,0.3620113,0.6074755
54.65223,0.009176134,0.1453196,0.3868933,-0.6077769,0.3620113,0.6074755
54.66693,0.009176134,0.1453196,0.3868933,-0.6077769,0.3620113,0.6074755
54.68089,0.009176134,0.1453196,0.3868933,-0.6077769,0.3620113,0.6074755
54.69481,0.009176134,0.1453196,0.3868933,-0.6077769,0.3620113,0.6074755
54.70808,0.009176134,0.1453196,0.3868933,-0.6077769,0.3620113,0.6074755
54.72266,0.009176134,0.1453196,0.3868933,-0.6077769,0.3620113,0.6074755
54.73679,0.009176134,0.1453196,0.3868933,-0.6077769,0.3620113,0.6074755
54.74995,0.008808686,0.1474657,0.3892442,-0.6068534,0.3641892,0.6070758
54.76456,0.008453966,0.1501519,0.3911585,-0.6050366,0.3672495,0.6064348
54.77855,0.008453966,0.1501519,0.3911585,-0.6050366,0.3672495,0.6064348
54.79179,0.008310873,0.1529159,0.3927113,-0.602852,0.370411,0.6057798
54.80645,0.007833328,0.1579897,0.3963575,-0.5994948,0.3759222,0.6046544
54.82032,0.007507164,0.163451,0.3992539,-0.595246,0.3820658,0.6032985
54.8342,0.007507164,0.163451,0.3992539,-0.595246,0.3820658,0.6032985
54.84747,0.007485234,0.1687236,0.4015404,-0.5907932,0.387946,0.6019683
54.86202,0.007667115,0.1735347,0.4033451,-0.58652,0.3932428,0.6007595
54.87606,0.007667115,0.1735347,0.4033451,-0.58652,0.3932428,0.6007595
54.88919,0.007441611,0.1803534,0.4070364,-0.5814032,0.4005233,0.5991307
54.9038,0.007349656,0.1872665,0.4098578,-0.5756877,0.4080443,0.5972867
54.91769,0.007349656,0.1872665,0.4098578,-0.5756877,0.4080443,0.5972867
54.93106,0.007534325,0.1937404,0.4120035,-0.5700433,0.4150042,0.5954726
54.94573,0.007362531,0.2022055,0.4157767,-0.5635276,0.4238915,0.5931802
