Time, Position (X), Position (Y), Position (Z), Rotation (X), Rotation (Y), Rotation (Z)
27.14353,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
27.15649,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
27.1699,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
27.18434,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
27.19824,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
27.21169,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
27.22592,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
27.23993,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
27.25348,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
27.26778,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
27.28184,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
27.29546,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
27.30914,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
27.32343,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
27.33762,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
27.3511,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
27.36532,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
27.37915,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
27.39277,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
27.40705,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
27.42106,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
27.43502,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
27.44872,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
27.46264,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
27.47657,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
27.49018,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
27.50448,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
27.51844,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
27.53212,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
27.54624,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
27.56025,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
27.57411,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
27.58765,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
27.60187,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
27.61586,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
27.6295,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
27.6436,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
27.65776,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
27.67151,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
27.68543,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
27.69959,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
27.71296,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
27.72719,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
27.74126,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
27.75507,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
27.76883,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
27.78327,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
27.79681,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
27.81044,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
27.8247,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
27.8388,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
27.85246,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
27.86664,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
27.88057,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
27.89442,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
27.90811,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
27.92245,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
27.93635,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
27.94982,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
27.964,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
27.97791,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
27.99159,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
28.00594,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
28.02002,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
28.03384,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
28.04714,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
28.06136,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
28.07529,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
28.08892,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
28.10428,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
28.11738,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
28.13068,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
28.14481,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
28.15883,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
28.17257,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
28.18684,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
28.20093,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
28.2147,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
28.22815,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
28.24251,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
28.25653,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
28.27001,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
28.28435,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
28.2983,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
28.31192,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
28.32611,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
28.34015,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
28.35401,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
28.36761,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
28.38192,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
28.39577,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
28.40931,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
28.42344,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
28.43761,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
28.45149,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
28.4655,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
28.47947,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
28.493,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
28.5071,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
28.52124,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
28.53499,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
28.54836,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
28.56252,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
28.57653,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
28.59016,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
28.60463,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
28.61859,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
28.63222,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
28.64623,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
28.66027,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
28.67423,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
28.68777,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
28.70215,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
28.71626,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
28.72973,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
28.74386,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
28.7578,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
28.77168,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
28.78578,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
28.79983,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
28.81337,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
28.82754,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
28.84139,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
28.85545,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
28.86911,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
28.88329,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
28.89711,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
28.91066,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
28.92483,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
28.939,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
28.95247,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
28.96673,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
28.98085,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
28.99461,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
29.00819,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
29.02259,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
29.03637,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
29.05015,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
29.06414,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
29.07807,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
29.09167,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
29.10607,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
29.12001,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
29.13446,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
29.14735,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
29.16147,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
29.17541,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
29.18899,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
29.20337,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
29.21747,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
29.23099,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
29.24511,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
29.25916,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
29.27269,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
29.28687,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
29.30107,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
29.31487,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
29.32834,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
29.34266,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
29.3565,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
29.37024,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
29.38453,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
29.3986,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
29.41206,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
29.42609,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
29.44038,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
29.4541,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
29.46769,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
29.48199,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
29.49576,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
29.50972,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
29.52371,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
29.53765,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
29.55125,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
29.56556,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
29.57946,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
29.59305,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
29.60736,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
29.62115,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
29.63521,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
29.64898,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
29.66305,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
29.67676,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
29.69056,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
29.70506,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
29.71872,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
29.73234,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
29.74638,-0.2795704,-0.15898,-0.0683228,0.6949268,0.6563262,0.06904602
