Time, Position (X), Position (Y), Position (Z), Rotation (X), Rotation (Y), Rotation (Z)
1267.39,0.009263036,0.5452763,0.386926,-0.6078359,0.3618606,0.6075292
1267.404,0.00926303,0.5452763,0.386926,-0.6078359,0.3618606,0.6075292
1267.418,0.00926303,0.5452763,0.386926,-0.6078359,0.3618606,0.6075292
1267.431,0.009263095,0.5452762,0.386926,-0.6078359,0.3618606,0.6075292
1267.446,0.00926319,0.5452763,0.386926,-0.6078359,0.3618606,0.6075292
1267.46,0.00926319,0.5452763,0.386926,-0.6078359,0.3618606,0.6075292
1267.473,0.009263036,0.5452763,0.386926,-0.6078359,0.3618606,0.6075292
1267.487,0.00926303,0.5452763,0.386926,-0.6078359,0.3618606,0.6075292
1267.501,0.009263095,0.5452762,0.386926,-0.6078359,0.3618606,0.6075292
1267.516,0.009263095,0.5452762,0.386926,-0.6078359,0.3618606,0.6075292
1267.529,0.008782095,0.5455562,0.3876444,-0.6077774,0.363238,0.6070585
1267.543,0.008136822,0.5464674,0.3884863,-0.6074547,0.3650564,0.606324
1267.557,0.008136822,0.5464674,0.3884863,-0.6074547,0.3650564,0.606324
1267.571,0.007546666,0.5475212,0.3891859,-0.6069769,0.3669619,0.6054949
1267.585,0.007042258,0.5484629,0.3896955,-0.6064724,0.3687247,0.6047103
1267.599,0.007042258,0.5484629,0.3896955,-0.6064724,0.3687247,0.6047103
1267.612,0.006037006,0.5496497,0.3907789,-0.6058582,0.3718725,0.603476
1267.627,0.004922811,0.5513231,0.391832,-0.6049923,0.3752829,0.6020553
1267.641,0.003945363,0.5529598,0.3926409,-0.6040499,0.3785096,0.6006576
1267.655,0.003945363,0.5529598,0.3926409,-0.6040499,0.3785096,0.6006576
1267.668,0.002495398,0.5547736,0.3939036,-0.6030007,0.383035,0.5988559
1267.682,0.0009976921,0.5569661,0.3950525,-0.6017428,0.3876249,0.5969385
1267.696,0.0009976921,0.5569661,0.3950525,-0.6017428,0.3876249,0.5969385
1267.71,-0.0003012383,0.5590232,0.395907,-0.6004726,0.3918329,0.595113
1267.724,-0.001398307,0.5607528,0.3964988,-0.5993264,0.3954827,0.5935004
1267.738,-0.001398307,0.5607528,0.3964988,-0.5993264,0.3954827,0.5935004
1267.752,-0.0029905,0.5625698,0.3975536,-0.5981697,0.4003025,0.5915906
1267.766,-0.004620552,0.5647594,0.398547,-0.5968475,0.405086,0.5896017
1267.78,-0.006029697,0.566837,0.3992874,-0.5955357,0.4094403,0.5877042
1267.794,-0.006029697,0.566837,0.3992874,-0.5955357,0.4094403,0.5877042
1267.807,-0.007924372,0.5690233,0.4003866,-0.5941656,0.4150102,0.5854744
1267.822,-0.009824325,0.5715261,0.4013636,-0.5926421,0.4204601,0.5831702
1267.836,-0.009824325,0.5715261,0.4013636,-0.5926421,0.4204601,0.5831702
1267.849,-0.01146454,0.5738545,0.4020546,-0.59117,0.4253736,0.5809799
1267.864,-0.01285691,0.5758182,0.4024978,-0.5898795,0.4296103,0.5790258
1267.878,-0.01285691,0.5758182,0.4024978,-0.5898795,0.4296103,0.5790258
1267.891,-0.01477315,0.5778252,0.4033112,-0.5885955,0.4350083,0.576826
1267.906,-0.0167117,0.5801631,0.4040732,-0.5871734,0.440265,0.5745684
1267.919,-0.0167117,0.5801631,0.4040732,-0.5871734,0.440265,0.5745684
1267.933,-0.01838583,0.5823762,0.4046041,-0.5857974,0.4450028,0.5724069
1267.947,-0.02056104,0.5846742,0.4054009,-0.5843695,0.4509559,0.5699472
1267.961,-0.02273675,0.5872592,0.4060956,-0.5828124,0.456716,0.5674142
1267.975,-0.02273675,0.5872592,0.4060956,-0.5828124,0.456716,0.5674142
1267.989,-0.02461859,0.5896686,0.4065335,-0.5813364,0.4618779,0.5649878
1268.003,-0.02622472,0.5917057,0.4067532,-0.5800675,0.4663187,0.5628015
1268.019,-0.02622472,0.5917057,0.4067532,-0.5800675,0.4663187,0.5628015
1268.03,-0.02836334,0.5937624,0.4072463,-0.5787989,0.4719275,0.5604092
1268.045,-0.03053529,0.5961232,0.4077162,-0.577404,0.477354,0.5579628
1268.058,-0.03053529,0.5961232,0.4077162,-0.577404,0.477354,0.5579628
1268.072,-0.03241697,0.5983667,0.4079893,-0.5760707,0.4822246,0.5556065
1268.087,-0.03479204,0.6006856,0.4084287,-0.5746777,0.4883051,0.5529765
1268.1,-0.0371846,0.6032689,0.4087971,-0.5731688,0.4941662,0.5502655
1268.115,-0.0371846,0.6032689,0.4087971,-0.5731688,0.4941662,0.5502655
1268.128,-0.03926456,0.605688,0.4089477,-0.571756,0.4994041,0.54765
1268.142,-0.04104712,0.6077383,0.408914,-0.5705603,0.5039043,0.5452758
1268.156,-0.04104712,0.6077383,0.408914,-0.5705603,0.5039043,0.5452758
1268.17,-0.0433422,0.6097919,0.4090495,-0.5693542,0.5095541,0.5427307
1268.184,-0.04569849,0.6121215,0.4091965,-0.5680294,0.5150127,0.540132
1268.198,-0.04569849,0.6121215,0.4091965,-0.5680294,0.5150127,0.540132
1268.211,-0.04775247,0.6143499,0.4091887,-0.5667719,0.5199037,0.5376158
1268.226,-0.05026528,0.6166506,0.4092408,-0.5654456,0.5259705,0.5348453
1268.24,-0.05026528,0.6166506,0.4092408,-0.5654456,0.5259705,0.5348453
1268.253,-0.05282914,0.6191904,0.4092576,-0.5640139,0.5318187,0.5319858
1268.268,-0.05507324,0.6215825,0.4091011,-0.5626851,0.537039,0.529212
1268.282,-0.05700212,0.623616,0.4087988,-0.5615744,0.5415191,0.5266815
1268.296,-0.05700212,0.623616,0.4087988,-0.5615744,0.5415191,0.5266815
1268.309,-0.05939476,0.625641,0.4085545,-0.5604454,0.5470979,0.5240092
1268.324,-0.06189015,0.6279087,0.4083582,-0.5592048,0.5524954,0.5212847
1268.338,-0.06189015,0.6279087,0.4083582,-0.5592048,0.5524954,0.5212847
1268.351,-0.06408255,0.6300934,0.4080549,-0.5580322,0.5573304,0.5186371
1268.365,-0.06667654,0.6323534,0.4077018,-0.5567851,0.5632784,0.5157477
1268.379,-0.06667654,0.6323534,0.4077018,-0.5567851,0.5632784,0.5157477
1268.393,-0.06936517,0.6348215,0.4073488,-0.5554414,0.569024,0.5127645
1268.407,-0.07173787,0.637161,0.4068731,-0.5542014,0.5741535,0.5098605
1268.421,-0.07378148,0.6391578,0.4062946,-0.5531747,0.5785515,0.5072035
1268.435,-0.07378148,0.6391578,0.4062946,-0.5531747,0.5785515,0.5072035
1268.448,-0.07621709,0.641139,0.4056584,-0.5521261,0.5839666,0.5044237
1268.463,-0.07880395,0.6433225,0.4051042,-0.550974,0.5892219,0.501597
1268.477,-0.07880395,0.6433225,0.4051042,-0.550974,0.5892219,0.501597
1268.49,-0.08109811,0.6454421,0.4044975,-0.5498863,0.5939348,0.4988453
1268.505,-0.0837191,0.6476451,0.4037299,-0.5487235,0.5996712,0.4958565
1268.519,-0.0837191,0.6476451,0.4037299,-0.5487235,0.5996712,0.4958565
1268.532,-0.08648359,0.6500201,0.4029957,-0.5474716,0.6052313,0.4927736
1268.546,-0.08894505,0.6522859,0.4021948,-0.5463197,0.6102004,0.4897678
1268.56,-0.0910684,0.6542305,0.4013382,-0.54537,0.6144593,0.4870118
1268.574,-0.0910684,0.6542305,0.4013382,-0.54537,0.6144593,0.4870118
1268.588,-0.09349637,0.6561576,0.400308,-0.5444012,0.6196295,0.4841429
1268.602,-0.09612413,0.6582412,0.3993883,-0.5433367,0.6246654,0.481236
1268.616,-0.09612413,0.6582412,0.3993883,-0.5433367,0.6246654,0.481236
1268.629,-0.09847919,0.6602786,0.3984734,-0.5423304,0.629191,0.4784063
1268.644,-0.1010762,0.6624104,0.3972913,-0.5412536,0.634631,0.4753363
1268.658,-0.1010762,0.6624104,0.3972913,-0.5412536,0.634631,0.4753363
1268.671,-0.1038649,0.6646758,0.3961716,-0.5400943,0.6399243,0.4721774
1268.686,-0.1063715,0.6668507,0.3950435,-0.539025,0.644665,0.4690973
1268.7,-0.1063715,0.6668507,0.3950435,-0.539025,0.644665,0.4690973
1268.713,-0.1090656,0.6690722,0.3935886,-0.5379255,0.6502014,0.4658029
1268.727,-0.1119572,0.67137,0.3922106,-0.5367694,0.655548,0.4624585
1268.741,-0.1145639,0.6735617,0.390863,-0.5357123,0.6603208,0.4592261
1268.755,-0.1145639,0.6735617,0.390863,-0.5357123,0.6603208,0.4592261
1268.769,-0.1168161,0.6754583,0.3895485,-0.5348408,0.6644065,0.4562717
1268.783,-0.1192156,0.6773348,0.3879059,-0.5339684,0.6691913,0.4532175
1268.797,-0.1192156,0.6773348,0.3879059,-0.5339684,0.6691913,0.4532175
1268.81,-0.1218667,0.6792902,0.3864089,-0.5330123,0.6738583,0.4501601
1268.825,-0.1242763,0.6812134,0.3850079,-0.5321021,0.678064,0.4472001
1268.839,-0.1242763,0.6812134,0.3850079,-0.5321021,0.678064,0.4472001
1268.852,-0.126789,0.683246,0.3831988,-0.5311418,0.6829848,0.4439932
1268.868,-0.1295476,0.6853502,0.3814873,-0.5301043,0.6877879,0.4407209
