Time, Position (X), Position (Y), Position (Z), Rotation (X), Rotation (Y), Rotation (Z)
1138.764,0.009848641,0.62162,0.2463241,0.5112613,0.0002180601,-7.764161E-05
1138.778,0.009848641,0.62162,0.2463241,0.5112613,0.0002180601,-7.764161E-05
1138.795,0.009848644,0.62162,0.2463241,0.5112613,0.0002180494,-7.772849E-05
1138.807,0.009848596,0.6216201,0.246324,0.5112614,0.0002180724,-7.766635E-05
1138.819,0.009848596,0.6216201,0.246324,0.5112614,0.0002180724,-7.766635E-05
1138.832,0.009848571,0.6216202,0.2463241,0.5112615,0.0002180719,-7.766884E-05
1138.847,0.009848572,0.6216202,0.2463241,0.5112614,0.0002181152,-7.761225E-05
1138.861,0.009848629,0.6216201,0.246324,0.5112613,0.0002180661,-7.770429E-05
1138.875,0.009848629,0.6216201,0.246324,0.5112613,0.0002180661,-7.770429E-05
1138.888,0.009848609,0.6216201,0.246324,0.5112613,0.0002180884,-7.767671E-05
1138.903,0.009848665,0.62162,0.246324,0.5112613,0.000218086,-7.764839E-05
1138.917,0.009848665,0.62162,0.246324,0.5112613,0.000218086,-7.764839E-05
1138.93,0.009848649,0.62162,0.2463241,0.5112614,0.0002180198,-7.767544E-05
1138.945,0.01084652,0.6233771,0.2480936,0.5114936,-0.001027913,-0.0002104034
1138.959,0.01084652,0.6233771,0.2480936,0.5114936,-0.001027913,-0.0002104034
1138.972,0.01200915,0.6249827,0.249421,0.5122747,-0.003094717,-0.0006072097
1138.986,0.01315225,0.6263981,0.2504455,0.5132325,-0.005493335,-0.001077167
1139,0.01425977,0.6276103,0.251253,0.5141621,-0.007945024,-0.001606601
1139.015,0.01425977,0.6276103,0.251253,0.5141621,-0.007945024,-0.001606601
1139.028,0.01629339,0.6305281,0.2536565,0.5153193,-0.01157223,-0.002185777
1139.042,0.01837455,0.6331529,0.2554548,0.5169976,-0.01584152,-0.002992595
1139.056,0.01837455,0.6331529,0.2554548,0.5169976,-0.01584152,-0.002992595
1139.07,0.02038809,0.6354539,0.2568249,0.5187874,-0.02021574,-0.003908744
1139.084,0.02338607,0.6393934,0.2595403,0.5208774,-0.02573413,-0.004929461
1139.098,0.02338607,0.6393934,0.2595403,0.5208774,-0.02573413,-0.004929461
1139.112,0.02636384,0.6429201,0.2615199,0.5234483,-0.03174321,-0.006198827
1139.126,0.02917485,0.6459989,0.2629871,0.526031,-0.03764639,-0.007551958
1139.142,0.03173324,0.6486446,0.2640924,0.5284131,-0.04312815,-0.008874623
1139.154,0.03173324,0.6486446,0.2640924,0.5284131,-0.04312815,-0.008874623
1139.167,0.035262,0.652926,0.2664414,0.5309304,-0.04946419,-0.01022006
1139.181,0.03865951,0.6567307,0.2680862,0.5337955,-0.05604141,-0.01176378
1139.196,0.03865951,0.6567307,0.2680862,0.5337955,-0.05604141,-0.01176378
1139.208,0.04179402,0.6600353,0.2692564,0.5365824,-0.06231121,-0.01333742
1139.223,0.04595072,0.6649566,0.2714691,0.5395421,-0.06947691,-0.01497041
1139.237,0.04595072,0.6649566,0.2714691,0.5395421,-0.06947691,-0.01497041
1139.25,0.04990997,0.6693161,0.272933,0.5428089,-0.07680897,-0.01681304
1139.265,0.05352616,0.6730939,0.2739088,0.5459386,-0.08371414,-0.01866423
1139.279,0.05352616,0.6730939,0.2739088,0.5459386,-0.08371414,-0.01866423
1139.292,0.05817832,0.6784797,0.2757729,0.5492046,-0.0914419,-0.02056858
1139.307,0.06254944,0.6832316,0.2768947,0.5527114,-0.09921254,-0.02266756
1139.321,0.06649585,0.6873368,0.2775548,0.5560239,-0.1064324,-0.02474002
