Time, Position (X), Position (Y), Position (Z), Rotation (X), Rotation (Y), Rotation (Z)
37.0814,0.01011065,0.221615,0.2463669,0.5111128,0.0001936328,-0.0003845496
37.09614,0.01011065,0.221615,0.2463669,0.5111128,0.0001936328,-0.0003845496
37.10709,0.01011067,0.221615,0.2463668,0.5111127,0.0001935837,-0.0003844307
37.12387,0.01011066,0.221615,0.2463669,0.5111128,0.0001936336,-0.0003845193
37.1352,0.01011066,0.221615,0.2463669,0.5111128,0.0001936336,-0.0003845193
37.1484,0.01011066,0.221615,0.2463669,0.5111128,0.0001936331,-0.0003845196
37.16305,0.01011066,0.221615,0.2463668,0.5111127,0.000193584,-0.0003844305
37.17711,0.01011066,0.221615,0.2463668,0.5111127,0.000193584,-0.0003844305
37.19057,0.01011066,0.221615,0.2463669,0.5111127,0.0001936338,-0.000384549
37.2051,0.01011066,0.221615,0.2463669,0.5111128,0.000193633,-0.0003845197
37.21895,0.01011066,0.221615,0.2463669,0.5111128,0.000193633,-0.0003845197
37.23243,0.01011066,0.221615,0.2463668,0.5111127,0.0001935839,-0.0003844306
37.24683,0.01011066,0.221615,0.2463669,0.5111128,0.0001936336,-0.0003845193
37.26099,0.009989338,0.2232384,0.2484263,0.512704,-0.000169564,0.00127216
37.2749,0.009989338,0.2232384,0.2484263,0.512704,-0.000169564,0.00127216
37.28792,0.009783648,0.2249678,0.2498206,0.5156273,-0.0009993074,0.002839524
37.30266,0.009685713,0.2266325,0.2507862,0.5189711,-0.002080794,0.004106444
37.3165,0.009685713,0.2266325,0.2507862,0.5189711,-0.002080794,0.004106444
37.32998,0.009584029,0.2299784,0.2535402,0.5241503,-0.003662139,0.006848108
37.34436,0.009472741,0.2332924,0.2553674,0.5305085,-0.005711147,0.009280916
37.3583,0.009472741,0.2332924,0.2553674,0.5305085,-0.005711147,0.009280916
37.37169,0.009510361,0.2363632,0.2565988,0.5369458,-0.007920404,0.01124359
37.38607,0.009651852,0.2391005,0.2574462,0.5429385,-0.01008641,0.01281226
37.40019,0.009748327,0.2433827,0.2600219,0.5501291,-0.01255255,0.01598123
37.41407,0.009748327,0.2433827,0.2600219,0.5501291,-0.01255255,0.01598123
37.42739,0.0098124,0.2474746,0.2616634,0.558016,-0.01528958,0.01878135
37.44196,0.0100037,0.2511876,0.2627124,0.5656303,-0.01799647,0.02105219
37.45594,0.0100037,0.2511876,0.2627124,0.5656303,-0.01799647,0.02105219
37.46931,0.01017878,0.2564182,0.2652834,0.5743543,-0.02098159,0.02493383
37.48373,0.0103341,0.261349,0.2668267,0.5835873,-0.02415423,0.02833306
37.49771,0.0103341,0.261349,0.2668267,0.5835873,-0.02415423,0.02833306
37.51108,0.0106183,0.265785,0.2677314,0.5923463,-0.0271834,0.03110021
37.5255,0.01096559,0.2696646,0.2682482,0.6002113,-0.02990739,0.033351
37.53969,0.01096559,0.2696646,0.2682482,0.6002113,-0.02990739,0.033351
37.55273,0.01125745,0.2750548,0.2702961,0.6088055,-0.03275513,0.03739349
37.56742,0.01147413,0.2800713,0.2713957,0.6177189,-0.03568273,0.04096827
37.58148,0.01178706,0.2845465,0.2719246,0.6260901,-0.0383913,0.04389317
37.59528,0.01178706,0.2845465,0.2719246,0.6260901,-0.0383913,0.04389317
37.60884,0.01209844,0.2905607,0.2737831,0.6352394,-0.04123108,0.04859876
37.62315,0.01233887,0.296126,0.2746303,0.64466,-0.04410635,0.05273882
37.63708,0.01233887,0.296126,0.2746303,0.64466,-0.04410635,0.05273882
37.65037,0.01267277,0.3010693,0.2748875,0.6534649,-0.04670101,0.05613643
37.66496,0.01303369,0.3053533,0.2748253,0.6612933,-0.04890925,0.0589314
37.67908,0.01303369,0.3053533,0.2748253,0.6612933,-0.04890925,0.0589314
37.6923,0.01337554,0.3112184,0.2761104,0.6696449,-0.05117206,0.06368042
37.70678,0.01359307,0.3165989,0.2764862,0.678194,-0.05344555,0.06790534
37.72064,0.01387866,0.3213491,0.2763553,0.68616,-0.05544353,0.07138583
37.73458,0.01387866,0.3213491,0.2763553,0.68616,-0.05544353,0.07138583
37.74826,0.01421103,0.3277141,0.2773616,0.6947258,-0.05749031,0.07677682
37.76269,0.01441811,0.3335252,0.2774082,0.703478,-0.05950543,0.08155148
37.77646,0.01441811,0.3335252,0.2774082,0.703478,-0.05950543,0.08155148
37.78983,0.01468617,0.3386351,0.2769422,0.7116136,-0.06120443,0.08549575
37.80446,0.01495872,0.34303,0.2762467,0.7188097,-0.06253795,0.0887639
37.81836,0.01495872,0.34303,0.2762467,0.7188097,-0.06253795,0.0887639
37.83166,0.01527665,0.3490967,0.2767045,0.7263889,-0.06388131,0.094096
37.84624,0.01542229,0.354592,0.2763132,0.7341177,-0.06520887,0.098873
37.86013,0.01560935,0.3593969,0.2754946,0.7412947,-0.06626461,0.1028315
37.87406,0.01560935,0.3593969,0.2754946,0.7412947,-0.06626461,0.1028315
37.88757,0.01590655,0.3658947,0.2756093,0.7489241,-0.06728413,0.1087791
37.9019,0.01602311,0.3717493,0.274833,0.7566984,-0.0682334,0.1140878
37.91594,0.01602311,0.3717493,0.274833,0.7566984,-0.0682334,0.1140878
37.92928,0.01616841,0.3768453,0.2736342,0.7639013,-0.06888326,0.1184988
37.94381,0.01630512,0.381194,0.2723057,0.7702454,-0.0692435,0.1221711
37.95795,0.01630512,0.381194,0.2723057,0.7702454,-0.0692435,0.1221711
37.97109,0.01656567,0.3872977,0.2719219,0.7768429,-0.06954698,0.1279607
37.98692,0.01660532,0.3927529,0.2707604,0.7835608,-0.0698168,0.1331895
37.99941,0.01660532,0.3927529,0.2707604,0.7835608,-0.0698168,0.1331895
38.0127,0.01665851,0.3974741,0.2692616,0.7897852,-0.06985431,0.1375464
38.02732,0.01688898,0.4039508,0.2684794,0.7963154,-0.06974139,0.1439203
38.0412,0.01688148,0.4097022,0.2668879,0.8029598,-0.06953252,0.1496584
38.05525,0.01688148,0.4097022,0.2668879,0.8029598,-0.06953252,0.1496584
38.06842,0.01687247,0.4146528,0.2649738,0.8090983,-0.06908015,0.1544533
38.08306,0.01685102,0.4188423,0.2630351,0.8144813,-0.06845182,0.1584571
38.09721,0.01685102,0.4188423,0.2630351,0.8144813,-0.06845182,0.1584571
38.11027,0.01703088,0.4248513,0.2618188,0.8199857,-0.06765734,0.1645714
38.12486,0.01694093,0.4301414,0.2599073,0.8255863,-0.06681476,0.1701434
38.13873,0.01694093,0.4301414,0.2599073,0.8255863,-0.06681476,0.1701434
38.15192,0.01683833,0.4346663,0.2577553,0.830763,-0.06581023,0.1748143
38.16674,0.01697364,0.4409889,0.2560948,0.8360966,-0.06450245,0.1814723
38.18073,0.0168171,0.4465108,0.2537178,0.8415145,-0.06308655,0.187524
38.19446,0.0168171,0.4465108,0.2537178,0.8415145,-0.06308655,0.187524
38.20782,0.01663336,0.4512032,0.2511258,0.8465043,-0.06152015,0.1926107
38.22238,0.0164428,0.4551364,0.2486144,0.8508584,-0.05991983,0.1968656
38.23645,0.0164428,0.4551364,0.2486144,0.8508584,-0.05991983,0.1968656
38.2496,0.01652186,0.4609331,0.2465943,0.8552009,-0.05798916,0.2031612
38.26416,0.0162855,0.4659453,0.2439692,0.8596104,-0.05600431,0.2089604
38.27815,0.0162855,0.4659453,0.2439692,0.8596104,-0.05600431,0.2089604
38.29144,0.01601498,0.4701746,0.2412068,0.8636754,-0.0539599,0.2138535
38.30638,0.01602953,0.4762218,0.2387062,0.8677465,-0.05141339,0.2206464
38.31998,0.01602953,0.4762218,0.2387062,0.8677465,-0.05141339,0.2206464
38.33313,0.01570654,0.4814,0.235591,0.8718698,-0.04876861,0.2268897
38.34778,0.01533894,0.4857357,0.2323738,0.8756538,-0.04610217,0.2321681
38.3616,0.01497856,0.4893295,0.2293411,0.8789372,-0.04356412,0.2365839
38.3757,0.01497856,0.4893295,0.2293411,0.8789372,-0.04356412,0.2365839
38.38897,0.01493495,0.4948037,0.2265601,0.8820726,-0.04047462,0.2429128
38.40357,0.01454061,0.499437,0.2232741,0.885243,-0.03734745,0.2488155
38.41742,0.01454061,0.499437,0.2232741,0.885243,-0.03734745,0.2488155
38.43073,0.01409945,0.5032827,0.2199565,0.8881555,-0.03429284,0.2538284
38.44536,0.01396782,0.5089378,0.2166705,0.8909214,-0.030495,0.2606038
38.45923,0.01396782,0.5089378,0.2166705,0.8909214,-0.030495,0.2606038
38.47264,0.01346886,0.5136651,0.2128803,0.8937058,-0.02664002,0.2669069
38.48725,0.01291959,0.5175518,0.2091035,0.8962478,-0.02291716,0.2722676
38.5011,0.01239718,0.5207307,0.2056115,0.898434,-0.01948917,0.2767514
38.51514,0.01239718,0.5207307,0.2056115,0.898434,-0.01948917,0.2767514
38.52825,0.01220614,0.5257772,0.2021338,0.9003335,-0.01523888,0.282976
38.54292,0.0116485,0.5299355,0.1982567,0.9022338,-0.01099954,0.2888623
38.55679,0.0116485,0.5299355,0.1982567,0.9022338,-0.01099954,0.2888623
38.57003,0.01104328,0.5333185,0.1944547,0.903969,-0.006982277,0.2938962
38.58468,0.01073924,0.5384743,0.190459,0.9054027,-0.001943735,0.3005153
38.59863,0.01073924,0.5384743,0.190459,0.9054027,-0.001943735,0.3005153
38.61195,0.01006272,0.5426568,0.1860763,0.9068245,0.00307462,0.3067531
38.62645,0.009342131,0.5460195,0.1818193,0.9081066,0.007794981,0.3120903
38.64049,0.008670342,0.548726,0.177939,0.9091842,0.01205654,0.3165552
38.65442,0.008670342,0.548726,0.177939,0.9091842,0.01205654,0.3165552
38.6675,0.008306337,0.5532569,0.1738438,0.9098352,0.01743993,0.3225526
38.68206,0.007588069,0.5568638,0.1694563,0.9104574,0.02273208,0.3283009
38.69624,0.007588069,0.5568638,0.1694563,0.9104574,0.02273208,0.3283009
38.70943,0.006831774,0.5597258,0.1652463,0.9110106,0.02765048,0.3332521
38.72415,0.006332428,0.5642945,0.1606318,0.9111074,0.03387776,0.3395838
38.73787,0.006332428,0.5642945,0.1606318,0.9111074,0.03387776,0.3395838
38.75108,0.005485995,0.5678588,0.1557465,0.9111683,0.03998436,0.3456223
38.76585,0.00461079,0.57064,0.1510928,0.9111931,0.04563282,0.350823
38.77968,0.00461079,0.57064,0.1510928,0.9111931,0.04563282,0.350823
38.79307,0.003966123,0.5750505,0.1459721,0.9106793,0.0526833,0.35725
38.80758,0.002999109,0.5784129,0.1406599,0.9101074,0.05953827,0.3633686
38.82151,0.002019635,0.5809861,0.1356549,0.9095356,0.06583219,0.3686447
38.83531,0.002019635,0.5809861,0.1356549,0.9095356,0.06583219,0.3686447
38.84874,0.001126767,0.5829756,0.1311718,0.9089732,0.07141538,0.3730646
38.86345,0.0004478216,0.5866676,0.1261963,0.9077795,0.07849792,0.3786439
38.87743,0.0004478216,0.5866676,0.1261963,0.9077795,0.07849792,0.3786439
38.89049,-0.0005151121,0.5893903,0.1210973,0.9065239,0.08534832,0.3840531
38.90509,-0.00148249,0.5914193,0.1163289,0.9053316,0.09160157,0.3887614
38.91898,-0.00148249,0.5914193,0.1163289,0.9053316,0.09160157,0.3887614
38.93247,-0.002310261,0.5950174,0.1109049,0.9034625,0.09951072,0.394505
38.94691,-0.003401089,0.5975755,0.1053806,0.9015337,0.1071568,0.4000451
38.96095,-0.004480974,0.5994201,0.1002398,0.8997125,0.1141205,0.4048709
38.97499,-0.004480974,0.5994201,0.1002398,0.8997125,0.1141205,0.4048709
38.98796,-0.005456211,0.6007733,0.09567063,0.8980522,0.1202565,0.4089335
39.00268,-0.006322938,0.6037492,0.09041775,0.8956489,0.1281253,0.4139156
39.01659,-0.006322938,0.6037492,0.09041775,0.8956489,0.1281253,0.4139156
39.02976,-0.007404451,0.6057515,0.08511989,0.8931795,0.1357142,0.4187884
39.04434,-0.008462759,0.6071242,0.08022043,0.8908606,0.1426014,0.4230771
39.05836,-0.008462759,0.6071242,0.08022043,0.8908606,0.1426014,0.4230771
39.07176,-0.009495849,0.6099684,0.07450526,0.8877363,0.151345,0.4281729
39.08607,-0.01071364,0.6117687,0.06878044,0.8845486,0.1597659,0.4331268
39.10009,-0.01188663,0.6129237,0.06351183,0.8815553,0.1673953,0.4374911
39.11404,-0.01188663,0.6129237,0.06351183,0.8815553,0.1673953,0.4374911
39.12729,-0.01293401,0.6136754,0.05886317,0.8788522,0.1740869,0.4411951
39.142,-0.01400297,0.6159449,0.05337571,0.8753039,0.1826819,0.4455609
39.15577,-0.01400297,0.6159449,0.05337571,0.8753039,0.1826819,0.4455609
39.16902,-0.01519986,0.6172388,0.04792538,0.8716949,0.1909479,0.449844
39.18361,-0.01633531,0.6179681,0.04293648,0.8683108,0.1984209,0.4536591
39.19769,-0.01633531,0.6179681,0.04293648,0.8683108,0.1984209,0.4536591
39.2111,-0.01757957,0.6200528,0.03700282,0.8640021,0.2078884,0.4580477
39.22563,-0.01891342,0.6210982,0.03115165,0.8596365,0.2169803,0.4623282
39.23945,-0.01891342,0.6210982,0.03115165,0.8596365,0.2169803,0.4623282
39.25248,-0.02015836,0.6215706,0.02582024,0.8555394,0.2251887,0.4661496
39.26714,-0.02125381,0.6217291,0.02114677,0.8518434,0.2323686,0.4694332
39.28127,-0.02251684,0.6232889,0.01550353,0.8472151,0.2415372,0.4731281
39.29511,-0.02251684,0.6232889,0.01550353,0.8472151,0.2415372,0.4731281
39.30841,-0.0238132,0.6238784,0.009983651,0.842544,0.2503514,0.4767396
39.32285,-0.02500181,0.6239727,0.004977582,0.8381635,0.258304,0.4799987
39.33697,-0.02500181,0.6239727,0.004977582,0.8381635,0.258304,0.4799987
39.35029,-0.02643034,0.6253053,-0.001085233,0.8327731,0.268259,0.4836005
39.36465,-0.02785946,0.6256029,-0.006969163,0.8273244,0.2778634,0.4871112
39.37874,-0.02785946,0.6256029,-0.006969163,0.8273244,0.2778634,0.4871112
39.39213,-0.02914957,0.6254032,-0.01228169,0.8222045,0.2865297,0.4902943
39.40667,-0.03026539,0.624979,-0.01691179,0.817574,0.2941107,0.4930792
39.42051,-0.03166427,0.6258561,-0.02262615,0.8119996,0.3035391,0.4960172
39.43444,-0.03166427,0.6258561,-0.02262615,0.8119996,0.3035391,0.4960172
39.44801,-0.03303498,0.6257563,-0.02812872,0.806356,0.3127368,0.4988811
39.46223,-0.0342549,0.6252277,-0.03307564,0.8010491,0.3210642,0.5015082
39.47625,-0.0342549,0.6252277,-0.03307564,0.8010491,0.3210642,0.5015082
39.48943,-0.03580459,0.6258424,-0.03917128,0.7947474,0.3311699,0.5042104
39.50395,-0.03729165,0.6254219,-0.04499882,0.7883369,0.3410712,0.5068623
39.51781,-0.03729165,0.6254219,-0.04499882,0.7883369,0.3410712,0.5068623
39.53116,-0.03860106,0.6245691,-0.05021653,0.7822779,0.3500687,0.5093278
39.54582,-0.03971427,0.6235744,-0.05473952,0.7767659,0.3579753,0.5115477
