Time, Position (X), Position (Y), Position (Z), Rotation (X), Rotation (Y), Rotation (Z)
20.36375,0.01026312,0.2308778,0.2435535,0.5163662,-0.003936823,7.424482E-07
20.37291,0.01026312,0.2308778,0.2435535,0.5163662,-0.003936823,7.424482E-07
20.38823,0.0102631,0.2308778,0.2435536,0.5163662,-0.003936839,6.566719E-07
20.40335,0.01026311,0.2308778,0.2435535,0.5163662,-0.003936823,7.425209E-07
20.41818,0.01026311,0.2308778,0.2435535,0.5163662,-0.003936823,7.425209E-07
20.43223,0.0102631,0.2308778,0.2435536,0.5163662,-0.003936839,6.567374E-07
20.44731,0.01026311,0.2308778,0.2435535,0.5163662,-0.003936823,7.426009E-07
20.46173,0.0102631,0.2308778,0.2435536,0.5163662,-0.003936839,6.567665E-07
20.47617,0.0102631,0.2308778,0.2435536,0.5163662,-0.003936839,6.567665E-07
20.49013,0.01026311,0.2308778,0.2435535,0.5163662,-0.003936823,7.425937E-07
20.505,0.0102631,0.2308778,0.2435536,0.5163662,-0.003936839,6.56912E-07
20.51939,0.0102631,0.2308778,0.2435536,0.5163662,-0.003936839,6.56912E-07
20.53298,0.01026311,0.2308778,0.2435535,0.5163662,-0.003936823,7.427101E-07
20.54803,0.0102631,0.2308778,0.2435536,0.5163662,-0.003936839,6.568683E-07
20.56187,0.01026311,0.2308778,0.2435535,0.5163662,-0.003936823,7.42681E-07
20.57612,0.01026311,0.2308778,0.2435535,0.5163662,-0.003936823,7.42681E-07
20.58945,0.0102631,0.2308778,0.2435536,0.5163662,-0.003936839,6.569193E-07
20.60428,0.01026311,0.2308778,0.2435535,0.5163662,-0.003936822,7.427683E-07
20.6182,0.01026311,0.2308778,0.2435535,0.5163662,-0.003936822,7.427683E-07
20.63162,0.0102631,0.2308778,0.2435536,0.5163662,-0.003936838,6.570357E-07
20.6462,0.01026311,0.2308778,0.2435535,0.5163662,-0.003936822,7.427901E-07
20.66032,0.0102631,0.2308778,0.2435536,0.5163662,-0.003936839,6.569775E-07
20.67399,0.0102631,0.2308778,0.2435536,0.5163662,-0.003936839,6.569775E-07
20.68755,0.01026311,0.2308778,0.2435535,0.5163662,-0.003936822,7.428483E-07
20.70215,0.01026309,0.2308778,0.2435536,0.5163662,-0.003936838,7.465372E-07
