Name,"Range (min, deg)","Range (max, deg)",,Default start position (Unity),Default (anthropomorphic):,,,In radians:,,,,Anthropomorphic limits:,
r_shoulder_pitch,-150.0003508,90,,0,0.045,,,,-2.618000001,1.570796327,,-3.26,0.05
r_shoulder_roll,-180,10,,0,-0.327,,,,-3.141592654,0.174532925,,-2.094395102,0
r_arm_yaw,-90,90,,0,0.46,,,,-1.570796327,1.570796327,,-3.8,0.5
r_elbow_pitch,-125,0,,0,-2.18,-0.5,,,-2.181661565,0,,-2.2,0.5
r_forearm_yaw,-100,100,,0,-0.364,,,,-1.745329252,1.745329252,,-0.7,1.51
r_wrist_pitch,-45,45,,0,-0.02,,,,-0.785398163,0.785398163,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,IDOF movements:,,,,,,,,,,,
,,1,2,3,4,5,6,,,,,,
,,0.044957919,-2.094395102,0.46176489,-0.7,-0.660415348,-0.785398163,,,,,,
,,-0.129051892,-1.924395102,0.292459433,-0.53,-0.532415348,-0.615398163,,,,,,
,,-0.303061703,-1.754395102,0.123153977,-0.36,-0.404415348,-0.445398163,,,,,,
,,-0.477071514,-1.584395102,-0.04615148,-0.19,-0.276415348,-0.275398163,,,,,,
,,-0.651081325,-1.414395102,-0.215456936,-0.02,-0.148415348,-0.105398163,,,,,,
,,-0.825091136,-1.244395102,-0.384762393,0.15,-0.020415348,0.064601837,,,,,,
,,-0.999100947,-1.074395102,-0.554067849,0.32,0.107584652,0.234601837,,,,,,
,,-1.173110759,-0.904395102,-0.723373306,0.49,0.235584652,0.404601837,,,,,,
,,-1.34712057,-0.734395102,-0.892678762,0.66,0.363584652,0.574601837,,,,,,
,,-1.521130381,-0.564395102,-1.061984219,0.83,0.491584652,0.744601837,,,,,,
,,-1.695140192,-0.394395102,-1.231289675,1,0.619584652,0.914601837,,,,,,
,,-1.869150003,-0.224395102,-1.400595132,1.17,0.747584652,0.914601837,,,,,,
,,-2.043159814,-0.054395102,-1.569900588,1.34,0.875584652,0.744601837,,,,,,
,,-2.217169814,0.115604898,-1.739210588,1.51,1.003584652,0.574601837,,,,,,
,,-2.391179814,0.115604898,-1.908520588,1.68,1.131584652,0.404601837,,,,,,
,,-2.565189814,-0.054395102,-2.077830588,1.68,1.259584652,0.234601837,,,,,,
,,-2.739199814,-0.224395102,-2.247140588,1.51,1.387584652,0.064601837,,,,,,
,,-2.913209814,-0.394395102,-2.416450588,1.34,1.515584652,-0.105398163,,,,,,
,,-3.087219814,-0.564395102,-2.585760588,1.17,1.515584652,-0.275398163,,,,,,
,,-3.261229814,-0.734395102,-2.755070588,1,1.387584652,-0.445398163,,,,,,
,,-3.261229814,-0.904395102,-2.924380588,0.83,1.259584652,-0.615398163,,,,,,
,,-3.087219814,-1.074395102,-3.093690588,0.66,1.131584652,-0.785398163,,,,,,
,,-2.913209814,-1.244395102,-3.263000588,0.49,1.003584652,,,,,,,
,,-2.739199814,-1.414395102,-3.432310588,0.32,0.875584652,,,,,,,
,,-2.565189814,-1.584395102,-3.601620588,0.15,0.747584652,,,,,,,
,,-2.391179814,-1.754395102,-3.770930588,-0.02,0.619584652,,,,,,,
,,-2.217169814,-1.924395102,-3.770930588,-0.19,0.491584652,,,,,,,
,,-2.043159814,-2.094395102,-3.601620588,-0.36,0.363584652,,,,,,,
,,-1.869149814,,-3.432310588,-0.53,0.235584652,,,,,,,
,,-1.695139814,,-3.263000588,-0.7,0.107584652,,,,,,,
,,-1.521129814,,-3.093690588,,-0.020415348,,,,,,,
,,-1.347119814,,-2.924380588,,-0.148415348,,,,,,,
,,-1.173109814,,-2.755070588,,-0.276415348,,,,,,,
,,-0.999099814,,-2.585760588,,-0.404415348,,,,,,,
,,-0.825089814,,-2.416450588,,-0.532415348,,,,,,,
,,-0.651079814,,-2.247140588,,-0.660415348,,,,,,,
,,-0.477069814,,-2.077830588,,,,,,,,,
,,-0.303059814,,-1.908520588,,,,,,,,,
,,-0.129049814,,-1.739210588,,,,,,,,,
,,0.044960186,,-1.569900588,,,,,,,,,
,,0.218980186,,-1.400590588,,,,,,,,,
,,0.393000186,,-1.231280588,,,,,,,,,
,,0.567020186,,-1.061970588,,,,,,,,,
,,0.741040186,,-0.892660588,,,,,,,,,
,,0.915060186,,-0.723350588,,,,,,,,,
,,1.089080186,,-0.554040588,,,,,,,,,
,,1.263100186,,-0.384730588,,,,,,,,,
,,1.437120186,,-0.215420588,,,,,,,,,
,,1.611140186,,-0.046110588,,,,,,,,,
,,1.785160186,,0.123199412,,,,,,,,,
,,1.959180186,,0.292509412,,,,,,,,,
,,2.133200186,,0.461819412,,,,,,,,,
