Time, Position (X), Position (Y), Position (Z), Orientation (X), Orientation (Y), Orientation (Z)
11.221,0.1538992,-0.1324781,1.704508,0.05528218,0.9909378,0.1104112
11.27678,0.1539133,-0.1325305,1.704435,0.05538058,0.9909558,0.1100979
11.29141,0.1539087,-0.1325201,1.70444,0.05540371,0.9909559,0.1100901
11.3011,0.1538949,-0.132488,1.704462,0.05542758,0.9909469,0.1101681
11.31436,0.1538714,-0.1324429,1.704498,0.05543879,0.9909369,0.1102619
11.33135,0.1538439,-0.132395,1.704538,0.05544467,0.9909288,0.1103464
11.34693,0.1538181,-0.1323514,1.704581,0.05545176,0.9909186,0.1104549
11.36139,0.153791,-0.132315,1.704616,0.05549548,0.9909108,0.1105257
11.37654,0.1537577,-0.1322818,1.704644,0.05551084,0.9909106,0.1105415
11.39101,0.1537288,-0.1322554,1.704667,0.05551106,0.9909098,0.1105706
11.40826,0.1536995,-0.1322249,1.70469,0.05551568,0.9909051,0.11063
11.42235,0.1536822,-0.1322063,1.7047,0.05548519,0.9909035,0.1106621
11.43619,0.1536556,-0.1321929,1.704713,0.05545346,0.9909027,0.1106865
11.45007,0.1536365,-0.1321965,1.704716,0.05545614,0.9909037,0.1106622
11.46517,0.153626,-0.1322066,1.704703,0.05548619,0.990904,0.1106095
11.47986,0.1536272,-0.1322184,1.704683,0.05555358,0.9909059,0.1105229
11.4943,0.1536313,-0.1322324,1.704669,0.05562723,0.9909085,0.1104426
11.50835,0.1536488,-0.1322623,1.704657,0.05568612,0.9909106,0.1103922
11.52261,0.1536643,-0.1322817,1.70465,0.05570082,0.9909105,0.1103795
11.53653,0.1536961,-0.132316,1.704634,0.05573175,0.9909118,0.1103367
11.54998,0.1537298,-0.1323483,1.704614,0.05573182,0.990913,0.1103049
11.56555,0.1537597,-0.1323674,1.704602,0.05571973,0.9909141,0.1102767
11.5789,0.1537877,-0.1323658,1.704593,0.05569607,0.9909088,0.1103078
11.59245,0.1538117,-0.1323597,1.704595,0.05568567,0.9908991,0.1103746
11.60715,0.1538398,-0.1323398,1.704605,0.0556847,0.9908863,0.110477
11.62156,0.1538551,-0.1323262,1.704614,0.05569271,0.9908762,0.1105621
11.63636,0.1538754,-0.1323191,1.70462,0.0556891,0.9908706,0.1106095
11.64859,0.1539027,-0.132332,1.704613,0.05568894,0.9908717,0.1105784
11.66328,0.1539313,-0.1323603,1.704585,0.05573093,0.9908762,0.1104696
11.6773,0.1539475,-0.1323968,1.704545,0.05579622,0.9908761,0.1103973
11.69085,0.1539506,-0.1324383,1.704502,0.05589094,0.9908788,0.1102977
11.70613,0.153928,-0.132489,1.704442,0.05600066,0.9908889,0.1101661
11.71934,0.153879,-0.1325355,1.704387,0.05603526,0.9909032,0.1100409
11.73378,0.1537941,-0.1325851,1.70433,0.05591256,0.9909304,0.1098896
11.74707,0.1537086,-0.1326228,1.704283,0.05579,0.9909509,0.1097997
11.76117,0.1535904,-0.1326582,1.704234,0.05563324,0.9909754,0.1097017
11.77593,0.1534791,-0.1326878,1.704195,0.05551151,0.9909976,0.1096198
11.78859,0.1533881,-0.1327032,1.704171,0.05542359,0.9910153,0.1095768
11.80299,0.1532782,-0.132725,1.704138,0.05526559,0.9910375,0.1095582
11.81703,0.1532193,-0.1327428,1.704117,0.05508425,0.9910551,0.1095226
11.83055,0.1531847,-0.1327635,1.704097,0.05489879,0.9910715,0.1094781
11.84581,0.153181,-0.1327945,1.704085,0.05478857,0.9910809,0.1094608
11.85933,0.1532047,-0.1328226,1.704063,0.05477261,0.9910877,0.1094386
11.87237,0.15326,-0.132839,1.704024,0.05481227,0.991096,0.1093562
11.88682,0.1533474,-0.132845,1.703971,0.05482214,0.991102,0.109245
11.90119,0.1535088,-0.1328208,1.703894,0.05471165,0.9911015,0.1091156
11.91549,0.1536586,-0.1327659,1.703844,0.05463937,0.9910933,0.109075
11.92846,0.1537968,-0.1327028,1.703823,0.0546789,0.9910775,0.1091438
11.94262,0.1540079,-0.1325896,1.703839,0.05488939,0.9910447,0.1092518
11.9566,0.1542436,-0.1324273,1.703905,0.05515829,0.9909857,0.1095426
11.97004,0.1545351,-0.1322012,1.704028,0.05543434,0.99089,0.1101275
11.98522,0.1547285,-0.1320544,1.704118,0.05567126,0.9908366,0.1104302
11.99881,0.154942,-0.1318927,1.704233,0.05585889,0.9907893,0.1107
12.01225,0.1551772,-0.1316703,1.704393,0.05607209,0.9907224,0.111113
12.02672,0.1554056,-0.131493,1.704528,0.05630156,0.9906366,0.1116673
12.04058,0.15564,-0.1313773,1.704625,0.05662846,0.990557,0.1121097
12.05476,0.1558441,-0.1313136,1.704684,0.05698062,0.9905019,0.1123058
12.06734,0.1560188,-0.1312867,1.704709,0.05738526,0.9904739,0.1122625
12.08192,0.1561843,-0.1312771,1.704707,0.05782455,0.9904327,0.1123201
12.09608,0.1562983,-0.1312941,1.704679,0.05803757,0.9904209,0.1122089
12.10931,0.1563809,-0.1313156,1.704648,0.05811472,0.990425,0.112008
12.12455,0.1564267,-0.1313369,1.704621,0.05813591,0.9904307,0.1118484
12.13811,0.1564453,-0.1313517,1.704614,0.05803335,0.9904397,0.1117525
12.15103,0.1564332,-0.1313459,1.704619,0.05793399,0.9904423,0.111746
12.16542,0.1563678,-0.1312884,1.704655,0.05789504,0.9904384,0.1118059
12.18139,0.156215,-0.1311343,1.70474,0.0579399,0.9904329,0.1119479
12.19429,0.1559794,-0.1308936,1.704884,0.05797213,0.9904224,0.112208
12.20675,0.1556705,-0.1305771,1.705085,0.05779089,0.9904082,0.1126633
12.2211,0.1553613,-0.1302585,1.705304,0.05748667,0.9903908,0.113171
12.23514,0.1550291,-0.1299116,1.705557,0.05714715,0.9903533,0.1139369
12.24845,0.1548129,-0.129675,1.705728,0.05716772,0.9903173,0.1143993
12.26376,0.1546542,-0.1294934,1.705847,0.05750452,0.9902862,0.1146882
12.27703,0.1545283,-0.1293483,1.705904,0.0578328,0.990261,0.114874
12.29018,0.1543957,-0.1292306,1.705948,0.05823819,0.9902393,0.1149206
