Time, Position (X), Position (Y), Position (Z), Orientation (X), Orientation (Y), Orientation (Z)
11.221,-0.08405422,0.003798336,1.638645,-0.2853569,0.4320623,0.3687487
11.27678,-0.08404322,0.003761947,1.63884,-0.2848625,0.4324983,0.3685138
11.29141,-0.08408737,0.003889978,1.638685,-0.2856236,0.4330003,0.3686282
11.3011,-0.08408252,0.004052252,1.638403,-0.2870675,0.4338224,0.3687518
11.31436,-0.08401468,0.004058957,1.638299,-0.2875068,0.434851,0.3687874
11.33135,-0.08395156,0.004030824,1.638301,-0.2870132,0.4360493,0.3694332
11.34693,-0.08392754,0.003921628,1.638336,-0.2865325,0.4365218,0.3696086
11.36139,-0.0838754,0.003895611,1.638358,-0.2861953,0.4358043,0.3691859
11.37654,-0.08377821,0.003661901,1.63856,-0.2853675,0.4354771,0.3692037
11.39101,-0.08370765,0.003411591,1.638898,-0.2841007,0.4352712,0.3704952
11.40826,-0.08397143,0.00316605,1.639248,-0.282394,0.4349299,0.3708268
11.42235,-0.08359945,0.003125787,1.639235,-0.2827701,0.4339632,0.3710691
11.43619,-0.08360184,0.003152847,1.639301,-0.2826946,0.434149,0.3711135
11.45007,-0.08358406,0.003119886,1.639332,-0.2828186,0.4340527,0.3709996
11.46517,-0.08357435,0.003085613,1.639362,-0.2829868,0.4339782,0.3708791
11.47986,-0.08360369,0.003048748,1.639345,-0.2833392,0.4337598,0.3707868
11.4943,-0.08373395,0.003001183,1.63917,-0.2844012,0.4334791,0.3707246
11.50835,-0.0838391,0.002955109,1.638943,-0.2855505,0.4332112,0.3705502
11.52261,-0.08388788,0.002917737,1.638746,-0.2863195,0.4331418,0.3702819
11.53653,-0.08468228,0.002575159,1.637988,-0.2922883,0.4358169,0.3710744
11.54998,-0.08393779,0.003060043,1.638168,-0.2890294,0.433444,0.3696079
11.56555,-0.08441296,0.002696216,1.638059,-0.2899384,0.4341827,0.3700006
11.5789,-0.08437804,0.002678007,1.638011,-0.2898408,0.43425,0.3703514
11.59245,-0.08451864,0.002543509,1.637948,-0.2900199,0.4345068,0.3705673
11.60715,-0.08456837,0.002447426,1.637904,-0.290211,0.4343236,0.3705709
11.62156,-0.08467786,0.002286613,1.637902,-0.2905366,0.4342811,0.3707141
11.63636,-0.08478157,0.002073884,1.63794,-0.2909331,0.4340089,0.3708965
11.64859,-0.08483044,0.001901388,1.638004,-0.2912551,0.4338144,0.3710431
11.66328,-0.08483053,0.001740038,1.638085,-0.2915655,0.4335642,0.3710303
11.6773,-0.08480071,0.001600385,1.63819,-0.2919264,0.4333249,0.3710082
11.69085,-0.0847451,0.001509666,1.638331,-0.2923867,0.4331432,0.3709705
11.70613,-0.08464674,0.001470774,1.63866,-0.2932578,0.4328878,0.3708198
11.71934,-0.08449747,0.001572341,1.639283,-0.2943255,0.4319222,0.3707193
11.73378,-0.0842678,0.002013057,1.640307,-0.2959843,0.4298003,0.3709296
11.74707,-0.08422415,0.002963364,1.640364,-0.3005308,0.4273871,0.3718121
11.76117,-0.08435236,0.003841996,1.641459,-0.307652,0.4276756,0.3715494
11.77593,-0.08308549,0.005963057,1.642885,-0.3075218,0.4248525,0.3693343
11.78859,-0.0828417,0.008219898,1.644377,-0.3066323,0.4249677,0.3707583
11.80299,-0.08284438,0.01096886,1.646303,-0.3085516,0.425898,0.3743824
11.81703,-0.08208731,0.0149045,1.64885,-0.3080399,0.422287,0.3755518
11.83055,-0.08152087,0.01900649,1.651396,-0.3070981,0.4220574,0.3770795
11.84581,-0.08086444,0.02374861,1.654419,-0.3046292,0.4231983,0.3794194
11.85933,-0.08005716,0.0289323,1.657566,-0.3002924,0.4247102,0.3823381
11.87237,-0.07936874,0.03463447,1.660725,-0.2960106,0.4272929,0.3872401
11.88682,-0.07888022,0.04053608,1.663624,-0.292645,0.4304899,0.3929295
11.90119,-0.07856799,0.04703519,1.666593,-0.2905559,0.4325243,0.3965
11.91549,-0.07821029,0.05364811,1.669586,-0.2880546,0.4301884,0.3977734
11.92846,-0.07860386,0.06014839,1.672612,-0.2883621,0.4280916,0.4006419
11.94262,-0.07878384,0.06657572,1.675997,-0.286913,0.4237303,0.4043645
11.9566,-0.07917719,0.07325625,1.679372,-0.285164,0.4210649,0.409457
11.97004,-0.07962836,0.08023755,1.682849,-0.2836668,0.4192389,0.4149331
11.98522,-0.07980435,0.08702441,1.686394,-0.2816502,0.417743,0.4181111
11.99881,-0.07959148,0.09424838,1.689983,-0.2770004,0.4160098,0.4203864
12.01225,-0.08014772,0.101152,1.693238,-0.2762203,0.4182818,0.4254499
12.02672,-0.08024578,0.1076415,1.696768,-0.2747557,0.4179825,0.4299897
12.04058,-0.08014497,0.1144817,1.700333,-0.2720957,0.4178482,0.432852
12.05476,-0.08012027,0.1211159,1.703677,-0.2698593,0.4182111,0.4369394
12.06734,-0.07999556,0.1278132,1.706919,-0.2680821,0.419781,0.4417858
12.08192,-0.07966895,0.1347401,1.709749,-0.2675652,0.4240388,0.4466655
12.09608,-0.07882978,0.1412408,1.712627,-0.2651119,0.4261432,0.4487368
12.10931,-0.07773324,0.1488231,1.714701,-0.2627877,0.4317585,0.4502234
12.12455,-0.07743955,0.1554501,1.716483,-0.2665536,0.4411152,0.4547465
12.13811,-0.0765923,0.1624518,1.718226,-0.2703903,0.4490796,0.45915
12.15103,-0.07582407,0.1689966,1.719835,-0.2727996,0.4546293,0.4578969
12.16542,-0.07481351,0.1754777,1.721247,-0.2741329,0.4574754,0.4559427
12.18139,-0.07423615,0.1816086,1.722581,-0.2754241,0.462359,0.4575435
