Time, Position (X), Position (Y), Position (Z), Rotation (X), Rotation (Y), Rotation (Z)
2.078936,0.008606932,0.1561543,0.3851181,-0.6025504,0.3667408,0.6085712
2.092918,0.007324459,0.157198,0.3857487,-0.6025041,0.3679726,0.608134
2.098941,0.007324459,0.157198,0.3857487,-0.6025041,0.3679726,0.608134
2.102404,0.006143001,0.1583032,0.3860608,-0.6020855,0.3697018,0.607411
2.107598,0.006143001,0.1583032,0.3860608,-0.6020855,0.3697018,0.607411
2.111764,0.006143001,0.1583032,0.3860608,-0.6020855,0.3697018,0.607411
2.116091,0.006143001,0.1583032,0.3860608,-0.6020855,0.3697018,0.607411
2.119869,0.006143001,0.1583032,0.3860608,-0.6020855,0.3697018,0.607411
2.1244,0.005119339,0.1594862,0.3863423,-0.6015239,0.3714741,0.6066704
2.128353,0.005119339,0.1594862,0.3863423,-0.6015239,0.3714741,0.6066704
2.132272,0.005119339,0.1594862,0.3863423,-0.6015239,0.3714741,0.6066704
2.135427,0.005119339,0.1594862,0.3863423,-0.6015239,0.3714741,0.6066704
2.139104,0.005119339,0.1594862,0.3863423,-0.6015239,0.3714741,0.6066704
2.143134,0.004424447,0.1606237,0.3866322,-0.6009237,0.3729611,0.6060657
2.148063,0.004424447,0.1606237,0.3866322,-0.6009237,0.3729611,0.6060657
2.151076,0.004424447,0.1606237,0.3866322,-0.6009237,0.3729611,0.6060657
2.160748,0.003874255,0.1616417,0.3869104,-0.6003619,0.3742145,0.6055968
2.16551,0.003874255,0.1616417,0.3869104,-0.6003619,0.3742145,0.6055968
2.168306,0.003874255,0.1616417,0.3869104,-0.6003619,0.3742145,0.6055968
2.171358,0.003874255,0.1616417,0.3869104,-0.6003619,0.3742145,0.6055968
2.175408,0.003874255,0.1616417,0.3869104,-0.6003619,0.3742145,0.6055968
2.179184,0.003874255,0.1616417,0.3869104,-0.6003619,0.3742145,0.6055968
2.182746,0.003418665,0.1625281,0.3871687,-0.5998596,0.3752677,0.6052374
