Time, Position (X), Position (Y), Position (Z), Rotation (X), Rotation (Y), Rotation (Z)
74.70441,0.1900517,-0.1192436,0.6458739,-0.02711203,0.9862623,-0.1405505
74.7188,0.1900629,-0.1192529,0.6458615,-0.02700168,0.9862556,-0.140592
74.7313,0.1900702,-0.1192602,0.6458532,-0.02691658,0.9862522,-0.1406337
74.74558,0.1900589,-0.1192472,0.6458691,-0.02689597,0.9862515,-0.140664
74.75964,0.1900394,-0.119229,0.645888,-0.02692171,0.9862524,-0.1406667
74.77288,0.1900232,-0.1192126,0.6459025,-0.02694743,0.9862518,-0.1406523
74.78748,0.1900146,-0.1192062,0.6459056,-0.0269395,0.9862528,-0.140634
74.80141,0.1899989,-0.1191993,0.6459119,-0.02690978,0.9862568,-0.140627
74.81552,0.1899785,-0.1192083,0.6459213,-0.02687894,0.9862588,-0.1406538
74.82867,0.1899554,-0.1192197,0.6459303,-0.02687256,0.9862615,-0.1406659
74.84319,0.1899273,-0.1192218,0.6459402,-0.02690122,0.9862615,-0.1406769
74.85734,0.1899015,-0.119217,0.6459484,-0.02695207,0.9862594,-0.1406896
74.87041,0.1898847,-0.1192092,0.6459614,-0.02698595,0.9862604,-0.1406789
74.88483,0.1898832,-0.1192047,0.6459768,-0.0269796,0.9862634,-0.1406612
74.89899,0.1898837,-0.1192011,0.6459912,-0.02696316,0.9862674,-0.1406569
74.91222,0.1898734,-0.1191863,0.6460181,-0.02695221,0.9862681,-0.1406776
74.92687,0.1898635,-0.1191767,0.6460358,-0.02695488,0.9862692,-0.1406842
74.94084,0.1898537,-0.1191692,0.6460527,-0.02696211,0.9862728,-0.1406681
74.95457,0.1898492,-0.1191694,0.6460559,-0.0269766,0.9862701,-0.1406838
74.96792,0.1898475,-0.1191672,0.6460578,-0.02698134,0.9862695,-0.140668
74.98244,0.1898693,-0.1191773,0.6460349,-0.02696542,0.9862711,-0.1406437
74.99663,0.1898809,-0.1191857,0.6460151,-0.02696634,0.9862711,-0.1406544
75.00978,0.1898718,-0.119179,0.6460334,-0.02696405,0.986275,-0.1406402
75.02433,0.1898499,-0.1191692,0.6460642,-0.02699169,0.9862772,-0.1406341
75.03845,0.1898332,-0.1191651,0.6460856,-0.02702572,0.9862778,-0.1406327
75.05146,0.1898326,-0.1191754,0.6460768,-0.02704721,0.9862801,-0.1406185
75.06615,0.1898321,-0.119186,0.646066,-0.02704022,0.9862836,-0.1406081
75.08012,0.1898278,-0.1191937,0.646068,-0.02704893,0.9862874,-0.1406011
75.09383,0.1898191,-0.1192004,0.6460725,-0.02706722,0.9862903,-0.1405983
75.1071,0.1898107,-0.1192124,0.6460838,-0.02708574,0.9862953,-0.1405921
75.12169,0.1898038,-0.1192319,0.6461034,-0.02711742,0.9862964,-0.140598
75.13599,0.1897918,-0.1192549,0.6461256,-0.02716485,0.9863008,-0.140583
75.14893,0.1897687,-0.1192757,0.6461263,-0.02725595,0.9863034,-0.1405731
75.16352,0.1897456,-0.119296,0.6461276,-0.02737066,0.9863056,-0.1405661
75.17759,0.1897183,-0.1192747,0.6461402,-0.02741285,0.9863106,-0.1405322
75.19075,0.1896848,-0.1192385,0.6461574,-0.02741214,0.9863157,-0.1405075
75.20538,0.1896487,-0.1192065,0.6461759,-0.02741403,0.9863247,-0.1404912
75.21925,0.1896319,-0.1192099,0.6461909,-0.02744444,0.9863335,-0.1404568
75.23248,0.1896193,-0.1192167,0.6462074,-0.02752924,0.9863378,-0.1404328
75.24706,0.1896242,-0.1192329,0.6462199,-0.02763792,0.986338,-0.1404024
75.26108,0.1896483,-0.1192554,0.646233,-0.02769651,0.9863291,-0.1404128
75.27509,0.1896909,-0.1192842,0.6462415,-0.02768186,0.986317,-0.1404495
75.28831,0.1897474,-0.1193207,0.6462454,-0.02754429,0.9863049,-0.1405035
