Time, Position (X), Position (Y), Position (Z), Rotation (X), Rotation (Y), Rotation (Z)
118.9491,-0.005717959,0.1224653,0.799581,0.1560525,0.4171849,0.345399
118.9648,-0.00573146,0.1224973,0.7995729,0.155877,0.4172091,0.3454537
118.9767,-0.005740769,0.1225187,0.7995672,0.1557271,0.4172499,0.3455608
118.9897,-0.005738609,0.1225282,0.7995715,0.1556516,0.4173116,0.3456428
119.0044,-0.005738862,0.1225168,0.7995653,0.1556237,0.4173783,0.3456924
119.0183,-0.005770598,0.1224806,0.7995406,0.1555506,0.4173431,0.3458126
119.0317,-0.005833376,0.1224422,0.7995243,0.1552413,0.417149,0.3459632
119.0463,-0.005901311,0.1224001,0.799515,0.1549006,0.4168027,0.3459847
119.0603,-0.00595241,0.122364,0.7995074,0.1547666,0.4165595,0.3460363
119.0742,-0.005965631,0.1223595,0.7995437,0.1546587,0.4163241,0.3461823
119.0875,-0.00592928,0.1224163,0.7996403,0.1545625,0.4161367,0.3463841
119.1022,-0.005889893,0.1224981,0.7997144,0.1544798,0.4159603,0.3464435
119.1163,-0.005912032,0.1226051,0.7996829,0.1542741,0.415807,0.3465297
119.1294,-0.005923126,0.1227261,0.7996464,0.154017,0.4157278,0.3466581
119.1441,-0.005891569,0.1228656,0.7996529,0.1538792,0.4156297,0.3467193
119.158,-0.005816262,0.1230329,0.7997125,0.1539073,0.4155703,0.3467485
119.1713,-0.005742565,0.1232257,0.7997671,0.1540044,0.4155025,0.3468777
119.1857,-0.005683981,0.123408,0.7998047,0.1540905,0.4155121,0.3469204
119.1998,-0.005599808,0.1236624,0.7998531,0.1542608,0.4155429,0.3467844
119.2131,-0.005537793,0.1239407,0.7999215,0.154494,0.4156334,0.3468305
119.2276,-0.005506009,0.1242488,0.8000057,0.1547455,0.4156946,0.3470844
119.2417,-0.005512111,0.1246496,0.8001018,0.1548102,0.4157642,0.3474396
119.2554,-0.005483083,0.1253599,0.8002126,0.1545649,0.4158837,0.3479801
119.2688,-0.005111754,0.1268481,0.8002844,0.1537775,0.4168236,0.3498913
119.2833,-0.004664239,0.1286137,0.8002251,0.152387,0.4205066,0.3530717
119.2974,-0.004248548,0.1307835,0.800088,0.1497492,0.4242969,0.3544731
119.3108,-0.003851589,0.1332338,0.7999908,0.1467154,0.4278083,0.3532853
119.3252,-0.003347334,0.1359566,0.8000169,0.1445758,0.4299046,0.3516034
119.3391,-0.002726696,0.1390071,0.7999386,0.1434676,0.431416,0.3509388
119.3523,-0.002361685,0.1425842,0.8001982,0.1437383,0.4348374,0.3523828
119.3669,-0.001832496,0.1466829,0.8001968,0.1442057,0.4383878,0.3542379
119.3811,-0.001166537,0.1513194,0.800101,0.1442322,0.4425059,0.3556786
119.3948,-0.000598032,0.1563345,0.8000656,0.1439627,0.4471869,0.3566869
119.4082,-0.0001864992,0.1615691,0.8001377,0.1433511,0.45143,0.3571265
119.4226,1.406297E-05,0.1669204,0.8002883,0.1428255,0.4546237,0.3563783
119.4366,-8.828938E-07,0.172455,0.8004663,0.1419464,0.4559004,0.355575
119.45,-0.0002142563,0.1779828,0.8007448,0.1405271,0.4565965,0.3566277
119.4644,-0.0005550496,0.1837535,0.8010956,0.1391027,0.4573139,0.3593996
119.4785,-0.0007421374,0.1897354,0.8014135,0.1382073,0.4586798,0.3621756
119.4916,-0.0008130856,0.1958787,0.8016616,0.1373253,0.461465,0.3643216
119.5062,-0.0009084195,0.2020672,0.8018781,0.1365038,0.4650025,0.3647987
119.5202,-0.001286853,0.2078928,0.802016,0.1354417,0.4676733,0.3636955
119.534,-0.001752634,0.213539,0.8021033,0.1350676,0.4684906,0.3626763
119.5473,-0.002343126,0.2191013,0.8022258,0.1347198,0.4685463,0.3636396
119.5619,-0.003029428,0.2246601,0.8024486,0.1353401,0.4700789,0.3671195
119.5759,-0.003448274,0.2302526,0.8024308,0.1349775,0.4710789,0.3690852
119.5892,-0.003783833,0.2359557,0.8026402,0.1348825,0.4731012,0.3700092
119.6036,-0.004097622,0.2416082,0.8028547,0.1352964,0.4752435,0.3686644
119.6177,-0.004388731,0.247062,0.8030745,0.1367421,0.4773823,0.3673323
119.631,-0.004741907,0.2524385,0.8033925,0.1387853,0.4793367,0.3671427
119.6455,-0.005014911,0.2577803,0.8037655,0.14127,0.4815978,0.3685699
119.6597,-0.005369954,0.2631678,0.8043113,0.14394,0.4842504,0.3713116
119.6728,-0.005844284,0.2685333,0.8047777,0.1458242,0.4864352,0.3736924
119.6872,-0.006229997,0.2739949,0.8051602,0.1473538,0.4878798,0.3750983
119.7012,-0.006504942,0.2794981,0.8055305,0.1483348,0.4898506,0.3758095
119.7151,-0.006597199,0.285192,0.8058674,0.149168,0.4926774,0.377052
119.7285,-0.006703302,0.2908609,0.8062247,0.1496227,0.4973382,0.3791158
119.743,-0.006746583,0.2963855,0.8065411,0.1510053,0.5021081,0.3812806
119.7571,-0.006931197,0.3017304,0.8069479,0.1525163,0.506402,0.3844427
119.7703,-0.00705744,0.3071664,0.8074578,0.154322,0.5102921,0.3886661
119.7845,-0.007264614,0.3126019,0.8079783,0.1553056,0.5147223,0.3935548
119.7986,-0.007420674,0.3180048,0.8084501,0.1557434,0.5189818,0.397086
119.8117,-0.007569134,0.3232062,0.8089528,0.1562136,0.5229657,0.3995175
119.8263,-0.007651329,0.3283327,0.8094831,0.1573205,0.5267164,0.4028978
119.8403,-0.007794615,0.333396,0.8100631,0.1586591,0.5312147,0.408075
119.8541,-0.007754743,0.3384655,0.8104877,0.1598364,0.5359177,0.4122388
119.8676,-0.007579543,0.3435614,0.8108082,0.1608453,0.5413893,0.4152555
119.882,-0.007591944,0.348426,0.8111626,0.1616652,0.546671,0.4177743
119.8959,-0.007596586,0.3531491,0.8115715,0.1627953,0.5510995,0.4210905
119.9092,-0.007567219,0.3578328,0.812001,0.1643304,0.5556229,0.4255862
119.9237,-0.007456783,0.3626317,0.8123095,0.1655543,0.5604106,0.4302655
119.938,-0.00735119,0.3674231,0.8125155,0.1661798,0.5658178,0.4344553
119.951,-0.007122088,0.3723869,0.812519,0.1659411,0.5718403,0.4378491
119.9655,-0.006810017,0.3772782,0.812412,0.1652641,0.5787036,0.4395425
119.9798,-0.00655039,0.3820528,0.8123745,0.1645833,0.5855968,0.4420791
119.9928,-0.006428003,0.3865651,0.8124599,0.1644897,0.5918269,0.446177
120.0074,-0.006353617,0.3909516,0.8125101,0.1646179,0.5975475,0.4507773
120.0212,-0.006220195,0.395268,0.8124534,0.1649482,0.6028543,0.4545566
120.035,-0.005953096,0.3997071,0.8121644,0.1653153,0.6086152,0.4581445
120.0485,-0.005644452,0.4042778,0.8117458,0.1656015,0.6159161,0.4627095
120.0629,-0.005246755,0.4089803,0.8110964,0.1654943,0.6244955,0.4669379
120.077,-0.004895832,0.4136313,0.8103426,0.1645286,0.6337824,0.4697462
120.0901,-0.004705869,0.4177915,0.8095686,0.1635071,0.6420045,0.4715917
120.1049,-0.004458681,0.4216542,0.8088956,0.1641363,0.6486858,0.4738375
120.1186,-0.004226841,0.4253936,0.808221,0.1661592,0.6547774,0.4776453
120.1319,-0.004019897,0.4293208,0.8075579,0.1682663,0.6612474,0.483591
120.1466,-0.004051741,0.4333043,0.8069425,0.1689164,0.6683373,0.4892952
120.1606,-0.004071318,0.4375173,0.8060095,0.1676572,0.6752762,0.4930649
120.1744,-0.004006896,0.4415805,0.8048818,0.1661736,0.682322,0.4952274
120.1875,-0.004045807,0.4458739,0.8034893,0.1639409,0.6905225,0.4969994
120.2022,-0.003987547,0.4495577,0.8019645,0.1629632,0.6984891,0.4986407
120.2163,-0.003848452,0.4532212,0.8005426,0.1642337,0.7063045,0.5011945
120.2295,-0.004027538,0.4567553,0.799449,0.1663365,0.7132488,0.5064899
120.2441,-0.004338719,0.4601891,0.7984316,0.1672685,0.7190112,0.5113925
120.2581,-0.004624747,0.4637617,0.7972037,0.166409,0.7246432,0.5132024
120.2712,-0.004971802,0.4673263,0.7958513,0.1648148,0.7299326,0.5146514
120.2859,-0.005228728,0.4707404,0.7944441,0.1642945,0.7355636,0.516518
120.2999,-0.0054987,0.4741375,0.7928569,0.1644061,0.7419913,0.5186316
120.313,-0.005655214,0.4774865,0.7911183,0.166666,0.7485859,0.5210106
120.3276,-0.006113194,0.4806957,0.7896795,0.1695208,0.7548281,0.524101
120.3416,-0.006845109,0.4836712,0.7885828,0.1698953,0.7598249,0.5263424
120.3554,-0.007638626,0.4866746,0.7875542,0.1686013,0.7635787,0.5279709
120.3688,-0.008520771,0.4895933,0.7867959,0.1660513,0.7664465,0.5297682
120.3832,-0.009395171,0.4924774,0.7859532,0.1633814,0.7693409,0.531644
120.3973,-0.01016429,0.4953948,0.7848244,0.1619562,0.7729447,0.5334583
120.4106,-0.01083905,0.4983257,0.7834274,0.1628541,0.7773187,0.5349978
120.4253,-0.01148002,0.5012298,0.7820323,0.1651756,0.7820085,0.5364688
120.439,-0.01220793,0.5040287,0.7807636,0.168817,0.7863758,0.5381247
120.4523,-0.01319112,0.5066836,0.7797312,0.1707148,0.7897381,0.5406303
120.4671,-0.01417815,0.5092995,0.7788125,0.1713244,0.7923711,0.5422276
120.4809,-0.01521498,0.5118793,0.7779177,0.1705812,0.794914,0.5432025
120.4948,-0.01629258,0.5144567,0.7771279,0.1695931,0.7970893,0.5445751
120.5081,-0.01720351,0.5168408,0.7762674,0.1696588,0.7989481,0.5466739
120.5225,-0.01791467,0.5191365,0.7753087,0.1719522,0.8012808,0.5472383
