Time, Position (X), Position (Y), Position (Z), Rotation (X), Rotation (Y), Rotation (Z)
14.01634,0.01018444,0.1452103,0.3869461,-0.6079044,0.3611394,0.607631
14.03068,0.01018455,0.1452104,0.3869461,-0.6079045,0.3611395,0.6076308
14.04283,0.01018455,0.1452104,0.3869461,-0.6079046,0.3611395,0.6076309
14.05917,0.01018455,0.1452104,0.3869461,-0.6079046,0.3611395,0.6076309
14.06983,0.01018444,0.1452103,0.3869461,-0.6079044,0.3611394,0.607631
14.0841,0.01018455,0.1452104,0.3869461,-0.6079045,0.3611395,0.6076308
14.09816,0.01018455,0.1452104,0.3869461,-0.6079045,0.3611395,0.6076308
14.11148,0.01018455,0.1452104,0.3869461,-0.6079046,0.3611395,0.6076309
14.12616,0.01018444,0.1452103,0.3869461,-0.6079044,0.3611394,0.607631
14.14009,0.01018455,0.1452104,0.3869461,-0.6079046,0.3611395,0.6076309
14.15394,0.01018455,0.1452104,0.3869461,-0.6079046,0.3611395,0.6076309
14.16727,0.01018455,0.1452104,0.3869461,-0.6079046,0.3611395,0.6076309
14.18202,0.01018455,0.1452104,0.3869461,-0.6079046,0.3611395,0.6076309
14.19601,0.01018455,0.1452104,0.3869461,-0.6079046,0.3611395,0.6076309
14.20928,0.00966741,0.1473555,0.3892877,-0.6069768,0.3634361,0.6072167
14.22369,0.009169782,0.1500487,0.391196,-0.605148,0.3666113,0.6065614
14.23779,0.009169782,0.1500487,0.391196,-0.605148,0.3666113,0.6065614
14.25112,0.008907629,0.1528234,0.3927433,-0.6029489,0.369872,0.6058915
14.26568,0.0083319,0.1579078,0.3963846,-0.5995758,0.3754725,0.604755
14.27968,0.0083319,0.1579078,0.3963846,-0.5995758,0.3754725,0.604755
14.29286,0.007924853,0.1633802,0.3992775,-0.5953121,0.3816886,0.6033891
14.3075,0.007836211,0.1686629,0.4015611,-0.5908473,0.3876283,0.6020486
14.32128,0.007961598,0.1734832,0.4033629,-0.5865646,0.3929751,0.6008291
