Time, Position (X), Position (Y), Position (Z), Rotation (X), Rotation (Y), Rotation (Z)
146.961,0.009351271,0.2216137,0.2462667,0.5114183,0.0002083945,0.0005131917
146.9766,0.009351271,0.2216137,0.2462667,0.5114183,0.0002083945,0.0005131917
146.9877,0.009351273,0.2216137,0.2462667,0.5114183,0.0002083943,0.0005131916
147.0021,0.009351271,0.2216137,0.2462667,0.5114183,0.0002083945,0.0005131917
147.0161,0.009351271,0.2216137,0.2462667,0.5114183,0.0002083945,0.0005131917
147.0295,0.009351273,0.2216137,0.2462667,0.5114183,0.0002083944,0.0005131917
147.0443,0.009351271,0.2216137,0.2462667,0.5114183,0.0002083946,0.0005131918
147.0581,0.009351271,0.2216137,0.2462667,0.5114183,0.0002083946,0.0005131918
147.0712,0.009351273,0.2216137,0.2462667,0.5114183,0.0002083944,0.0005131917
147.086,0.009351271,0.2216137,0.2462667,0.5114183,0.0002083946,0.0005131918
147.0998,0.009351271,0.2216137,0.2462667,0.5114183,0.0002083946,0.0005131918
147.1132,0.00933934,0.2232448,0.2483391,0.5129858,-0.0001616372,0.002028097
147.1277,0.009240932,0.2249775,0.2497446,0.5158774,-0.0009928943,0.003467472
147.1418,0.009233216,0.226643,0.250721,0.5191882,-0.002074188,0.004630677
147.1555,0.009233216,0.226643,0.250721,0.5191882,-0.002074188,0.004630677
147.1689,0.009301376,0.2281598,0.2514184,0.5224552,-0.003244292,0.005548128
147.1836,0.009319386,0.2313361,0.2539884,0.5273384,-0.004813792,0.008018899
147.1974,0.009319386,0.2313361,0.2539884,0.5273384,-0.004813792,0.008018899
147.2107,0.009292431,0.2344741,0.2556892,0.533319,-0.006791585,0.01023865
147.2253,0.009388332,0.2373773,0.2568337,0.5393698,-0.008899775,0.0120309
147.2393,0.009388332,0.2373773,0.2568337,0.5393698,-0.008899775,0.0120309
147.2526,0.009467729,0.2418524,0.2596109,0.5468585,-0.01140605,0.01535756
147.267,0.00953789,0.2461447,0.2613851,0.555134,-0.01423595,0.01827992
147.2811,0.009748109,0.2500481,0.2625222,0.5631476,-0.01706036,0.02064652
147.295,0.009748109,0.2500481,0.2625222,0.5631476,-0.01706036,0.02064652
147.3083,0.01003998,0.2534866,0.2632588,0.5704306,-0.01969001,0.02255493
147.3229,0.01027222,0.2584326,0.2656202,0.5786287,-0.02251647,0.02616285
147.3369,0.01027222,0.2584326,0.2656202,0.5786287,-0.02251647,0.02616285
