Time, Position (X), Position (Y), Position (Z), Rotation (X), Rotation (Y), Rotation (Z)
568.9766,0.009707118,0.2215492,0.2468829,0.5097408,0.0002970922,8.392113E-05
568.9905,0.009718119,0.2215575,0.2469176,0.5096747,0.0003062332,7.041127E-05
569.0042,0.009727137,0.2215644,0.2469467,0.509619,0.0003141634,5.908448E-05
569.0179,0.009727137,0.2215644,0.2469467,0.509619,0.0003141634,5.908448E-05
569.0313,0.009734558,0.22157,0.246971,0.509572,0.0003210802,4.982602E-05
569.046,0.009740589,0.2215749,0.2469914,0.5095329,0.0003269953,4.225073E-05
569.0599,0.009740589,0.2215749,0.2469914,0.5095329,0.0003269953,4.225073E-05
569.0733,0.009745724,0.221579,0.2470086,0.5094999,0.0003321173,3.595254E-05
569.0878,0.009749877,0.2215822,0.2470228,0.5094724,0.0003364935,3.078896E-05
569.1016,0.009753355,0.2215852,0.2470349,0.5094494,0.0003401542,2.636479E-05
569.1156,0.009753355,0.2215852,0.2470349,0.5094494,0.0003401542,2.636479E-05
569.129,0.009697722,0.2217825,0.2478231,0.5105388,0.0005912092,0.0009689216
569.1434,0.009508551,0.2225115,0.2485436,0.5125772,0.000865776,0.001933193
569.1573,0.009508551,0.2225115,0.2485436,0.5125772,0.000865776,0.001933193
569.1707,0.009317067,0.2232416,0.2489739,0.514944,0.001109142,0.002785664
569.1851,0.009147473,0.223804,0.2491672,0.5171916,0.001307096,0.003516085
569.1993,0.009147473,0.223804,0.2491672,0.5171916,0.001307096,0.003516085
569.2126,0.008931854,0.2243938,0.2499993,0.5202209,0.001703481,0.005181263
569.2271,0.00860318,0.2254045,0.2507032,0.5238367,0.002084481,0.006772793
569.2411,0.00829709,0.2263484,0.2511014,0.5274676,0.002414442,0.008158943
569.2549,0.00829709,0.2263484,0.2511014,0.5274676,0.002414442,0.008158943
569.2682,0.00794845,0.2272769,0.2520222,0.5318081,0.002921532,0.01049958
569.2826,0.007498181,0.2285526,0.2527355,0.5365598,0.003396454,0.01268392
569.2967,0.007498181,0.2285526,0.2527355,0.5365598,0.003396454,0.01268392
569.31,0.007090321,0.2296977,0.2531047,0.5411277,0.003815569,0.01457753
569.3246,0.006740053,0.2305877,0.2532301,0.5451534,0.004177842,0.01619388
569.3386,0.006740053,0.2305877,0.2532301,0.5451534,0.004177842,0.01619388
569.3515,0.006346458,0.2314489,0.2539684,0.549567,0.004704064,0.01886599
569.3663,0.005848225,0.2326916,0.2545767,0.5542724,0.00519996,0.02134058
569.3802,0.005401783,0.233839,0.2548844,0.558777,0.005653685,0.02347419
569.394,0.005401783,0.233839,0.2548844,0.558777,0.005653685,0.02347419
569.4075,0.00491407,0.2349467,0.255682,0.5637493,0.00626459,0.02671011
569.4219,0.00432606,0.236376,0.2562714,0.568969,0.00685141,0.02967782
569.436,0.00432606,0.236376,0.2562714,0.568969,0.00685141,0.02967782
569.449,0.003802506,0.2376575,0.2565245,0.5738971,0.007407207,0.03223229
569.4636,0.003352014,0.2386653,0.2565444,0.5782095,0.007924329,0.03440873
569.4777,0.003352014,0.2386653,0.2565444,0.5782095,0.007924329,0.03440873
569.491,0.002854913,0.2396283,0.257143,0.5827563,0.008574042,0.03782083
569.5054,0.002245611,0.2409542,0.2576189,0.587515,0.009199384,0.0409469
569.5193,0.002245611,0.2409542,0.2576189,0.587515,0.009199384,0.0409469
