Time, Position (X), Position (Y), Position (Z), Rotation (X), Rotation (Y), Rotation (Z)
121.2135,-0.01222107,0.03476003,0.8277813,0.143885,0.305406,0.2568633
121.2296,-0.01224473,0.03473413,0.8278387,0.1439354,0.3053784,0.2569618
121.2417,-0.01225726,0.03472733,0.8279299,0.1440281,0.3054681,0.2570757
121.2553,-0.0122465,0.03476235,0.8280148,0.1441835,0.3057267,0.2570783
121.2687,-0.01221975,0.03492415,0.8281541,0.1445455,0.3064684,0.2574021
121.2835,-0.01228499,0.03518689,0.8283128,0.1449701,0.3074336,0.2577596
121.2973,-0.01245608,0.0354639,0.8284885,0.1453416,0.3079664,0.2580069
121.3105,-0.01283509,0.03588226,0.8287833,0.1459148,0.3084804,0.2588221
121.3252,-0.01337978,0.03640518,0.8291218,0.1466656,0.3087695,0.2598476
121.3391,-0.01390794,0.0369994,0.829464,0.147599,0.3088094,0.2605436
121.3525,-0.01446825,0.03769794,0.8297941,0.1487559,0.3093537,0.2613372
121.3672,-0.0150618,0.03842792,0.8300709,0.1498375,0.3100509,0.2622452
121.3811,-0.01570211,0.03919157,0.830348,0.150965,0.310825,0.2629702
121.3948,-0.01639299,0.03996992,0.8306369,0.1522714,0.3115888,0.2636373
121.408,-0.01724734,0.04076615,0.8309293,0.1537815,0.3121791,0.2644306
121.4228,-0.0181926,0.04158908,0.8312346,0.1551339,0.312557,0.2653959
121.4369,-0.01922825,0.0424853,0.8315771,0.1566643,0.3128226,0.2665466
121.4503,-0.02031819,0.04344696,0.8319013,0.1579291,0.3131259,0.2675066
121.4645,-0.02141406,0.04444402,0.8322339,0.1592168,0.3135871,0.2682806
121.4785,-0.02259356,0.04548833,0.8325561,0.1607706,0.3143226,0.2691703
121.4918,-0.02377678,0.04654527,0.8328767,0.1626241,0.3151951,0.2698429
121.5065,-0.02505828,0.04766002,0.8332179,0.1647397,0.3162542,0.2705446
121.5205,-0.02637796,0.0487715,0.8335771,0.1669659,0.3171598,0.2711563
121.5344,-0.02776526,0.04991576,0.8339568,0.16947,0.3182253,0.2719401
121.5475,-0.02919088,0.05109628,0.8343621,0.1720459,0.3190795,0.2728945
121.562,-0.03066248,0.05235647,0.8348119,0.1746868,0.3201897,0.2741401
121.576,-0.03225553,0.0537495,0.8353051,0.1770449,0.3212765,0.2754052
121.5893,-0.03388978,0.05517831,0.835828,0.1792744,0.3225268,0.2765422
121.6041,-0.03551937,0.05656125,0.8363602,0.1816937,0.3235729,0.2772954
121.6178,-0.03722952,0.05798045,0.8369378,0.1847305,0.3246309,0.2783101
121.6313,-0.03905945,0.05951397,0.8375759,0.1885099,0.3262347,0.2801225
121.6458,-0.04089074,0.06103662,0.8381708,0.1922565,0.3279336,0.2814599
121.6596,-0.04282271,0.06268623,0.8387141,0.1967876,0.3300337,0.2822082
121.6729,-0.04491381,0.06449008,0.8392323,0.2011397,0.3322699,0.2834887
121.6873,-0.04723702,0.06651442,0.8397764,0.2052444,0.3341175,0.2851883
121.7015,-0.04962973,0.06868109,0.8402787,0.2088895,0.3359287,0.286094
121.7153,-0.05208261,0.07092348,0.8407553,0.212377,0.3378277,0.2865526
121.7285,-0.05463911,0.07319018,0.8412588,0.2165385,0.3400257,0.2873274
121.7432,-0.05736725,0.07560086,0.8417832,0.2209778,0.3423792,0.2888561
121.757,-0.06008023,0.07812129,0.8422726,0.2259999,0.3448524,0.2893938
121.7704,-0.06286241,0.08078869,0.8427084,0.231079,0.3477854,0.2895291
121.785,-0.0656939,0.08359125,0.8431703,0.2365137,0.3512509,0.2897538
121.7989,-0.06869562,0.08651702,0.8435739,0.2418767,0.3551151,0.2901575
121.8121,-0.07179395,0.08959092,0.8440075,0.2471455,0.3591963,0.2903803
121.8265,-0.07511215,0.09281959,0.844447,0.2521139,0.3630451,0.290672
121.8407,-0.078546,0.09612493,0.8448601,0.2567488,0.3665407,0.2906493
121.8546,-0.08200327,0.09949933,0.8452883,0.2614165,0.3701149,0.2906682
121.8677,-0.08548874,0.1029783,0.8457675,0.2663532,0.3740335,0.2911999
121.8822,-0.08920617,0.1066927,0.846332,0.2709493,0.3784037,0.2923804
121.8961,-0.0928509,0.110487,0.8469406,0.2753271,0.3825856,0.2925457
121.9094,-0.09651667,0.1142394,0.8476155,0.2798386,0.3867302,0.2927054
121.9242,-0.1003465,0.1180651,0.8484592,0.2847096,0.3908418,0.2931755
121.9381,-0.1042445,0.1219133,0.8494972,0.2899376,0.3944525,0.2936733
121.9512,-0.1080536,0.1256858,0.8504443,0.295435,0.3980986,0.2937782
121.9658,-0.111902,0.1295461,0.8514025,0.3012054,0.4017602,0.2937436
121.9796,-0.1157497,0.1336245,0.8524091,0.3069988,0.4056163,0.2942901
121.9932,-0.1195556,0.1377646,0.853415,0.312289,0.4097512,0.2945649
122.0075,-0.1232325,0.1420465,0.8544336,0.3172419,0.4144672,0.2942183
122.0215,-0.126912,0.1462682,0.8554187,0.3225712,0.4196443,0.2938926
122.0354,-0.1305958,0.1505079,0.8564699,0.3283326,0.4248658,0.2941624
122.0486,-0.1342843,0.1547744,0.8575821,0.3337699,0.4299496,0.2950586
122.0633,-0.137897,0.1590693,0.8586937,0.3389348,0.4348716,0.2949758
122.0772,-0.1414243,0.1633008,0.8597734,0.3439157,0.439647,0.2942481
122.0904,-0.1448301,0.1674803,0.8608015,0.3491255,0.4443186,0.2934475
122.105,-0.148119,0.1716805,0.8618675,0.3546712,0.4494549,0.2933672
122.1188,-0.1513431,0.1758678,0.8629012,0.3601058,0.4550427,0.2927995
122.1325,-0.1545637,0.1800547,0.8640461,0.3651371,0.46037,0.2918015
122.1467,-0.1577748,0.1841532,0.8652573,0.3696838,0.4650887,0.2905833
122.1609,-0.1608676,0.1881027,0.8665113,0.3742236,0.4695804,0.2888725
122.1748,-0.1638577,0.1919097,0.8677719,0.3792262,0.474064,0.2870084
122.1879,-0.1668427,0.1956327,0.8690714,0.3843868,0.4784711,0.2853712
122.2026,-0.1697338,0.1993003,0.8703923,0.389328,0.4830666,0.2836601
122.2161,-0.1725374,0.2028453,0.8716008,0.3939668,0.4880283,0.2809509
122.2295,-0.1752757,0.2062478,0.8728365,0.3989797,0.4931104,0.2782487
122.2443,-0.1780641,0.2095466,0.8740951,0.4041022,0.4982135,0.2759348
122.2583,-0.1808055,0.212753,0.8753581,0.4090966,0.5032385,0.2734845
122.2718,-0.1835432,0.2158803,0.8766645,0.413947,0.508359,0.2703445
122.2859,-0.1863247,0.2189291,0.8780769,0.4186703,0.5129541,0.2673529
122.2999,-0.1891679,0.2219622,0.8795686,0.4229597,0.5173659,0.2650777
122.3132,-0.1919343,0.2250093,0.8811321,0.4267934,0.5217557,0.2625281
122.3277,-0.1946662,0.2280184,0.8826793,0.4303535,0.5264359,0.2598116
122.3419,-0.1972951,0.2309578,0.8842843,0.4340418,0.5313451,0.2574082
122.3557,-0.1999751,0.2337972,0.8859379,0.4378792,0.5366789,0.2546961
122.3689,-0.2027187,0.2365321,0.8876222,0.4416921,0.5419199,0.2518894
122.3833,-0.2054638,0.2392224,0.8892974,0.4453104,0.5469137,0.2492583
122.3974,-0.2082322,0.2418122,0.8909152,0.448823,0.5522153,0.2458973
122.4109,-0.2109542,0.2443096,0.8925616,0.4523485,0.557828,0.2425375
