Time, Position (X), Position (Y), Position (Z), Rotation (X), Rotation (Y), Rotation (Z)
76.99923,0.1577229,-0.3112932,0.7497993,0.04053858,0.9497969,-0.3092378
77.01454,0.1577284,-0.311297,0.7497944,0.04058469,0.9498007,-0.3092215
77.02714,0.1577229,-0.3112922,0.7497995,0.04056725,0.9498201,-0.3091689
77.04064,0.1577033,-0.3112879,0.7498084,0.04047748,0.9498464,-0.3091061
77.05472,0.1576764,-0.3113014,0.7498082,0.04038298,0.9498729,-0.3090422
77.06785,0.1576408,-0.3113303,0.7497966,0.04022351,0.9498921,-0.3090077
77.08255,0.1576155,-0.3113791,0.7497723,0.04003865,0.9499012,-0.3090027
77.09657,0.157602,-0.3114241,0.7497477,0.03989021,0.9498959,-0.3090351
77.10956,0.1576026,-0.311474,0.7497111,0.03984464,0.9498748,-0.3091016
77.12424,0.1576231,-0.3115144,0.7496727,0.03989938,0.9498532,-0.3091561
77.13807,0.157654,-0.3115461,0.7496318,0.04000133,0.9498334,-0.3091998
77.15169,0.1576894,-0.3115686,0.7495947,0.04016571,0.9498152,-0.3092302
77.16605,0.1577157,-0.3115715,0.7495745,0.04032588,0.9498003,-0.3092534
77.17993,0.1577321,-0.311575,0.7495657,0.04044746,0.9497965,-0.3092486
77.19329,0.157727,-0.3115659,0.7495689,0.04044092,0.9498078,-0.3092146
77.20802,0.1577018,-0.3115619,0.7495852,0.04026952,0.9498298,-0.309172
77.22207,0.1576655,-0.3115779,0.7495971,0.04009666,0.949847,-0.3091469
77.23569,0.1576269,-0.311607,0.7496023,0.03991303,0.9498597,-0.3091357
77.24899,0.1575991,-0.3116323,0.7496002,0.03973027,0.9498682,-0.3091345
77.26355,0.1575792,-0.3116317,0.7496018,0.03961332,0.9498696,-0.309147
77.27843,0.1575736,-0.3116305,0.7496002,0.03961209,0.9498598,-0.3091777
77.29106,0.1575942,-0.3116253,0.7496088,0.03967345,0.9498461,-0.3092086
77.30553,0.1576389,-0.3116183,0.7496256,0.03980599,0.9498251,-0.3092498
77.31956,0.1576774,-0.3116205,0.7496403,0.03996404,0.9498057,-0.309284
77.33253,0.1576991,-0.3116339,0.7496486,0.04006205,0.9497957,-0.3092971
77.34704,0.1577184,-0.3116471,0.7496611,0.04011774,0.9497888,-0.3093065
77.36119,0.1577427,-0.3116304,0.7496886,0.04012733,0.9497986,-0.3092728
77.37492,0.1577608,-0.3116083,0.7497184,0.04013379,0.9498174,-0.3092142
77.38834,0.1577746,-0.3115959,0.7497429,0.04015261,0.9498317,-0.3091642
77.40272,0.1577815,-0.311599,0.7497588,0.04016964,0.9498355,-0.3091479
77.41685,0.1577833,-0.3116098,0.7497702,0.04013475,0.9498331,-0.3091575
77.43028,0.1577747,-0.3116212,0.7497761,0.04006119,0.949825,-0.3091888
77.44482,0.1577693,-0.3116321,0.749779,0.04002079,0.949815,-0.3092213
77.45864,0.15779,-0.3116555,0.7497641,0.04000799,0.9498062,-0.3092457
77.47175,0.1578232,-0.3116775,0.749748,0.04001473,0.9497996,-0.3092573
77.48652,0.1578668,-0.3116981,0.7497396,0.04011313,0.9497879,-0.3092703
77.50032,0.1579148,-0.311716,0.7497467,0.0403077,0.9497661,-0.3093049
77.51415,0.1579683,-0.3117302,0.7497562,0.04047097,0.9497553,-0.3093079
77.52761,0.1580162,-0.3117362,0.7497491,0.04063523,0.9497557,-0.3092745
77.54203,0.1580594,-0.3117442,0.7497458,0.04083181,0.9497571,-0.3092343
77.55603,0.1580883,-0.3117408,0.7497578,0.04097655,0.9497589,-0.3092029
77.5695,0.1581075,-0.3117332,0.7497798,0.04104523,0.9497553,-0.3092012
77.58384,0.1581255,-0.3117347,0.7498003,0.04104174,0.9497447,-0.3092321
77.59779,0.1581447,-0.3117453,0.7498047,0.04099202,0.9497399,-0.3092509
77.61104,0.1581688,-0.3117533,0.7498025,0.04093015,0.9497463,-0.3092353
77.62583,0.1581952,-0.3117701,0.7497901,0.04093239,0.9497472,-0.3092279
77.63976,0.1582484,-0.3118031,0.7497696,0.04103144,0.9497386,-0.309234
77.65287,0.1583132,-0.3118305,0.7497542,0.04122835,0.9497102,-0.3092814
77.66751,0.1583698,-0.3118463,0.7497471,0.04139438,0.949674,-0.3093557
77.68133,0.1584227,-0.3118545,0.7497397,0.04153177,0.9496441,-0.3094179
77.69523,0.158466,-0.3118643,0.7497317,0.04159461,0.949631,-0.3094394
77.7086,0.1585047,-0.3118593,0.7497274,0.04164069,0.9496335,-0.3094165
77.72305,0.1585365,-0.3118415,0.7497282,0.04173009,0.9496325,-0.309406
77.73687,0.1585726,-0.3118104,0.7497389,0.04191108,0.9496405,-0.3093555
77.75022,0.1586015,-0.3117837,0.7497517,0.04199645,0.9496497,-0.3093096
77.76484,0.1586247,-0.3117604,0.7497696,0.04204708,0.9496657,-0.3092465
77.77898,0.158654,-0.3117401,0.7497953,0.04211969,0.9496766,-0.3091907
77.79205,0.1586968,-0.3117101,0.7498275,0.04223855,0.949683,-0.3091483
77.80663,0.1587542,-0.3116767,0.749866,0.04242634,0.9497005,-0.3090567
77.82051,0.1587963,-0.3116539,0.7498929,0.04253709,0.9497073,-0.3090139
77.8343,0.1588479,-0.3116412,0.7499251,0.04267874,0.9497103,-0.3089749
77.84796,0.1589094,-0.3116439,0.7499508,0.04288102,0.9496882,-0.3090017
77.86236,0.1589953,-0.3116642,0.7499557,0.04318447,0.9496666,-0.3090146
77.87616,0.1590783,-0.3116809,0.7499524,0.04349113,0.9496333,-0.3090605
77.88956,0.1591643,-0.3116933,0.7499455,0.04381228,0.9496025,-0.3090932
77.90401,0.1592393,-0.3116935,0.7499456,0.04415919,0.9495775,-0.309109
77.91817,0.1593002,-0.3116757,0.7499475,0.04448939,0.9495779,-0.3090533
77.93129,0.1593465,-0.3116394,0.7499499,0.04478564,0.9495925,-0.3089623
77.94591,0.1593862,-0.3116068,0.7499494,0.0450412,0.9496036,-0.3088908
77.95995,0.1594332,-0.3115835,0.7499439,0.04527332,0.9496144,-0.3088172
77.97304,0.1594731,-0.3115774,0.7499304,0.0454248,0.9496095,-0.3088059
77.98786,0.1595372,-0.3116021,0.7498999,0.04567815,0.9495924,-0.3088138
78.00148,0.159592,-0.3116435,0.7498642,0.0458217,0.949572,-0.3088541
78.01549,0.1596423,-0.3116869,0.7498272,0.04593768,0.9495527,-0.3088927
78.02892,0.1596819,-0.3117309,0.749782,0.04611166,0.9495275,-0.3089399
78.04347,0.159735,-0.3117678,0.7497357,0.04641546,0.9495017,-0.3089678
78.05765,0.1597977,-0.3117841,0.7496892,0.04680821,0.949471,-0.3089971
78.07051,0.1598751,-0.3117833,0.7496443,0.04732464,0.9494522,-0.3089731
78.08521,0.15993,-0.3117799,0.7496212,0.04770251,0.949449,-0.3089233
78.09905,0.1599846,-0.3117757,0.7496009,0.04804387,0.9494414,-0.3088927
78.11239,0.1600478,-0.311774,0.7495825,0.0484647,0.9494322,-0.3088557
78.12709,0.1600909,-0.3117696,0.7495778,0.04875804,0.9494241,-0.3088332
78.14079,0.1601405,-0.3117642,0.7495762,0.04908501,0.9494184,-0.3087973
78.15479,0.1601898,-0.3117437,0.7495821,0.04939767,0.949421,-0.3087364
78.16806,0.1602418,-0.3117125,0.7495931,0.04973528,0.9494295,-0.3086545
78.18261,0.1602925,-0.3116802,0.7496039,0.05011592,0.9494438,-0.308552
78.19669,0.1603351,-0.3116587,0.7496114,0.05041957,0.9494434,-0.3085051
78.20991,0.160374,-0.3116431,0.7496196,0.05067774,0.9494428,-0.3084676
78.22449,0.1604043,-0.3116286,0.7496275,0.0508898,0.9494475,-0.308423
78.2385,0.1604317,-0.3116208,0.7496344,0.05108716,0.9494416,-0.3084084
78.25169,0.1604533,-0.3116171,0.7496432,0.0512868,0.9494265,-0.3084224
78.26634,0.1604627,-0.3116187,0.7496578,0.05142329,0.9494181,-0.30843
78.28043,0.1604636,-0.3116128,0.7496737,0.05156173,0.9494144,-0.3084264
78.29421,0.160464,-0.3115897,0.7496812,0.05167988,0.9494197,-0.3084003
78.30791,0.1604611,-0.3115632,0.7496889,0.05179168,0.949428,-0.308367
78.3235,0.1604602,-0.3115416,0.7497008,0.05187454,0.9494495,-0.3082986
78.33969,0.1604672,-0.3115309,0.749716,0.05196683,0.9494797,-0.3082002
78.3478,0.1604755,-0.3115221,0.749732,0.05204725,0.9495074,-0.3081135
78.36192,0.1604867,-0.3114981,0.7497429,0.05214502,0.9495471,-0.3079832
78.37704,0.1605028,-0.3114782,0.7497463,0.05223506,0.9495732,-0.3078915
78.38873,0.1605429,-0.3114601,0.7497383,0.05245134,0.9495884,-0.3078119
78.4037,0.1606159,-0.3114446,0.7497275,0.05286889,0.9495764,-0.3077773
78.41711,0.16068,-0.3114209,0.7497206,0.053215,0.9495788,-0.3077055
78.43037,0.1607442,-0.3113785,0.7497411,0.05365482,0.9495798,-0.3076189
78.44491,0.1608088,-0.3113301,0.7497634,0.05412007,0.9495932,-0.3074937
78.45923,0.1608637,-0.3113047,0.7497597,0.05448023,0.9495959,-0.3074218
78.47282,0.1609278,-0.3112772,0.7497606,0.05491124,0.9495991,-0.3073312
78.48759,0.1609923,-0.3112517,0.7497686,0.05537399,0.9496101,-0.3072144
78.50122,0.1610452,-0.3112287,0.7497836,0.05573089,0.9496235,-0.3071109
78.51505,0.1610907,-0.3112181,0.7497957,0.05599175,0.9496286,-0.3070479
78.52862,0.1611309,-0.3112195,0.7498136,0.05615845,0.9496298,-0.3070142
78.5433,0.161167,-0.3112278,0.7498249,0.05631556,0.9496276,-0.3069949
78.55724,0.1612016,-0.3112442,0.7498196,0.05650258,0.9496167,-0.3070002
78.57024,0.1612202,-0.3112617,0.7498041,0.05665486,0.9496059,-0.3070112
78.58498,0.1612219,-0.3112805,0.7497847,0.05677748,0.9495881,-0.307058
78.59889,0.161208,-0.3113003,0.7497642,0.05683536,0.9495726,-0.3071099
78.61242,0.1611868,-0.3113272,0.7497429,0.05679426,0.9495552,-0.3071851
78.62696,0.1611696,-0.3113686,0.7497109,0.05672478,0.9495456,-0.3072391
78.64101,0.1611449,-0.3114124,0.7496763,0.0565939,0.9495371,-0.3073048
78.65485,0.1611169,-0.3114491,0.7496477,0.05643672,0.9495319,-0.3073704
78.66792,0.161097,-0.3114679,0.7496353,0.05633337,0.9495342,-0.3073958
78.68292,0.1610801,-0.3114875,0.7496257,0.05625522,0.9495291,-0.3074418
78.6965,0.1610614,-0.3115252,0.7496147,0.05620861,0.9495246,-0.3074794
78.71108,0.1610496,-0.3115581,0.7496109,0.05616892,0.9495195,-0.3075155
78.72434,0.1610468,-0.3115975,0.7496089,0.05616381,0.9495151,-0.3075391
78.73801,0.1610503,-0.3116248,0.7496184,0.05622908,0.9495118,-0.3075472
78.75156,0.1610636,-0.3116375,0.7496318,0.05634555,0.9495171,-0.3075174
78.76602,0.1610856,-0.3116347,0.7496496,0.05645495,0.9495255,-0.307475
78.77998,0.161117,-0.311635,0.7496672,0.05659245,0.9495289,-0.3074435
78.79348,0.1611519,-0.3116533,0.7496827,0.05677354,0.9495221,-0.3074336
78.80802,0.1611938,-0.3116834,0.7496911,0.05700508,0.9494993,-0.3074631
78.82198,0.1612382,-0.311702,0.7496942,0.05724386,0.9494638,-0.3075269
78.8357,0.1612779,-0.3117055,0.7496919,0.05738976,0.9494213,-0.3076238
78.84926,0.1613146,-0.3117092,0.7496877,0.05751671,0.9493846,-0.3077053
78.86358,0.1613666,-0.3117545,0.7496736,0.05767624,0.9493582,-0.307752
78.87761,0.1614014,-0.3117819,0.7496648,0.0578202,0.9493452,-0.3077669
78.89114,0.161413,-0.3117673,0.749666,0.05792876,0.9493406,-0.3077643
78.90546,0.1614152,-0.3117372,0.7496754,0.05798812,0.9493454,-0.3077415
78.91942,0.161414,-0.3117273,0.749683,0.05798826,0.9493421,-0.3077549
78.93269,0.161415,-0.3117475,0.7496914,0.05795598,0.9493302,-0.3078
78.94739,0.1614138,-0.3117839,0.74969,0.05790891,0.9493012,-0.3079024
78.9613,0.1614056,-0.3118109,0.7496881,0.05784912,0.949273,-0.3080046
78.97514,0.1613976,-0.3118325,0.7496794,0.05781137,0.9492476,-0.3080914
78.98855,0.1613968,-0.3118464,0.7496578,0.0578198,0.9492282,-0.30815
79.00291,0.1614022,-0.3118525,0.7496293,0.0578703,0.9492104,-0.3081944
79.01707,0.161404,-0.3118508,0.7496059,0.0579263,0.949199,-0.3082176
79.03036,0.1613937,-0.3118435,0.7496019,0.05793782,0.9491952,-0.3082302
79.04474,0.161377,-0.3118328,0.7496076,0.05793428,0.9492071,-0.3082009
79.05871,0.1613742,-0.3118395,0.7495934,0.05794817,0.9492096,-0.3081932
79.072,0.161379,-0.3118513,0.7495744,0.05799716,0.9492047,-0.3081994
79.08659,0.1613877,-0.3118551,0.7495618,0.05803286,0.9491979,-0.3082122
79.10055,0.1614027,-0.3118435,0.7495641,0.05807607,0.9491923,-0.3082168
79.11446,0.1614255,-0.3118313,0.7495639,0.0581957,0.9491764,-0.3082386
79.12785,0.1614617,-0.3118554,0.7495493,0.05835178,0.94916,-0.3082539
79.1423,0.1614985,-0.3118832,0.7495378,0.05849166,0.9491463,-0.3082623
79.15628,0.1615278,-0.3119017,0.749528,0.05860206,0.9491281,-0.3082913
79.16963,0.1615481,-0.3119088,0.7495266,0.05869329,0.9491063,-0.3083355
79.18407,0.1615591,-0.3119127,0.7495291,0.05874347,0.9490942,-0.3083595
79.19823,0.161557,-0.3119103,0.7495378,0.0587366,0.9490924,-0.3083639
79.21141,0.1615422,-0.3119065,0.7495481,0.05866531,0.9490957,-0.3083676
79.22601,0.1615201,-0.3119116,0.7495538,0.05857475,0.9490959,-0.3083851
79.24017,0.1614962,-0.3119195,0.749558,0.05843287,0.9491015,-0.3083947
79.25374,0.161474,-0.3119317,0.7495589,0.05828802,0.9491035,-0.3084151
79.26722,0.1614562,-0.3119475,0.7495604,0.05815601,0.9491007,-0.3084482
79.28168,0.1614397,-0.311968,0.7495633,0.05802919,0.949088,-0.3085082
79.29564,0.161432,-0.3119786,0.7495612,0.05794614,0.9490785,-0.3085524
79.30922,0.1614332,-0.3119875,0.7495604,0.05790387,0.9490646,-0.3085983
79.32348,0.1614417,-0.3119844,0.7495607,0.05792224,0.9490444,-0.3086505
79.3373,0.1614555,-0.3119699,0.7495648,0.05797014,0.9490235,-0.3086979
79.35098,0.161469,-0.31195,0.7495719,0.05797756,0.9490185,-0.3087025
79.36569,0.1614756,-0.3119463,0.7495763,0.0579241,0.9490154,-0.3087167
79.37937,0.1614728,-0.311953,0.7495848,0.05777572,0.9490137,-0.3087478
79.39257,0.1614556,-0.3119698,0.7496053,0.05758743,0.9490088,-0.3087961
79.40707,0.1614302,-0.3120011,0.749626,0.05732948,0.948989,-0.3089032
79.42099,0.161405,-0.3120358,0.7496391,0.05710137,0.9489726,-0.3089962
79.43552,0.1613865,-0.3120719,0.7496433,0.05688047,0.9489502,-0.3091066
79.44852,0.1613741,-0.3121092,0.7496452,0.05668296,0.9489291,-0.3092035
79.46286,0.1613609,-0.3121457,0.7496388,0.05651343,0.9488907,-0.3093449
79.47676,0.1613409,-0.3121779,0.7496333,0.05630603,0.9488578,-0.3094781
79.49014,0.1612924,-0.3121995,0.749626,0.05599964,0.9488387,-0.3095887
79.50442,0.1612247,-0.3122096,0.7496222,0.05564996,0.9488344,-0.3096679
79.51875,0.1611519,-0.3122131,0.7496217,0.05533177,0.9488329,-0.3097345
79.53188,0.1610854,-0.3122192,0.7496344,0.05507123,0.9488384,-0.3097667
79.54673,0.1610298,-0.3122292,0.7496499,0.05478931,0.9488353,-0.3098271
79.56035,0.1609895,-0.3122591,0.7496659,0.05449614,0.9488352,-0.3098724
79.57449,0.1609609,-0.3122902,0.7496809,0.05424088,0.9488314,-0.3099204
79.58803,0.160943,-0.3123027,0.749706,0.05403905,0.9488224,-0.3099746
79.60207,0.160934,-0.3122881,0.7497461,0.05389799,0.9488184,-0.3100019
79.61608,0.1609286,-0.3122566,0.7497811,0.05376308,0.9488202,-0.3100095
79.62952,0.1609263,-0.3122178,0.7497884,0.05363041,0.9488283,-0.3099993
79.64399,0.1609282,-0.3121788,0.7498011,0.05353603,0.9488359,-0.3099821
79.6582,0.1609273,-0.3121624,0.7498171,0.05341843,0.9488389,-0.3099826
79.67139,0.1609224,-0.3121645,0.749835,0.05327693,0.9488349,-0.3100098
79.68586,0.1609058,-0.3121729,0.7498672,0.05306348,0.9488225,-0.3100755
79.69982,0.1608765,-0.3121713,0.7499281,0.05275826,0.9488147,-0.3101429
79.71312,0.160841,-0.3121712,0.7499878,0.05239978,0.9488235,-0.3101712
79.72777,0.1608102,-0.3121818,0.7500285,0.05211256,0.9488292,-0.310204
79.74163,0.1607855,-0.3122057,0.7500641,0.05174493,0.948826,-0.3102714
79.75587,0.160765,-0.3122455,0.7501045,0.05127107,0.9487818,-0.3104742
79.7689,0.160759,-0.3122721,0.7501364,0.05103669,0.948765,-0.3105549
79.7834,0.1607493,-0.3122966,0.7501714,0.05079685,0.9487387,-0.3106636
79.79755,0.1607309,-0.3123179,0.7501978,0.0506,0.9487144,-0.3107621
79.81073,0.1607019,-0.3123371,0.7502283,0.05034879,0.9486954,-0.3108539
79.82529,0.1606512,-0.3123428,0.7502568,0.05010944,0.9486765,-0.3109479
79.83923,0.1605687,-0.3123457,0.75029,0.049789,0.9486661,-0.3110355
79.85258,0.1604369,-0.3123875,0.750347,0.04929764,0.9486377,-0.311216
79.8672,0.1602936,-0.3124884,0.7504011,0.0489071,0.948556,-0.3115482
79.88091,0.1601067,-0.3126119,0.7504784,0.04823617,0.9484892,-0.3118731
79.89503,0.1598462,-0.3126712,0.7505293,0.04691862,0.9485318,-0.3119749
79.9083,0.1595578,-0.3126836,0.7505569,0.04545704,0.9486043,-0.3120138
79.92285,0.1593861,-0.3127621,0.7505749,0.04479419,0.9486122,-0.3121246
79.93684,0.1592121,-0.3128299,0.7505791,0.04399681,0.9486063,-0.31229
79.95004,0.1590485,-0.3128847,0.7505871,0.04322667,0.948579,-0.3124921
79.96458,0.1588965,-0.3129237,0.7506037,0.04253391,0.9485576,-0.312663
79.97864,0.1587664,-0.312961,0.7506241,0.04195205,0.9485241,-0.3128546
79.99189,0.1586412,-0.3130183,0.7506309,0.04143949,0.9485123,-0.3129677
80.00658,0.1585164,-0.313087,0.7506375,0.04093061,0.9484995,-0.3130872
80.02045,0.1583891,-0.3131346,0.7506402,0.04042985,0.9484869,-0.3132046
80.03428,0.1582563,-0.3131646,0.7506459,0.03989977,0.9484903,-0.313274
80.04776,0.1581142,-0.3131921,0.7506546,0.03930754,0.9485002,-0.313335
80.06219,0.1579809,-0.3132055,0.7506593,0.03871738,0.9485132,-0.3133841
80.07632,0.1578641,-0.3132231,0.7506699,0.03817509,0.9485178,-0.3134466
80.08954,0.1577619,-0.3132507,0.750679,0.03767719,0.9485042,-0.3135554
80.10396,0.1576734,-0.3132856,0.75069,0.03726851,0.94849,-0.3136523
80.11794,0.1575771,-0.31332,0.7507045,0.03676647,0.9484884,-0.3137228
80.13131,0.1574916,-0.3133618,0.7507048,0.03619654,0.9484894,-0.3137929
80.14597,0.1574172,-0.3133965,0.7507063,0.03564957,0.948491,-0.3138541
80.15983,0.1573564,-0.3134072,0.7506993,0.03535017,0.9484882,-0.3138983
80.17296,0.1573052,-0.313409,0.7506914,0.03515593,0.9484792,-0.313946
80.18768,0.1572262,-0.3133996,0.7506859,0.03479563,0.9484599,-0.3140422
80.20148,0.1571626,-0.3133841,0.7506928,0.03450389,0.9484558,-0.3140865
80.21554,0.1570855,-0.3133557,0.7507021,0.03418817,0.9484446,-0.314153
80.22894,0.1569856,-0.3133247,0.7507,0.03387883,0.9484522,-0.3141679
80.24336,0.1568995,-0.3132967,0.7507044,0.03361916,0.948477,-0.3141233
80.25733,0.1567741,-0.313246,0.7507301,0.03305525,0.9485232,-0.3140489
80.27049,0.1566757,-0.3132009,0.7507737,0.03252955,0.9485582,-0.3140031
80.2854,0.1565955,-0.3131559,0.7508149,0.03205661,0.9485904,-0.3139533
80.29903,0.1565329,-0.3131211,0.750829,0.0317107,0.9486203,-0.3138985
80.31223,0.156483,-0.3130829,0.7508531,0.03145161,0.9486539,-0.3138197
80.32705,0.1564497,-0.3130595,0.7508709,0.03127114,0.9486827,-0.3137522
80.34077,0.1564333,-0.3130484,0.750894,0.03124791,0.9486954,-0.3137108
80.35488,0.1564253,-0.3130375,0.7509275,0.03122731,0.9486978,-0.3136946
80.36809,0.1564221,-0.3130414,0.7509719,0.03132434,0.9486843,-0.3137036
80.3824,0.1563908,-0.3130658,0.7510266,0.03143153,0.948625,-0.3138635
80.39662,0.1562915,-0.3130862,0.7511,0.03128757,0.9486076,-0.3139319
80.40983,0.156014,-0.313269,0.7512885,0.0325174,0.9482074,-0.315066
80.42443,0.1559213,-0.313209,0.7513539,0.03205636,0.9483665,-0.3146309
80.4384,0.1555769,-0.313281,0.7515776,0.03122973,0.9483817,-0.3146567
80.45161,0.1550947,-0.3133881,0.7518864,0.03013916,0.948331,-0.3149556
80.46606,0.1545747,-0.3133968,0.7520983,0.02875391,0.9483751,-0.3150229
80.48007,0.1543134,-0.3134378,0.7523527,0.02858449,0.9484546,-0.3148187
80.49418,0.1540208,-0.3135133,0.7525623,0.02866009,0.9484095,-0.3149932
80.50713,0.1537772,-0.3135791,0.7527695,0.02882354,0.9483428,-0.315191
80.52178,0.1534905,-0.3136179,0.7529721,0.02842303,0.9483551,-0.3152037
80.53568,0.1531501,-0.3136433,0.7532163,0.02786881,0.9483634,-0.3152428
80.54904,0.1528788,-0.3136375,0.7534209,0.02742073,0.9483865,-0.3152331
80.56385,0.1527028,-0.3136166,0.7535505,0.0274009,0.9484476,-0.3150634
80.57764,0.1525345,-0.3135965,0.7536988,0.02753267,0.9484584,-0.3150262
80.59086,0.1523803,-0.3135735,0.7538253,0.02768214,0.9484513,-0.3150442
80.60533,0.1522254,-0.3135599,0.7539939,0.02801413,0.948474,-0.3149447
80.61923,0.1521074,-0.3135421,0.754089,0.02789914,0.9484891,-0.3149152
80.63261,0.1519689,-0.3135398,0.7541943,0.02800667,0.9484985,-0.3148778
80.64724,0.1518243,-0.3135243,0.7542905,0.0280778,0.9485141,-0.3148283
80.66111,0.1517053,-0.3134875,0.7543652,0.02809863,0.948532,-0.3147734
80.67499,0.1515616,-0.3134277,0.7544476,0.02810398,0.9485612,-0.3146924
80.68839,0.1514336,-0.3133596,0.7545107,0.02810799,0.9485954,-0.3145961
80.70282,0.1513259,-0.3132883,0.7545578,0.02805454,0.9486334,-0.3144916
80.71669,0.1512188,-0.3131953,0.7546129,0.02783657,0.9486903,-0.3143479
80.73003,0.1511216,-0.3130741,0.7547029,0.02749696,0.948769,-0.3141452
80.74442,0.1510693,-0.3129774,0.7547699,0.02744143,0.9488135,-0.3140234
80.75848,0.1510254,-0.312849,0.7548398,0.02760726,0.9488564,-0.3138897
80.7718,0.1509979,-0.3127302,0.7549076,0.02781762,0.9489016,-0.3137402
80.78647,0.1509761,-0.3126236,0.7549716,0.02789116,0.9489338,-0.3136421
80.80025,0.1509618,-0.3125305,0.7550352,0.02789379,0.9489689,-0.3135415
80.81416,0.1509465,-0.3124549,0.7551025,0.02784964,0.9489988,-0.3134615
80.82776,0.150952,-0.312427,0.7551498,0.02778086,0.9490237,-0.3133993
80.84241,0.1509556,-0.3124115,0.7551939,0.0276785,0.9490442,-0.3133526
80.85609,0.1509427,-0.3123921,0.7552378,0.02754255,0.9490672,-0.3133004
80.86927,0.1509205,-0.3123634,0.755277,0.02745067,0.9490959,-0.3132261
80.88383,0.1508991,-0.3123267,0.7553086,0.02740633,0.9491289,-0.3131335
80.89822,0.1508857,-0.3122964,0.7553357,0.02746355,0.949155,-0.3130538
80.91138,0.1508821,-0.3122723,0.7553558,0.02757443,0.9491643,-0.31302
80.92564,0.1508935,-0.3122472,0.7553822,0.02772915,0.9491655,-0.3130081
80.93976,0.1509148,-0.3122309,0.7554002,0.02793651,0.9491585,-0.3130112
80.95298,0.1509257,-0.3122205,0.7554041,0.02807904,0.9491531,-0.3130177
80.96752,0.1509236,-0.312211,0.7553984,0.02822683,0.9491454,-0.3130297
80.98139,0.1508904,-0.3122082,0.7553898,0.0282215,0.9491408,-0.313052
80.99629,0.1508104,-0.3122079,0.7553742,0.02800823,0.9491455,-0.3130711
81.00858,0.1507142,-0.3122109,0.7553596,0.02768575,0.9491618,-0.3130647
81.02396,0.1506273,-0.3122185,0.7553449,0.02743205,0.9491729,-0.3130671
81.03692,0.1505513,-0.3122251,0.755332,0.02721001,0.9491828,-0.3130675
81.05011,0.1504767,-0.3122308,0.7553207,0.02695172,0.9492004,-0.3130462
81.06442,0.1504068,-0.312239,0.7553173,0.02670959,0.9492141,-0.3130351
81.07838,0.1503478,-0.3122405,0.7553175,0.02650306,0.949228,-0.3130204
81.09184,0.1503172,-0.3122539,0.755312,0.02637146,0.9492394,-0.3130058
81.10644,0.1503041,-0.3122607,0.7553071,0.02632109,0.9492511,-0.3129822
81.12083,0.1503024,-0.3122494,0.7553096,0.02637818,0.9492579,-0.3129602
81.13439,0.1503024,-0.3122103,0.7553269,0.02649389,0.9492617,-0.3129412
81.14772,0.1503069,-0.3121621,0.7553514,0.02662213,0.9492679,-0.3129142
81.16216,0.1503277,-0.3121216,0.7553861,0.02680165,0.9492801,-0.3128633
81.17623,0.1503459,-0.3120786,0.7554277,0.02696976,0.9492826,-0.3128428
81.18953,0.150346,-0.3120293,0.7554638,0.02705543,0.9492965,-0.3127945
81.20393,0.1503331,-0.3119788,0.7555,0.02709495,0.9493152,-0.3127368
81.21803,0.150314,-0.3119335,0.7555466,0.02710763,0.949346,-0.3126487
81.23138,0.1503063,-0.3119344,0.755574,0.02709704,0.949363,-0.3126026
81.24585,0.1503004,-0.3119427,0.7555944,0.02706355,0.949378,-0.3125646
81.25979,0.1502806,-0.3119175,0.7556108,0.0270374,0.9493883,-0.3125384
81.27309,0.1502632,-0.3118873,0.7556302,0.02701457,0.949402,-0.3125018
81.28806,0.150252,-0.3118582,0.7556502,0.02701756,0.9494129,-0.3124735
81.30197,0.1502527,-0.3118319,0.7556707,0.02704079,0.9494269,-0.3124315
81.31612,0.1502588,-0.3118101,0.7556848,0.02704283,0.9494332,-0.3124135
81.32913,0.1502703,-0.3117885,0.7557015,0.02708517,0.9494401,-0.3123889
81.34345,0.1502838,-0.3117584,0.7557141,0.02718092,0.9494412,-0.3123781
81.35795,0.1503003,-0.3117189,0.7557254,0.02733027,0.9494522,-0.3123337
